date,open,high,low,close,volume
2020-07-27,74.2,75.54,73.49,75.2,17931
2020-07-28,75.61,75.64,74.5,75.0,19085
2020-07-29,75.49,77.15,75.49,77.04,21885
2020-07-30,76.35,77.38,74.16,76.11,45416
2020-07-31,76.22,77.07,75.2,75.76,69223
2020-08-03,76.15,76.79,75.96,76.39,24115
2020-08-04,76.09,76.66,75.91,76.62,22147
2020-08-05,77.9,77.9,77.11,77.72,17681
2020-08-06,77.67,77.95,76.87,77.59,15251
2020-08-07,77.18,78.0,77.03,77.94,16841
2020-08-10,77.99,79.23,77.84,79.12,28431
2020-08-11,80.16,81.1,79.94,80.08,29813
2020-08-12,80.7,81.49,80.25,81.41,22384
2020-08-13,80.75,80.75,78.95,79.38,25638
2020-08-14,79.72,80.02,79.32,79.55,6964
2020-08-17,80.11,80.11,79.1,79.21,26403
2020-08-18,79.43,79.6,78.65,78.67,13702
2020-08-19,78.57,78.73,78.05,78.18,22902
2020-08-20,77.33,78.12,77.33,77.61,27850
2020-08-21,77.61,78.6,77.15,78.57,14225
2020-08-24,78.87,80.3,78.87,79.82,49143
2020-08-25,80.0,80.0,78.97,79.46,12688
2020-08-26,79.13,80.01,79.08,79.4,47458
2020-08-27,79.5,79.67,78.42,78.76,19189
2020-08-28,78.82,79.72,78.58,79.63,15971
2020-08-31,80.47,80.47,78.84,79.47,58210
2020-09-01,78.39,80.71,78.39,80.32,38077
2020-09-02,80.4,83.6,80.4,83.53,26195
2020-09-03,83.43,83.43,81.53,82.05,66681
2020-09-04,82.7,83.08,81.44,82.68,18189
2020-09-08,81.72,83.61,81.19,82.71,67666
2020-09-09,83.06,85.05,82.86,84.43,23570
2020-09-10,85.05,85.05,83.22,83.7,44674
2020-09-11,84.07,85.37,83.88,85.36,19613
2020-09-14,87.05,88.16,86.94,87.36,22513
2020-09-15,88.1,88.2,86.07,86.35,82521
2020-09-16,86.25,86.75,85.3,85.84,25722
2020-09-17,84.91,86.78,84.91,86.29,10242
2020-09-18,86.21,87.27,86.11,86.59,27782
2020-09-21,84.8,84.91,81.45,81.8,32529
2020-09-22,82.46,83.15,81.35,81.68,41007
2020-09-23,82.09,82.09,80.15,80.26,44319
2020-09-24,79.83,81.12,79.41,79.57,30670
2020-09-25,78.99,80.45,78.72,79.74,30729
2020-09-28,80.85,81.6,80.61,81.12,19508
2020-09-29,80.89,81.0,80.22,80.3,21711
2020-09-30,80.54,81.37,79.91,80.76,20641
2020-10-01,81.89,81.89,79.97,80.52,58988
2020-10-02,79.68,81.43,79.65,81.29,28548
2020-10-05,81.98,82.92,81.98,82.51,34725
2020-10-06,82.52,84.01,81.54,81.87,25102
2020-10-07,82.72,84.28,82.72,83.7,35700
2020-10-08,84.18,85.77,83.89,85.77,42266
2020-10-09,86.39,86.61,85.02,85.1,39796
2020-10-12,84.75,85.56,84.63,85.01,45733
2020-10-13,84.19,85.11,84.19,84.75,31407
2020-10-14,85.16,86.06,85.02,85.52,53739
2020-10-15,84.7,86.37,84.7,85.89,43674
2020-10-16,85.93,86.19,85.38,85.52,70798
2020-10-19,85.66,86.87,85.18,85.23,74108
2020-10-20,85.8,87.74,85.8,86.34,60359
2020-10-21,86.4,87.54,86.16,86.54,86190
2020-10-22,85.52,85.52,81.29,82.01,104528
2020-10-23,82.74,84.07,82.37,83.63,51308
2020-10-26,82.67,82.67,79.98,80.83,48082
2020-10-27,80.78,81.31,79.44,79.62,32759
2020-10-28,78.01,78.64,75.79,76.01,48679
2020-10-29,76.28,77.85,76.1,76.62,58452
2020-10-30,76.36,76.95,75.47,76.62,44999
2020-11-02,77.95,79.26,77.8,79.23,54158
2020-11-03,80.32,83.65,80.32,83.23,58417
2020-11-04,83.14,83.14,80.36,80.36,74604
2020-11-05,82.18,83.16,81.5,81.7,31027
2020-11-06,81.62,81.64,80.16,80.25,31935
2020-11-09,85.26,88.41,83.34,83.34,103895
2020-11-10,83.79,85.69,83.56,84.53,54371
2020-11-11,85.01,85.5,82.67,82.79,51296
2020-11-12,82.22,82.51,80.79,81.32,31313
2020-11-13,81.99,84.21,81.99,83.91,25790
2020-11-16,84.95,85.13,83.26,84.38,56410
2020-11-17,82.65,83.66,81.7,83.46,39347
2020-11-18,83.5,85.28,83.5,83.63,33161
2020-11-19,83.15,83.27,81.8,83.07,38667
2020-11-20,82.9,82.93,81.72,82.19,27011
2020-11-23,82.76,83.28,81.75,82.22,29966
2020-11-24,83.42,86.03,82.88,85.75,56011
2020-11-25,84.95,85.24,83.29,83.81,33558
2020-11-27,83.66,84.02,82.92,83.36,11885
2020-11-30,82.93,83.41,81.84,83.35,95480
2020-12-01,84.25,86.95,84.05,86.17,39479
2020-12-02,83.34,83.71,81.97,82.14,72489
2020-12-03,82.36,83.5,81.87,83.08,36429
2020-12-04,83.17,83.94,83.01,83.86,44966
2020-12-07,83.57,84.12,83.14,83.95,30934
2020-12-08,83.3,83.8,82.41,82.59,43893
2020-12-09,82.82,83.77,82.21,83.73,91627
2020-12-10,83.59,83.59,82.25,82.93,31189
2020-12-11,82.47,83.56,82.24,82.99,56615
2020-12-14,83.77,84.44,81.88,81.88,30330
2020-12-15,82.29,82.79,81.24,82.55,31356
2020-12-16,82.74,83.28,82.05,82.52,27583
2020-12-17,83.11,83.18,82.1,82.88,28495
2020-12-18,83.28,83.61,82.35,83.47,36914
2020-12-21,82.15,83.3,80.52,83.25,18950
2020-12-22,83.24,84.62,82.96,84.3,27268
2020-12-23,85.65,85.74,84.31,84.93,19168
2020-12-24,85.23,85.24,84.16,84.93,3771
2020-12-28,85.61,86.65,85.33,85.49,18656
2020-12-29,85.8,85.8,84.27,84.43,25893
2020-12-30,85.44,85.68,84.89,85.12,17700
2020-12-31,84.83,85.91,84.77,85.87,48993
2021-01-04,86.23,86.23,83.25,84.1,28753
2021-01-05,84.66,85.29,83.56,84.85,26141
2021-01-06,85.57,88.56,85.57,88.26,65980
2021-01-07,88.47,88.85,87.31,88.77,26557
2021-01-08,88.88,88.94,87.31,88.35,47058
2021-01-11,88.18,90.26,87.91,89.83,32778
2021-01-12,89.61,92.76,89.35,92.73,47947
2021-01-13,92.29,92.29,90.15,90.47,35188
2021-01-14,90.66,91.25,89.68,89.69,28233
2021-01-15,88.91,89.5,86.98,87.26,48998
2021-01-19,87.33,87.42,84.74,85.05,38872
2021-01-20,84.8,86.08,84.1,85.46,66152
2021-01-21,85.44,87.56,85.44,87.37,41383
2021-01-22,86.31,87.08,85.75,86.89,25961
2021-01-25,86.63,87.29,85.48,86.46,52838
2021-01-26,86.29,87.19,85.5,86.78,33751
2021-01-27,85.87,85.87,82.29,84.35,73280
