date,open,high,low,close,volume
2020-07-27,164.57,166.58,163.75,165.94,44492
2020-07-28,165.6,167.23,163.59,163.61,59076
2020-07-29,165.69,169.23,165.09,168.72,75623
2020-07-30,167.77,168.37,163.97,167.54,86570
2020-07-31,168.53,169.68,165.29,169.29,131314
2020-08-03,172.8,176.32,168.35,170.4,271115
2020-08-04,171.0,171.77,164.46,165.88,130735
2020-08-05,167.19,168.52,165.38,165.88,122000
2020-08-06,166.11,169.02,165.79,168.36,131685
2020-08-07,166.36,166.82,163.91,166.42,69365
2020-08-10,166.26,166.52,160.92,162.02,94049
2020-08-11,162.39,165.43,161.1,162.73,77904
2020-08-12,165.44,165.91,164.29,164.72,105566
2020-08-13,164.14,166.4,164.03,165.09,43447
2020-08-14,164.78,165.69,163.84,164.26,49221
2020-08-17,165.18,166.16,163.8,163.98,40938
2020-08-18,163.96,164.05,159.4,161.56,93453
2020-08-19,162.45,163.08,160.46,161.32,80736
2020-08-20,159.75,161.88,159.04,159.71,127631
2020-08-21,159.6,160.54,158.46,160.1,90766
2020-08-24,161.06,164.15,159.72,164.15,103368
2020-08-25,164.5,166.15,164.16,165.63,136782
2020-08-26,165.49,167.39,163.86,166.87,76871
2020-08-27,167.37,167.78,165.68,166.22,82594
2020-08-28,166.44,169.34,165.45,168.7,52788
2020-08-31,169.17,169.61,168.09,168.28,64725
2020-09-01,168.12,171.55,167.51,171.09,145649
2020-09-02,171.5,176.37,170.01,176.02,72067
2020-09-03,175.09,175.09,167.43,168.84,769254
2020-09-04,168.81,169.97,161.74,164.32,416370
2020-09-08,160.63,163.65,158.37,159.0,82103
2020-09-09,160.98,162.96,158.28,161.25,56851
2020-09-10,162.19,165.59,160.08,160.37,67958
2020-09-11,160.99,161.11,156.97,158.4,75073
2020-09-14,161.36,163.89,161.28,162.47,23368
2020-09-15,164.3,167.26,164.3,165.08,128227
2020-09-16,166.58,168.74,165.95,167.7,38722
2020-09-17,166.46,173.16,166.4,173.0,122423
2020-09-18,174.55,175.23,170.7,171.01,88010
2020-09-21,167.6,167.88,163.85,167.36,71886
2020-09-22,167.98,171.87,166.96,171.59,87085
2020-09-23,171.24,171.79,166.08,166.52,127033
2020-09-24,165.83,167.24,163.89,164.28,64487
2020-09-25,164.03,167.69,162.77,166.83,297308
2020-09-28,169.14,171.64,168.6,170.13,78418
2020-09-29,170.56,170.99,168.89,169.24,54665
2020-09-30,170.7,172.16,167.36,169.49,73428
2020-10-01,170.48,173.97,168.65,170.85,83837
2020-10-02,167.54,171.65,167.1,170.26,93441
2020-10-05,170.65,171.6,166.66,168.36,156633
2020-10-06,168.56,171.71,166.41,166.77,48924
2020-10-07,169.04,169.29,167.34,168.66,74298
2020-10-08,170.14,173.18,170.05,173.02,63287
2020-10-09,174.1,176.23,173.76,175.15,64590
2020-10-12,175.65,175.65,173.4,174.56,190798
2020-10-13,174.41,175.0,171.38,171.63,92222
2020-10-14,172.09,172.78,167.55,168.93,100121
2020-10-15,166.84,168.13,165.3,167.77,132856
2020-10-16,169.35,171.47,168.61,168.81,96016
2020-10-19,169.17,169.39,163.42,163.88,72246
2020-10-20,164.94,168.34,164.75,166.29,64923
2020-10-21,165.68,168.1,165.45,165.75,90354
2020-10-22,166.4,168.52,163.04,167.71,74704
2020-10-23,169.11,169.56,167.6,168.74,90137
2020-10-26,166.28,166.28,160.01,160.89,180331
