date,open,high,low,close,volume
2020-07-27,319.29,322.92,317.36,317.77,11657
2020-07-28,314.41,316.24,311.9,311.9,22890
2020-07-29,313.35,320.49,313.35,318.4,20241
2020-07-30,313.57,318.28,311.48,317.63,15885
2020-07-31,315.46,318.92,313.66,318.92,17907
2020-08-03,321.32,323.22,319.64,320.32,12292
2020-08-04,319.88,320.1,315.7,316.6,13286
2020-08-05,318.01,322.09,315.49,322.09,13814
2020-08-06,321.67,323.95,321.03,323.86,14074
2020-08-07,324.78,327.93,323.34,327.84,9674
2020-08-10,326.72,331.69,326.68,330.55,8730
2020-08-11,333.55,334.74,329.99,331.01,15650
2020-08-12,331.86,336.2,331.73,333.96,6565
2020-08-13,332.76,333.0,330.42,330.87,4456
2020-08-14,329.44,332.33,328.67,329.74,7538
2020-08-17,331.73,332.57,327.29,330.55,11344
2020-08-18,332.18,333.49,330.95,331.62,10788
2020-08-19,330.37,332.73,328.85,329.38,4818
2020-08-20,329.01,333.8,329.01,332.61,6602
2020-08-21,333.64,333.64,329.26,331.28,7858
2020-08-24,331.53,331.53,325.18,327.84,15007
2020-08-25,330.37,333.26,329.79,333.26,13330
2020-08-26,331.97,343.13,331.97,339.45,16354
2020-08-27,340.31,343.57,339.71,339.98,8459
2020-08-28,340.39,343.77,339.02,343.61,11682
2020-08-31,342.99,346.35,342.5,342.95,6984
2020-09-01,342.09,344.97,341.66,344.9,6712
2020-09-02,346.46,348.25,344.69,347.97,11826
2020-09-03,346.81,346.81,335.64,338.01,12600
2020-09-04,341.94,341.94,331.18,336.24,11446
2020-09-08,335.16,335.16,328.82,329.06,21471
2020-09-09,333.99,341.11,333.99,339.68,13740
2020-09-10,336.7,337.16,329.55,330.43,15919
2020-09-11,331.14,333.64,329.76,333.47,8400
2020-09-14,335.29,335.29,331.12,332.82,13929
2020-09-15,336.02,336.71,333.12,333.12,9666
2020-09-16,338.64,340.5,334.43,335.01,16684
2020-09-17,331.33,337.35,329.74,333.75,8380
2020-09-18,333.84,335.61,328.55,330.08,9531
2020-09-21,326.63,327.32,317.62,320.73,5550
2020-09-22,322.29,323.68,318.15,323.01,13491
2020-09-23,322.18,323.46,317.48,318.37,8982
2020-09-24,317.17,325.81,317.17,321.66,10359
2020-09-25,319.79,328.45,319.79,326.46,8830
2020-09-28,335.23,335.23,331.78,331.92,5370
2020-09-29,331.77,332.01,329.03,331.36,3892
2020-09-30,332.45,337.65,332.19,335.21,11243
2020-10-01,335.22,337.31,332.07,335.62,7934
2020-10-02,334.88,339.85,333.29,338.17,10045
2020-10-05,342.32,349.64,342.32,348.53,10571
2020-10-06,350.14,351.28,345.16,346.34,24692
2020-10-07,348.62,355.63,348.34,353.1,9868
2020-10-08,353.77,365.21,353.77,362.27,58642
2020-10-09,365.18,368.02,360.0,361.82,18472
2020-10-12,364.76,368.21,362.23,364.99,22367
2020-10-13,362.23,362.23,357.91,361.55,11719
2020-10-14,366.34,366.58,360.84,362.72,11945
2020-10-15,359.32,363.56,359.15,361.74,9384
2020-10-16,365.43,366.11,359.52,360.06,16943
2020-10-19,362.69,362.93,350.72,351.92,19358
2020-10-20,355.11,357.97,352.09,353.3,20782
2020-10-21,354.73,356.23,347.91,350.34,28750
2020-10-22,346.1,352.67,333.18,339.56,37304
2020-10-23,345.35,345.35,338.21,339.61,26888
2020-10-26,335.77,339.01,334.37,339.01,20784
2020-10-27,340.25,341.01,335.69,336.06,13295
2020-10-28,329.94,335.95,329.94,331.02,21545
2020-10-29,331.97,332.92,327.38,329.04,18307
2020-10-30,329.42,329.91,324.13,328.71,20322
2020-11-02,336.34,341.0,336.34,340.2,20366
2020-11-03,347.65,351.19,346.33,349.01,11869
2020-11-04,346.31,355.76,346.31,351.84,24522
2020-11-05,359.24,360.22,355.62,355.68,28283
2020-11-06,358.16,370.6,358.16,368.56,15215
2020-11-09,383.17,386.96,366.91,366.91,24954
2020-11-10,374.71,382.52,374.48,380.52,17377
2020-11-11,382.2,383.68,376.89,380.17,12929
2020-11-12,379.33,379.33,372.39,373.59,6114
2020-11-13,377.66,383.77,377.66,380.26,5554
2020-11-16,383.81,390.52,381.45,390.3,16078
2020-11-17,385.7,388.33,383.06,387.18,7665
2020-11-18,392.44,396.05,388.93,392.21,15463
2020-11-19,389.04,399.05,388.08,398.78,16036
2020-11-20,392.49,393.02,383.16,386.34,16705
2020-11-23,386.97,392.28,384.76,391.41,9448
2020-11-24,392.64,398.68,391.54,396.03,19677
2020-11-25,391.24,392.26,386.9,390.96,23094
2020-11-27,390.3,393.83,390.3,391.02,6092
2020-11-30,390.2,394.27,388.73,394.27,12961
2020-12-01,398.2,402.69,389.51,389.62,15631
2020-12-02,389.54,390.76,383.06,383.95,12289
2020-12-03,383.07,386.52,379.09,379.11,11154
2020-12-04,381.34,383.87,380.17,381.23,6694
2020-12-07,381.16,385.64,380.29,381.75,22463
2020-12-08,381.04,384.65,380.97,383.59,12102
2020-12-09,387.68,388.78,385.07,387.8,25341
2020-12-10,383.5,383.5,377.77,379.79,15511
2020-12-11,377.43,382.61,377.43,380.55,22165
2020-12-14,378.99,381.87,378.04,378.28,15211
2020-12-15,381.36,384.52,379.32,381.67,17760
2020-12-16,381.77,384.64,380.2,383.43,12989
2020-12-17,384.42,387.39,383.84,386.42,18232
2020-12-18,388.14,388.14,381.59,386.91,25784
2020-12-21,384.44,390.15,379.44,388.72,20284
2020-12-22,389.42,389.79,386.53,387.13,18249
2020-12-23,387.8,388.69,381.12,387.34,16264
2020-12-24,387.9,392.16,387.9,392.16,9208
2020-12-28,391.82,397.61,390.43,390.8,16041
2020-12-29,392.78,392.78,382.62,383.65,12945
2020-12-30,385.06,385.07,380.01,383.43,8706
2020-12-31,380.57,385.25,380.23,385.25,10660
2021-01-04,386.48,386.48,369.18,371.26,35798
2021-01-05,371.55,375.68,371.18,372.37,26209
2021-01-06,374.02,378.13,372.72,374.21,29874
2021-01-07,373.94,377.73,369.15,377.68,26734
2021-01-08,380.08,380.92,366.4,373.87,28092
2021-01-11,371.49,372.73,368.83,368.95,20642
2021-01-12,372.24,379.37,369.38,378.96,29747
2021-01-13,377.59,377.66,365.41,365.95,28023
2021-01-14,369.63,369.63,360.14,360.63,20382
2021-01-15,359.9,367.8,357.27,366.13,35386
2021-01-19,369.73,372.48,366.96,372.14,17567
2021-01-20,373.06,373.06,366.24,370.67,25579
2021-01-21,372.17,372.9,367.55,369.06,17356
2021-01-22,365.86,373.07,365.37,371.28,15504
2021-01-25,370.39,371.51,364.63,365.75,27277
2021-01-26,365.4,366.71,355.01,355.04,26313
2021-01-27,352.66,352.97,342.02,348.94,43461
2021-01-28,353.31,354.09,348.04,351.0,87456
2021-01-29,346.59,352.59,340.54,343.15,40233
2021-02-01,348.6,351.16,345.64,349.41,42259
2021-02-02,352.57,355.89,349.28,351.97,52587
2021-02-03,342.2,350.6,335.84,344.91,71421
2021-02-04,347.73,356.61,345.62,350.67,47014
2021-02-05,352.57,352.92,345.31,348.46,29062
2021-02-08,351.07,361.36,351.07,358.75,31643
2021-02-09,356.79,358.53,352.96,354.48,17836
2021-02-10,354.85,357.65,353.72,356.01,36691
2021-02-11,356.88,360.48,352.21,353.86,17764
2021-02-12,355.01,355.28,351.08,352.4,18838
2021-02-16,353.59,354.58,349.94,349.94,16583
2021-02-17,349.21,353.29,347.73,352.37,18938
2021-02-18,352.91,357.04,350.66,356.37,16577
2021-02-19,360.07,362.56,358.95,358.97,19804
2021-02-22,357.34,360.57,355.54,357.35,16967
2021-02-23,359.11,359.96,350.18,359.19,28521
2021-02-24,360.84,366.64,358.63,365.0,26966
2021-02-25,367.58,368.27,359.24,360.02,12956
2021-02-26,361.78,362.02,353.0,353.0,31815
2021-03-01,357.84,370.06,357.84,367.12,20431
2021-03-02,365.31,366.26,362.44,365.08,13571
2021-03-03,366.28,372.02,366.28,367.99,16531
2021-03-04,369.38,369.38,356.02,358.43,31876
2021-03-05,362.29,378.34,357.56,377.97,48440
2021-03-08,376.78,384.18,376.61,377.34,37339
2021-03-09,378.13,380.52,367.4,367.57,35842
2021-03-10,368.1,377.63,366.69,375.5,29264
2021-03-11,373.79,374.29,365.53,365.65,19088
2021-03-12,367.12,374.29,366.16,374.06,16229
2021-03-15,373.7,378.8,372.6,378.2,23001
2021-03-16,375.67,376.17,367.22,368.64,25923
2021-03-17,369.29,379.3,367.97,379.24,26314
2021-03-18,380.31,386.67,379.9,382.78,17738
2021-03-19,378.15,382.89,373.77,379.31,17855
2021-03-22,380.12,380.12,373.39,378.52,10599
2021-03-23,379.38,380.6,371.25,373.09,11944
2021-03-24,374.83,379.28,373.7,373.96,15246
2021-03-25,371.6,378.06,369.43,376.23,12729
2021-03-26,377.54,378.61,374.06,377.76,39619
2021-03-29,377.44,382.31,376.39,378.89,14401
2021-03-30,379.07,380.7,376.75,377.05,9693
2021-03-31,376.93,381.33,374.25,379.81,27914
2021-04-01,381.15,385.54,375.66,385.12,34139
2021-04-05,383.23,385.89,382.34,385.88,29399
2021-04-06,385.79,393.11,385.79,387.11,16492
2021-04-07,388.17,388.17,376.66,376.81,15180
2021-04-08,378.69,380.72,375.81,376.53,30645
2021-04-09,377.75,380.16,375.4,380.05,29939
2021-04-12,382.01,385.04,380.76,384.35,16890
2021-04-13,382.83,382.83,376.37,379.38,16185
2021-04-14,378.28,384.4,378.28,379.3,12009
2021-04-15,378.14,382.93,378.14,382.45,10631
2021-04-16,383.2,386.16,380.42,385.24,16805
2021-04-20,388.44,391.97,388.11,391.83,33102
2021-04-21,393.66,404.83,393.65,401.71,37314
2021-04-22,403.51,403.51,396.32,396.83,18347
2021-04-23,399.55,402.39,396.31,401.07,10471
2021-04-26,401.64,403.71,397.19,397.31,7613
2021-04-27,398.94,400.98,396.13,400.88,11199
2021-04-28,401.85,404.41,399.18,400.06,25879
2021-04-29,404.52,407.53,401.31,407.35,19077
2021-04-30,417.0,427.77,409.48,410.51,52092
2021-05-03,420.11,422.16,415.28,419.93,16436
2021-05-04,421.72,432.19,421.63,432.08,28906
2021-05-05,433.35,436.22,428.83,435.87,27410
2021-05-06,437.74,438.12,430.29,434.5,27893
2021-05-07,431.24,443.95,431.24,442.18,27947
2021-05-10,446.12,455.41,446.12,450.68,21712
2021-05-11,446.31,447.95,438.01,439.9,17207
2021-05-12,439.98,440.29,430.92,431.4,15947
2021-05-13,431.49,443.14,431.49,442.0,18436
2021-05-14,443.73,443.84,440.02,443.51,16205
2021-05-17,444.54,444.54,439.01,443.83,6269
2021-05-18,443.07,443.44,432.2,432.2,14413
2021-05-19,428.28,433.78,425.14,433.42,13039
2021-05-20,434.25,435.18,431.53,432.07,10063
2021-05-21,436.07,437.68,433.28,433.93,7750
2021-05-24,434.34,438.33,434.27,436.89,5129
2021-05-25,437.46,438.42,436.01,437.79,3744
2021-05-26,439.4,439.4,435.01,437.03,5736
2021-05-27,442.33,442.33,435.93,436.54,10810
2021-05-28,439.7,440.93,438.76,439.37,7026
2021-06-01,442.89,444.11,438.45,439.38,5563
2021-06-02,437.74,442.86,437.74,438.55,9497
2021-06-03,436.99,441.22,435.44,440.2,6277
2021-06-04,442.63,442.63,438.04,441.89,7348
2021-06-07,440.38,440.38,436.39,437.28,6335
2021-06-08,435.45,440.16,433.4,439.2,5596
2021-06-09,438.21,438.21,435.94,435.94,2466
2021-06-10,438.23,438.34,435.59,436.62,8016
2021-06-11,436.69,437.06,435.83,436.31,3061
2021-06-14,435.33,435.33,429.39,432.1,11931
2021-06-15,431.17,435.93,428.81,435.3,9742
2021-06-16,435.79,435.79,426.51,426.61,13121
2021-06-17,424.79,425.85,415.41,418.44,30533
2021-06-18,413.68,417.13,413.58,414.79,17402
2021-06-21,418.14,424.2,418.14,422.57,16872
2021-06-22,419.0,423.1,419.0,420.39,12593
2021-06-23,417.99,425.46,417.27,422.47,17275
2021-06-24,424.05,424.05,418.77,419.26,9236
2021-06-25,421.67,423.66,420.45,420.72,11217
2021-06-28,419.76,422.4,418.7,421.78,9980
2021-06-29,421.89,426.33,421.35,426.16,19918
2021-06-30,425.9,426.74,415.1,416.33,32450
2021-07-01,420.45,423.38,418.0,422.43,41906
2021-07-02,421.34,426.71,421.34,424.48,10099
2021-07-06,426.29,428.73,417.29,425.12,15325
2021-07-07,425.34,436.31,424.6,436.31,13186
2021-07-08,430.64,432.79,425.66,427.36,13017
2021-07-09,432.36,434.86,431.36,433.87,6815
2021-07-12,433.03,435.3,431.55,434.86,12830
2021-07-13,432.63,436.01,431.0,432.81,13311
2021-07-14,433.87,435.95,430.96,434.53,16658
2021-07-15,432.81,437.67,432.81,434.71,16158
2021-07-16,435.86,435.86,429.9,430.53,14353
2021-07-19,428.14,428.14,423.92,426.93,22001
2021-07-20,430.09,437.02,430.09,436.23,8010
2021-07-21,440.92,440.92,433.56,434.83,11141
2021-07-22,432.88,434.29,431.67,431.82,5906
2021-07-23,432.31,436.26,432.14,435.75,9202
2021-07-26,433.34,435.12,430.73,433.1,9755
2021-07-27,431.86,434.05,430.45,433.46,9722
2021-07-28,434.11,434.11,426.24,431.57,11866
2021-07-29,433.26,438.57,433.01,438.38,24970
2021-07-30,421.24,430.55,420.37,422.0,42931
2021-08-02,416.9,421.85,416.9,418.18,27855
2021-08-03,422.03,424.73,417.65,422.54,24849
2021-08-04,421.5,422.1,415.71,417.54,27984
2021-08-05,420.26,422.0,416.14,417.39,54596
2021-08-06,419.83,419.83,415.21,418.26,14284
2021-08-09,416.07,417.88,415.41,416.86,8611
2021-08-10,419.42,424.27,419.42,421.79,11267
2021-08-11,423.4,425.73,421.19,423.83,18590
2021-08-12,425.65,425.65,417.6,417.6,17427
2021-08-13,418.61,419.94,417.46,417.83,8468
2021-08-16,416.05,422.26,415.74,419.38,11178
2021-08-17,417.12,417.87,412.85,416.31,14271
2021-08-18,413.91,416.49,408.17,408.17,19108
2021-08-19,408.31,412.27,405.36,409.5,12910
2021-08-20,413.58,415.05,410.9,411.05,19324
2021-08-23,413.61,415.61,412.07,412.32,16096
2021-08-24,413.88,415.47,411.06,411.06,14011
2021-08-25,411.97,416.29,411.97,415.64,10431
2021-08-26,412.42,413.25,408.46,408.81,19138
2021-08-27,411.43,412.98,410.94,412.29,6510
2021-08-30,413.19,418.02,413.19,414.66,15195
2021-08-31,412.86,416.64,411.95,414.16,13838
2021-09-01,412.15,412.21,405.29,409.72,28631
2021-09-02,411.7,415.7,411.0,415.45,32186
2021-09-03,411.45,413.46,409.09,409.4,16774
2021-09-07,406.83,406.86,402.08,402.19,27588
2021-09-08,401.01,401.72,395.05,398.92,32415
2021-09-09,398.92,401.18,396.34,397.83,17351
2021-09-10,399.28,399.28,395.56,395.76,13510
2021-09-13,398.36,398.36,389.12,394.09,21163
2021-09-14,392.92,393.18,388.99,390.69,42883
2021-09-15,388.95,395.35,388.95,393.06,25563
2021-09-16,391.8,393.29,389.89,390.2,12601
2021-09-17,388.16,388.16,383.4,383.92,13519
2021-09-20,377.76,385.98,377.76,385.8,15591
2021-09-21,385.78,387.59,382.52,382.88,13007
2021-09-22,383.66,385.74,382.85,383.49,5972
2021-09-23,386.31,387.47,384.26,384.67,9155
2021-09-24,386.96,387.66,386.08,387.14,6136
2021-09-27,388.24,393.9,388.24,389.38,14294
2021-09-28,389.83,390.25,383.84,383.9,16371
2021-09-29,386.12,387.9,382.91,383.1,7184
2021-09-30,383.79,385.92,375.09,375.09,12675
2021-10-01,374.09,382.72,373.1,379.76,9630
2021-10-04,382.36,382.36,375.55,378.88,13554
2021-10-05,381.51,386.62,379.43,384.08,11543
2021-10-06,381.56,390.79,380.68,390.79,15018
2021-10-07,400.2,402.91,396.32,397.29,25363
2021-10-08,395.41,399.42,395.04,398.27,11391
2021-10-11,399.7,400.64,394.58,394.63,6076
2021-10-12,396.41,406.93,396.31,401.09,13987
2021-10-13,402.43,403.35,398.56,402.02,11964
2021-10-14,403.9,408.17,403.15,408.11,11549
2021-10-15,410.96,410.96,408.93,409.14,11942
2021-10-18,408.8,411.96,408.68,410.95,7272
2021-10-19,412.86,417.4,411.73,416.21,11238
2021-10-20,417.08,417.86,415.9,416.89,4214
2021-10-21,415.83,417.84,414.79,417.09,3122
2021-10-22,420.46,420.46,416.64,416.88,4291
