date,open,high,low,close,volume
2020-07-27,13.24,13.44,13.05,13.44,768291
2020-07-28,13.32,13.5,13.14,13.2,980096
2020-07-29,13.19,13.6,13.18,13.6,372986
2020-07-30,13.22,13.35,13.16,13.23,1133429
2020-07-31,12.99,13.14,12.7,12.89,416632
2020-08-03,12.9,13.22,12.85,13.11,831556
2020-08-04,13.03,13.73,13.03,13.62,603874
2020-08-05,13.99,14.19,13.75,13.81,466805
2020-08-06,13.75,13.88,13.33,13.33,327581
2020-08-07,13.18,13.41,12.99,13.41,412568
2020-08-10,13.54,14.1,13.47,14.06,277303
2020-08-11,14.48,15.03,14.48,14.53,809674
2020-08-12,14.83,15.13,14.76,15.13,907657
2020-08-13,14.87,15.1,14.73,14.88,372950
2020-08-14,14.69,15.01,14.55,15.0,631036
2020-08-17,14.97,15.17,14.87,15.0,949305
2020-08-18,15.01,15.21,14.72,14.83,165361
2020-08-19,14.77,15.19,14.77,14.86,364607
2020-08-20,14.59,14.65,14.38,14.42,316224
2020-08-21,14.26,14.39,14.06,14.19,175889
2020-08-24,14.3,14.98,14.22,14.67,333101
2020-08-25,14.92,15.03,14.48,14.55,437215
2020-08-26,14.53,14.64,14.21,14.24,269129
2020-08-27,14.22,14.46,14.05,14.42,93548
2020-08-28,14.5,14.79,14.44,14.64,202157
2020-08-31,14.64,14.72,14.38,14.6,125831
2020-09-01,14.43,14.75,14.33,14.65,195276
2020-09-02,14.61,14.71,14.49,14.67,214445
2020-09-03,14.57,15.06,14.3,14.56,399265
2020-09-04,14.71,14.75,13.99,14.44,366383
2020-09-08,14.01,14.05,13.35,13.39,366113
2020-09-09,13.53,13.84,13.48,13.6,258380
2020-09-10,13.65,13.7,12.82,12.89,456751
2020-09-11,12.9,12.96,12.64,12.89,97968
2020-09-14,12.91,13.1,12.73,12.95,144933
2020-09-15,13.11,13.21,12.93,13.05,107107
2020-09-16,13.19,13.86,13.04,13.6,238562
2020-09-17,13.26,13.52,13.18,13.38,207792
2020-09-18,13.35,13.51,12.97,13.05,120183
2020-09-21,12.32,12.48,11.65,11.95,459493
2020-09-22,12.12,12.34,11.85,12.04,211149
2020-09-23,12.02,12.19,11.43,11.43,143348
2020-09-24,11.1,11.52,10.87,11.31,350277
2020-09-25,11.12,11.35,11.05,11.17,402316
2020-09-28,11.46,11.66,11.35,11.53,177467
2020-09-29,11.49,11.52,10.85,10.92,263104
2020-09-30,11.01,11.26,10.79,10.89,192856
