date,open,high,low,close,volume
2020-07-27,7.424,7.424,7.135,7.151,426783
2020-07-28,7.081,7.251,7.039,7.05,303294
2020-07-29,7.035,7.309,6.961,7.293,313171
2020-07-30,7.093,7.197,6.977,7.185,209124
2020-07-31,7.096,7.166,7.019,7.166,68550
2020-08-03,7.151,7.228,7.077,7.151,161252
2020-08-04,7.127,7.139,7.039,7.081,168922
2020-08-05,7.158,7.278,7.093,7.243,110195
2020-08-06,7.185,7.293,7.127,7.162,87325
2020-08-07,7.124,7.471,7.081,7.459,141803
2020-08-10,7.494,7.675,7.467,7.614,156589
2020-08-11,7.864,8.038,7.745,7.783,197427
2020-08-12,7.938,8.007,7.567,7.706,94241
2020-08-13,7.556,7.668,7.521,7.544,105829
2020-08-14,7.533,7.745,7.471,7.644,140670
2020-08-17,7.614,7.617,7.506,7.552,110751
2020-08-18,7.494,7.521,7.351,7.359,114294
2020-08-19,7.355,7.49,7.313,7.343,118563
2020-08-20,7.247,7.262,7.096,7.112,118878
2020-08-21,7.093,7.197,7.008,7.039,226178
2020-08-24,7.069,7.39,7.069,7.37,235263
2020-08-25,7.479,7.533,7.328,7.394,450901
2020-08-26,7.37,7.39,7.251,7.251,185022
2020-08-27,7.255,7.482,7.239,7.436,129410
2020-08-28,7.486,7.486,7.359,7.386,220962
2020-08-31,7.351,7.359,7.193,7.274,143966
2020-09-01,7.178,7.405,7.162,7.282,169658
2020-09-02,7.228,7.509,7.228,7.482,330489
2020-09-03,7.54,7.787,7.413,7.44,101303
2020-09-04,7.617,7.768,7.506,7.668,282260
2020-09-08,7.533,7.621,7.421,7.494,1146029
2020-09-09,7.521,7.641,7.471,7.54,653186
2020-09-10,7.606,7.702,7.401,7.413,202749
2020-09-11,7.401,7.529,7.336,7.467,494410
2020-09-14,7.525,7.841,7.513,7.814,286412
2020-09-15,7.772,7.791,7.637,7.706,175953
2020-09-16,7.73,7.933,7.683,7.745,168871
2020-09-17,7.6,7.769,7.585,7.655,106479
2020-09-18,7.616,7.71,7.557,7.588,311882
2020-09-21,7.373,7.471,7.122,7.181,221770
2020-09-22,7.161,7.263,6.922,6.969,266360
2020-09-23,6.993,7.134,6.801,6.813,146285
2020-09-24,6.809,6.942,6.703,6.781,273963
2020-09-25,6.727,6.915,6.699,6.907,138724
2020-09-28,7.083,7.212,7.017,7.134,69878
2020-09-29,7.107,7.193,6.966,7.091,190708
2020-09-30,7.13,7.291,7.107,7.189,132179
2020-10-01,7.259,7.263,7.099,7.181,260813
2020-10-02,7.02,7.346,6.989,7.306,198214
2020-10-05,7.365,7.577,7.365,7.573,174529
2020-10-06,7.635,7.827,7.447,7.475,155209
2020-10-07,7.616,7.827,7.616,7.737,146972
2020-10-08,7.796,7.878,7.722,7.855,128036
2020-10-09,7.882,7.957,7.694,7.722,245511
2020-10-12,7.702,7.816,7.702,7.8,208485
2020-10-13,7.757,7.757,7.487,7.494,143374
2020-10-14,7.51,7.561,7.408,7.408,124589
2020-10-15,7.318,7.588,7.302,7.565,222399
2020-10-16,7.557,7.639,7.397,7.585,192434
2020-10-19,7.577,7.655,7.451,7.455,62513
2020-10-20,7.569,7.847,7.561,7.741,146251
2020-10-21,7.69,7.733,7.541,7.596,479681
2020-10-22,7.733,8.215,7.73,8.129,451271
2020-10-23,8.219,8.258,7.976,8.2,300186
2020-10-26,8.133,8.133,7.957,8.059,219341
2020-10-27,7.992,8.008,7.78,7.784,114912
2020-10-28,7.663,7.831,7.592,7.69,276070
2020-10-29,7.647,8.0,7.569,7.945,173725
2020-10-30,7.929,8.184,7.882,8.184,166294
2020-11-02,8.321,8.544,8.129,8.466,322411
2020-11-03,8.642,8.736,8.572,8.685,411190
2020-11-04,8.305,8.317,7.882,7.894,529793
2020-11-05,7.961,8.337,7.961,8.294,160750
2020-11-06,8.321,8.352,7.89,7.957,200031
2020-11-09,8.658,9.579,8.658,9.344,743753
2020-11-10,9.402,9.661,9.246,9.508,437743
2020-11-11,9.465,9.481,9.022,9.136,247107
2020-11-12,8.968,9.022,8.705,8.85,315555
2020-11-13,8.968,9.179,8.948,9.085,267626
2020-11-16,9.485,9.653,9.344,9.438,260125
2020-11-17,9.191,9.434,9.12,9.43,133680
2020-11-18,9.52,9.598,9.301,9.304,270195
2020-11-19,9.222,9.371,9.085,9.367,139631
2020-11-20,9.222,9.336,9.171,9.206,129813
2020-11-23,9.387,9.567,9.34,9.543,233516
2020-11-24,9.771,10.15,9.747,10.13,234168
2020-11-25,9.904,9.978,9.79,9.947,183156
2020-11-27,9.998,9.998,9.696,9.759,87972
2020-11-30,9.708,9.798,9.442,9.481,245705
2020-12-01,9.724,9.872,9.684,9.786,230936
2020-12-02,9.677,10.09,9.673,10.04,301156
2020-12-03,10.05,10.26,9.994,10.16,173534
2020-12-04,10.26,10.34,10.21,10.27,347377
2020-12-07,10.18,10.21,10.04,10.19,110465
2020-12-08,10.1,10.22,10.04,10.1,278635
2020-12-09,10.21,10.36,10.06,10.12,201231
2020-12-10,9.912,10.22,9.896,10.21,221325
2020-12-11,10.01,10.18,10.01,10.12,206111
2020-12-14,10.1,10.15,9.52,9.81,974606
2020-12-15,9.935,9.951,9.688,9.865,363250
2020-12-16,9.892,9.892,9.708,9.818,273973
2020-12-17,9.786,9.865,9.52,9.794,570438
2020-12-18,9.786,9.853,9.608,9.842,469670
2020-12-21,9.802,10.01,9.679,9.727,805467
2020-12-22,9.79,9.861,9.604,9.604,157946
2020-12-23,9.707,9.885,9.699,9.865,270704
2020-12-24,9.921,9.921,9.647,9.794,129495
2020-12-28,9.802,9.933,9.691,9.877,359874
2020-12-29,9.834,9.881,9.727,9.766,364233
2020-12-30,9.834,9.98,9.814,9.96,365565
2020-12-31,9.913,10.05,9.865,10.01,103027
2021-01-04,10.07,10.16,9.845,9.957,392697
2021-01-05,10.06,10.26,10.02,10.18,351272
2021-01-06,10.51,11.26,10.5,11.17,347033
2021-01-07,11.36,11.66,11.27,11.46,359284
2021-01-08,11.45,11.49,11.25,11.44,423738
2021-01-11,11.33,11.69,11.18,11.67,271670
2021-01-12,11.71,11.94,11.65,11.82,445628
2021-01-13,11.77,11.88,11.66,11.8,499753
2021-01-14,11.91,11.99,11.79,11.89,426330
2021-01-15,11.67,11.82,11.58,11.72,317472
2021-01-19,11.74,11.84,11.6,11.79,194228
2021-01-20,11.73,11.77,11.59,11.65,335031
2021-01-21,11.62,11.66,11.48,11.51,372689
2021-01-22,11.28,11.39,10.9,10.99,716144
2021-01-25,10.81,10.86,10.38,10.69,1803194
2021-01-26,10.79,10.85,10.62,10.72,317464
2021-01-27,10.54,10.69,10.46,10.51,527740
2021-01-28,10.69,10.86,10.58,10.77,638036
2021-01-29,10.76,10.88,10.35,10.49,562296
2021-02-01,10.5,10.56,10.34,10.49,514507
2021-02-02,10.63,10.77,10.56,10.74,360104
2021-02-03,10.75,10.86,10.68,10.8,310817
2021-02-04,10.85,11.28,10.83,11.2,329527
2021-02-05,11.28,11.34,11.13,11.15,282363
2021-02-08,11.29,11.3,11.13,11.29,170985
2021-02-09,11.22,11.38,11.16,11.32,139934
2021-02-10,11.37,11.52,11.26,11.34,139224
2021-02-11,11.33,11.43,11.14,11.35,188485
2021-02-12,11.3,11.56,11.3,11.46,183672
2021-02-16,11.59,11.97,11.59,11.93,349611
2021-02-17,11.97,12.03,11.8,11.87,222466
2021-02-18,11.73,11.85,11.61,11.74,362447
2021-02-19,11.84,12.17,11.84,12.13,168154
2021-02-22,12.13,12.43,12.1,12.34,182663
2021-02-23,12.39,12.49,12.24,12.47,275215
2021-02-24,12.49,12.91,12.49,12.86,319281
2021-02-25,13.01,13.05,12.41,12.46,236612
2021-02-26,12.32,12.4,11.99,12.18,513066
2021-03-01,12.42,12.63,12.4,12.56,208852
2021-03-02,12.55,12.67,12.47,12.47,232039
2021-03-03,12.58,13.01,12.57,12.62,291733
2021-03-04,12.87,12.94,12.29,12.51,372018
2021-03-05,12.8,12.94,12.36,12.87,220213
2021-03-08,13.01,13.34,12.93,13.16,274459
2021-03-09,12.96,12.98,12.6,12.73,419564
2021-03-10,12.77,13.01,12.7,12.96,249819
2021-03-11,12.76,13.0,12.76,12.94,217888
2021-03-12,13.18,13.29,13.07,13.26,547705
2021-03-15,13.21,13.26,12.93,13.1,240466
2021-03-16,12.92,12.93,12.62,12.77,324050
2021-03-17,12.85,13.04,12.72,12.88,202662
2021-03-18,13.08,13.53,13.02,13.09,480951
2021-03-19,12.83,13.03,12.62,12.8,422971
2021-03-22,12.79,12.79,12.45,12.6,551808
2021-03-23,12.45,12.56,12.18,12.26,168160
2021-03-24,12.52,12.68,12.25,12.26,340100
2021-03-25,12.3,12.72,12.08,12.68,302972
2021-03-26,12.82,12.94,12.63,12.88,189105
2021-03-29,12.62,12.72,12.3,12.48,327763
2021-03-30,12.67,12.9,12.67,12.79,201823
2021-03-31,12.7,12.86,12.58,12.58,202839
2021-04-01,12.54,12.82,12.52,12.8,241074
2021-04-05,13.01,13.12,12.81,12.9,329466
2021-04-06,12.84,12.91,12.72,12.89,204064
2021-04-07,12.94,13.02,12.85,12.91,89207
2021-04-08,12.82,12.92,12.62,12.86,162732
2021-04-09,12.97,13.03,12.9,13.02,192298
2021-04-12,13.05,13.2,13.05,13.19,341192
2021-04-13,12.93,13.03,12.76,12.92,141817
2021-04-14,12.9,13.23,12.87,13.09,274701
2021-04-15,13.05,13.05,12.67,12.89,275696
2021-04-16,13.01,13.17,12.88,12.93,847136
2021-04-19,12.96,13.01,12.64,12.71,1209907
2021-04-20,12.53,12.55,12.12,12.14,1533616
2021-04-21,12.09,12.47,11.92,12.42,486438
2021-04-22,12.34,12.36,11.55,11.56,858303
2021-04-23,11.57,12.0,11.45,11.92,1003395
2021-04-26,12.04,12.22,12.01,12.16,490755
2021-04-27,12.19,12.26,12.03,12.17,267223
2021-04-28,12.22,12.32,12.17,12.24,312859
2021-04-29,12.38,12.52,12.34,12.4,212537
2021-04-30,12.35,12.49,12.24,12.25,422975
2021-05-03,12.44,12.44,12.21,12.27,249285
2021-05-04,12.24,12.39,12.08,12.38,421824
2021-05-05,12.35,12.56,12.25,12.45,121210
2021-05-06,12.5,12.58,12.34,12.58,144309
2021-05-07,12.33,12.66,12.28,12.64,205297
2021-05-10,12.78,12.84,12.61,12.62,420188
2021-05-11,12.56,12.8,12.5,12.53,451435
2021-05-12,12.66,12.76,12.14,12.19,144163
2021-05-13,12.14,12.52,12.12,12.42,611943
2021-05-14,12.52,12.71,12.49,12.69,341903
2021-05-17,12.64,12.78,12.58,12.74,306369
2021-05-18,12.76,12.87,12.57,12.58,457308
2021-05-19,12.46,12.52,12.23,12.51,570113
2021-05-20,12.44,12.49,12.28,12.41,294592
2021-05-21,12.47,12.65,12.46,12.6,468949
2021-05-24,12.61,12.64,12.48,12.52,401343
2021-05-25,12.54,12.69,12.28,12.3,354440
2021-05-26,12.36,12.44,12.28,12.39,612452
2021-05-27,12.52,12.68,12.52,12.66,1187962
2021-05-28,12.61,12.74,12.48,12.69,295990
2021-06-01,12.79,12.96,12.78,12.87,399125
2021-06-02,12.89,12.9,12.68,12.71,370876
2021-06-03,12.72,12.77,12.61,12.67,528156
2021-06-04,12.67,12.67,12.31,12.51,317427
2021-06-07,12.57,12.6,12.4,12.48,881500
2021-06-08,12.38,12.38,12.04,12.14,1352821
2021-06-09,12.09,12.16,11.96,12.01,770880
2021-06-10,12.15,12.16,11.57,11.59,706044
2021-06-11,11.66,11.74,11.57,11.59,982914
2021-06-14,11.62,11.68,11.43,11.51,790766
2021-06-15,11.54,11.66,11.41,11.58,595256
2021-06-16,11.5,11.71,11.32,11.61,526600
2021-06-17,11.71,11.72,10.93,10.94,1372926
2021-06-18,10.71,10.8,10.53,10.73,754378
2021-06-21,10.85,11.09,10.76,11.07,502721
2021-06-22,11.08,11.1,10.89,11.07,348100
2021-06-23,11.21,11.35,11.19,11.22,514385
2021-06-24,11.29,11.54,11.2,11.5,531088
2021-06-25,11.54,11.84,11.51,11.83,444635
2021-06-28,11.75,11.75,11.47,11.59,344319
2021-06-29,11.68,11.77,11.47,11.55,305585
2021-06-30,11.53,11.6,11.42,11.55,253638
2021-07-01,11.65,11.71,11.53,11.68,215543
2021-07-02,11.66,11.68,11.54,11.61,115625
2021-07-06,11.63,11.63,11.22,11.29,235850
2021-07-07,11.17,11.38,11.15,11.26,296940
2021-07-08,11.08,11.24,10.91,11.07,296098
2021-07-09,11.34,11.55,11.26,11.53,433821
2021-07-12,11.38,11.72,11.26,11.69,300152
2021-07-13,11.61,11.66,11.37,11.46,353323
2021-07-14,11.45,11.59,11.21,11.39,149215
2021-07-15,11.26,11.57,11.2,11.53,190974
2021-07-16,11.58,11.58,11.17,11.19,159795
2021-07-19,10.9,10.98,10.63,10.7,350227
2021-07-20,10.74,11.24,10.59,11.11,326050
2021-07-21,11.22,11.47,11.22,11.36,179984
2021-07-22,11.24,11.36,11.07,11.12,149089
2021-07-23,11.27,11.36,11.13,11.17,120915
2021-07-26,11.18,11.38,11.17,11.26,124078
2021-07-27,11.12,11.32,11.01,11.26,184809
2021-07-28,11.35,11.43,11.15,11.32,211320
2021-07-29,11.44,11.72,11.33,11.62,533860
2021-07-30,11.61,11.61,11.28,11.39,472629
2021-08-02,11.45,11.7,11.32,11.32,695508
2021-08-03,11.44,11.73,11.17,11.7,483261
2021-08-04,11.54,11.71,11.45,11.53,301322
2021-08-05,11.7,11.77,11.56,11.67,707828
2021-08-06,11.79,12.05,11.79,11.92,213157
2021-08-09,11.86,12.0,11.71,11.85,283517
2021-08-10,11.79,12.05,11.76,12.02,362357
2021-08-11,12.08,12.34,11.97,12.33,348878
2021-08-12,12.31,12.42,12.2,12.4,573489
2021-08-13,12.41,12.44,12.23,12.26,205469
2021-08-16,12.13,12.2,12.0,12.09,305865
2021-08-17,12.0,12.1,11.79,11.98,255010
2021-08-18,11.93,12.14,11.85,11.89,589356
2021-08-19,11.82,11.91,11.68,11.82,396711
2021-08-20,11.77,11.96,11.75,11.94,242512
2021-08-23,12.02,12.2,12.02,12.16,383954
2021-08-24,12.16,12.41,12.16,12.37,430618
2021-08-25,12.5,12.77,12.39,12.66,251201
2021-08-26,12.67,12.71,12.41,12.45,505358
2021-08-27,12.49,12.7,12.47,12.66,237452
2021-08-30,12.67,12.69,12.42,12.42,252126
2021-08-31,12.48,12.62,12.4,12.57,211962
2021-09-01,12.58,12.61,12.33,12.39,325060
2021-09-02,12.36,12.53,12.34,12.42,406786
2021-09-03,12.46,12.46,12.26,12.34,364497
2021-09-07,12.4,12.59,12.36,12.38,167061
2021-09-08,12.38,12.44,12.25,12.34,153490
2021-09-09,12.31,12.57,12.27,12.41,241174
2021-09-10,12.48,12.5,12.33,12.4,283110
2021-09-13,12.6,12.68,12.36,12.49,456231
2021-09-14,12.47,12.53,12.08,12.16,409922
2021-09-15,12.18,12.42,12.17,12.27,343167
2021-09-16,12.33,12.41,12.19,12.3,396727
2021-09-17,12.26,12.34,12.12,12.22,497785
2021-09-20,11.93,11.93,11.57,11.78,420322
2021-09-21,11.81,11.86,11.6,11.65,215371
2021-09-22,11.78,11.99,11.78,11.84,395950
2021-09-23,12.02,12.46,11.99,12.34,337459
2021-09-24,12.26,12.55,12.26,12.41,250436
2021-09-27,12.58,12.98,12.56,12.9,219156
2021-09-28,12.98,13.03,12.75,12.79,201428
2021-09-29,12.83,12.84,12.71,12.79,380547
2021-09-30,12.82,12.83,12.61,12.63,290578
2021-10-01,12.7,13.06,12.65,12.96,370578
2021-10-04,12.99,13.19,12.94,12.96,248202
2021-10-05,13.03,13.21,12.96,13.11,346465
2021-10-06,12.94,13.05,12.72,13.0,224195
2021-10-07,13.14,13.23,12.99,13.04,375998
2021-10-08,13.05,13.19,12.99,13.08,470404
2021-10-11,13.17,13.25,12.91,12.91,348952
2021-10-12,12.91,12.91,12.74,12.9,150167
2021-10-13,12.83,12.92,12.57,12.87,404502
2021-10-14,13.03,13.14,12.9,13.14,284192
2021-10-15,13.26,13.28,13.05,13.17,286026
2021-10-18,13.18,13.38,13.12,13.23,382585
2021-10-19,13.29,13.35,13.15,13.35,311196
2021-10-20,13.32,13.66,13.26,13.64,349852
2021-10-21,13.63,13.68,13.38,13.47,110867
2021-10-22,13.54,13.72,13.54,13.63,155303
2021-10-25,13.68,13.68,13.53,13.6,168438
2021-10-26,13.62,13.63,13.44,13.46,138138
2021-10-27,13.32,13.42,13.05,13.05,381949
2021-10-28,13.08,13.15,12.91,13.0,343284
2021-10-29,12.98,13.04,12.74,12.85,204935
2021-11-01,12.97,13.07,12.91,13.03,284579
2021-11-02,12.97,12.99,12.84,12.92,193205
2021-11-03,12.79,13.31,12.79,13.24,275157
2021-11-04,13.22,13.22,12.76,12.87,255044
2021-11-05,13.07,13.16,12.83,12.94,176324
2021-11-08,13.02,13.08,12.94,13.02,152554
2021-11-09,12.92,13.03,12.88,12.96,205702
2021-11-10,13.01,13.13,12.96,12.99,254865
2021-11-11,12.99,13.38,12.98,13.3,341513
2021-11-12,13.27,13.34,13.14,13.28,276171
2021-11-15,13.27,13.5,13.25,13.46,242760
2021-11-16,13.46,13.58,13.37,13.47,194313
2021-11-17,13.34,13.4,13.19,13.32,318111
2021-11-18,13.32,13.37,13.15,13.2,320376
2021-11-19,12.98,13.18,12.85,13.1,395874
2021-11-22,13.32,13.39,13.13,13.23,208448
2021-11-23,13.35,13.42,13.25,13.41,371027
2021-11-24,13.39,13.5,13.28,13.35,106152
2021-11-26,12.91,12.92,12.45,12.57,278863
2021-11-29,12.74,12.86,12.44,12.55,405155
2021-11-30,12.36,12.42,12.1,12.12,307412
2021-12-01,12.43,12.6,11.98,11.99,449733
2021-12-02,12.18,12.49,12.05,12.44,357909
2021-12-03,12.41,12.45,12.07,12.21,601177
2021-12-06,12.38,12.65,12.28,12.46,209999
2021-12-07,12.54,12.72,12.48,12.65,287701
2021-12-08,12.7,12.7,12.54,12.59,171038
2021-12-09,12.5,12.73,12.45,12.61,198083
2021-12-10,12.67,12.67,12.4,12.48,177220
2021-12-13,12.45,12.45,12.13,12.19,238243
2021-12-14,12.25,12.5,12.21,12.43,605786
2021-12-15,12.53,12.69,12.31,12.57,399128
2021-12-16,12.78,12.94,12.61,12.69,553950
2021-12-17,12.66,12.66,12.18,12.27,371431
2021-12-20,12.19,12.19,11.76,12.01,254640
2021-12-21,12.15,12.47,12.15,12.43,195813
2021-12-22,12.4,12.53,12.33,12.47,192958
2021-12-23,12.59,12.74,12.57,12.59,166754
2021-12-27,12.61,12.71,12.48,12.71,90819
2021-12-28,12.66,12.79,12.63,12.73,78521
2021-12-29,12.75,12.82,12.66,12.73,103799
2021-12-30,12.73,12.9,12.72,12.73,113570
2021-12-31,12.73,12.79,12.68,12.72,105644
2022-01-03,12.79,13.19,12.79,13.03,239443
2022-01-04,13.18,13.62,13.18,13.53,202669
2022-01-05,13.62,13.78,13.55,13.56,310060
2022-01-06,13.79,14.08,13.7,14.05,259165
2022-01-07,14.07,14.31,14.0,14.22,252241
2022-01-10,14.35,14.41,13.91,14.05,964167
2022-01-11,14.06,14.07,13.84,14.03,495495
2022-01-12,14.04,14.15,13.96,14.11,481005
2022-01-13,14.19,14.39,14.15,14.29,504416
2022-01-14,14.12,14.56,14.04,14.56,635965
2022-01-18,14.56,14.68,14.29,14.42,711586
2022-01-19,14.4,14.48,14.1,14.12,651004
2022-01-20,14.08,14.29,13.72,13.75,935386
2022-01-21,13.11,13.15,12.31,12.53,1909021
2022-01-24,12.45,12.94,12.17,12.9,838415
2022-01-25,12.78,12.96,12.39,12.81,627213
2022-01-26,12.98,13.01,12.52,12.74,734437
2022-01-27,12.94,13.0,12.36,12.42,744204
2022-01-28,12.4,12.54,12.19,12.54,533441
2022-01-31,12.31,12.55,12.15,12.43,438340
2022-02-01,12.45,12.88,12.37,12.83,456438
2022-02-02,12.76,13.08,12.7,13.04,646303
2022-02-03,13.04,13.2,12.84,12.85,277520
2022-02-04,12.88,13.18,12.87,13.07,261385
2022-02-07,13.1,13.2,12.95,13.07,321730
2022-02-08,13.22,13.48,13.15,13.45,518724
2022-02-09,13.46,13.51,13.31,13.32,281593
2022-02-10,13.36,13.62,13.19,13.25,402214
2022-02-11,13.11,13.44,13.04,13.13,282242
2022-02-14,13.19,13.25,12.85,12.97,241293
2022-02-15,13.15,13.41,13.15,13.39,135337
2022-02-16,13.27,13.53,13.27,13.36,162902
2022-02-17,13.22,13.31,13.05,13.11,389539
2022-02-18,13.06,13.2,13.04,13.08,387931
2022-02-22,13.0,13.18,12.93,13.07,251192
2022-02-23,13.12,13.23,12.6,12.63,228599
2022-02-24,12.09,12.37,11.87,12.34,654483
2022-02-25,12.4,12.94,12.4,12.84,712057
2022-02-28,12.46,12.83,12.46,12.81,549087
2022-03-01,12.61,12.67,11.66,11.88,748801
2022-03-02,12.02,12.52,12.02,12.44,494922
2022-03-03,12.53,12.53,12.24,12.44,247013
2022-03-04,12.14,12.24,11.97,12.19,457467
2022-03-07,12.06,12.13,11.62,11.63,745491
2022-03-08,11.85,12.09,11.54,11.7,572544
2022-03-09,12.1,12.27,12.01,12.13,486223
2022-03-10,11.96,12.12,11.88,12.06,529736
2022-03-11,12.17,12.4,12.12,12.14,638482
2022-03-14,12.43,12.62,12.28,12.41,367793
2022-03-15,12.49,12.58,12.17,12.36,215115
