date,open,high,low,close,volume
2020-07-27,119.56,119.87,118.04,119.66,76921
2020-07-28,120.33,120.86,118.0,118.37,128035
2020-07-29,119.66,124.83,119.66,123.97,84167
2020-07-30,121.96,122.65,120.04,122.28,58979
2020-07-31,121.89,121.89,118.84,120.93,65460
2020-08-03,120.98,120.99,119.52,120.17,36034
2020-08-04,119.83,122.94,118.95,122.59,166353
2020-08-05,123.51,125.64,123.51,124.49,123111
2020-08-06,125.05,126.91,124.63,126.28,99168
2020-08-07,126.11,126.8,122.83,124.31,64173
2020-08-10,125.54,126.95,125.07,126.52,60282
2020-08-11,128.24,128.65,125.09,125.63,41539
2020-08-12,126.8,126.8,124.61,126.23,50594
2020-08-13,124.94,125.21,123.96,124.76,20746
2020-08-14,124.65,128.77,124.28,128.37,65130
2020-08-17,127.92,129.27,127.34,128.22,44604
2020-08-18,128.5,128.5,126.61,127.81,25538
2020-08-19,127.92,129.29,126.32,127.05,50099
2020-08-20,125.96,127.59,124.28,125.18,122175
2020-08-21,125.98,126.9,124.5,126.54,59095
2020-08-24,127.26,128.93,126.49,128.19,34468
2020-08-25,128.53,128.53,125.86,128.09,51578
2020-08-26,127.56,127.56,124.02,125.57,25721
2020-08-27,126.57,131.72,126.12,128.38,95315
2020-08-28,128.1,129.86,126.49,129.82,32393
2020-08-31,129.74,131.45,128.94,129.76,47013
2020-09-01,127.43,128.49,126.81,128.06,67280
2020-09-02,128.47,133.12,127.1,131.95,87257
2020-09-03,132.35,132.94,128.22,130.54,98033
2020-09-04,131.2,132.69,128.85,130.89,49783
2020-09-08,129.58,129.58,126.43,126.55,69391
2020-09-09,127.7,129.13,126.83,127.87,41803
2020-09-10,129.01,130.2,128.07,128.66,53801
2020-09-11,128.63,128.85,126.33,127.92,34364
2020-09-14,128.68,130.08,127.83,129.54,86890
2020-09-15,130.44,132.45,128.81,129.66,37665
2020-09-16,130.58,132.82,130.58,131.75,55090
2020-09-17,130.27,131.6,128.25,130.86,41298
2020-09-18,130.38,130.63,126.21,126.43,49561
2020-09-21,118.54,119.79,113.79,119.76,141222
2020-09-22,119.57,119.8,114.19,115.21,109643
