date,open,high,low,close,volume
2020-07-27,231.2,233.75,231.2,232.73,71007
2020-07-28,233.6,233.94,230.4,230.55,78025
2020-07-29,230.91,232.41,229.88,230.29,94990
2020-07-30,228.93,232.58,227.77,231.67,70631
2020-07-31,230.82,231.98,227.05,231.06,103325
2020-08-03,231.95,233.52,231.38,231.67,53503
2020-08-04,231.96,232.99,229.81,232.94,41705
2020-08-05,233.19,233.42,231.39,232.77,59370
2020-08-06,232.32,235.31,232.15,234.4,83332
2020-08-07,235.51,239.15,234.96,236.34,121615
2020-08-10,236.99,239.24,236.49,239.08,45325
2020-08-11,241.79,242.98,238.93,239.32,74327
2020-08-12,242.95,246.18,241.2,245.06,84840
2020-08-13,244.51,245.78,243.55,245.09,38721
2020-08-14,244.92,245.36,242.93,244.04,64209
2020-08-17,247.54,251.64,246.79,250.88,119703
2020-08-18,251.37,252.68,246.64,247.96,137989
2020-08-19,249.72,250.5,245.36,246.16,122330
2020-08-20,244.23,245.16,243.46,244.28,90031
2020-08-21,243.66,246.63,242.3,246.46,272107
2020-08-24,247.59,249.53,245.43,249.53,99897
2020-08-25,249.93,250.09,247.04,248.9,47723
2020-08-26,250.04,254.15,249.1,254.03,96415
2020-08-27,254.24,254.8,249.46,251.26,51521
2020-08-28,251.03,251.05,247.93,249.12,52418
2020-08-31,249.07,249.16,246.3,247.92,60320
2020-09-01,247.42,249.4,246.8,248.87,59716
2020-09-02,249.68,251.88,248.25,251.18,93778
2020-09-03,250.84,251.14,238.13,240.29,101772
2020-09-04,240.91,241.75,231.7,236.02,106555
2020-09-08,234.13,237.02,229.95,235.44,107007
2020-09-09,238.05,244.62,238.02,242.29,170545
2020-09-10,243.48,245.69,237.24,238.49,68528
2020-09-11,239.71,243.06,239.37,241.68,47532
2020-09-14,243.56,246.93,243.56,245.37,96584
2020-09-15,248.16,250.73,247.05,249.91,310810
2020-09-16,250.0,250.47,245.53,246.38,180807
2020-09-17,243.56,247.22,242.25,244.84,103706
2020-09-18,243.24,244.59,236.94,240.77,61001
2020-09-21,237.63,238.39,233.21,238.21,68700
2020-09-22,238.11,239.22,236.85,239.11,124078
2020-09-23,240.82,241.46,231.63,233.13,181689
2020-09-24,232.5,235.82,231.12,232.43,129076
2020-09-25,231.28,236.22,231.26,234.83,70438
2020-09-28,237.69,239.75,236.54,238.1,67068
2020-09-29,238.97,239.44,237.25,238.01,69929
2020-09-30,239.02,244.76,238.43,242.95,95534
2020-10-01,244.44,244.78,241.46,242.9,151138
2020-10-02,240.01,245.81,240.01,244.13,84625
2020-10-05,245.12,247.03,244.66,246.63,104926
2020-10-06,247.13,247.4,241.24,241.92,150350
2020-10-07,245.65,248.37,244.91,247.59,154870
2020-10-08,248.17,249.21,245.99,248.98,142868
2020-10-09,249.94,251.27,248.49,250.08,103790
2020-10-12,251.35,252.11,250.21,251.05,136956
2020-10-13,249.98,254.33,249.96,253.99,143093
2020-10-14,253.54,253.74,249.42,250.96,133172
2020-10-15,248.5,253.45,247.73,251.41,187174
2020-10-16,252.35,255.95,251.26,251.68,153944
2020-10-19,253.37,253.75,247.87,248.18,95106
2020-10-20,249.63,253.4,248.52,250.19,100324
2020-10-21,249.82,251.86,247.78,248.76,113060
2020-10-22,248.41,249.7,245.48,245.86,131454
2020-10-23,246.96,247.62,244.67,247.4,88902
2020-10-26,244.91,246.15,237.99,241.27,117105
2020-10-27,242.23,244.53,241.6,242.22,131951
2020-10-28,236.39,239.26,235.03,235.92,142001
2020-10-29,235.92,239.37,233.99,235.89,176199
2020-10-30,235.01,235.71,229.29,233.24,136292
2020-11-02,236.35,240.3,234.97,236.84,137756
2020-11-03,240.11,244.48,239.52,242.63,118896
2020-11-04,242.28,250.96,242.2,247.22,144219
2020-11-05,252.24,252.74,248.58,250.27,119914
2020-11-06,249.68,250.68,247.42,248.22,213695
2020-11-09,251.91,252.27,236.02,236.12,424381
2020-11-10,238.6,241.13,235.51,241.04,216974
2020-11-11,242.11,246.39,241.6,242.92,146961
2020-11-12,245.64,246.19,239.59,241.59,207112
2020-11-13,242.05,244.61,240.77,242.4,173960
2020-11-16,243.98,245.98,241.78,244.58,254867
2020-11-17,238.01,238.83,235.71,238.38,507606
2020-11-18,237.12,240.67,235.46,236.1,248647
2020-11-19,236.51,238.2,235.07,237.03,174361
2020-11-20,237.44,238.18,235.21,236.07,165865
2020-11-23,236.3,239.36,235.84,237.39,118093
2020-11-24,239.24,240.97,238.41,239.02,210015
2020-11-25,239.29,240.09,237.25,239.72,142186
2020-11-27,240.54,241.87,240.26,241.53,44479
2020-11-30,240.94,242.95,237.92,242.94,162006
2020-12-01,243.57,243.93,241.1,241.96,101968
2020-12-02,240.84,240.85,237.12,238.45,190925
2020-12-03,238.06,239.14,234.95,235.82,198121
2020-12-04,235.51,236.2,231.14,232.19,587225
2020-12-07,231.5,232.55,229.55,230.94,268485
2020-12-08,230.42,230.78,227.57,230.18,178507
2020-12-09,232.54,233.72,230.72,233.44,138914
2020-12-10,232.36,233.94,230.65,232.81,140932
2020-12-11,232.04,233.37,231.02,232.54,182585
2020-12-14,233.94,236.18,233.39,233.57,130449
2020-12-15,235.46,236.33,234.11,235.59,125097
2020-12-16,236.47,237.99,235.3,237.13,138991
2020-12-17,239.37,241.22,238.67,240.93,116796
2020-12-18,241.18,242.32,238.16,238.3,165696
2020-12-21,236.33,239.13,233.98,238.3,115397
2020-12-22,237.95,238.62,236.17,237.37,63313
2020-12-23,237.8,238.25,235.88,237.3,76531
2020-12-24,237.07,238.63,237.07,238.58,43265
2020-12-28,239.24,239.24,236.78,236.78,81471
2020-12-29,237.48,237.79,233.17,233.99,73380
2020-12-30,233.95,235.05,233.01,233.25,70512
2020-12-31,233.38,233.8,231.84,233.8,76934
2021-01-04,233.94,234.12,229.71,232.12,146016
2021-01-05,231.03,234.37,230.74,234.02,159552
2021-01-06,232.18,237.22,230.64,235.41,141623
2021-01-07,234.55,236.33,234.15,234.15,150240
2021-01-08,235.17,238.08,234.94,236.67,182077
2021-01-11,235.46,240.35,235.4,238.69,119252
2021-01-12,238.38,244.41,238.14,242.97,171283
2021-01-13,244.69,246.62,240.95,240.95,157398
2021-01-14,241.54,241.54,235.44,235.68,199604
2021-01-15,235.84,243.04,235.84,242.47,258015
2021-01-19,244.35,244.48,240.12,240.31,198812
2021-01-20,240.27,243.78,238.8,241.39,107680
2021-01-21,242.44,246.84,242.44,245.3,310168
2021-01-22,245.74,250.71,244.4,249.83,147626
2021-01-25,249.73,251.23,247.59,250.69,134389
2021-01-26,250.91,251.15,247.76,248.52,121604
2021-01-27,246.02,246.8,240.23,240.77,196670
2021-01-28,242.11,248.83,241.79,244.38,174638
2021-01-29,242.48,243.46,237.55,238.12,136915
2021-02-01,238.85,239.52,235.12,237.64,137367
2021-02-02,238.09,242.37,237.87,239.18,190935
2021-02-03,239.0,242.46,238.11,241.17,115220
2021-02-04,241.59,245.72,241.31,245.26,178392
2021-02-05,246.69,247.57,244.34,245.22,115279
2021-02-08,245.32,246.42,243.56,246.17,125188
2021-02-09,245.73,246.41,243.34,243.34,102231
2021-02-10,244.43,245.25,242.97,244.87,100471
2021-02-11,244.4,246.37,242.75,243.7,102253
2021-02-12,243.69,245.07,243.24,244.09,74628
2021-02-16,243.57,244.93,241.81,242.32,108950
2021-02-17,242.5,247.76,242.5,247.0,124889
2021-02-18,246.87,250.29,246.16,248.75,142737
2021-02-19,248.65,249.64,245.76,245.86,134496
2021-02-22,244.72,244.76,240.65,242.44,190090
2021-02-23,235.69,236.66,226.6,235.07,679056
2021-02-24,234.13,234.37,223.42,228.63,617050
2021-02-25,228.6,229.33,224.09,224.55,442737
2021-02-26,226.61,228.86,225.32,227.33,295446
2021-03-01,227.86,230.79,227.46,230.13,180366
2021-03-02,230.26,231.3,228.61,228.86,200910
2021-03-03,227.27,229.0,225.18,226.43,199315
2021-03-04,225.43,225.86,217.35,220.54,297357
2021-03-05,221.85,223.53,217.07,222.96,249633
2021-03-08,223.16,231.46,222.44,227.7,173963
2021-03-09,230.88,235.3,230.29,232.99,348054
2021-03-10,234.95,237.82,233.75,235.6,137428
2021-03-11,237.36,239.59,236.54,237.93,178841
2021-03-12,236.65,242.29,236.31,241.54,214623
2021-03-15,242.91,247.47,242.83,246.62,255888
2021-03-16,246.68,250.01,245.81,249.68,265390
2021-03-17,249.19,251.16,247.17,247.71,262468
2021-03-18,247.48,252.59,245.82,250.61,262083
2021-03-19,251.11,255.66,249.99,255.31,329626
2021-03-22,253.86,256.9,251.55,255.7,212953
2021-03-23,256.06,259.52,256.06,256.45,213439
2021-03-24,255.91,262.54,255.91,259.21,200048
2021-03-25,259.2,263.55,258.86,263.42,174003
2021-03-26,263.34,269.0,262.19,268.91,195962
2021-03-29,268.33,270.36,265.5,267.21,158774
2021-03-30,267.0,270.52,265.73,269.79,228934
2021-03-31,270.22,272.57,269.68,270.36,138167
2021-04-01,271.56,273.04,268.95,272.27,156172
2021-04-05,274.28,279.43,274.2,279.09,263194
2021-04-06,277.59,279.56,277.13,277.72,173530
2021-04-07,277.02,278.7,275.22,276.43,230590
2021-04-08,276.98,278.97,274.96,278.28,154836
2021-04-09,279.06,282.48,278.65,282.44,155208
2021-04-12,281.26,284.32,280.96,283.86,143705
2021-04-13,283.58,283.98,280.76,283.48,105860
2021-04-14,282.78,285.53,282.6,283.11,189005
2021-04-15,283.53,286.14,283.26,285.58,125831
2021-04-16,287.03,290.81,286.81,290.34,155116
2021-04-20,288.71,289.89,285.17,286.64,190594
2021-04-21,287.69,290.15,286.65,288.38,178110
2021-04-22,288.69,288.72,282.27,284.31,174880
2021-04-23,285.36,288.05,282.82,286.58,228514
2021-04-26,286.54,286.67,282.6,283.24,217930
2021-04-27,283.86,285.31,283.68,283.72,186088
2021-04-28,284.49,285.79,282.6,282.89,174100
2021-04-29,284.51,288.27,284.29,287.9,186388
2021-04-30,287.47,288.16,284.67,286.25,148178
2021-05-03,288.5,293.34,288.35,292.21,89396
2021-05-04,291.48,294.71,291.05,294.56,132708
2021-05-05,295.88,296.9,293.03,293.77,187258
2021-05-06,295.16,298.93,295.06,298.86,117943
2021-05-07,297.88,300.71,297.11,300.27,129463
2021-05-10,301.26,305.91,300.62,301.96,260438
2021-05-11,298.66,298.98,290.57,292.56,260486
2021-05-12,290.03,290.5,279.93,280.72,196924
2021-05-13,282.08,289.75,282.08,287.9,261753
2021-05-14,289.23,289.36,284.98,286.53,169213
2021-05-17,283.82,285.32,279.16,283.15,151309
2021-05-18,283.93,287.15,278.65,280.33,246327
2021-05-19,276.6,278.39,273.52,278.33,192219
2021-05-20,279.01,282.86,278.67,279.5,146566
2021-05-21,281.25,282.36,278.29,279.49,179208
2021-05-24,281.05,282.0,278.41,278.56,91051
2021-05-25,279.28,280.6,278.18,280.3,116963
2021-05-26,281.1,284.23,280.29,280.83,109559
2021-05-27,281.04,283.53,281.03,282.01,98680
2021-05-28,283.75,284.43,282.2,282.23,91936
2021-06-01,283.75,284.21,278.97,279.92,126731
2021-06-02,280.71,281.77,277.97,278.67,68756
2021-06-03,276.92,278.26,275.54,276.97,89914
2021-06-04,278.1,278.82,275.28,276.7,110340
2021-06-07,276.75,277.7,273.93,275.71,144008
2021-06-08,276.66,277.8,274.91,276.57,148553
2021-06-09,277.89,277.89,273.08,273.38,190788
2021-06-10,274.22,275.36,272.36,274.15,167119
2021-06-11,275.19,276.8,274.42,276.44,101127
2021-06-14,275.54,275.78,272.44,275.12,141040
2021-06-15,274.65,274.74,269.99,272.44,322698
2021-06-16,272.68,273.38,267.94,269.34,204882
2021-06-17,269.76,271.49,266.93,269.6,202875
2021-06-18,266.17,270.01,265.49,269.25,245957
2021-06-21,271.55,274.61,271.29,273.62,129698
2021-06-22,275.29,280.08,274.27,278.14,151883
2021-06-23,278.2,278.99,276.37,277.16,109589
2021-06-24,278.93,280.0,277.28,277.4,125301
2021-06-25,277.78,280.57,277.29,279.1,183671
2021-06-28,278.73,280.39,277.08,279.69,141301
2021-06-29,280.87,284.73,280.87,283.1,137740
2021-06-30,282.93,284.82,282.68,283.62,133051
2021-07-01,284.47,286.11,283.45,286.11,110055
2021-07-02,286.95,287.45,285.89,287.05,93529
2021-07-06,287.36,288.02,281.91,284.03,109548
2021-07-07,283.72,288.56,283.34,287.69,106130
2021-07-08,283.84,284.91,280.16,283.19,160742
2021-07-09,285.46,287.56,284.97,286.43,104341
2021-07-12,286.17,288.12,285.27,286.18,122772
2021-07-13,287.19,287.56,281.85,281.99,120997
2021-07-14,283.27,284.72,282.97,284.07,118249
2021-07-15,282.84,287.28,282.71,286.97,106262
2021-07-16,288.35,290.22,285.95,286.03,191078
2021-07-19,282.67,283.61,280.27,283.61,150940
2021-07-20,283.36,290.06,283.34,289.56,174547
2021-07-21,292.02,292.02,289.15,290.14,98692
2021-07-22,291.63,291.63,289.54,290.56,91928
2021-07-23,293.1,296.58,291.74,296.09,73555
2021-07-26,293.99,294.89,290.87,294.64,115326
2021-07-27,294.71,294.71,290.18,291.15,110263
2021-07-28,290.34,292.97,289.0,289.61,82241
2021-07-29,290.62,292.08,289.54,291.29,92613
2021-07-30,290.61,293.65,290.53,291.91,140581
2021-08-02,293.56,293.56,290.47,290.96,55246
2021-08-03,292.55,296.19,291.83,295.4,130835
2021-08-04,294.23,295.2,293.23,293.84,70516
2021-08-05,296.02,298.81,294.77,296.2,79736
2021-08-06,297.41,298.59,292.91,293.38,88249
2021-08-09,293.68,294.44,291.23,292.36,75152
2021-08-10,291.95,296.42,291.03,294.84,82245
2021-08-11,296.66,301.17,296.66,299.55,111204
2021-08-12,299.64,300.69,295.6,297.18,100725
2021-08-13,297.0,298.42,294.46,294.47,94888
2021-08-16,294.25,298.56,291.76,298.18,130856
2021-08-17,285.62,287.86,281.69,285.3,353714
2021-08-18,284.09,291.66,283.89,286.04,258247
2021-08-19,283.96,289.24,283.82,287.36,139583
2021-08-20,288.0,293.26,287.59,292.99,100000
2021-08-23,293.58,293.96,291.25,291.59,125262
2021-08-24,292.34,292.34,288.81,289.05,81890
2021-08-25,288.66,290.41,287.61,288.12,78333
2021-08-26,287.9,288.81,285.61,285.98,105272
2021-08-27,285.35,288.27,284.38,287.76,91114
2021-08-30,289.92,293.04,289.58,290.95,99018
2021-08-31,291.09,291.7,288.02,290.11,89069
2021-09-01,291.28,291.28,286.45,289.33,255726
2021-09-02,290.81,293.39,289.57,292.94,240959
2021-09-03,291.49,295.87,291.09,295.41,185241
2021-09-07,296.3,297.28,292.4,294.23,140790
2021-09-08,294.05,296.66,293.03,296.42,103112
2021-09-09,297.02,298.35,296.03,296.77,130324
2021-09-10,298.41,299.65,296.38,296.79,285802
2021-09-13,299.28,301.33,297.56,300.0,208130
2021-09-14,300.65,301.69,297.31,297.84,120318
2021-09-15,298.0,299.24,295.16,298.02,157414
2021-09-16,299.14,302.04,298.85,300.71,123342
2021-09-17,299.93,303.48,299.93,300.18,143653
2021-09-20,296.05,299.84,293.73,295.99,240200
2021-09-21,297.65,301.12,297.1,298.86,137377
2021-09-22,300.0,302.99,298.31,300.22,125666
2021-09-23,301.54,303.51,300.22,300.25,94266
2021-09-24,300.8,302.03,300.27,301.79,69943
2021-09-27,301.71,307.26,301.37,305.26,76147
2021-09-28,304.46,304.46,297.33,298.41,93963
2021-09-29,298.53,302.97,298.53,301.27,122235
2021-09-30,302.42,302.85,293.06,293.53,206411
2021-10-01,293.83,297.46,290.48,294.67,108716
2021-10-04,293.75,295.46,289.93,291.96,145596
2021-10-05,292.49,297.0,291.9,294.55,98191
2021-10-06,292.6,295.62,291.06,295.34,86289
2021-10-07,298.92,303.3,298.92,301.63,83962
2021-10-08,297.93,299.89,296.0,298.91,106460
2021-10-11,300.02,304.74,300.02,301.23,165452
2021-10-12,302.77,304.94,301.79,302.21,86695
2021-10-13,301.78,304.13,301.01,302.45,81811
2021-10-14,304.57,307.81,304.15,307.62,111196
2021-10-15,310.06,313.78,309.14,313.34,139963
2021-10-18,312.52,318.23,312.42,317.49,116880
2021-10-19,319.17,320.18,317.3,319.99,65275
2021-10-20,320.45,321.38,318.51,320.27,81619
2021-10-21,320.74,326.15,320.51,326.0,112648
2021-10-22,326.65,328.16,323.94,327.21,149273
2021-10-26,334.4,334.4,330.1,330.1,96717
2021-10-27,330.86,335.24,330.63,332.87,87501
2021-10-28,333.9,334.08,331.64,332.28,136231
2021-10-29,330.88,335.33,330.88,332.42,78293
2021-11-01,333.7,333.72,326.11,327.77,164989
2021-11-02,327.38,329.79,327.05,328.0,160433
2021-11-03,328.52,330.24,326.63,329.78,115125
2021-11-04,331.1,333.6,330.43,332.94,148066
2021-11-05,334.23,334.72,328.72,329.43,120868
2021-11-08,330.84,333.43,328.97,329.46,111565
2021-11-09,330.5,334.14,329.67,331.51,110733
2021-11-10,329.58,331.79,328.88,329.54,144939
2021-11-11,331.6,332.6,327.21,328.64,85234
2021-11-12,329.36,333.96,327.98,333.14,84985
2021-11-15,334.85,334.85,330.22,331.86,149645
2021-11-16,341.15,352.51,339.21,350.99,351699
2021-11-17,350.96,356.92,349.57,353.2,195894
2021-11-18,355.82,363.35,354.27,362.94,157563
2021-11-19,364.47,366.61,361.59,365.59,109332
2021-11-22,366.27,372.35,365.47,365.47,143755
2021-11-23,362.65,366.12,360.67,365.32,161712
2021-11-24,360.38,369.04,360.33,368.43,94665
2021-11-26,364.06,369.86,359.71,360.53,105676
2021-11-29,364.53,367.29,363.1,363.88,168607
2021-11-30,361.11,365.04,357.96,358.47,184470
2021-12-01,361.44,368.27,359.43,359.44,139294
2021-12-02,360.75,368.71,360.22,366.16,103374
2021-12-03,368.26,372.79,363.23,365.96,183466
2021-12-06,371.19,377.31,370.19,373.3,180029
2021-12-07,375.26,375.45,371.04,373.71,178280
2021-12-08,373.23,376.52,366.61,369.27,158089
2021-12-09,368.49,372.81,366.87,369.1,170840
2021-12-10,370.42,373.06,368.34,373.0,116061
2021-12-13,372.25,373.81,363.18,363.72,209105
2021-12-14,362.2,363.79,357.45,361.16,213492
2021-12-15,359.72,366.12,358.63,365.9,286449
2021-12-16,366.92,366.92,357.49,358.64,244958
2021-12-17,357.31,357.31,347.89,348.27,227430
2021-12-20,345.66,350.24,342.17,349.73,152830
2021-12-21,352.02,352.61,344.11,350.67,120361
2021-12-22,351.45,355.27,349.21,355.18,95379
2021-12-23,357.68,358.91,354.37,356.44,94789
2021-12-27,358.37,363.12,357.81,362.83,69231
2021-12-28,363.46,365.32,361.99,364.8,96381
2021-12-29,365.31,370.15,365.26,368.85,84965
