date,open,high,low,close,volume
2020-07-27,35.91,36.29,35.5,35.98,46899
2020-07-28,36.01,36.06,35.52,35.54,53208
2020-07-29,35.65,36.57,35.27,36.49,74007
2020-07-30,35.57,35.89,35.06,35.64,60995
2020-07-31,37.08,37.53,35.9,37.26,165719
2020-08-03,37.1,37.72,36.82,36.98,36874
2020-08-04,36.83,36.83,35.66,35.73,71795
2020-08-05,36.12,37.25,36.07,37.02,88946
2020-08-06,36.47,37.38,36.44,36.6,42497
2020-08-07,36.38,37.71,36.18,37.67,57596
2020-08-10,38.07,38.53,37.75,38.42,48555
2020-08-11,39.42,40.14,38.53,38.56,149293
2020-08-12,39.04,39.11,37.23,37.74,134299
2020-08-13,36.93,37.39,36.59,37.39,120764
2020-08-14,37.1,38.0,37.07,37.68,22687
2020-08-17,37.39,37.39,36.74,36.79,44317
2020-08-18,36.94,36.94,36.27,36.35,44176
2020-08-19,36.29,36.9,35.86,35.89,19131
2020-08-20,35.44,35.82,35.41,35.54,47009
2020-08-21,35.34,35.56,35.0,35.07,32723
2020-08-24,35.04,36.86,35.04,36.36,83353
2020-08-25,37.02,37.28,36.45,36.56,104929
2020-08-26,36.36,36.36,35.41,35.63,73981
2020-08-27,36.12,37.54,36.12,36.51,77329
2020-08-28,36.91,36.91,36.24,36.55,49704
2020-08-31,36.1,36.15,35.54,35.96,31392
2020-09-01,35.58,36.41,35.48,36.41,28923
2020-09-02,36.17,36.98,35.73,36.9,49634
2020-09-03,37.84,38.17,36.13,36.41,24170
2020-09-04,37.24,37.24,36.02,36.34,44040
2020-09-08,35.76,35.85,34.77,35.04,49919
2020-09-09,35.2,35.77,34.88,35.0,35290
2020-09-10,35.22,35.37,34.32,34.5,95079
2020-09-11,34.41,34.51,33.9,34.3,41542
2020-09-14,34.58,35.09,34.5,34.5,37041
2020-09-15,34.34,34.55,33.24,33.3,159328
2020-09-16,33.37,34.16,33.1,33.83,210473
2020-09-17,33.05,33.74,33.01,33.38,188282
2020-09-18,33.32,33.86,33.01,33.04,46110
2020-09-21,32.31,32.69,31.59,32.14,31390
2020-09-22,32.02,32.51,31.41,31.79,34554
2020-09-23,31.91,32.39,31.28,31.28,58091
2020-09-24,31.15,31.87,30.81,31.43,40966
2020-09-25,31.01,31.89,31.01,31.77,52132
2020-09-28,32.68,33.15,32.44,32.68,56089
2020-09-29,32.47,32.53,31.61,32.47,43982
2020-09-30,32.8,33.05,32.38,32.73,59260
2020-10-01,32.9,32.98,32.22,32.64,112707
2020-10-02,32.06,33.56,32.06,33.32,121195
2020-10-05,34.27,35.15,34.27,34.77,228717
2020-10-06,35.07,35.16,33.62,33.67,161413
2020-10-07,34.02,34.49,33.62,33.66,115225
2020-10-08,34.07,34.92,33.8,34.89,179924
2020-10-09,34.95,34.96,34.18,34.28,130991
2020-10-12,34.09,34.78,34.09,34.61,51511
2020-10-13,34.38,34.4,33.38,33.51,63183
2020-10-14,33.53,34.19,33.19,33.2,60389
2020-10-15,32.81,33.78,32.79,33.55,75833
2020-10-16,33.67,34.09,33.32,33.44,75822
2020-10-19,33.58,33.89,32.94,32.97,71184
2020-10-20,33.37,34.3,33.36,34.06,108143
2020-10-21,33.9,36.09,33.81,35.86,215700
2020-10-22,34.5,35.57,33.75,35.48,255702
2020-10-23,35.71,36.26,35.34,36.02,86913
2020-10-26,35.4,35.43,34.17,34.6,111474
2020-10-27,34.6,34.69,33.22,33.36,129278
2020-10-28,32.65,33.52,32.53,33.13,129447
2020-10-29,32.72,34.45,32.62,34.34,217720
2020-10-30,33.71,35.21,33.71,34.15,202816
2020-11-02,34.8,35.02,34.1,34.9,139282
2020-11-03,35.47,35.8,35.02,35.07,276790
2020-11-04,34.31,34.87,33.62,33.91,151160
2020-11-05,34.38,35.88,34.3,35.44,171511
2020-11-06,35.56,35.92,34.89,34.95,104753
2020-11-09,38.99,41.11,38.78,39.8,269140
2020-11-10,40.02,41.02,39.85,40.64,111994
2020-11-11,40.25,40.32,39.62,40.09,81168
2020-11-12,39.65,40.18,39.17,39.68,145676
2020-11-13,39.97,40.65,39.71,40.12,161412
2020-11-16,41.65,41.71,40.69,41.07,83702
2020-11-17,41.02,41.52,40.16,41.2,102895
2020-11-18,41.25,41.87,40.72,40.72,75450
2020-11-19,40.36,41.11,39.74,41.02,111965
2020-11-20,40.61,41.07,40.23,40.6,98962
2020-11-23,41.17,41.19,40.7,41.14,61292
2020-11-24,41.94,42.57,41.14,42.19,127709
2020-11-25,41.73,41.74,41.13,41.35,76813
2020-11-27,41.2,41.31,40.61,40.66,86443
2020-11-30,40.3,40.54,39.27,39.57,187417
2020-12-01,40.42,40.76,40.07,40.59,67812
2020-12-02,40.4,40.68,39.96,40.64,132142
2020-12-03,40.53,41.35,40.36,40.94,74674
2020-12-04,41.26,41.85,41.26,41.55,106935
2020-12-07,41.23,41.41,40.59,40.68,82031
2020-12-08,40.02,41.38,40.0,41.28,94757
2020-12-09,41.69,42.7,41.41,42.52,197410
2020-12-10,42.02,42.69,41.6,42.36,64854
2020-12-11,41.73,42.2,41.31,41.33,61709
2020-12-14,41.88,41.9,40.67,40.74,109246
2020-12-15,40.99,41.18,40.22,40.85,205188
2020-12-16,40.99,41.55,40.77,41.35,87840
2020-12-17,41.28,41.92,41.1,41.78,56391
2020-12-18,41.8,42.63,41.72,42.63,177328
2020-12-21,42.25,42.54,41.57,42.44,151451
2020-12-22,42.51,42.69,42.36,42.55,101650
2020-12-23,42.94,43.55,42.94,43.16,101656
2020-12-24,42.73,43.26,42.69,43.24,24705
2020-12-28,43.36,43.58,43.02,43.08,60857
2020-12-29,42.93,43.05,42.35,42.46,58505
2020-12-30,42.87,43.16,42.7,42.83,33460
2020-12-31,42.87,43.83,42.64,43.79,86911
2021-01-04,44.46,44.46,42.95,43.19,64623
2021-01-05,43.25,43.42,42.6,42.86,89667
2021-01-06,43.96,45.6,43.79,45.44,88228
2021-01-07,45.64,45.65,44.75,45.06,90399
2021-01-08,45.08,45.1,43.79,44.59,76296
2021-01-11,44.22,45.21,44.22,44.91,57832
2021-01-12,45.18,46.4,45.18,46.35,76448
2021-01-13,46.16,46.87,46.16,46.4,96707
