date,open,high,low,close,volume
2020-07-27,152.9,153.66,151.16,151.49,5192
2020-07-28,153.08,155.04,152.82,153.24,3404
2020-07-29,152.4,154.05,151.16,153.83,2719
2020-07-30,152.23,154.69,151.47,152.95,6329
2020-07-31,152.38,152.96,149.93,151.66,6678
2020-08-03,152.45,154.57,152.12,153.43,11332
2020-08-04,153.25,153.93,151.24,151.84,13450
2020-08-05,153.42,156.26,152.39,156.26,34002
2020-08-06,152.6,152.6,140.0,142.48,95087
2020-08-07,141.62,148.53,141.62,146.89,32619
2020-08-10,147.15,149.4,145.12,147.92,34174
2020-08-11,151.51,152.26,147.44,147.45,7162
2020-08-12,148.06,148.06,142.91,143.8,26938
2020-08-13,143.04,144.8,141.73,143.36,22762
2020-08-14,143.72,147.59,143.1,145.83,7095
2020-08-17,146.01,146.01,142.57,142.65,11966
2020-08-18,142.32,142.5,141.31,141.92,17590
2020-08-19,142.41,143.28,141.76,142.59,8498
2020-08-20,140.09,141.16,139.54,139.54,7136
2020-08-21,140.21,141.28,138.44,138.95,7734
2020-08-24,138.84,141.82,138.84,141.69,9517
2020-08-25,141.9,141.9,138.51,138.68,7733
2020-08-26,138.69,138.69,134.34,134.65,23151
2020-08-27,135.39,137.56,134.75,135.21,19066
2020-08-28,135.48,135.55,133.46,134.31,17292
2020-08-31,133.95,133.95,132.12,133.58,15771
2020-09-01,131.16,132.73,130.03,132.32,48747
2020-09-02,132.71,134.54,131.57,133.33,59818
2020-09-03,134.26,135.5,130.44,132.22,48682
2020-09-04,133.87,134.95,129.32,129.87,77132
2020-09-08,129.98,129.98,124.61,125.01,35254
2020-09-09,125.62,125.62,122.19,124.55,37564
2020-09-10,126.63,126.81,121.45,121.45,17738
2020-09-11,122.16,130.44,122.16,129.82,26805
2020-09-14,130.12,130.12,127.07,129.52,8418
2020-09-15,128.93,128.93,127.03,127.88,19297
2020-09-16,127.29,131.95,127.29,130.26,4630
2020-09-17,130.11,132.98,130.11,132.55,9411
2020-09-18,131.75,133.42,131.06,131.57,9722
2020-09-21,128.2,128.45,125.68,126.85,11124
2020-09-22,127.1,127.93,125.46,126.33,14731
2020-09-23,127.13,127.92,121.91,122.67,16008
2020-09-24,121.03,124.15,120.74,122.82,15992
2020-09-25,122.54,125.01,122.54,124.46,11489
2020-09-28,125.85,127.85,124.93,126.0,32670
2020-09-29,125.24,126.24,124.3,124.3,12936
2020-09-30,124.84,125.89,123.49,123.99,37338
2020-10-01,124.16,125.48,122.78,123.31,38176
2020-10-02,122.52,127.12,121.96,126.93,24093
2020-10-05,128.73,129.54,127.58,128.93,18079
2020-10-06,129.86,133.23,129.24,129.54,17466
2020-10-07,130.94,132.61,129.95,130.39,14364
2020-10-08,131.38,131.8,128.73,131.72,21343
