date,open,high,low,close,volume
2020-07-27,75.68,76.41,74.5,76.34,163573
2020-07-28,76.39,76.39,75.49,75.7,78587
2020-07-29,76.39,76.84,75.92,76.42,65118
2020-07-30,75.5,75.83,74.46,75.12,165616
2020-07-31,74.58,74.72,73.04,74.03,593827
2020-08-03,73.43,74.59,72.56,73.76,346824
2020-08-04,73.73,77.33,73.73,77.24,283862
2020-08-05,78.71,78.94,76.86,78.94,307506
2020-08-06,78.24,82.46,77.04,81.63,268325
2020-08-07,81.59,82.72,80.15,82.5,156375
2020-08-10,83.58,86.03,83.26,85.06,198335
2020-08-11,86.38,87.24,85.35,85.9,187161
2020-08-12,87.17,87.19,84.25,84.78,119230
2020-08-13,84.42,85.87,84.06,84.36,112130
2020-08-14,84.36,85.65,84.35,84.83,94806
2020-08-17,85.0,85.0,83.19,83.89,87998
2020-08-18,83.76,84.08,82.25,82.98,73087
2020-08-19,83.13,84.23,82.76,83.35,109545
2020-08-20,82.24,84.5,82.08,83.92,105018
2020-08-21,84.59,86.26,84.33,86.18,168269
2020-08-24,86.51,87.99,85.68,87.19,117957
2020-08-25,88.59,89.34,87.14,87.24,139942
2020-08-26,86.78,86.78,85.58,85.65,96443
2020-08-27,86.92,88.07,86.72,87.6,240263
2020-08-28,88.53,90.83,88.19,90.54,455009
2020-08-31,90.39,90.4,88.31,89.23,176528
2020-09-01,88.47,90.83,87.95,90.48,48667
2020-09-02,90.41,90.52,89.2,90.14,136608
2020-09-03,90.6,92.54,89.17,90.09,115537
2020-09-04,91.31,91.94,89.55,89.76,197466
2020-09-08,88.71,92.17,88.54,90.63,110338
2020-09-09,90.56,90.56,88.97,89.26,120553
2020-09-10,89.61,91.85,88.13,88.17,61601
2020-09-11,88.35,88.35,85.1,86.18,82264
2020-09-14,87.09,91.32,87.09,91.02,70367
2020-09-15,91.57,92.43,90.67,90.74,68683
2020-09-16,91.1,93.8,90.53,92.66,110509
2020-09-17,91.06,91.83,89.46,89.94,131058
2020-09-18,88.97,90.05,88.11,88.46,116003
2020-09-21,85.66,85.74,82.48,84.37,219233
2020-09-22,84.39,84.66,82.87,84.05,117383
2020-09-23,84.6,85.96,82.57,82.72,92554
2020-09-24,81.84,83.58,80.52,81.92,202499
2020-09-25,81.88,84.9,81.78,84.82,270491
