date,open,high,low,close,volume
2021-07-29,37.985,40.09,33.38,34.74,1622531
2021-07-30,34.985,36.965,33.34,35.57,977911
2021-08-02,35.995,37.97,35.31,37.64,675895
2021-08-03,38.0,48.42,37.41,46.71,1424480
2021-08-04,54.425,84.92,54.42,70.245,1748463
2021-08-05,62.81,66.47,50.5,51.02,584360
2021-08-06,57.79,60.81,53.2,54.97,496253
2021-08-09,59.13,59.95,56.05,56.81,160810
2021-08-10,56.485,58.2,53.58,54.005,109228
2021-08-11,54.43,54.43,49.045,51.09,101036
2021-08-12,49.83,49.99,47.52,48.065,68565
2021-08-13,49.44,53.19,48.38,50.57,152536
2021-08-16,49.28,49.625,47.0,47.13,111018
2021-08-17,47.22,48.56,46.195,46.69,50652
2021-08-18,48.14,51.91,47.45,49.76,275572
2021-08-19,45.81,46.85,44.165,44.56,138378
2021-08-20,45.21,45.53,42.45,42.635,326884
2021-08-23,44.19,46.81,43.41,45.21,85312
2021-08-24,46.21,50.24,46.09,49.3,113372
2021-08-25,48.15,50.9,47.63,48.94,65031
2021-08-26,48.2,49.7,46.45,46.85,110894
2021-08-27,47.31,47.98,46.25,46.76,38562
2021-08-30,46.31,46.31,42.605,43.61,125446
2021-08-31,42.02,44.49,41.65,44.29,85323
2021-09-01,43.83,47.11,43.725,44.595,94112
2021-09-02,44.9,45.43,44.3,44.475,13614
2021-09-03,44.68,44.76,43.25,43.38,31138
2021-09-07,43.345,43.345,41.84,42.14,56990
2021-09-08,41.91,42.08,39.86,40.09,96969
2021-09-09,40.76,42.44,40.76,41.25,85552
2021-09-10,41.65,42.42,40.77,41.175,27891
2021-09-13,41.35,41.35,39.855,40.525,82551
2021-09-14,40.66,40.82,39.26,40.02,43480
2021-09-15,40.08,41.93,39.87,41.88,48187
2021-09-16,41.62,42.42,40.95,41.94,42823
2021-09-17,41.955,42.9,41.955,42.45,40808
2021-09-20,40.58,41.4,40.06,40.78,82447
2021-09-21,41.05,42.58,40.84,42.32,71655
2021-09-22,42.97,46.89,42.97,46.82,104028
2021-09-23,45.99,47.79,44.88,45.87,48830
2021-09-24,44.38,46.5,44.38,44.93,36167
2021-09-27,45.1,45.75,43.96,44.905,56435
2021-09-28,43.9,45.805,42.53,44.73,86799
2021-09-29,44.86,45.405,43.19,43.21,100035
2021-09-30,42.82,42.82,41.41,42.06,42985
2021-10-01,42.41,42.69,41.25,41.9,25409
2021-10-04,41.52,41.58,40.26,40.9,22438
2021-10-05,41.22,42.405,41.22,41.99,36003
2021-10-06,42.0,42.65,41.71,42.06,28410
2021-10-07,42.28,42.67,41.76,41.835,46873
2021-10-08,41.53,42.03,41.115,41.77,25454
2021-10-11,41.1,42.465,41.1,42.05,186264
