date,open,high,low,close,volume
2020-07-27,8.016,8.183,7.944,8.166,129321
2020-07-28,8.129,8.141,7.944,7.957,297475
2020-07-29,7.961,8.225,7.877,8.141,906649
2020-07-30,8.037,8.099,7.84,8.053,427617
2020-07-31,8.028,8.292,7.928,8.275,501281
2020-08-03,8.25,8.376,8.141,8.305,292958
2020-08-04,8.305,8.476,8.284,8.351,170445
2020-08-05,8.443,8.493,8.275,8.347,234501
2020-08-06,8.28,8.577,8.275,8.468,234128
2020-08-07,8.422,8.493,8.359,8.456,374146
2020-08-10,8.497,8.665,8.497,8.56,274249
2020-08-11,8.703,8.879,8.468,8.51,560369
2020-08-12,8.606,8.632,8.405,8.493,219637
2020-08-13,8.28,8.326,8.007,8.049,232749
2020-08-14,7.974,8.171,7.89,8.091,199296
2020-08-17,8.141,8.141,7.907,7.923,660251
2020-08-18,7.869,7.982,7.861,7.919,116642
2020-08-19,7.978,8.066,7.881,7.894,84356
2020-08-20,7.81,7.856,7.722,7.764,212836
2020-08-21,7.676,7.844,7.651,7.835,168065
2020-08-24,7.911,8.208,7.886,8.049,293439
2020-08-25,8.091,8.171,7.798,7.81,512799
2020-08-26,8.439,8.615,8.066,8.099,659074
2020-08-27,8.116,8.133,7.894,8.016,336745
2020-08-28,8.003,8.254,8.003,8.242,364183
2020-08-31,8.238,8.28,8.049,8.125,137596
2020-09-01,8.062,8.062,7.861,7.932,292198
2020-09-02,7.944,8.292,7.944,8.25,160189
2020-09-03,8.288,8.456,7.923,7.974,297121
2020-09-04,8.032,8.171,7.894,8.049,245243
2020-09-08,7.977,8.206,7.935,7.998,289215
2020-09-09,8.075,8.083,7.922,8.028,328793
2020-09-10,8.032,8.1,7.795,7.841,218552
2020-09-11,7.85,7.85,7.727,7.824,404087
2020-09-14,7.897,8.032,7.867,7.956,252778
2020-09-15,7.96,8.007,7.867,7.888,163912
2020-09-16,7.969,8.202,7.913,8.037,215571
2020-09-17,7.909,8.181,7.892,8.177,427149
