date,open,high,low,close,volume
2020-07-27,8.579,8.579,8.297,8.444,428335
2020-07-28,8.416,8.694,8.395,8.6,411286
2020-07-29,8.763,9.017,8.628,9.017,306986
2020-07-30,8.808,8.902,8.681,8.874,449435
2020-07-31,8.841,8.841,8.387,8.821,708819
2020-08-03,8.686,8.686,8.424,8.428,356181
2020-08-04,8.408,9.36,8.346,8.923,1076883
2020-08-05,8.996,9.066,8.804,8.906,291571
2020-08-06,8.812,8.943,8.735,8.8,289961
2020-08-07,8.702,9.426,8.702,9.409,675250
2020-08-10,9.487,9.769,9.426,9.72,474888
2020-08-11,10.09,10.2,9.495,9.548,243866
2020-08-12,9.647,9.683,9.303,9.471,264110
2020-08-13,9.45,9.565,9.184,9.209,156045
2020-08-14,9.156,9.34,9.148,9.205,229606
2020-08-17,9.201,9.201,8.726,8.91,268490
2020-08-18,8.87,8.91,8.718,8.837,405656
2020-08-19,8.788,8.955,8.735,8.825,141355
2020-08-20,8.743,8.906,8.694,8.792,110312
2020-08-21,8.767,8.845,8.624,8.673,194639
2020-08-24,8.69,9.074,8.6,9.07,242796
2020-08-25,9.184,9.295,9.078,9.238,159373
2020-08-26,9.18,9.205,9.0,9.0,77225
2020-08-27,8.996,9.336,8.996,9.266,233800
2020-08-28,9.36,9.581,9.295,9.573,137531
2020-08-31,9.528,9.528,9.184,9.184,192372
2020-09-01,9.0,9.295,9.0,9.225,172251
2020-09-02,9.16,9.34,9.127,9.336,86537
2020-09-03,9.442,9.667,9.36,9.463,266486
2020-09-04,9.638,9.81,9.565,9.769,111024
2020-09-08,9.634,9.687,9.368,9.516,262176
2020-09-09,9.565,9.581,9.393,9.52,213920
2020-09-10,9.548,9.7,9.319,9.319,242083
2020-09-11,9.246,9.246,8.902,9.107,230269
2020-09-14,9.193,9.753,9.172,9.745,317159
2020-09-15,9.687,10.01,9.683,9.831,799021
2020-09-16,9.912,9.966,9.634,9.867,238705
2020-09-17,9.716,9.732,9.45,9.536,211721
2020-09-18,9.446,9.475,9.103,9.115,256687
2020-09-21,8.849,8.857,8.485,8.559,566860
2020-09-22,8.587,8.681,8.461,8.497,318189
2020-09-23,8.481,8.735,8.338,8.379,275328
2020-09-24,8.318,8.477,8.215,8.33,172013
2020-09-25,8.293,8.747,8.289,8.706,117177
2020-09-28,8.939,9.099,8.87,8.935,151298
2020-09-29,8.473,8.821,8.473,8.784,184373
2020-09-30,8.776,9.066,8.698,8.837,199708
2020-10-01,8.923,9.123,8.821,9.115,379499
2020-10-02,8.825,9.258,8.816,9.234,170795
2020-10-05,9.311,9.373,9.135,9.311,172975
2020-10-06,9.385,9.532,9.217,9.238,323929
2020-10-07,9.324,9.536,9.307,9.495,308060
2020-10-08,9.589,9.704,9.495,9.7,237785
2020-10-09,9.765,9.79,9.422,9.479,414335
2020-10-12,9.491,9.491,9.307,9.397,140406
2020-10-13,9.446,9.446,9.107,9.131,355076
2020-10-14,9.095,9.213,8.964,8.964,343736
2020-10-15,8.866,9.054,8.731,8.992,239563
2020-10-16,8.964,9.058,8.808,8.96,149906
2020-10-19,8.923,8.951,8.71,8.731,347640
2020-10-20,8.849,8.955,8.759,8.812,154886
2020-10-21,8.833,9.074,8.698,9.029,411219
2020-10-22,9.05,9.45,9.05,9.389,295654
2020-10-23,9.454,9.638,9.405,9.52,290366
2020-10-26,9.409,9.409,9.009,9.152,244390
2020-10-27,9.07,9.115,8.874,8.894,195029
2020-10-28,8.637,8.767,8.485,8.555,307763
2020-10-29,8.473,8.665,8.412,8.608,324075
2020-10-30,8.547,8.69,8.403,8.559,537716
2020-11-02,8.673,8.964,8.502,8.943,844080
2020-11-03,9.062,9.405,9.054,9.307,722393
2020-11-04,9.315,9.315,8.894,9.013,694407
2020-11-05,9.037,9.234,8.882,8.943,375385
2020-11-06,8.943,9.037,8.518,8.579,561164
2020-11-09,10.66,12.24,10.46,11.15,1754814
2020-11-10,11.1,11.26,10.83,10.95,694472
2020-11-11,10.83,10.83,10.36,10.48,606665
2020-11-12,10.36,10.39,9.855,10.01,582792
2020-11-13,10.08,10.87,10.08,10.85,673451
2020-11-16,11.47,11.47,10.96,11.21,949802
2020-11-17,10.93,11.59,10.78,11.56,1016204
2020-11-18,11.48,11.81,11.3,11.57,448852
2020-11-19,11.37,11.85,11.09,11.83,585275
2020-11-20,11.83,11.83,11.44,11.57,374530
2020-11-23,11.75,12.19,11.61,12.05,508853
2020-11-24,12.21,12.37,12.05,12.14,978280
2020-11-25,11.87,12.1,11.73,12.06,248977
2020-11-27,11.97,12.06,11.76,11.94,143424
2020-11-30,11.88,11.88,11.44,11.48,479603
2020-12-01,11.7,11.92,11.7,11.88,353113
2020-12-02,11.82,12.23,11.6,12.18,705590
2020-12-03,12.41,12.46,12.15,12.36,512466
2020-12-04,12.45,12.87,12.41,12.79,408252
2020-12-07,12.66,12.72,12.3,12.4,178354
2020-12-08,12.27,12.49,12.22,12.39,183116
2020-12-09,12.48,12.52,12.27,12.41,247331
2020-12-10,11.98,12.24,11.92,12.13,572105
2020-12-11,12.11,12.14,11.81,11.86,217166
2020-12-14,12.09,12.13,11.47,11.48,287309
2020-12-15,11.71,11.88,11.44,11.88,385406
2020-12-16,11.92,11.92,11.65,11.79,341593
2020-12-17,11.8,11.8,11.43,11.69,374835
2020-12-18,11.54,11.64,11.39,11.58,507923
2020-12-21,11.31,11.58,11.14,11.25,537546
2020-12-22,11.2,11.25,11.05,11.13,270473
2020-12-23,11.24,11.52,11.22,11.48,195126
2020-12-24,11.52,11.61,11.37,11.61,117683
2020-12-28,11.7,11.96,11.63,11.92,239292
2020-12-29,11.88,12.02,11.72,11.73,132346
2020-12-30,11.77,12.12,11.77,11.96,230324
2020-12-31,11.94,12.01,11.74,11.97,185070
2021-01-04,12.03,12.13,11.46,11.56,398927
2021-01-05,11.59,11.66,11.39,11.4,464978
2021-01-06,11.69,12.24,11.61,12.06,378364
2021-01-07,12.13,12.24,11.97,12.01,420893
2021-01-08,12.08,12.21,11.95,12.03,183887
2021-01-11,11.76,11.91,11.61,11.75,129101
2021-01-12,11.67,11.97,11.67,11.92,148900
2021-01-13,11.97,12.14,11.92,12.06,125620
2021-01-14,12.2,12.48,12.2,12.27,219522
2021-01-15,12.03,12.08,11.74,12.01,131847
2021-01-19,12.1,12.16,11.8,12.07,161653
2021-01-20,11.74,12.42,11.74,12.24,206212
2021-01-21,11.95,12.28,11.95,11.97,278028
2021-01-22,11.8,11.85,11.63,11.81,326787
2021-01-25,11.7,11.7,11.35,11.36,533249
2021-01-26,11.48,11.53,11.02,11.06,368034
2021-01-27,11.01,11.36,10.77,11.12,685802
2021-01-28,11.19,12.08,11.19,11.65,852649
2021-01-29,11.58,11.58,10.95,11.08,319636
2021-02-01,11.15,11.21,10.99,11.16,259900
2021-02-02,11.21,11.66,11.18,11.61,231837
2021-02-03,11.57,11.68,11.53,11.6,231315
