date,open,high,low,close,volume
2020-07-27,119.76,120.3,119.32,120.04,12607
2020-07-28,119.11,119.25,118.14,118.29,15150
2020-07-29,118.9,121.67,118.68,121.11,17558
2020-07-30,119.41,121.92,119.0,119.97,14603
2020-07-31,121.1,122.44,119.79,121.94,33619
2020-08-03,122.7,124.14,122.7,123.55,14691
2020-08-04,123.35,124.16,122.54,123.82,10258
2020-08-05,125.81,126.19,124.58,125.94,17296
2020-08-06,126.2,126.84,125.43,126.84,17602
2020-08-07,127.21,128.77,126.62,128.62,12748
2020-08-10,129.38,130.68,129.23,130.68,12386
2020-08-11,132.04,133.01,130.45,130.58,17474
2020-08-12,131.76,133.21,131.76,132.88,10899
2020-08-13,132.42,133.17,131.86,132.65,8256
2020-08-14,132.52,133.21,131.93,132.27,8087
2020-08-17,132.47,133.13,132.19,132.46,4944
2020-08-18,132.48,132.48,130.77,130.86,13603
2020-08-19,131.15,131.98,131.0,131.14,8643
2020-08-20,129.94,130.35,129.28,129.28,14836
2020-08-21,129.59,130.31,129.29,130.25,5824
2020-08-24,130.3,131.9,130.3,131.9,5983
2020-08-25,132.94,132.94,130.77,131.92,27471
2020-08-26,131.97,133.5,131.97,133.0,15116
2020-08-27,134.1,134.1,133.13,133.28,6704
2020-08-28,132.02,132.73,132.01,132.69,7179
2020-08-31,131.8,132.24,130.94,132.04,15174
2020-09-01,131.05,133.49,131.05,133.12,19154
2020-09-02,133.78,135.52,133.75,135.51,5407
2020-09-03,135.47,135.77,132.61,133.12,37575
2020-09-04,132.9,132.9,131.1,131.12,8945
2020-09-08,129.55,129.73,126.14,126.23,20622
2020-09-09,127.91,129.14,127.91,128.5,6190
2020-09-10,128.95,128.95,126.84,127.63,11924
2020-09-11,128.35,129.11,127.4,127.94,10086
2020-09-14,128.83,130.27,128.51,130.0,17584
2020-09-15,130.91,131.82,130.08,130.59,13038
2020-09-16,130.39,131.53,129.84,130.11,14144
2020-09-17,127.76,130.39,127.76,129.9,11629
2020-09-18,130.51,130.51,126.21,126.5,10498
2020-09-21,123.92,124.35,120.86,122.27,12269
2020-09-22,122.98,123.9,122.22,123.74,9078
2020-09-23,124.38,124.38,119.94,120.08,10654
2020-09-24,119.96,122.37,119.96,120.87,15449
2020-09-25,120.94,121.96,120.18,121.6,7315
2020-09-28,124.99,126.48,124.37,124.58,15706
2020-09-29,124.68,126.4,123.99,124.42,9945
2020-09-30,125.56,126.28,124.04,124.59,25692
2020-10-01,125.56,126.2,123.15,123.82,15093
2020-10-02,122.13,126.89,122.13,125.0,16835
2020-10-05,127.44,128.03,126.52,127.45,21806
2020-10-06,127.65,128.72,126.26,126.71,37835
2020-10-07,128.63,129.55,127.44,128.52,25988
2020-10-08,129.2,130.67,128.85,130.16,45221
2020-10-09,130.98,131.9,130.52,131.04,26259
2020-10-12,131.64,133.43,131.27,133.3,24437
2020-10-13,133.23,133.75,131.38,131.51,26298
2020-10-14,132.27,133.06,131.72,131.72,13416
2020-10-15,129.34,131.48,129.34,131.26,18033
2020-10-16,130.97,132.41,130.97,131.61,18930
2020-10-19,132.01,134.12,131.76,132.8,23457
2020-10-20,133.6,135.41,133.48,134.33,17843
2020-10-21,134.23,135.31,133.34,134.31,40559
2020-10-22,134.31,136.66,134.31,136.06,19124
2020-10-23,137.63,140.25,137.41,139.35,46558
2020-10-26,137.73,138.02,133.12,135.61,43900
2020-10-27,135.28,137.54,133.94,135.02,68781
2020-10-28,133.17,134.37,129.72,131.16,30191
2020-10-29,131.14,132.34,130.05,131.5,26751
2020-10-30,131.42,132.41,130.41,131.65,15037
2020-11-02,133.78,136.32,132.92,136.04,28782
2020-11-03,138.56,139.88,137.59,139.62,17214
2020-11-04,138.27,139.34,135.83,136.19,21495
2020-11-05,138.73,140.38,138.1,139.4,13159
2020-11-06,139.61,140.98,139.19,139.35,8725
2020-11-09,148.72,148.83,144.06,144.14,17765
2020-11-10,144.32,146.45,144.32,145.56,18509
2020-11-11,147.09,147.63,142.11,142.98,27355
2020-11-12,140.88,141.51,137.79,138.96,23504
2020-11-13,140.53,142.53,140.53,141.33,25341
2020-11-16,144.3,146.62,143.3,144.46,22355
2020-11-17,143.52,143.52,141.6,141.81,24235
2020-11-18,142.16,143.05,140.92,141.25,58676
2020-11-19,141.55,143.37,140.8,143.37,15518
2020-11-20,143.13,143.63,142.63,143.28,15643
2020-11-23,144.28,146.6,144.28,145.98,13578
2020-11-24,147.28,150.48,146.73,149.07,20614
2020-11-25,149.36,149.36,146.99,147.67,9631
2020-11-27,148.05,148.62,147.44,148.42,3967
2020-11-30,148.11,148.37,146.7,147.75,14122
2020-12-01,148.79,150.32,147.47,147.9,21968
2020-12-02,146.68,146.68,142.79,143.87,23494
2020-12-03,144.02,144.98,142.68,142.88,22800
2020-12-04,143.44,147.88,143.44,147.65,20184
2020-12-07,147.63,147.63,144.24,145.56,29547
2020-12-08,144.82,148.13,144.82,147.41,14240
2020-12-09,148.36,148.89,146.27,147.88,22884
2020-12-10,146.75,146.75,145.05,146.33,15642
2020-12-11,145.09,147.32,145.09,146.7,20980
2020-12-14,148.17,148.8,143.93,144.44,28160
2020-12-15,145.39,147.11,144.97,146.25,27855
2020-12-16,146.46,146.46,142.83,143.11,18963
2020-12-17,143.53,145.65,143.45,145.3,18249
2020-12-18,146.16,146.79,142.22,142.32,23157
2020-12-21,140.79,144.19,140.04,143.62,21768
2020-12-22,144.22,144.97,143.4,144.42,24382
2020-12-23,145.91,147.05,145.09,146.13,17555
2020-12-24,145.72,147.05,145.5,147.05,3523
2020-12-28,148.22,148.85,144.28,144.8,22261
2020-12-29,144.72,144.84,142.24,143.26,28681
2020-12-30,145.18,145.18,142.63,143.07,17494
2020-12-31,141.97,143.93,141.91,143.44,19243
2021-01-04,143.35,145.12,141.97,142.76,26691
2021-01-05,144.52,145.83,144.52,144.97,11004
2021-01-06,146.79,153.86,146.79,153.82,32783
2021-01-07,153.82,154.81,152.84,154.17,16085
2021-01-08,154.94,155.26,152.27,153.26,28671
2021-01-11,152.02,155.83,151.9,155.13,35895
2021-01-12,155.81,157.51,155.81,157.45,25040
2021-01-13,156.67,156.95,151.2,151.64,20615
2021-01-14,151.36,152.59,149.5,150.48,16899
2021-01-15,149.23,149.44,147.71,148.85,8980
2021-01-19,149.99,152.22,148.79,151.58,21211
2021-01-20,152.08,152.81,151.13,152.58,9124
2021-01-21,152.64,152.64,150.79,151.52,12026
2021-01-22,151.77,152.34,149.9,152.15,17677
2021-01-25,151.24,151.95,149.5,149.94,12648
2021-01-26,150.04,150.69,148.46,149.61,27419
2021-01-27,146.72,148.37,144.33,147.41,26014
2021-01-28,148.22,148.49,146.15,146.21,16402
2021-01-29,145.98,146.26,140.69,142.21,38754
2021-02-01,143.8,145.71,143.6,145.71,20369
2021-02-02,143.5,145.5,136.84,144.75,90995
2021-02-03,147.51,148.11,144.87,147.67,35495
2021-02-04,149.24,149.45,145.11,145.37,28605
2021-02-05,145.16,148.09,144.88,148.07,21337
2021-02-08,148.05,150.7,147.7,149.95,23970
2021-02-09,149.74,149.87,147.8,148.61,33232
2021-02-10,149.43,149.64,147.76,148.02,11791
2021-02-11,148.56,150.44,147.29,150.43,20508
