date,open,high,low,close,volume
2020-07-27,15.31,15.31,14.91,15.02,169873
2020-07-28,14.97,15.49,14.97,15.08,110896
2020-07-29,15.04,15.1,14.55,15.05,148978
2020-07-30,14.78,15.14,14.45,14.92,253428
2020-07-31,14.84,14.89,14.31,14.57,110820
2020-08-03,14.56,15.06,14.42,14.91,234652
2020-08-04,14.79,15.04,14.75,14.8,163522
2020-08-05,15.06,15.9,15.04,15.86,131864
2020-08-06,15.4,17.1,15.4,17.02,151712
2020-08-07,16.77,16.82,16.29,16.7,74655
2020-08-10,16.74,17.68,16.74,17.67,94167
2020-08-11,18.09,18.7,17.96,18.02,102679
2020-08-12,18.24,18.31,17.58,17.84,67843
2020-08-13,17.4,17.73,17.23,17.23,53370
2020-08-14,17.14,17.57,17.1,17.32,40864
2020-08-17,17.27,17.27,16.95,17.13,43377
2020-08-18,16.94,17.04,16.65,16.69,115780
2020-08-19,16.89,17.18,16.76,16.87,40164
2020-08-20,16.47,16.89,16.47,16.74,56199
2020-08-21,16.59,16.85,16.59,16.68,62614
2020-08-24,16.95,17.24,16.82,17.17,466539
2020-08-25,17.22,17.3,16.74,17.19,189078
2020-08-26,17.15,17.29,16.96,16.97,164433
2020-08-27,17.22,17.47,17.01,17.19,100151
2020-08-28,17.29,17.75,17.27,17.75,46537
2020-08-31,17.64,17.64,17.11,17.29,135836
2020-09-01,17.12,17.56,17.03,17.28,56097
2020-09-02,17.4,18.09,17.23,18.09,87586
2020-09-03,18.19,18.42,17.32,17.47,200083
2020-09-04,17.81,18.06,17.26,17.43,31563
2020-09-08,17.23,17.41,16.92,17.04,192632
2020-09-09,17.2,17.2,16.78,16.87,264689
2020-09-10,17.67,17.71,16.69,16.78,449939
2020-09-11,16.84,17.8,16.8,17.58,161071
2020-09-14,17.76,18.16,17.49,18.14,279216
2020-09-15,18.03,18.21,17.76,17.95,282446
2020-09-16,17.66,18.74,17.63,18.5,237133
2020-09-17,18.18,18.79,18.07,18.23,234984
2020-09-18,18.0,18.44,17.32,17.44,260070
2020-09-21,16.84,16.95,16.5,16.62,299416
2020-09-22,16.57,16.98,16.39,16.83,295813
2020-09-23,16.98,17.31,16.19,16.2,165608
2020-09-24,16.1,16.53,15.95,16.24,113458
2020-09-25,16.05,16.53,16.05,16.44,136747
2020-09-28,16.69,17.3,16.68,16.94,66596
2020-09-29,17.08,17.26,16.91,17.08,69287
2020-09-30,17.11,17.11,16.35,16.49,123807
2020-10-01,16.58,16.99,16.58,16.98,208170
2020-10-02,16.51,17.7,16.5,17.64,125209
2020-10-05,17.83,18.02,17.78,17.93,317744
2020-10-06,18.16,18.16,17.24,17.27,392827
2020-10-07,17.63,18.04,17.57,17.85,98416
2020-10-08,18.01,18.51,17.94,18.48,109802
2020-10-09,18.58,18.58,18.01,18.02,90140
2020-10-12,17.95,18.11,17.61,17.93,142365
2020-10-13,17.52,17.69,17.29,17.59,95150
2020-10-14,17.63,18.07,17.62,17.99,61499
2020-10-15,17.72,18.22,17.5,18.22,100674
2020-10-16,18.3,18.54,18.25,18.33,177259
