date,open,high,low,close,volume
2020-07-27,97.51,98.59,97.51,98.49,134267
2020-07-28,98.38,98.62,96.97,97.17,288176
2020-07-29,97.31,98.38,96.93,97.84,133414
2020-07-30,96.71,96.71,95.04,95.93,101305
2020-07-31,95.78,96.03,94.56,96.03,119373
2020-08-03,96.24,97.14,95.49,97.04,55949
2020-08-04,96.73,98.22,96.72,98.19,116525
2020-08-05,98.93,98.97,97.31,97.99,101006
2020-08-06,97.95,98.57,97.76,98.49,54051
2020-08-07,97.77,98.9,97.49,98.79,75054
2020-08-10,99.12,100.65,99.07,100.57,112279
2020-08-11,101.8,103.21,100.17,100.28,123013
2020-08-12,100.9,100.9,99.59,100.3,72801
2020-08-13,99.54,99.92,98.74,98.9,71019
2020-08-14,98.09,99.31,98.09,99.06,24549
2020-08-17,99.07,99.31,98.43,98.47,52564
2020-08-18,98.67,99.25,98.32,98.83,87992
2020-08-19,98.77,99.27,97.7,97.99,62140
2020-08-20,97.52,98.1,97.26,97.42,53368
2020-08-21,97.49,97.59,96.8,97.46,63247
2020-08-24,97.82,99.68,97.63,99.4,67326
2020-08-25,99.64,100.32,98.5,98.61,81374
2020-08-26,98.8,98.83,98.06,98.16,155964
2020-08-27,98.51,98.94,98.09,98.67,141718
2020-08-28,98.77,99.09,98.29,98.94,156229
2020-08-31,98.83,98.86,97.34,97.6,51136
2020-09-01,97.17,98.02,96.77,97.62,57873
2020-09-02,97.85,101.8,97.81,101.45,139501
2020-09-03,101.56,102.71,97.95,98.49,75692
2020-09-04,98.39,99.16,95.91,96.76,228105
2020-09-08,96.77,97.19,95.59,95.82,54931
2020-09-09,96.59,97.74,95.97,96.66,42133
2020-09-10,96.93,97.73,95.16,95.34,77296
2020-09-11,95.97,97.04,95.56,96.12,61964
2020-09-14,96.54,97.58,96.36,96.66,69255
2020-09-15,97.08,97.55,96.71,96.93,56783
2020-09-16,97.45,99.53,97.37,98.23,37529
2020-09-17,97.03,99.27,96.7,98.79,52311
2020-09-18,98.65,98.68,97.03,97.13,75162
2020-09-21,95.29,95.4,93.81,95.05,93700
2020-09-22,95.19,96.07,94.62,95.33,75178
2020-09-23,95.48,96.07,93.7,94.0,42579
2020-09-24,93.44,94.54,92.15,93.39,82233
2020-09-25,93.03,94.38,92.53,94.11,52123
2020-09-28,95.38,96.75,95.26,96.2,97028
