date,open,high,low,close,volume
2020-07-27,360.52,368.31,360.52,366.8,19412
2020-07-28,365.0,367.4,361.57,361.8,11638
2020-07-29,364.105,369.49,362.01,366.385,17368
2020-07-30,364.99,375.05,362.23,374.1,29119
2020-07-31,383.235,407.255,383.235,397.25,59637
2020-08-03,399.0,399.21,390.21,392.325,54959
2020-08-04,391.595,392.13,385.22,390.39,26572
2020-08-05,392.115,396.39,390.2,395.95,32800
2020-08-06,394.855,395.6,384.9,389.0,25159
2020-08-07,388.87,391.9,378.51,381.43,25248
2020-08-10,380.355,381.815,376.16,377.18,46308
2020-08-11,374.01,379.11,372.39,374.09,26494
2020-08-12,376.835,387.31,375.9,384.57,12360
2020-08-13,384.905,389.04,383.7,385.09,16248
2020-08-14,384.78,385.24,377.43,379.32,16375
2020-08-17,382.675,385.13,382.29,384.35,14012
2020-08-18,384.66,387.66,382.16,386.655,17001
2020-08-19,386.285,386.285,381.11,381.58,14744
2020-08-20,384.26,384.66,381.73,383.65,9019
2020-08-21,382.35,383.64,377.24,383.64,15098
2020-08-24,384.92,386.53,378.31,380.97,12438
2020-08-25,380.18,386.29,378.21,383.74,32512
2020-08-26,381.89,386.765,376.815,385.85,11017
2020-08-27,381.51,389.23,379.745,386.44,12251
2020-08-28,387.265,387.49,381.535,383.91,7476
2020-08-31,383.72,393.03,383.01,391.05,10794
2020-09-01,392.17,398.56,392.17,398.45,27227
2020-09-02,400.66,407.26,398.67,406.52,26834
2020-09-03,401.19,401.19,377.96,381.41,13673
2020-09-04,380.68,381.88,363.83,371.005,20660
2020-09-08,364.96,370.05,361.99,363.82,12602
2020-09-09,365.045,375.15,365.045,374.255,12337
2020-09-10,374.945,378.69,366.36,368.58,10784
2020-09-11,369.54,371.58,361.24,364.97,12579
2020-09-14,369.405,369.43,364.47,365.7,9039
2020-09-15,367.5,372.56,366.95,369.0,21886
2020-09-16,370.13,370.84,360.61,362.31,21924
2020-09-17,357.15,359.955,351.195,354.025,37056
2020-09-18,355.18,358.44,348.24,355.16,21394
2020-09-21,350.7,365.06,349.37,364.35,18082
2020-09-22,365.155,369.35,360.1,368.62,13884
2020-09-23,367.24,372.15,363.18,363.97,14521
2020-09-24,363.01,368.335,361.49,365.735,6049
2020-09-25,364.58,380.65,364.58,378.2,14315
2020-09-28,381.6,387.53,380.32,386.32,17403
2020-09-29,390.34,393.16,385.05,385.06,16274
2020-09-30,384.535,397.14,383.93,393.51,31131
2020-10-01,395.265,397.92,392.41,395.07,32839
2020-10-02,388.99,393.35,382.93,383.87,38183
2020-10-05,387.245,392.57,387.15,392.22,23914
2020-10-06,387.96,393.34,383.44,384.3,13340
2020-10-07,388.715,389.665,385.39,386.01,21060
2020-10-08,386.975,394.19,386.975,393.75,8967
2020-10-09,395.71,400.88,393.685,400.88,8497
2020-10-12,408.04,424.365,406.24,420.08,16231
2020-10-13,423.74,423.75,415.21,423.545,10591
2020-10-14,427.47,430.16,417.05,420.43,10888
2020-10-15,418.38,423.91,415.19,422.31,12616
2020-10-16,423.37,428.7,421.55,423.715,17153
2020-10-19,427.07,430.67,417.82,419.54,9617
2020-10-20,424.775,426.24,420.19,420.19,8311
2020-10-21,425.02,425.02,417.03,419.66,7619
2020-10-22,423.705,427.73,418.14,423.33,12556
2020-10-23,425.02,429.58,424.18,429.18,9598
2020-10-26,431.82,433.8,426.32,428.97,9745
2020-10-27,431.99,444.53,431.53,442.8,17903
2020-10-28,431.91,437.165,422.73,422.79,25985
2020-10-29,449.005,450.14,439.38,442.06,28856
2020-10-30,441.64,441.64,419.12,424.84,34249
2020-11-02,432.01,446.445,428.68,430.27,38387
2020-11-03,440.615,447.2,439.8,445.37,26729
2020-11-04,468.69,480.66,457.925,468.53,57470
2020-11-05,478.1,478.1,462.78,467.74,23502
2020-11-06,469.5,478.68,466.63,477.99,19051
2020-11-09,483.25,483.25,435.955,437.38,35097
2020-11-10,431.065,441.68,421.34,441.285,39085
2020-11-11,445.03,454.97,445.03,454.97,18408
2020-11-12,459.79,460.53,446.27,447.92,16698
2020-11-13,452.505,456.04,448.67,454.91,12275
2020-11-16,452.0,459.22,450.835,455.38,13584
2020-11-17,453.915,456.48,450.95,456.41,21336
2020-11-18,451.41,452.16,444.165,444.24,7863
2020-11-19,448.79,457.33,448.165,457.04,12260
2020-11-20,457.49,468.21,457.49,464.23,13073
2020-11-23,465.09,465.09,450.605,458.695,12490
2020-11-24,463.93,463.93,446.68,447.155,20378
2020-11-25,453.96,453.96,444.43,446.01,7825
2020-11-27,446.68,455.13,446.68,453.74,6264
2020-11-30,456.04,460.63,451.64,460.095,18130
2020-12-01,462.14,468.685,453.1,468.075,23402
2020-12-02,463.61,466.98,461.55,462.53,20356
2020-12-03,462.14,467.29,459.05,459.8,16093
2020-12-04,461.57,461.57,456.115,456.55,18036
2020-12-07,454.33,462.275,454.33,459.33,22162
2020-12-08,457.38,461.43,453.26,460.925,38952
2020-12-09,462.09,462.09,449.11,449.86,43518
2020-12-10,450.85,455.71,450.49,454.08,28619
2020-12-11,455.975,456.64,448.8,456.41,20466
2020-12-14,460.995,476.7,457.35,458.13,26862
2020-12-15,460.61,467.03,453.9,464.91,12526
2020-12-16,465.85,474.16,464.715,468.0,29292
2020-12-17,471.67,477.65,469.56,477.65,22665
2020-12-18,478.435,486.65,474.01,485.72,19134
2020-12-21,482.44,490.07,471.7,489.56,14023
2020-12-22,490.705,499.56,489.85,499.26,14726
2020-12-23,499.9,502.0,493.18,495.09,13242
2020-12-24,495.0,498.215,493.16,496.14,3392
2020-12-28,500.49,501.35,491.15,495.07,12554
2020-12-29,500.58,500.58,490.23,493.66,13646
2020-12-30,498.995,499.88,494.69,496.86,10758
2020-12-31,495.13,500.02,493.15,499.96,12198
2021-01-04,503.0,503.58,484.33,491.42,19998
2021-01-05,487.775,498.83,487.775,497.04,17110
2021-01-06,489.99,490.43,479.4,483.35,51105
2021-01-07,484.64,496.98,484.02,496.27,29472
2021-01-08,499.76,513.06,499.76,513.06,22017
2021-01-11,515.2,515.2,504.45,506.89,15014
2021-01-12,507.45,509.19,492.375,497.56,19539
2021-01-13,496.22,501.48,495.08,497.4,12031
2021-01-14,496.245,499.75,488.16,488.61,24330
2021-01-15,488.8,492.83,481.9,488.8,17665
2021-01-19,487.0,487.38,481.825,484.62,21992
2021-01-20,485.84,496.34,485.84,495.925,17513
2021-01-21,493.0,498.105,487.98,497.14,24757
2021-01-22,491.11,497.48,491.11,493.13,28404
2021-01-25,494.61,495.97,483.18,489.0,19208
2021-01-26,485.935,485.935,476.87,478.71,30807
2021-01-27,473.92,475.81,456.3,464.21,41395
2021-01-28,469.865,491.875,469.865,483.43,37138
