date,open,high,low,close,volume
2020-07-27,108.92,110.77,108.5,110.54,33926
2020-07-28,110.38,111.31,109.44,110.14,71960
2020-07-29,110.49,111.44,109.96,110.02,39945
2020-07-30,108.3,108.3,105.97,106.68,41341
2020-07-31,107.02,108.11,105.21,108.1,53322
2020-08-03,108.14,108.18,106.57,107.05,47567
2020-08-04,106.01,108.74,104.85,107.89,42600
2020-08-05,108.89,110.5,108.4,108.49,27513
2020-08-06,108.04,108.47,107.44,107.62,38854
2020-08-07,107.56,108.87,106.87,108.74,20929
2020-08-10,108.81,112.26,108.81,112.13,50980
2020-08-11,112.24,113.68,107.35,107.47,97073
2020-08-12,109.66,110.44,108.23,108.94,31648
2020-08-13,107.35,107.35,106.09,106.18,35561
2020-08-14,105.6,106.55,105.17,105.6,17864
2020-08-17,106.14,106.63,105.22,105.8,13832
2020-08-18,106.12,106.65,104.86,105.18,11394
2020-08-19,104.89,105.34,104.4,104.63,13177
2020-08-20,103.71,103.9,102.69,103.49,24178
2020-08-21,102.91,103.82,102.02,103.43,20710
2020-08-24,104.41,105.34,104.41,105.22,5305
2020-08-25,106.38,106.64,105.29,105.46,11093
2020-08-26,106.64,108.1,106.53,107.18,14909
2020-08-27,107.39,107.39,105.25,106.06,16048
2020-08-28,105.5,107.14,105.0,106.74,7695
2020-08-31,107.14,107.68,105.7,106.37,18716
2020-09-01,105.2,107.03,104.32,107.03,20649
2020-09-02,107.27,108.54,106.74,108.07,36850
2020-09-03,106.57,108.25,105.04,106.3,30677
2020-09-04,106.99,107.93,105.21,105.54,27277
2020-09-08,104.59,105.47,103.24,104.3,11850
2020-09-09,105.76,107.24,104.68,104.68,18760
2020-09-10,103.91,104.89,103.36,103.44,20350
2020-09-11,102.76,104.0,102.25,103.84,51493
2020-09-14,104.73,106.11,104.73,105.59,26142
2020-09-15,106.38,107.29,106.28,106.68,41609
2020-09-16,106.86,107.89,106.54,106.57,22688
2020-09-17,105.4,107.2,104.58,106.52,41819
2020-09-18,107.25,107.25,104.78,105.15,12575
2020-09-21,102.16,103.31,102.11,103.31,34049
2020-09-22,103.21,104.21,102.5,103.38,18737
2020-09-23,102.7,102.84,100.2,100.27,21767
2020-09-24,99.25,101.19,98.08,100.59,35983
2020-09-25,100.2,103.37,100.2,102.74,24353
2020-09-28,104.86,106.31,104.51,104.72,59366
2020-09-29,104.86,106.21,104.02,104.91,33884
2020-09-30,105.17,106.95,104.84,105.76,32222
2020-10-01,106.54,107.88,103.29,103.61,73263
2020-10-02,103.08,104.38,102.82,102.95,28531
2020-10-05,103.63,104.51,101.65,102.2,55606
2020-10-06,103.16,103.17,99.22,99.6,62509
2020-10-07,101.2,101.29,99.63,100.62,57000
2020-10-08,101.46,102.02,99.2,100.31,52280
2020-10-09,101.67,104.98,101.67,103.21,59773
2020-10-12,103.48,103.73,101.7,102.45,49562
2020-10-13,102.19,103.01,100.33,101.24,39181
2020-10-14,101.89,102.08,100.86,100.98,23560
2020-10-15,99.73,100.89,99.46,100.17,38359
2020-10-16,100.88,101.48,100.08,100.42,105638
2020-10-19,100.52,100.72,97.45,98.09,82694
2020-10-20,98.74,99.82,97.72,98.1,67861
2020-10-21,96.5,97.58,95.18,95.39,62250
2020-10-22,95.36,96.9,93.88,96.55,52303
2020-10-23,97.63,97.86,94.96,95.5,58738
2020-10-26,94.93,94.95,92.96,94.05,104238
2020-10-27,93.9,93.9,90.99,91.24,92214
2020-10-28,89.48,90.39,87.51,87.52,175218
2020-10-29,87.12,89.32,86.13,88.88,145201
2020-10-30,88.47,89.19,87.78,88.53,143115
2020-11-02,89.92,91.12,89.73,90.63,64644
2020-11-03,91.66,93.11,91.09,92.63,64435
2020-11-04,92.59,92.77,90.59,90.68,78031
2020-11-05,91.77,93.47,91.1,92.93,68047
2020-11-06,93.21,94.22,92.86,93.74,70814
2020-11-09,98.99,101.33,96.98,96.98,125924
2020-11-10,94.5,97.92,93.29,96.97,166020
2020-11-11,97.1,97.1,93.5,94.19,74319
2020-11-12,94.51,96.18,93.81,94.87,68607
2020-11-13,95.74,97.83,95.65,96.86,86252
2020-11-16,99.59,100.08,97.1,98.96,88510
2020-11-17,97.26,98.99,96.57,98.82,43334
2020-11-18,99.21,99.32,96.95,96.95,29700
2020-11-19,96.3,97.05,95.5,96.63,40125
2020-11-20,97.08,97.24,96.12,96.79,27149
2020-11-23,97.59,98.0,95.64,96.13,35757
2020-11-24,96.61,99.64,96.61,99.41,60529
2020-11-25,99.03,99.03,96.62,97.07,36664
2020-11-27,98.0,98.58,97.05,97.24,21309
2020-11-30,96.85,96.94,95.2,96.78,36096
2020-12-01,96.45,97.7,96.07,96.34,37624
2020-12-02,96.22,97.17,95.73,97.13,64755
2020-12-03,96.61,98.73,96.5,97.2,149958
2020-12-04,97.86,100.37,97.86,100.05,77532
2020-12-07,99.94,100.83,98.87,99.21,102879
2020-12-08,98.59,99.82,98.59,99.72,82888
2020-12-09,100.52,100.52,98.53,99.5,49924
2020-12-10,98.86,98.86,96.71,97.21,40261
2020-12-11,96.86,96.86,94.59,95.85,90270
2020-12-14,97.14,97.16,94.16,94.34,52559
2020-12-15,94.57,96.3,94.02,95.77,49262
2020-12-16,96.59,97.34,95.52,96.81,50539
2020-12-17,97.1,98.54,97.1,98.08,123560
2020-12-18,97.82,99.24,96.35,98.73,282646
2020-12-21,97.48,98.88,96.91,98.65,199308
2020-12-22,99.13,100.23,98.78,99.29,175288
2020-12-23,99.0,99.0,95.45,95.47,103953
2020-12-24,95.66,95.66,95.01,95.62,85395
2020-12-28,96.16,96.16,94.65,94.99,106450
2020-12-29,95.15,96.66,95.15,96.61,267462
2020-12-30,96.44,97.05,96.11,96.74,188590
2020-12-31,95.69,95.69,93.69,94.65,185073
2021-01-04,95.05,95.09,90.38,91.32,222757
2021-01-05,91.45,94.51,91.09,93.89,336961
2021-01-06,95.48,99.5,95.48,98.16,288691
