date,open,high,low,close,volume
2020-07-27,100.4,102.67,100.4,102.1,26135
2020-07-28,102.28,102.28,100.39,100.56,16681
2020-07-29,100.445,100.445,97.84,98.05,30424
2020-07-30,97.945,100.835,97.945,100.37,39984
2020-07-31,100.84,100.84,98.15,98.75,25279
2020-08-03,100.51,102.3,99.07,101.79,108509
2020-08-04,101.71,101.71,96.95,99.84,71342
2020-08-05,100.4,100.61,96.25,97.6,56668
2020-08-06,97.435,98.5,96.965,97.34,30738
2020-08-07,97.155,98.35,96.04,96.94,35750
2020-08-10,97.01,97.01,92.96,94.29,32740
2020-08-11,94.52,94.97,92.89,93.01,31054
2020-08-12,93.535,94.725,93.33,94.24,20960
2020-08-13,94.37,95.535,94.37,95.52,10804
2020-08-14,95.96,96.27,94.32,94.85,28990
2020-08-17,95.695,97.8,95.695,97.51,64353
2020-08-18,97.6,97.765,96.285,97.57,31471
2020-08-19,97.14,98.17,96.24,96.24,25320
2020-08-20,95.945,95.945,94.48,95.55,22619
2020-08-21,95.155,95.555,93.375,94.13,44304
2020-08-24,94.05,94.44,93.04,94.01,17187
2020-08-25,94.27,95.345,94.01,95.24,9023
2020-08-26,94.4,94.4,92.995,93.73,22609
2020-08-27,94.615,95.41,93.92,94.325,22930
2020-08-28,94.18,94.49,93.62,93.94,24374
2020-08-31,93.57,96.74,93.57,96.37,20115
2020-09-01,95.955,95.955,92.26,92.93,43734
2020-09-02,93.55,95.5,92.765,95.45,33803
2020-09-03,95.61,95.74,90.61,91.65,41852
2020-09-04,91.05,91.27,89.035,90.545,21463
2020-09-08,89.34,91.31,88.795,89.61,37467
2020-09-09,90.18,92.05,90.0,91.5,12796
2020-09-10,90.675,91.9,88.07,88.3,16783
2020-09-11,89.645,90.32,87.46,87.98,25130
2020-09-14,90.435,94.425,90.14,93.16,35385
2020-09-15,93.54,93.63,91.03,91.48,22257
2020-09-16,92.86,92.86,89.85,89.93,34781
2020-09-17,87.82,91.11,87.82,90.345,50487
2020-09-18,90.48,90.51,85.65,86.82,63952
2020-09-21,86.27,86.69,84.83,85.35,61426
2020-09-22,85.68,87.05,85.01,86.84,22403
2020-09-23,86.94,87.89,85.78,85.98,38807
2020-09-24,85.2,85.2,82.98,85.04,43234
2020-09-25,84.47,87.28,84.1,86.55,76961
2020-09-28,87.535,90.39,87.535,90.38,32015
2020-09-29,89.21,90.22,87.295,87.56,44066
2020-09-30,88.18,90.75,88.025,89.935,47986
2020-10-01,90.16,93.08,90.03,92.42,90439
2020-10-02,91.19,91.6,87.43,88.81,73126
2020-10-05,89.62,92.42,89.52,92.29,61536
2020-10-06,91.5,92.24,88.38,88.64,43921
2020-10-07,89.53,91.17,88.68,90.57,39059
2020-10-08,91.055,93.22,90.09,92.74,68133
2020-10-09,93.17,96.73,92.66,95.77,92942
2020-10-12,97.135,98.44,95.615,97.69,81860
2020-10-13,97.69,98.015,96.11,97.07,85379
2020-10-14,95.42,97.38,93.25,93.28,80441
2020-10-15,91.96,92.73,90.22,90.59,54777
2020-10-16,90.94,92.245,90.57,90.6,48903
2020-10-19,90.96,90.965,86.92,87.77,69862
2020-10-20,88.82,89.885,87.83,89.32,45345
2020-10-21,89.435,89.8,88.33,88.64,40790
2020-10-22,88.95,90.63,88.625,90.4,38211
