date,open,high,low,close,volume
2020-07-27,45.49,45.59,44.14,44.17,2381133
2020-07-28,44.14,44.74,43.81,43.9,1072342
2020-07-29,44.07,44.1,42.7,42.87,1115663
2020-07-30,42.62,43.22,42.43,42.78,538909
2020-07-31,42.9,43.06,41.9,42.54,524091
2020-08-03,43.09,43.34,42.57,43.01,377584
2020-08-04,43.37,43.79,43.24,43.78,447744
2020-08-05,44.24,44.26,43.38,43.61,880629
2020-08-06,43.8,43.8,43.18,43.6,246962
2020-08-07,43.58,43.66,42.81,43.08,414383
2020-08-10,43.27,44.33,43.14,44.16,326163
2020-08-11,44.58,44.63,43.14,43.28,426611
2020-08-12,43.7,44.18,43.3,44.16,497149
2020-08-13,44.22,44.26,43.43,43.58,309288
2020-08-14,43.76,44.16,43.66,43.89,509101
2020-08-17,44.09,44.25,43.74,43.9,410848
2020-08-18,44.21,44.46,43.65,43.65,341462
2020-08-19,43.88,43.88,43.31,43.41,356346
2020-08-20,44.69,45.06,43.98,44.11,734263
2020-08-21,44.09,44.25,43.68,44.23,369710
2020-08-24,44.29,44.32,43.82,44.1,308299
2020-08-25,44.25,44.75,44.18,44.38,459442
2020-08-26,44.3,44.58,44.19,44.44,237884
2020-08-27,44.68,44.8,44.15,44.36,281181
2020-08-28,44.43,45.59,44.42,45.24,460013
2020-08-31,45.8,46.22,45.18,45.81,544763
2020-09-01,45.74,45.77,45.07,45.61,761259
2020-09-02,46.03,47.28,45.93,46.91,553513
2020-09-03,47.14,47.22,45.01,45.24,730019
2020-09-04,45.37,45.97,44.43,44.96,844023
2020-09-08,44.27,44.79,43.85,43.89,851858
2020-09-09,44.41,44.84,44.03,44.54,336863
2020-09-10,44.87,44.94,43.72,43.97,690198
2020-09-11,44.25,44.92,43.95,44.23,553716
2020-09-14,43.91,44.62,43.91,44.34,403073
2020-09-15,44.65,45.42,44.65,44.87,914210
2020-09-16,45.25,45.8,45.03,45.18,643572
2020-09-17,44.43,45.31,44.28,45.11,390781
2020-09-18,45.18,45.3,44.06,44.76,378488
2020-09-21,44.21,44.63,43.83,44.63,325559
2020-09-22,44.76,45.05,44.41,44.86,275485
2020-09-23,44.64,45.0,43.67,43.83,256531
2020-09-24,43.55,44.55,43.47,44.1,703626
2020-09-25,43.85,45.11,43.76,44.81,509153
2020-09-28,45.28,46.17,45.05,46.12,313071
2020-09-29,46.05,46.43,45.74,45.94,359899
2020-09-30,45.98,47.01,45.96,46.47,625593
2020-10-01,47.01,47.32,46.67,46.9,536133
2020-10-02,46.27,46.64,45.77,45.8,642087
2020-10-05,46.12,46.5,46.03,46.4,748257
2020-10-06,46.38,47.3,45.99,46.16,590808
2020-10-07,46.6,47.47,46.6,47.25,808974
2020-10-08,47.49,48.09,47.28,47.91,596235
2020-10-09,48.13,48.32,47.27,47.4,563287
2020-10-12,48.0,48.64,47.78,48.36,839909
2020-10-13,48.7,48.72,48.13,48.28,881180
2020-10-14,48.51,48.83,48.04,48.04,485371
2020-10-15,47.34,48.44,47.23,48.36,463504
2020-10-16,48.38,49.09,48.38,48.62,848805
2020-10-19,48.89,49.98,48.32,49.02,1786459
2020-10-20,48.99,49.09,47.84,47.98,1184861
2020-10-21,47.66,48.52,47.42,48.04,898448
2020-10-22,47.73,48.66,47.65,48.41,942190
2020-10-23,43.4,43.66,42.78,43.26,3488877
2020-10-26,42.93,42.93,41.52,41.91,1693840
2020-10-27,41.29,41.65,40.72,40.96,1850481
2020-10-28,40.36,40.64,39.67,39.7,1027559
2020-10-29,39.66,39.9,39.43,39.6,1214012
2020-10-30,39.6,40.2,39.15,39.73,1358721
2020-11-02,40.4,40.43,39.72,39.87,977194
2020-11-03,40.15,40.79,40.14,40.27,1031904
2020-11-04,40.49,41.41,40.2,41.03,870589
2020-11-05,41.72,41.92,41.16,41.29,1040515
2020-11-06,41.17,41.4,40.59,41.02,1107875
2020-11-09,42.17,42.8,41.17,41.23,1306028
2020-11-10,41.04,42.02,40.91,41.09,1522487
2020-11-11,41.53,41.99,41.46,41.91,1513158
2020-11-12,41.74,41.75,40.28,40.63,1766726
2020-11-13,40.66,41.2,40.66,41.09,1193006
2020-11-16,41.6,42.26,41.41,41.76,954883
2020-11-17,41.28,41.69,41.05,41.17,894580
2020-11-18,41.18,41.29,40.72,40.72,1096814
2020-11-19,40.59,41.29,40.42,41.29,738711
2020-11-20,41.25,41.47,40.99,41.04,478079
2020-11-23,41.14,41.78,41.11,41.65,1299920
2020-11-24,41.83,42.76,41.6,42.51,879676
2020-11-25,42.51,42.65,42.1,42.55,598995
2020-11-27,42.82,43.44,42.82,42.91,554625
2020-11-30,42.86,43.85,42.73,43.82,895896
2020-12-01,44.1,45.39,44.07,44.8,1551979
2020-12-02,44.5,45.25,44.47,45.11,760580
2020-12-03,45.18,46.2,45.01,46.12,1334875
2020-12-04,46.16,47.59,46.16,47.0,1353423
2020-12-07,46.1,46.37,44.81,45.41,1174122
2020-12-08,45.04,45.85,45.04,45.83,1015940
2020-12-09,45.43,45.95,44.96,45.29,1033741
2020-12-10,44.86,45.84,44.84,45.44,592652
2020-12-11,45.25,45.25,44.4,44.96,1198089
2020-12-14,45.01,46.41,44.97,45.6,1103421
2020-12-15,46.11,46.11,45.4,45.81,870194
2020-12-16,45.87,46.52,45.83,46.19,803895
2020-12-17,46.31,46.31,45.41,45.79,847500
2020-12-18,45.69,45.82,42.62,42.93,2575370
2020-12-21,41.83,41.98,40.9,41.96,1268549
2020-12-22,41.81,41.88,41.38,41.75,912180
2020-12-23,41.78,42.51,41.67,42.07,542225
2020-12-24,42.1,42.56,41.91,42.56,343255
2020-12-28,42.72,43.06,42.37,42.56,397717
2020-12-29,42.68,45.78,42.03,44.62,2042425
2020-12-30,44.4,44.46,43.91,44.05,585116
2020-12-31,44.1,45.37,44.09,45.06,608166
2021-01-04,45.07,46.45,44.67,44.89,1105688
2021-01-05,44.74,45.93,44.6,45.75,680659
2021-01-06,45.6,47.15,45.41,46.22,950365
2021-01-07,46.62,47.63,46.38,47.15,1093826
2021-01-08,47.45,47.48,46.37,46.74,1160558
2021-01-11,46.35,47.2,46.34,46.59,752222
2021-01-12,46.89,48.68,46.62,48.13,1478727
2021-01-13,53.8,54.46,51.44,51.5,3783863
2021-01-14,52.82,54.37,52.35,53.66,2382570
2021-01-15,53.15,53.92,51.98,52.12,1479889
2021-01-19,52.39,52.73,51.64,52.45,752467
2021-01-20,52.68,53.51,52.52,53.08,526149
2021-01-21,53.39,57.8,52.65,56.2,2100371
2021-01-22,53.15,53.88,51.22,51.22,2651896
2021-01-25,50.97,51.05,48.88,50.13,1745490
2021-01-26,49.97,50.81,49.67,49.91,1108931
2021-01-27,49.36,49.58,48.19,48.38,1373346
2021-01-28,49.53,51.89,49.45,50.69,1367471
2021-01-29,50.62,51.67,50.05,50.15,906326
2021-02-01,50.58,51.88,50.37,51.25,803134
2021-02-02,51.71,52.69,51.42,52.44,869180
2021-02-03,52.43,52.72,51.88,52.15,863766
2021-02-04,52.33,53.54,52.03,53.49,823838
2021-02-05,53.69,53.69,52.87,52.89,660466
2021-02-08,53.14,53.84,52.71,53.84,1086844
2021-02-09,53.49,53.94,52.71,53.44,895553
2021-02-10,53.93,54.04,52.88,53.56,552671
2021-02-11,53.74,55.46,53.54,55.2,858360
2021-02-12,55.08,56.85,54.97,56.25,758856
2021-02-16,56.35,57.18,56.15,56.85,945938
2021-02-17,55.94,56.56,55.68,56.24,610950
2021-02-18,55.29,56.36,55.29,56.01,562310
2021-02-19,56.25,57.54,56.25,57.3,1506990
2021-02-22,56.28,57.01,55.18,55.21,996077
2021-02-23,55.01,55.92,53.83,55.56,978581
2021-02-24,55.11,57.55,54.95,57.51,754062
2021-02-25,56.8,57.77,54.69,54.88,1133458
2021-02-26,55.41,56.09,54.29,55.25,822405
2021-03-01,56.15,57.37,56.08,57.26,700317
2021-03-02,57.15,57.41,55.58,55.65,511130
2021-03-03,55.15,55.94,54.31,54.44,911352
2021-03-04,54.44,54.77,52.69,52.98,1045377
2021-03-05,53.92,55.64,53.22,55.26,1032553
2021-03-08,54.98,56.1,54.34,54.4,843892
2021-03-09,55.69,57.44,55.35,57.01,1174097
2021-03-10,57.53,58.32,56.52,56.52,627594
2021-03-11,57.32,58.28,56.76,57.59,839676
2021-03-12,56.98,57.56,56.61,57.2,558045
2021-03-15,57.86,58.09,56.84,58.03,562971
2021-03-16,58.43,59.78,58.32,58.94,806146
2021-03-17,58.49,60.28,57.96,59.85,1049045
2021-03-18,59.62,59.75,57.91,57.94,773303
2021-03-19,57.39,59.1,57.23,57.96,791282
2021-03-22,58.99,60.37,58.74,59.72,848269
2021-03-23,60.03,60.03,57.46,57.73,1029760
2021-03-24,60.57,61.34,56.4,56.4,2290128
2021-03-25,56.12,56.78,55.46,56.4,1154515
2021-03-26,56.24,59.08,56.18,59.06,906452
2021-03-29,58.31,59.23,57.86,58.67,647036
2021-03-30,58.04,58.11,57.45,57.89,534452
2021-03-31,58.19,58.65,57.83,58.25,1057965
2021-04-01,58.93,58.99,57.83,58.72,1013123
2021-04-05,59.2,60.7,58.86,60.57,830670
2021-04-06,60.1,60.55,59.38,59.64,543278
2021-04-07,59.68,60.53,59.46,60.25,431338
2021-04-08,60.9,61.18,60.37,60.96,569890
2021-04-09,60.78,62.21,60.6,62.09,706344
2021-04-12,62.03,62.29,58.86,59.52,1554891
2021-04-13,59.63,59.65,58.4,59.33,456899
2021-04-14,59.4,59.44,58.07,58.42,654526
2021-04-15,58.16,59.32,57.94,59.17,694141
2021-04-16,59.42,59.58,58.73,58.87,487646
2021-04-19,58.77,58.83,57.36,57.85,539772
2021-04-20,57.88,57.95,56.78,57.0,551530
2021-04-21,57.05,58.0,56.67,57.97,428066
2021-04-22,57.48,58.12,56.65,56.9,1045722
2021-04-23,53.77,54.57,52.66,53.87,2420464
2021-04-26,53.8,54.12,53.18,53.38,1127901
2021-04-27,53.24,53.28,52.54,52.74,726252
2021-04-28,52.35,52.87,52.0,52.38,773498
2021-04-29,52.73,53.03,52.29,53.02,580283
2021-04-30,52.41,53.14,51.91,52.35,850197
2021-05-03,52.6,52.62,51.71,52.05,663223
2021-05-04,51.73,51.82,50.78,51.78,1661580
2021-05-05,51.89,52.11,51.38,51.71,533642
2021-05-06,51.81,52.36,51.48,52.36,792540
2021-05-07,52.8,53.08,52.4,52.82,762864
2021-05-10,52.31,52.37,51.14,51.17,665673
2021-05-11,50.31,50.89,49.69,50.35,1042591
2021-05-12,49.71,49.98,48.9,49.08,746586
2021-05-13,49.49,49.77,48.92,49.43,881254
2021-05-14,50.02,51.11,49.66,50.62,688060
2021-05-17,50.6,51.15,50.14,50.63,408091
2021-05-18,51.22,51.35,50.16,50.16,537758
2021-05-19,49.42,50.73,49.3,50.7,418515
2021-05-20,50.85,51.46,50.69,51.22,522433
2021-05-21,51.63,51.88,51.23,51.29,392915
2021-05-24,51.84,52.51,51.63,52.09,530759
2021-05-25,52.68,52.68,51.64,52.04,614002
2021-05-26,52.17,52.36,51.78,52.14,625094
2021-05-27,52.21,52.96,52.17,52.84,807509
2021-05-28,52.67,52.75,52.12,52.27,586677
2021-06-01,52.82,52.91,51.79,52.03,565205
2021-06-02,52.09,52.78,51.94,52.64,727815
2021-06-03,52.08,52.25,51.35,51.47,493456
2021-06-04,51.81,52.85,51.8,52.5,581231
2021-06-07,52.46,52.48,51.96,52.25,416622
2021-06-08,52.59,52.73,51.8,52.15,853727
2021-06-09,52.48,52.6,52.14,52.15,318609
2021-06-10,52.3,53.1,52.1,52.5,631068
2021-06-11,52.58,53.02,52.12,52.93,663174
2021-06-14,53.09,53.25,52.38,53.24,468983
2021-06-15,53.26,53.45,52.9,53.08,610659
2021-06-16,53.24,53.41,51.96,52.33,641328
2021-06-17,52.19,52.99,51.89,52.31,781196
2021-06-18,51.88,51.92,50.43,51.0,1079478
2021-06-21,51.05,51.28,50.68,51.16,526547
2021-06-22,51.09,51.49,50.83,51.12,555389
2021-06-23,51.17,51.17,50.55,50.57,887693
2021-06-24,50.83,51.34,50.65,51.32,507898
2021-06-25,51.35,51.61,51.02,51.2,575038
2021-06-28,51.6,52.83,51.57,52.6,1476303
2021-06-29,52.65,52.92,51.15,51.94,691970
2021-06-30,51.55,51.55,50.69,51.38,851620
2021-07-01,51.38,51.81,51.14,51.27,911053
2021-07-02,51.81,52.14,51.54,51.93,496991
2021-07-06,52.14,52.14,50.97,51.34,504377
2021-07-07,51.59,51.66,50.99,51.19,613972
2021-07-08,50.58,50.99,50.15,50.73,862091
2021-07-09,50.76,51.34,50.63,51.22,569537
2021-07-12,51.44,51.92,51.35,51.92,391886
2021-07-13,51.79,52.43,51.59,52.03,489443
2021-07-14,52.31,52.56,51.57,51.7,458480
2021-07-15,51.61,51.61,50.87,51.08,624071
2021-07-16,51.36,52.08,50.25,50.31,797525
2021-07-19,49.77,50.14,49.4,49.99,818679
2021-07-20,50.22,50.84,49.67,50.55,494809
2021-07-21,50.53,51.5,50.34,51.46,563649
2021-07-22,51.3,51.74,50.98,51.22,832351
2021-07-23,50.0,50.0,47.89,48.56,2619642
2021-07-26,48.28,49.91,48.28,49.74,1273213
2021-07-27,48.52,48.68,47.87,48.67,953880
2021-07-28,48.53,49.34,48.45,48.57,623639
2021-07-29,48.93,49.49,48.8,49.13,465805
2021-07-30,49.1,49.3,48.74,49.18,402985
2021-08-02,49.43,49.84,48.99,49.12,500840
2021-08-03,49.3,49.56,48.74,49.48,315422
2021-08-04,49.65,49.82,49.14,49.32,486433
2021-08-05,49.66,49.76,49.39,49.65,392368
2021-08-06,49.6,49.85,49.5,49.71,381590
2021-08-09,49.81,50.11,49.59,49.8,270885
2021-08-10,49.93,50.09,49.3,49.69,490807
2021-08-11,50.04,50.05,49.59,49.85,476299
2021-08-12,49.89,49.9,49.06,49.3,486239
2021-08-13,49.28,49.29,48.87,49.28,427120
2021-08-16,49.06,49.27,48.82,49.25,394546
2021-08-17,48.97,48.97,48.11,48.56,683823
2021-08-18,48.44,48.83,48.01,48.02,366301
2021-08-19,47.92,48.5,47.51,48.3,427211
2021-08-20,48.01,48.23,47.38,47.91,435350
2021-08-23,48.43,49.31,48.37,49.01,527881
2021-08-24,49.34,49.71,49.13,49.58,549760
2021-08-25,49.8,49.95,49.49,49.55,337865
2021-08-26,49.47,49.48,48.79,48.96,464905
2021-08-27,49.01,49.68,48.75,49.64,502460
2021-08-30,49.96,50.54,49.52,49.68,306250
2021-08-31,50.11,50.11,49.43,49.78,425984
2021-09-01,49.84,49.88,49.31,49.44,395443
2021-09-02,49.63,49.63,49.14,49.5,385016
2021-09-03,49.22,49.8,49.12,49.29,263006
2021-09-07,49.33,49.69,49.23,49.42,272949
2021-09-08,49.49,49.62,48.81,49.35,934144
2021-09-09,49.42,49.63,49.13,49.2,341873
2021-09-10,49.6,50.64,49.57,49.58,412179
2021-09-13,50.35,51.11,50.12,50.69,437704
2021-09-14,50.99,51.05,50.0,50.24,641140
2021-09-15,50.29,50.79,50.15,50.79,365718
2021-09-16,50.56,50.6,49.97,50.53,464086
2021-09-17,50.2,50.21,49.43,50.0,491496
2021-09-20,49.01,49.27,48.2,48.84,537020
2021-09-21,49.0,49.23,48.68,48.72,364783
2021-09-22,49.11,49.61,48.94,49.3,519654
2021-09-23,49.51,50.01,49.44,49.83,641207
2021-09-24,49.52,50.11,49.52,49.95,343384
2021-09-27,49.67,50.53,49.64,50.36,357660
2021-09-28,49.8,50.27,49.71,49.75,741101
2021-09-29,49.61,49.77,48.98,49.27,564876
2021-09-30,49.5,49.72,49.1,49.1,457286
2021-10-01,49.45,49.83,48.86,49.57,361170
2021-10-04,49.66,50.02,49.01,49.29,558315
2021-10-05,49.48,50.05,49.26,49.69,400377
2021-10-06,49.2,49.78,48.89,49.73,479512
2021-10-07,50.0,50.65,49.86,49.86,462449
2021-10-08,50.24,50.27,49.47,49.56,333700
2021-10-11,49.58,50.12,49.2,49.21,231307
