date,open,high,low,close,volume
2020-07-27,22.88,23.54,22.83,23.5,156284
2020-07-28,23.51,24.0,23.39,23.9,92164
2020-07-29,24.13,24.62,24.07,24.6,85313
2020-07-30,24.34,25.1,24.34,25.02,58704
2020-07-31,25.05,25.05,24.31,25.01,97640
2020-08-03,24.88,24.9,24.46,24.86,79610
2020-08-04,24.72,25.3,24.72,24.88,104157
2020-08-05,24.98,25.02,24.57,24.7,32033
2020-08-06,24.54,24.82,24.47,24.58,181800
2020-08-07,24.54,25.36,24.54,25.33,127664
2020-08-10,25.29,25.6,25.15,25.16,101951
2020-08-11,25.36,25.36,24.7,24.73,155449
2020-08-12,25.25,25.38,24.98,25.16,61297
2020-08-13,24.99,25.24,24.56,24.6,63607
2020-08-14,24.47,24.5,24.14,24.17,144055
2020-08-17,24.15,25.01,24.14,24.96,133842
2020-08-18,24.89,24.89,24.55,24.65,40805
2020-08-19,24.58,24.58,24.14,24.18,42033
2020-08-20,24.1,24.52,24.1,24.25,49405
2020-08-21,24.39,24.52,24.07,24.51,97924
2020-08-24,24.33,24.52,23.89,24.51,72333
2020-08-25,24.57,24.57,24.07,24.38,50141
2020-08-26,24.3,24.38,23.95,24.01,66954
2020-08-27,24.11,24.49,24.11,24.27,58502
2020-08-28,24.24,24.36,24.09,24.16,61896
2020-08-31,24.24,24.24,23.98,24.14,120561
2020-09-01,24.05,24.45,24.05,24.24,97714
2020-09-02,24.2,24.75,24.12,24.74,89784
2020-09-03,24.88,24.98,24.2,24.29,46196
2020-09-04,24.37,24.57,23.53,24.17,90195
2020-09-08,24.0,24.0,23.53,23.74,224159
2020-09-09,24.22,24.8,24.22,24.5,228365
2020-09-10,24.31,24.41,23.91,23.93,90007
2020-09-11,23.96,24.18,23.8,24.0,56474
2020-09-14,24.19,24.65,24.19,24.58,85104
2020-09-15,24.73,24.83,24.31,24.36,35296
2020-09-16,24.51,24.77,24.37,24.37,42180
2020-09-17,24.25,24.44,23.95,24.12,74755
2020-09-18,23.99,24.11,23.66,23.85,82831
2020-09-21,23.6,23.6,22.92,23.25,109297
2020-09-22,23.39,23.63,23.26,23.35,99083
2020-09-23,23.25,23.3,22.23,22.29,84841
2020-09-24,22.31,22.97,22.22,22.73,119829
2020-09-25,22.89,23.25,22.72,23.25,102505
2020-09-28,23.66,24.08,23.55,24.03,121501
2020-09-29,24.01,24.01,23.52,23.6,129468
2020-09-30,23.61,23.75,23.24,23.6,188750
2020-10-01,23.75,24.25,23.75,24.25,355403
