date,open,high,low,close,volume
2020-07-27,27.77,28.31,27.59,28.25,48146
2020-07-28,28.1,28.1,27.62,27.73,64297
2020-07-29,27.8,28.33,27.71,28.21,142669
2020-07-30,28.34,28.82,27.14,27.43,146486
2020-07-31,27.18,27.2,26.34,26.68,121591
2020-08-03,26.75,27.33,26.75,27.18,93074
2020-08-04,27.0,27.34,26.87,27.05,55559
2020-08-05,27.59,27.64,27.27,27.27,31331
2020-08-06,27.25,27.48,27.05,27.05,81169
2020-08-07,26.13,27.23,26.03,27.21,133850
2020-08-10,27.32,27.86,27.26,27.85,59207
2020-08-11,28.9,29.39,28.3,28.39,98244
2020-08-12,28.6,28.72,27.94,28.18,60609
2020-08-13,27.95,28.52,27.93,28.36,69613
2020-08-14,28.14,29.06,28.14,29.0,93639
2020-08-17,28.98,28.98,28.41,28.49,46414
2020-08-18,28.38,28.58,28.15,28.19,61512
2020-08-19,28.3,28.66,28.1,28.14,24052
2020-08-20,27.84,28.02,27.59,27.77,44417
2020-08-21,27.47,27.66,27.08,27.35,40614
2020-08-24,27.79,29.08,27.79,28.96,70575
2020-08-25,29.09,29.16,28.15,28.18,58014
2020-08-26,28.13,28.16,27.82,28.11,30934
2020-08-27,28.29,28.67,28.22,28.49,59543
2020-08-28,28.59,28.85,28.45,28.75,23848
2020-08-31,28.66,28.67,28.13,28.26,38755
2020-09-01,28.15,29.18,28.0,29.18,62366
2020-09-02,29.2,30.23,29.07,30.23,82629
2020-09-03,30.36,30.72,29.5,29.8,52948
2020-09-04,30.3,30.58,29.88,30.35,78575
2020-09-08,30.03,30.27,29.03,29.05,97146
2020-09-09,29.48,30.08,29.26,29.76,78492
2020-09-10,29.83,30.11,29.53,29.57,41933
2020-09-11,29.73,30.43,29.52,30.29,55564
2020-09-14,30.65,31.86,30.64,31.73,234606
2020-09-15,31.92,32.47,31.75,32.41,131144
2020-09-16,32.55,32.95,32.23,32.59,90702
2020-09-17,32.25,33.5,31.89,33.35,132629
2020-09-18,33.28,33.48,32.66,32.7,75810
2020-09-21,31.95,32.25,31.33,31.91,71960
2020-09-22,31.8,32.02,31.37,31.71,53671
2020-09-23,31.68,31.69,30.5,30.55,62836
2020-09-24,30.55,31.05,30.13,30.46,57021
2020-09-25,29.88,32.28,29.88,32.02,238530
2020-09-28,32.4,32.47,31.63,31.99,130067
2020-09-29,31.98,31.98,30.97,31.34,79568
