date,open,high,low,close,volume
2020-07-27,158.76,163.53,158.76,162.24,52929
2020-07-28,158.75,160.715,158.44,158.825,104554
2020-07-29,160.065,160.87,159.05,160.07,54173
2020-07-30,158.43,158.93,156.17,158.34,37804
2020-07-31,158.18,158.42,155.795,158.42,56447
2020-08-03,158.64,161.94,158.51,161.215,21428
2020-08-04,160.115,160.79,159.26,160.08,45510
2020-08-05,161.265,161.52,159.815,160.76,18030
2020-08-06,160.92,161.54,159.53,161.09,24127
2020-08-07,160.245,160.945,159.05,160.63,35041
2020-08-10,160.13,160.57,159.05,159.67,29025
2020-08-11,160.335,161.525,158.965,159.31,17706
2020-08-12,160.34,163.25,160.015,162.84,42107
2020-08-13,162.66,164.93,162.66,163.8,23194
2020-08-14,162.42,162.8,160.53,161.23,23225
2020-08-17,161.48,163.06,161.185,161.4,12877
2020-08-18,161.78,161.78,159.43,160.48,11891
2020-08-19,160.2,161.65,159.74,160.22,17674
2020-08-20,158.26,158.85,157.535,157.97,23875
2020-08-21,158.04,158.04,156.36,157.67,34320
2020-08-24,157.79,158.23,155.17,156.19,24939
2020-08-25,154.74,157.79,154.74,156.98,45009
2020-08-26,156.91,159.075,156.82,158.45,27669
2020-08-27,158.27,159.855,156.525,158.49,20829
2020-08-28,158.52,161.22,158.02,161.21,71394
2020-08-31,160.465,164.88,160.465,164.02,65392
2020-09-01,163.835,165.76,163.1,165.06,31917
2020-09-02,165.585,170.465,164.87,169.77,39437
2020-09-03,169.26,169.26,163.295,165.005,30663
2020-09-04,165.61,165.61,157.185,160.185,78179
2020-09-08,157.76,161.56,157.66,157.66,24853
2020-09-09,160.01,163.02,159.48,161.12,43610
2020-09-10,162.04,163.695,159.5,159.5,61208
2020-09-11,160.69,161.43,158.255,159.53,14901
2020-09-14,160.895,162.895,160.895,161.73,15001
2020-09-15,163.9,165.685,163.52,164.73,54787
2020-09-16,165.505,165.505,162.06,162.14,46590
2020-09-17,161.31,161.31,158.61,160.54,40747
2020-09-18,160.05,160.735,156.715,157.185,52960
2020-09-21,154.44,154.44,150.88,154.09,35110
2020-09-22,153.83,154.44,152.69,153.285,64100
2020-09-23,153.37,153.37,148.96,148.99,34468
2020-09-24,148.87,149.49,146.305,148.12,25215
2020-09-25,147.47,152.45,146.26,151.25,158844
2020-09-28,153.985,156.785,153.975,155.05,37531
2020-09-29,154.73,157.94,154.63,154.81,65920
2020-09-30,155.11,158.97,155.11,157.73,32539
2020-10-01,158.765,160.605,157.595,158.345,62999
2020-10-02,155.91,158.21,155.81,156.77,41201
2020-10-05,158.88,161.6,158.88,160.52,39803
2020-10-06,161.225,162.905,159.41,159.41,33132
2020-10-07,161.685,164.64,161.685,164.15,27475
2020-10-08,165.015,166.03,163.83,164.5,37362
2020-10-09,165.185,167.49,165.185,166.73,167518
2020-10-12,167.99,171.76,166.585,170.41,48350
2020-10-13,169.3,170.8,166.59,166.59,56236
2020-10-14,167.32,168.04,164.285,165.89,62388
2020-10-15,163.585,163.92,161.41,162.0,114991
2020-10-16,163.5,166.38,163.47,164.59,60770
2020-10-19,164.88,166.49,163.07,164.17,77964
2020-10-20,172.68,176.0,172.45,173.52,165519
2020-10-21,173.97,174.5,169.24,169.24,73884
2020-10-22,169.885,171.75,167.67,169.3,79029
2020-10-23,170.1,170.525,166.53,167.48,63113
2020-10-26,165.425,165.58,159.9,162.11,69116
2020-10-27,162.71,162.74,158.705,159.14,103381
2020-10-28,155.945,158.435,155.6,155.63,97398
2020-10-29,156.695,157.565,153.625,154.665,107661
2020-10-30,154.655,154.815,150.85,153.78,63169
2020-11-02,155.93,157.57,154.3,155.09,64520
2020-11-03,157.885,160.9,157.185,160.2,50997
2020-11-04,162.87,174.02,162.87,170.91,85252
2020-11-05,172.67,176.09,171.29,171.8,77310
2020-11-06,171.65,173.02,170.4,171.31,41631
2020-11-09,179.6,180.35,173.355,173.37,115210
2020-11-10,172.62,172.64,165.51,166.0,157720
2020-11-11,167.31,169.44,165.67,167.85,52922
2020-11-12,168.37,169.65,166.7,167.72,41545
2020-11-13,169.225,174.51,169.065,173.93,62646
2020-11-16,173.66,174.7,171.89,173.57,49030
2020-11-17,171.69,172.31,168.94,172.06,68531
2020-11-18,172.21,173.48,168.87,168.87,59535
2020-11-19,169.18,169.845,167.075,169.48,59674
2020-11-20,169.05,170.89,168.94,169.83,41680
2020-11-23,170.23,171.26,169.465,170.47,100282
2020-11-24,172.04,173.81,170.91,171.87,41661
2020-11-25,171.49,171.71,169.34,169.875,69809
2020-11-27,170.22,170.42,168.415,168.79,43519
2020-11-30,170.06,170.42,167.815,169.06,77923
2020-12-01,170.555,173.515,170.46,171.22,61382
2020-12-02,169.6,170.71,168.89,170.04,41616
2020-12-03,169.56,170.89,167.31,167.6,47091
2020-12-04,168.07,170.59,165.82,170.59,84379
2020-12-07,170.64,172.14,169.22,170.21,76755
2020-12-08,169.445,171.42,168.38,171.34,44655
2020-12-09,171.19,171.33,168.42,168.6,70068
2020-12-10,168.13,169.93,167.56,168.62,38009
2020-12-11,167.485,168.57,165.605,167.84,65196
2020-12-14,169.025,172.1,166.985,167.245,54364
2020-12-15,168.67,173.27,167.67,172.44,57250
2020-12-16,172.57,175.45,171.07,174.67,44987
2020-12-17,175.0,179.18,175.0,178.865,30233
2020-12-18,180.0,180.91,177.85,180.445,30254
2020-12-21,176.73,177.82,173.99,176.57,32109
2020-12-22,176.725,177.22,174.705,176.96,61730
2020-12-23,177.87,178.795,174.91,175.75,96631
2020-12-24,176.28,176.28,174.975,175.995,44107
2020-12-28,177.49,177.49,174.025,175.26,54552
2020-12-29,177.205,177.325,174.335,174.83,30834
2020-12-30,175.405,178.49,175.405,177.62,45856
2020-12-31,177.18,179.24,175.39,179.14,19563
2021-01-04,178.22,179.74,174.46,176.39,46642
2021-01-05,176.23,180.24,176.23,179.33,38847
2021-01-06,178.82,186.905,178.675,186.49,45650
2021-01-07,187.71,189.66,187.61,188.11,36840
2021-01-08,188.37,191.99,188.37,191.23,43928
2021-01-11,190.31,191.98,188.4,191.375,29755
2021-01-12,191.0,192.12,187.98,189.78,35350
2021-01-13,190.065,191.2,189.06,189.45,19116
2021-01-14,189.36,190.3,187.75,188.075,23669
2021-01-15,187.135,188.74,185.83,187.4,34697
2021-01-19,190.96,190.96,187.29,189.07,41629
2021-01-20,189.4,191.12,188.03,190.63,38253
2021-01-21,190.81,191.08,187.68,187.885,37023
2021-01-22,187.185,187.185,185.22,185.85,21057
2021-01-25,186.11,186.305,179.685,183.0,51815
2021-01-26,184.18,184.35,180.185,180.33,49533
2021-01-27,176.09,176.09,170.0,172.96,109319
2021-01-28,175.98,180.225,175.35,178.53,43697
2021-01-29,177.445,181.54,177.05,177.66,51059
2021-02-01,180.255,182.03,178.99,180.625,40590
2021-02-02,182.78,186.97,182.51,184.62,48892
2021-02-03,184.05,184.94,182.57,183.0,38438
2021-02-04,183.51,185.86,182.36,184.42,24975
2021-02-05,186.36,186.625,184.845,186.27,25819
2021-02-08,187.57,188.805,186.42,186.91,41597
2021-02-09,186.09,187.0,183.81,183.82,75483
2021-02-10,196.67,199.51,189.65,189.98,132769
2021-02-11,191.31,196.66,191.31,192.77,63873
2021-02-12,192.135,193.15,189.02,192.78,48764
2021-02-16,192.64,193.15,189.73,190.78,47995
2021-02-17,188.66,191.67,188.47,188.96,28780
2021-02-18,187.59,189.01,185.51,187.87,40408
2021-02-19,187.79,189.44,186.42,188.75,86290
2021-02-22,187.17,190.68,186.705,190.225,81730
2021-02-23,190.65,192.705,189.99,190.955,112998
2021-02-24,191.67,197.08,191.67,194.55,154910
2021-02-25,194.86,194.9,190.78,192.525,60100
2021-02-26,194.39,195.24,189.56,192.94,78461
2021-03-01,195.0,196.35,192.56,194.44,51785
2021-03-02,194.62,194.62,190.45,192.975,39383
