date,open,high,low,close,volume
2020-07-27,31.47,31.75,31.28,31.65,65726
2020-07-28,31.73,31.79,31.02,31.17,162659
2020-07-29,31.5,31.98,31.24,31.97,73911
2020-07-30,31.44,31.7,31.09,31.62,53249
2020-07-31,31.66,31.85,30.85,31.44,60456
2020-08-03,31.57,32.48,31.49,32.44,188722
2020-08-04,32.73,33.25,31.94,32.41,237680
2020-08-05,32.79,33.41,32.62,32.8,132903
2020-08-06,32.89,32.95,32.37,32.81,52072
2020-08-07,32.78,33.71,32.61,33.71,111511
2020-08-10,33.64,34.82,33.64,34.82,113349
2020-08-11,35.25,35.97,35.25,35.68,224051
2020-08-12,35.97,35.97,35.19,35.51,74222
2020-08-13,35.12,35.25,34.87,34.93,58120
2020-08-14,34.44,35.39,34.44,35.19,50065
2020-08-17,35.1,35.3,34.49,34.62,67527
2020-08-18,34.66,34.81,34.42,34.43,32371
2020-08-19,34.32,34.76,34.12,34.24,72246
2020-08-20,33.74,34.5,33.74,34.5,31518
2020-08-21,34.52,34.71,34.27,34.56,41550
2020-08-24,34.64,35.24,34.64,35.22,38386
2020-08-25,35.39,35.39,34.75,35.07,51910
2020-08-26,34.99,35.16,34.7,34.96,93056
2020-08-27,35.14,35.29,34.89,35.09,44231
2020-08-28,35.14,35.63,35.02,35.56,72212
2020-08-31,35.38,35.38,34.88,34.88,49074
2020-09-01,34.6,36.0,34.55,36.0,60414
2020-09-02,35.98,36.1,35.51,35.92,47770
2020-09-03,35.84,35.95,34.87,35.19,35600
2020-09-04,35.67,35.96,35.04,35.12,54964
2020-09-08,34.83,34.83,33.87,34.26,116791
2020-09-09,34.63,35.47,34.63,35.19,78297
2020-09-10,35.23,35.54,34.79,34.83,61944
2020-09-11,34.94,35.9,34.94,35.73,56847
2020-09-14,35.87,36.17,35.64,36.12,41110
2020-09-15,36.13,36.39,35.81,36.15,46972
2020-09-16,36.45,37.18,36.28,36.72,78391
2020-09-17,36.23,37.42,36.0,36.95,102241
2020-09-18,36.92,37.12,35.64,35.71,53861
2020-09-21,34.84,35.21,33.85,34.49,70604
2020-09-22,34.5,35.01,34.49,34.9,176508
2020-09-23,34.98,35.58,34.82,34.82,79810
2020-09-24,34.85,35.76,34.75,35.19,53548
2020-09-25,34.96,35.41,34.68,35.19,51196
2020-09-28,36.02,36.56,35.81,35.81,58808
2020-09-29,35.97,36.31,35.5,35.67,48335
2020-09-30,35.72,36.17,35.07,35.45,52815
2020-10-01,35.59,35.89,34.98,35.36,86922
2020-10-02,34.75,36.35,34.69,35.86,52600
2020-10-05,36.39,36.9,36.33,36.68,102061
2020-10-06,36.93,37.22,36.2,36.25,93125
2020-10-07,36.68,36.91,36.26,36.46,155015
2020-10-08,36.74,37.1,36.31,37.02,116232
2020-10-09,37.46,37.55,36.9,36.93,68018
2020-10-12,37.12,37.18,36.71,37.02,57325
2020-10-13,36.88,37.43,36.87,37.34,152205
2020-10-14,37.49,37.86,37.13,37.16,86300
2020-10-15,36.45,36.94,36.11,36.86,100137
2020-10-16,37.53,37.74,37.01,37.01,68238
2020-10-19,36.97,37.25,36.37,36.38,39507
2020-10-20,36.85,37.58,36.79,37.05,69187
2020-10-21,37.06,37.69,37.06,37.08,54546
2020-10-22,37.1,37.83,36.86,37.71,68536
2020-10-23,37.98,38.15,37.27,38.03,94869
2020-10-26,37.32,37.32,35.82,36.34,128176
2020-10-27,36.45,36.45,35.74,35.91,93779
2020-10-28,35.16,35.66,34.96,35.02,94453
2020-10-29,34.86,35.26,34.53,34.9,91009
2020-10-30,34.72,35.07,34.19,34.75,198153
2020-11-02,35.32,35.91,35.21,35.71,139131
2020-11-03,35.9,38.76,35.88,38.52,270199
2020-11-04,38.43,38.45,36.81,37.86,234625
2020-11-05,38.42,39.98,38.42,39.57,139399
2020-11-06,39.61,40.23,39.42,40.01,107577
2020-11-09,41.78,44.71,41.78,42.57,339099
2020-11-10,42.41,43.56,42.41,42.52,191713
2020-11-11,42.71,42.71,42.0,42.35,104449
2020-11-12,42.06,42.63,41.88,42.29,143275
2020-11-13,42.53,43.51,42.34,42.55,144188
2020-11-16,43.35,44.74,43.04,44.72,280168
2020-11-17,44.33,44.72,43.63,44.39,126110
2020-11-18,44.53,44.63,43.68,43.69,66413
2020-11-19,43.52,44.06,43.3,44.0,71601
2020-11-20,43.95,44.18,43.71,44.02,82559
2020-11-23,44.64,44.81,44.22,44.24,117644
2020-11-24,45.17,45.33,44.75,45.23,110213
2020-11-25,45.06,45.06,44.48,44.59,41969
2020-11-27,44.78,44.83,44.43,44.55,23366
2020-11-30,44.33,44.61,43.85,44.03,78301
2020-12-01,44.7,45.24,44.53,44.55,89161
2020-12-02,44.04,44.65,44.04,44.06,91119
2020-12-03,44.11,44.72,43.91,44.18,118597
2020-12-04,44.7,45.17,44.65,44.92,44572
2020-12-07,45.0,45.0,43.95,44.1,69093
