date,open,high,low,close,volume
2020-07-27,21.01,21.4,20.93,21.39,25014
2020-07-28,21.35,21.65,21.35,21.49,76312
2020-07-29,21.73,21.83,21.44,21.81,43980
2020-07-30,21.45,21.79,21.45,21.78,59192
2020-07-31,21.91,21.91,21.55,21.74,131384
2020-08-03,21.53,21.69,21.47,21.64,47627
2020-08-04,21.63,22.31,21.63,22.25,64425
2020-08-05,22.4,22.48,22.13,22.35,68424
2020-08-06,22.61,22.96,22.24,22.44,151440
2020-08-07,22.62,22.85,22.46,22.71,46374
2020-08-10,22.8,23.04,22.74,22.96,45516
2020-08-11,23.11,23.19,22.75,22.79,38267
2020-08-12,22.87,23.07,22.72,23.02,37420
2020-08-13,22.9,23.23,22.57,22.66,62114
2020-08-14,22.5,23.02,22.5,22.96,61982
2020-08-17,22.94,23.45,22.83,23.4,70456
2020-08-18,23.36,23.41,23.04,23.14,60667
2020-08-19,23.02,23.22,22.89,23.14,47850
2020-08-20,23.19,23.29,23.13,23.2,26896
2020-08-21,23.24,23.35,23.22,23.31,32429
2020-08-24,23.24,23.39,22.89,23.39,29988
2020-08-25,23.49,23.58,23.14,23.39,24533
2020-08-26,23.14,23.34,22.99,23.33,32229
2020-08-27,23.41,23.59,23.33,23.47,93722
2020-08-28,23.32,23.4,23.14,23.4,49529
2020-08-31,23.36,23.43,23.16,23.22,36914
2020-09-01,23.16,23.22,22.94,23.09,47358
2020-09-02,23.03,23.55,22.94,23.52,36297
2020-09-03,23.59,23.65,23.14,23.37,58885
2020-09-04,23.53,23.62,23.05,23.26,42075
2020-09-08,23.14,23.39,22.81,23.23,44842
2020-09-09,23.61,23.73,23.18,23.19,95765
2020-09-10,23.21,23.27,22.97,22.97,52915
2020-09-11,23.01,23.13,22.8,23.0,28691
2020-09-14,23.24,23.25,22.76,22.81,66919
2020-09-15,22.86,23.07,22.68,22.89,21068
2020-09-16,22.94,23.28,22.85,23.07,49690
2020-09-17,22.82,23.02,22.63,22.69,86860
2020-09-18,22.53,22.7,22.29,22.31,60834
2020-09-21,21.89,21.91,21.26,21.45,93175
2020-09-22,21.5,21.73,21.38,21.39,86177
2020-09-23,21.33,21.36,20.52,20.52,144521
2020-09-24,20.52,21.05,20.45,20.88,145991
2020-09-25,20.76,20.97,20.73,20.9,85993
2020-09-28,21.29,21.29,20.89,20.94,62518
2020-09-29,20.91,21.12,20.76,21.08,75547
2020-09-30,21.3,21.47,20.87,21.11,77810
2020-10-01,21.26,21.3,20.92,21.28,112475
2020-10-02,21.03,21.56,20.93,21.53,106312
2020-10-05,21.65,21.66,21.26,21.54,62262
2020-10-06,21.62,21.76,21.24,21.37,94780
2020-10-07,21.36,21.41,21.22,21.34,51829
2020-10-08,21.4,22.29,21.4,22.24,85661
2020-10-09,22.46,22.59,22.1,22.26,140187
2020-10-12,22.28,22.35,22.09,22.33,51866
2020-10-13,22.02,22.03,21.53,21.77,145928
2020-10-14,21.83,21.87,21.55,21.66,58867
2020-10-15,21.59,22.03,21.54,21.77,49389
2020-10-16,21.66,21.85,21.59,21.68,46840
2020-10-19,21.79,21.8,21.46,21.52,113479
2020-10-20,21.73,21.86,21.63,21.68,59599
2020-10-21,21.54,21.64,21.42,21.56,44149
2020-10-22,21.59,21.79,21.51,21.78,77208
2020-10-23,21.9,22.04,21.67,21.91,50286
2020-10-26,21.78,21.78,21.43,21.5,101769
2020-10-27,21.5,21.66,21.28,21.28,96033
2020-10-28,20.97,21.1,20.72,20.74,107696
2020-10-29,20.73,21.04,20.33,20.74,156986
2020-10-30,20.83,20.83,20.3,20.53,164923
2020-11-02,20.81,20.99,20.55,20.87,131969
2020-11-03,21.28,21.62,21.13,21.52,122830
2020-11-04,21.39,21.67,20.96,20.96,147218
2020-11-05,21.63,22.11,21.44,21.65,181939
2020-11-06,21.83,22.01,21.11,21.12,157076
2020-11-09,22.22,22.78,20.97,20.97,206206
2020-11-10,21.09,21.48,20.98,21.39,161810
2020-11-11,21.51,21.8,20.74,20.82,329227
2020-11-12,20.9,20.92,20.06,20.13,337895
2020-11-13,20.18,20.31,19.57,20.08,608714
2020-11-16,20.44,20.63,20.17,20.55,245603
2020-11-17,20.45,20.55,20.22,20.39,147753
2020-11-18,20.39,20.77,20.32,20.39,95618
2020-11-19,20.33,20.43,20.07,20.31,83390
2020-11-20,20.16,20.31,20.07,20.23,112005
2020-11-23,20.31,20.8,20.22,20.6,121482
2020-11-24,20.91,21.29,20.91,20.92,102070
2020-11-25,20.85,21.21,20.69,21.2,117798
2020-11-27,21.11,21.21,20.8,20.9,43016
2020-11-30,20.92,21.63,20.91,21.62,240070
2020-12-01,21.73,21.77,21.36,21.47,86501
2020-12-02,21.4,21.61,21.22,21.59,69060
2020-12-03,21.69,22.14,21.67,22.11,78914
2020-12-04,22.27,22.96,22.16,22.93,137503
2020-12-07,22.86,23.48,22.86,23.21,208955
2020-12-08,23.13,23.84,23.12,23.74,204214
2020-12-09,23.84,24.11,23.8,23.92,188293
2020-12-10,23.79,23.96,23.62,23.87,78019
2020-12-11,23.74,24.07,23.73,23.92,84119
2020-12-14,24.08,24.12,23.49,23.54,91207
2020-12-15,23.6,23.69,23.27,23.59,118343
2020-12-16,23.65,23.94,23.36,23.37,67720
2020-12-17,23.62,23.82,23.43,23.78,115610
2020-12-18,23.82,23.92,23.6,23.7,45660
2020-12-21,23.24,23.43,23.14,23.4,64907
2020-12-22,23.6,23.84,23.52,23.79,62582
2020-12-23,23.97,24.0,23.57,23.72,90189
2020-12-24,23.81,23.84,23.58,23.74,28377
2020-12-28,23.84,24.04,23.53,23.71,56501
2020-12-29,23.77,23.83,23.57,23.63,34378
2020-12-30,23.63,23.71,23.43,23.53,58191
2020-12-31,23.46,23.71,23.3,23.71,90484
2021-01-04,23.98,24.04,22.89,23.04,184433
2021-01-05,23.07,23.41,23.07,23.21,53637
2021-01-06,23.46,23.47,23.1,23.14,104185
2021-01-07,23.14,23.14,22.68,22.94,97314
2021-01-08,23.08,23.29,22.93,22.95,36448
2021-01-11,22.87,22.92,22.38,22.5,213884
2021-01-12,22.42,22.71,22.34,22.56,92356
2021-01-13,22.65,22.9,22.63,22.86,68144
2021-01-14,22.99,24.26,22.98,24.26,246150
2021-01-15,24.15,24.45,23.96,24.12,76345
2021-01-19,24.11,24.3,23.7,23.75,77311
2021-01-20,23.72,24.56,23.59,24.36,79731
2021-01-21,24.26,24.37,23.92,24.33,39074
2021-01-22,24.11,24.28,23.98,24.25,53639
2021-01-25,24.36,28.57,24.36,25.83,567766
2021-01-26,25.97,27.11,25.7,26.87,275502
2021-01-27,27.1,33.1,27.03,29.71,835082
2021-01-28,28.82,30.24,26.83,26.88,440893
2021-01-29,26.85,28.26,26.83,27.05,302074
2021-02-01,27.29,27.29,26.54,26.83,145383
2021-02-02,26.63,26.63,25.09,25.85,99253
2021-02-03,25.49,26.26,25.44,26.05,83815
2021-02-04,26.09,26.09,25.3,25.67,150147
2021-02-05,25.72,26.26,25.61,26.05,92256
2021-02-08,26.13,26.68,26.04,26.6,79844
2021-02-09,26.72,27.11,26.67,26.83,90898
2021-02-10,27.13,27.65,27.13,27.65,102112
2021-02-11,27.49,27.57,26.37,26.73,106042
2021-02-12,26.71,26.86,26.5,26.68,54806
2021-02-16,26.76,26.79,26.23,26.5,58881
2021-02-17,26.35,26.44,26.2,26.32,60063
2021-02-18,26.33,26.53,26.07,26.07,55850
2021-02-19,26.14,26.36,25.84,25.87,102370
2021-02-22,25.83,25.84,25.5,25.58,116196
2021-02-23,25.82,25.95,25.42,25.88,90430
2021-02-24,26.2,28.08,26.08,27.9,344266
2021-02-25,27.81,28.95,27.41,27.89,215105
2021-02-26,27.81,28.22,27.38,28.0,123353
2021-03-01,28.38,28.82,27.92,27.92,72053
2021-03-02,27.98,28.54,27.82,28.27,101696
2021-03-03,28.52,28.59,27.56,27.56,188945
2021-03-04,27.78,28.38,27.49,28.02,118956
2021-03-05,28.15,28.91,28.02,28.79,81964
2021-03-08,28.94,29.87,28.91,29.41,220175
2021-03-09,29.48,30.01,29.43,29.5,129850
2021-03-10,29.58,29.97,29.44,29.66,101761
2021-03-11,29.64,30.08,29.54,29.75,61712
2021-03-12,29.78,30.15,29.56,30.15,78087
2021-03-15,30.13,30.24,29.69,30.07,103340
2021-03-16,30.05,30.05,29.13,29.23,167942
2021-03-17,29.22,29.84,29.2,29.6,114920
2021-03-18,29.59,29.59,29.11,29.24,77633
2021-03-19,29.23,29.56,29.2,29.27,70012
2021-03-22,29.38,29.92,29.08,29.91,37001
2021-03-23,29.56,29.92,29.47,29.65,112522
2021-03-24,29.62,30.19,29.53,29.82,125364
2021-03-25,29.52,30.2,29.19,30.15,107155
2021-03-26,30.29,30.5,30.05,30.49,62636
2021-03-29,30.5,30.59,29.99,29.99,55254
2021-03-30,30.06,30.56,29.87,30.4,51751
2021-03-31,30.24,30.61,30.2,30.24,63892
2021-04-01,30.45,30.54,29.93,30.52,58067
2021-04-05,30.67,30.83,30.2,30.71,52934
2021-04-06,30.44,30.75,30.32,30.66,61514
2021-04-07,30.62,30.86,30.45,30.8,40839
2021-04-08,30.74,30.94,30.42,30.57,45754
2021-04-09,30.59,30.79,30.32,30.77,26803
2021-04-12,30.81,31.02,30.69,31.01,60527
2021-04-13,30.94,31.17,30.79,31.1,17866
2021-04-14,30.89,31.22,30.86,31.06,54661
2021-04-15,31.09,31.2,30.87,31.2,59499
2021-04-16,31.26,31.32,30.99,31.11,32633
2021-04-20,31.56,32.65,31.56,32.24,174317
2021-04-21,32.27,33.03,32.02,32.9,62349
2021-04-22,32.82,33.3,32.56,33.01,113381
2021-04-23,33.07,33.44,32.93,32.97,62857
2021-04-26,33.11,33.21,32.72,32.72,28810
2021-04-27,32.82,32.94,32.65,32.73,54982
2021-04-28,32.69,32.78,32.21,32.31,48031
2021-04-29,32.6,33.0,32.42,32.94,57326
2021-04-30,32.92,32.92,32.43,32.81,69659
2021-05-03,32.55,32.98,32.55,32.81,95133
2021-05-04,32.89,33.08,32.47,32.61,45347
2021-05-05,32.14,32.14,31.53,31.66,132640
2021-05-06,32.32,34.13,32.05,34.08,179635
2021-05-07,33.57,34.17,33.28,33.75,66267
2021-05-10,33.91,34.47,33.61,34.2,94375
2021-05-11,33.89,34.39,33.71,34.28,70679
2021-05-12,34.31,34.42,33.15,33.25,61258
2021-05-13,33.32,34.61,33.2,34.24,76012
2021-05-14,34.28,35.05,34.13,34.75,69531
2021-05-17,34.93,35.77,34.91,35.61,83526
2021-05-18,35.53,35.53,34.66,34.81,55035
2021-05-19,34.71,34.75,34.28,34.42,64128
2021-05-20,34.44,35.31,34.29,35.15,62185
2021-05-21,35.2,35.34,34.93,35.15,36742
2021-05-24,35.24,35.85,35.2,35.73,61500
2021-05-25,35.58,35.68,35.34,35.34,29938
2021-05-26,35.44,35.69,35.32,35.44,76232
2021-05-27,35.44,35.47,35.16,35.21,89700
2021-05-28,35.4,35.66,35.23,35.56,55217
2021-06-01,35.76,36.15,35.47,36.12,53101
2021-06-02,36.28,37.55,36.11,36.99,161057
2021-06-03,36.88,37.28,36.51,37.23,43689
2021-06-04,37.43,37.43,37.01,37.34,48436
2021-06-07,37.35,37.8,37.33,37.37,48166
2021-06-08,37.4,38.37,37.4,38.15,79381
2021-06-09,38.39,38.7,38.12,38.45,40666
2021-06-10,38.46,38.57,37.63,37.94,62256
2021-06-11,37.78,37.98,37.44,37.85,52040
2021-06-14,37.9,38.24,37.73,38.07,48492
2021-06-15,37.94,38.15,37.86,38.08,50855
2021-06-16,37.93,37.94,37.45,37.6,64589
2021-06-17,37.53,37.88,37.36,37.77,73025
2021-06-18,37.64,37.66,36.65,36.67,47302
2021-06-21,36.9,37.65,36.89,37.6,35987
2021-06-22,37.37,37.43,36.19,36.26,75159
2021-06-23,36.21,36.21,35.82,36.05,109311
2021-06-24,36.26,36.29,35.84,35.94,58628
2021-06-25,35.81,35.95,35.71,35.77,41950
2021-06-28,35.71,35.89,35.49,35.6,48140
2021-06-29,35.52,35.6,34.97,35.07,179247
2021-06-30,35.04,35.52,34.98,35.08,163714
2021-07-01,35.27,35.57,35.0,35.3,70868
2021-07-02,35.29,35.48,35.02,35.43,59507
2021-07-06,35.33,35.33,34.88,35.13,68291
2021-07-07,34.94,35.58,34.8,35.41,42778
2021-07-08,35.16,35.54,35.03,35.3,22519
2021-07-09,35.64,36.56,35.61,36.23,61919
2021-07-12,36.02,36.97,35.96,36.89,57491
2021-07-13,37.06,37.31,36.46,36.63,69070
2021-07-14,36.6,36.92,36.5,36.65,61107
2021-07-15,36.67,37.02,36.3,36.49,39378
2021-07-16,36.58,36.6,35.85,35.9,40113
2021-07-19,35.38,35.66,34.98,35.44,111002
2021-07-20,35.69,36.49,35.69,36.29,39401
2021-07-21,36.44,36.78,36.26,36.37,35582
2021-07-22,36.46,36.46,36.01,36.09,37265
2021-07-23,36.13,36.13,35.8,35.97,24196
2021-07-26,35.99,36.14,35.74,36.13,44040
2021-07-27,35.87,36.44,35.78,36.43,32957
2021-07-28,36.34,36.42,35.74,35.98,46572
2021-07-29,36.08,36.56,35.96,36.01,45825
2021-07-30,36.05,36.5,36.04,36.25,82735
2021-08-02,36.49,36.79,36.2,36.25,27365
2021-08-03,36.24,36.42,36.05,36.37,23936
2021-08-04,36.31,36.39,35.76,35.91,39314
2021-08-05,35.97,36.67,35.16,36.63,80209
2021-08-06,37.08,37.69,36.83,37.24,39402
2021-08-09,37.22,37.69,37.02,37.55,34794
2021-08-10,37.83,38.75,37.66,38.09,60920
2021-08-11,38.3,38.8,38.15,38.7,57668
2021-08-12,38.59,38.61,38.37,38.56,21573
2021-08-13,38.61,38.68,38.13,38.21,47123
2021-08-16,38.18,38.18,37.69,37.99,24736
2021-08-17,37.86,37.86,37.36,37.81,12211
2021-08-18,37.49,37.64,37.26,37.5,52913
2021-08-19,37.77,38.04,37.58,37.95,22410
2021-08-20,37.71,38.07,37.69,37.85,18048
2021-08-23,38.07,38.07,37.81,38.02,23912
2021-08-24,38.29,38.29,37.89,37.95,39378
2021-08-25,37.94,38.22,37.94,38.06,19494
2021-08-26,38.03,38.18,37.87,37.97,16303
2021-08-27,38.12,38.7,37.96,38.42,42131
2021-08-30,38.42,38.7,38.14,38.69,21938
2021-08-31,38.66,39.61,38.62,39.57,107712
2021-09-01,39.53,40.1,39.4,40.08,72791
2021-09-02,40.3,40.98,39.89,40.98,44818
2021-09-03,40.68,40.97,40.5,40.92,51492
2021-09-07,40.5,40.6,39.84,40.11,120974
2021-09-08,39.8,40.21,39.65,40.16,38202
2021-09-09,39.63,39.92,39.58,39.63,51079
2021-09-10,39.49,39.58,38.97,38.98,35872
2021-09-13,39.05,39.58,38.77,39.09,136373
2021-09-14,39.16,39.16,38.1,38.16,69460
2021-09-15,38.27,38.27,37.81,37.84,71982
2021-09-16,37.67,37.84,37.35,37.69,127449
2021-09-17,37.72,37.98,37.62,37.69,48244
2021-09-20,37.26,37.44,36.89,37.28,36475
2021-09-21,37.31,37.6,37.1,37.36,59287
2021-09-22,37.56,37.82,37.53,37.57,51574
2021-09-23,37.53,38.01,37.49,37.62,52921
2021-09-24,37.5,37.64,37.15,37.18,24591
