date,open,high,low,close,volume
2020-07-27,124.605,125.86,123.62,125.39,13613
2020-07-28,124.45,125.105,123.915,123.915,7247
2020-07-29,124.75,126.95,124.4,126.755,11491
2020-07-30,125.35,125.735,123.565,125.67,13035
2020-07-31,124.365,125.9,124.315,124.71,24443
2020-08-03,124.16,126.34,124.0,125.645,43419
2020-08-04,130.92,130.92,125.28,126.34,68236
2020-08-05,129.21,131.03,128.39,129.5,24378
2020-08-06,130.32,131.54,128.855,130.6,16320
2020-08-07,129.39,131.53,128.77,131.43,14854
2020-08-10,132.14,132.65,131.24,132.46,13577
2020-08-11,133.94,134.165,131.39,131.56,20940
2020-08-12,132.115,132.215,130.46,130.79,13068
2020-08-13,131.58,132.64,130.785,130.98,7610
2020-08-14,130.545,130.92,128.96,129.5,6679
2020-08-17,129.81,129.81,127.89,127.95,21877
2020-08-18,127.985,128.34,127.18,127.62,15180
2020-08-19,127.51,127.9,126.865,127.62,24105
2020-08-20,127.37,128.935,127.37,127.87,11251
2020-08-21,127.7,128.125,126.65,128.125,11856
2020-08-24,129.235,132.395,129.235,131.575,22065
2020-08-25,133.38,134.15,130.89,132.095,11080
2020-08-26,131.2,131.91,130.18,131.49,11116
2020-08-27,131.245,132.455,130.51,130.65,3386
2020-08-28,130.67,131.375,129.865,131.37,43618
2020-08-31,130.64,130.77,129.495,129.945,4175
2020-09-01,129.255,130.105,128.725,129.81,6930
2020-09-02,130.325,134.18,130.325,134.11,6343
2020-09-03,133.3,133.3,130.605,131.62,29647
2020-09-04,132.46,132.485,129.335,131.33,26044
2020-09-08,129.17,129.98,128.15,128.525,11703
2020-09-09,129.52,132.69,128.875,131.29,22308
2020-09-10,131.425,131.425,127.89,127.89,12690
2020-09-11,127.415,127.7,125.84,126.56,9278
2020-09-14,129.59,132.63,129.59,132.63,12592
2020-09-15,133.59,134.58,132.475,134.085,12009
2020-09-16,135.19,136.04,132.39,133.12,13104
2020-09-17,131.09,133.9,130.785,132.3,7077
2020-09-18,132.155,133.37,130.56,131.23,5907
2020-09-21,127.99,127.99,125.125,126.21,13055
2020-09-22,126.33,127.135,123.85,126.715,34009
2020-09-23,127.7,128.045,123.98,124.0,15869
2020-09-24,123.03,124.535,121.86,123.15,29212
2020-09-25,122.745,125.73,121.645,125.73,10735
2020-09-28,127.31,127.805,126.38,126.38,16116
2020-09-29,127.52,127.52,125.2,125.42,9653
2020-09-30,126.625,127.145,124.59,125.05,11484
2020-10-01,125.86,127.28,124.675,125.69,33405
2020-10-02,123.515,126.4,123.29,125.385,18416
2020-10-05,126.525,126.615,125.405,125.98,25035
2020-10-06,125.8,127.96,123.785,124.065,21529
2020-10-07,124.72,125.93,123.86,125.67,22478
2020-10-08,127.57,128.6,126.5,126.82,39702
2020-10-09,127.61,128.515,126.07,126.4,28263
2020-10-12,125.44,127.83,125.06,126.8,40618
2020-10-13,126.25,128.78,125.63,127.92,57286
2020-10-14,129.155,129.72,124.62,124.675,47025
2020-10-15,124.02,130.315,123.76,129.59,45406
2020-10-16,130.08,131.69,129.43,130.37,39520
2020-10-19,131.145,131.39,123.665,124.42,63814
2020-10-20,124.76,126.86,124.69,125.57,43834
2020-10-21,126.37,128.66,126.045,127.9,25176
2020-10-22,127.74,127.78,125.545,127.46,18115
2020-10-23,128.42,128.54,126.98,128.25,17359
2020-10-26,125.75,125.785,122.11,123.98,37727
2020-10-27,123.815,124.115,121.9,122.01,22947
2020-10-28,119.33,119.52,116.57,117.28,55574
2020-10-29,116.56,119.15,115.86,118.39,20433
2020-10-30,118.01,120.325,117.41,120.07,24629
2020-11-02,121.515,125.7,121.33,124.86,60325
2020-11-03,138.5,143.43,137.49,141.06,99722
2020-11-04,141.64,144.86,139.2,142.3,86705
2020-11-05,144.06,146.47,143.72,146.32,52022
2020-11-06,144.91,148.99,144.51,147.98,32984
2020-11-09,159.595,162.94,155.83,155.84,63874
2020-11-10,155.5,159.86,155.28,157.64,71205
2020-11-11,157.795,158.06,155.99,156.78,27841
2020-11-12,155.555,155.78,151.96,152.92,18005
2020-11-13,154.965,158.995,154.965,158.05,20271
2020-11-16,160.0,160.55,157.89,159.08,28266
2020-11-17,158.55,159.085,157.45,158.71,32287
2020-11-18,158.63,159.265,154.05,154.055,24597
2020-11-19,152.1,153.945,151.19,152.06,16557
2020-11-20,151.93,153.575,151.87,152.2,17397
2020-11-23,153.19,153.81,152.02,152.5,10093
2020-11-24,155.04,156.065,153.505,154.74,40606
2020-11-25,153.32,154.675,153.315,153.805,7721
2020-11-27,154.59,154.59,152.5,152.64,14261
2020-11-30,152.96,153.3,150.43,151.9,21151
2020-12-01,152.93,155.57,152.815,154.11,26029
2020-12-02,153.75,154.595,153.09,154.02,12676
2020-12-03,153.93,155.08,152.48,152.48,17586
