date,open,high,low,close,volume
2020-07-27,161.72,164.22,160.98,164.09,13418
2020-07-28,163.92,163.95,161.82,161.99,21993
2020-07-29,162.98,164.58,162.8,164.12,13652
2020-07-30,161.14,163.15,160.28,162.56,50263
2020-07-31,160.48,162.23,159.75,161.5,65421
2020-08-03,162.27,164.53,162.27,162.74,43971
2020-08-04,162.62,162.98,161.24,161.88,30414
2020-08-05,164.35,165.05,163.56,164.99,33972
2020-08-06,165.08,165.08,163.64,164.45,18878
2020-08-07,164.24,166.85,164.24,166.7,17467
2020-08-10,166.87,171.39,166.75,171.35,46702
2020-08-11,172.28,174.36,171.42,171.71,54927
2020-08-12,173.5,174.9,172.52,173.76,73277
2020-08-13,172.6,173.66,171.99,172.78,20177
2020-08-14,171.76,173.88,171.31,171.52,28597
2020-08-17,172.46,173.23,171.64,171.98,25998
2020-08-18,172.89,173.26,171.35,171.67,27287
2020-08-19,171.94,172.85,170.89,171.2,22765
2020-08-20,169.83,169.84,168.67,169.53,46007
2020-08-21,169.8,171.21,169.61,170.72,15673
2020-08-24,170.99,172.61,170.99,172.61,14316
2020-08-25,173.44,173.44,171.66,172.76,28451
2020-08-26,171.74,174.88,170.97,173.99,18296
2020-08-27,174.87,175.65,173.58,173.8,11246
2020-08-28,173.63,175.65,173.1,175.65,17126
2020-08-31,174.7,174.7,172.54,172.9,20284
2020-09-01,172.84,175.94,171.75,175.83,24501
2020-09-02,176.67,177.25,174.86,176.66,46013
2020-09-03,177.1,177.1,169.09,170.31,82177
2020-09-04,171.97,172.71,168.17,169.77,111530
2020-09-08,168.47,168.82,165.9,166.88,35545
2020-09-09,168.24,172.25,168.24,170.71,29333
2020-09-10,171.0,171.37,167.48,167.8,30792
2020-09-11,169.19,171.85,169.18,171.05,42060
2020-09-14,172.46,173.98,171.69,173.36,47307
2020-09-15,174.41,175.91,173.31,173.83,56640
2020-09-16,173.63,176.13,173.06,174.43,46210
2020-09-17,172.42,176.27,171.85,175.83,37144
2020-09-18,177.19,177.65,173.85,174.19,30745
2020-09-21,171.6,172.02,165.72,167.51,17951
2020-09-22,167.58,169.07,167.4,168.98,19417
2020-09-23,169.3,169.96,166.68,166.88,35662
2020-09-24,166.6,170.63,166.19,168.23,45406
2020-09-25,166.97,168.87,166.95,168.67,24268
2020-09-28,170.47,173.6,170.47,170.97,24906
2020-09-29,171.47,172.86,169.62,170.18,35738
2020-09-30,170.77,173.04,168.6,169.99,36243
2020-10-01,171.18,171.47,166.08,167.91,89758
2020-10-02,166.02,170.86,165.89,168.9,71483
2020-10-05,170.73,174.4,170.73,174.0,43502
2020-10-06,174.26,176.94,172.44,173.01,47607
2020-10-07,174.17,176.15,173.78,175.81,48318
2020-10-08,176.29,177.13,174.07,177.0,49743
2020-10-09,177.99,181.93,177.99,181.02,97233
2020-10-12,181.86,181.86,179.24,179.31,59867
2020-10-13,178.9,180.33,177.81,178.9,30335
2020-10-14,179.38,181.33,178.77,178.77,31920
2020-10-15,176.82,179.58,176.82,179.12,36879
2020-10-16,180.39,182.83,180.24,181.9,49463
2020-10-19,182.27,182.38,177.85,178.21,64198
2020-10-20,179.21,181.85,178.67,179.06,52728
2020-10-21,178.98,181.47,178.33,178.33,57340
2020-10-22,179.07,179.74,177.48,177.55,83225
2020-10-23,182.4,182.4,178.11,181.72,134372
2020-10-26,179.26,179.26,174.13,176.02,178256
2020-10-27,176.27,176.5,174.41,174.72,75602
2020-10-28,170.82,173.32,169.31,169.54,67063
2020-10-29,170.4,175.64,169.23,173.48,58989
