date,open,high,low,close,volume
2020-07-27,8.047,8.43,7.942,8.367,163988
2020-07-28,8.243,8.27,7.864,8.09,293322
2020-07-29,8.114,8.282,7.969,8.274,192792
2020-07-30,8.075,8.086,7.813,7.884,67369
2020-07-31,7.895,7.895,7.696,7.837,102842
2020-08-03,7.782,7.872,7.692,7.806,148147
2020-08-04,7.774,7.888,7.587,7.626,279644
2020-08-05,7.712,8.024,7.673,8.008,141132
2020-08-06,7.942,8.106,7.923,8.047,115997
2020-08-07,8.008,8.406,7.958,8.402,74889
2020-08-10,8.48,8.523,8.399,8.422,64722
2020-08-11,8.636,8.82,8.516,8.551,85172
2020-08-12,8.98,9.183,8.757,8.89,234574
2020-08-13,8.637,8.787,8.447,8.475,344512
2020-08-14,8.305,8.53,8.265,8.451,188954
2020-08-17,8.4,8.53,8.344,8.364,65701
2020-08-18,8.356,8.42,8.111,8.135,220800
2020-08-19,8.139,8.364,8.139,8.166,43036
2020-08-20,8.068,8.068,7.913,7.925,93274
2020-08-21,7.929,8.103,7.901,8.016,98105
2020-08-24,8.071,8.388,7.992,8.38,181673
2020-08-25,8.435,8.566,8.376,8.467,172750
2020-08-26,8.447,8.455,8.289,8.364,83260
2020-08-27,8.368,8.601,8.348,8.554,114585
2020-08-28,8.586,8.597,8.364,8.483,68432
2020-08-31,8.384,8.392,8.052,8.06,226582
2020-09-01,7.973,8.166,7.941,8.056,166337
2020-09-02,8.064,8.427,7.996,8.412,172035
2020-09-03,8.874,9.052,8.609,8.815,280635
2020-09-04,9.001,9.135,8.783,9.013,211579
2020-09-08,8.795,8.819,8.459,8.471,203581
2020-09-09,8.479,8.53,8.329,8.459,123012
2020-09-10,8.471,8.495,8.107,8.123,211580
2020-09-11,8.186,8.491,8.186,8.475,353118
2020-09-14,8.546,8.669,8.396,8.451,123074
2020-09-15,8.431,8.475,8.293,8.329,60149
2020-09-16,8.321,8.76,8.301,8.594,125214
2020-09-17,8.495,8.843,8.471,8.823,319610
2020-09-18,8.795,8.831,8.681,8.681,153327
2020-09-21,8.336,8.412,7.969,8.103,162946
2020-09-22,8.075,8.206,7.858,8.064,87199
2020-09-23,8.052,8.297,8.052,8.253,985652
2020-09-24,8.131,8.586,7.977,8.546,711600
2020-09-25,8.396,8.601,8.242,8.554,318549
2020-09-28,8.74,9.147,8.74,9.076,278869
2020-09-29,8.989,9.112,8.791,9.06,319485
2020-09-30,9.08,9.203,8.898,9.036,165406
2020-10-01,9.064,9.104,8.831,8.902,207819
2020-10-02,9.436,9.653,9.222,9.369,602918
2020-10-05,9.483,9.515,9.246,9.408,267673
2020-10-06,9.547,9.721,9.333,9.384,252230
2020-10-07,9.523,10.03,9.467,9.982,277667
2020-10-08,10.31,10.53,10.13,10.27,549650
2020-10-09,10.3,10.52,10.23,10.38,205321
2020-10-12,10.46,10.67,10.4,10.6,155997
2020-10-13,10.6,11.0,10.6,10.94,336951
2020-10-14,10.91,11.32,10.9,11.09,319275
2020-10-15,10.98,11.31,10.82,11.27,178758
2020-10-16,11.28,11.29,11.07,11.1,154512
2020-10-19,11.19,11.27,11.0,11.0,86157
2020-10-20,11.17,11.4,11.14,11.16,159442
2020-10-21,11.09,11.18,10.9,10.93,110729
