date,open,high,low,close,volume
2020-07-27,63.19,63.63,62.71,63.51,23442
2020-07-28,63.39,63.54,62.93,63.1,19873
2020-07-29,63.37,65.36,63.37,65.33,23662
2020-07-30,64.61,64.87,63.99,64.35,34856
2020-07-31,64.31,64.52,63.13,64.41,29840
2020-08-03,64.67,68.93,64.36,68.24,51495
2020-08-04,68.81,69.73,67.99,69.62,51096
2020-08-05,69.86,70.14,69.25,69.48,65488
2020-08-06,69.14,69.32,67.88,68.15,27486
2020-08-07,68.03,68.92,67.67,68.78,21752
2020-08-10,68.59,68.98,68.29,68.71,30746
2020-08-11,69.49,69.56,68.21,68.57,49926
2020-08-12,69.29,69.68,67.95,68.22,39305
2020-08-13,67.54,68.38,67.31,67.83,32945
2020-08-14,67.51,68.06,67.51,67.85,18350
2020-08-17,67.85,67.97,67.43,67.84,30521
2020-08-18,68.04,68.14,67.38,67.74,19467
2020-08-19,67.51,67.88,67.38,67.68,38012
2020-08-20,67.09,67.25,66.97,67.15,21049
2020-08-21,66.96,67.14,66.5,66.86,21693
2020-08-24,67.08,67.74,66.96,67.34,27357
2020-08-25,67.67,67.67,66.63,66.74,20250
2020-08-26,66.02,66.99,65.94,66.7,19230
2020-08-27,66.9,67.71,66.7,67.15,18563
2020-08-28,66.91,67.45,66.74,67.45,8409
2020-08-31,67.17,68.31,66.9,68.1,27448
2020-09-01,67.72,69.16,67.63,69.04,21067
2020-09-02,68.77,70.19,68.77,70.19,11623
2020-09-03,70.29,70.29,68.19,68.6,68457
2020-09-04,69.14,69.53,68.58,69.35,57958
2020-09-08,68.19,68.73,67.87,68.42,82467
2020-09-09,68.85,70.44,68.85,69.97,47205
2020-09-10,69.27,69.87,68.2,68.67,72003
2020-09-11,68.73,70.24,68.73,70.01,69397
2020-09-14,70.41,71.48,70.41,70.92,20154
2020-09-15,70.99,71.68,70.58,71.52,29595
2020-09-16,71.57,71.94,71.22,71.37,18984
2020-09-17,71.05,72.07,70.21,71.17,24542
2020-09-18,71.4,71.74,70.48,70.88,35936
