date,open,high,low,close,volume
2020-07-27,32.16,33.04,32.11,32.96,30097
2020-07-28,32.54,32.66,31.91,31.94,22772
2020-07-29,32.19,33.04,32.19,32.85,26925
2020-07-30,32.4,33.34,32.35,33.33,19908
2020-07-31,33.39,34.16,33.27,34.02,35787
2020-08-03,34.26,34.92,34.08,34.43,22223
2020-08-04,34.45,34.45,34.07,34.25,26748
2020-08-05,34.57,34.89,34.49,34.76,47322
2020-08-06,34.61,34.69,34.32,34.5,35948
2020-08-07,34.46,34.46,33.79,34.05,46274
2020-08-10,34.26,34.47,33.83,33.96,24148
2020-08-11,34.49,35.05,34.14,34.15,15904
2020-08-12,34.47,34.58,34.2,34.44,22487
2020-08-13,33.9,34.36,33.76,34.09,9888
2020-08-14,33.95,34.25,33.79,34.02,20609
2020-08-17,34.32,34.42,33.95,34.17,16975
2020-08-18,34.03,34.05,33.19,33.29,24216
2020-08-19,33.42,34.24,33.42,34.06,32561
2020-08-20,33.45,33.69,33.01,33.13,30863
2020-08-21,33.1,33.66,32.89,33.52,23424
2020-08-24,33.85,34.15,33.5,33.64,23842
2020-08-25,33.63,33.65,32.93,33.55,33992
2020-08-26,33.63,33.94,33.44,33.65,31995
2020-08-27,34.07,34.12,33.34,33.46,47994
2020-08-28,33.72,34.37,33.72,34.34,24537
2020-08-31,34.3,34.3,33.45,33.45,41057
2020-09-01,33.28,33.68,32.91,33.67,46776
2020-09-02,33.82,34.61,33.66,34.59,35565
2020-09-03,34.28,34.28,32.47,32.55,32164
2020-09-04,32.89,33.2,31.81,32.2,32714
2020-09-08,31.25,31.41,30.29,30.34,43984
2020-09-09,30.82,30.9,30.43,30.59,36594
2020-09-10,30.9,31.24,29.91,30.01,146932
2020-09-11,30.32,30.41,29.79,30.03,20979
2020-09-14,30.39,31.45,30.38,31.09,54100
2020-09-15,31.65,32.2,31.65,31.94,17696
2020-09-16,32.08,32.66,31.97,32.0,32096
2020-09-17,31.19,32.52,31.16,32.19,34118
2020-09-18,32.8,33.73,32.44,32.71,68262
2020-09-21,31.97,32.29,31.6,32.26,28441
2020-09-22,32.53,33.05,32.43,32.53,70890
2020-09-23,32.8,33.08,31.54,31.66,91822
2020-09-24,32.67,34.38,31.86,33.66,172238
2020-09-25,33.68,33.68,32.65,32.77,77683
2020-09-28,33.17,33.45,32.43,33.12,102785
2020-09-29,33.06,33.06,32.37,32.58,54861
2020-09-30,32.69,34.01,32.69,33.55,60539
2020-10-01,34.01,34.37,33.67,33.88,78102
2020-10-02,32.79,33.91,32.76,33.66,70459
2020-10-05,34.05,34.93,34.05,34.64,59907
2020-10-06,34.85,35.28,34.11,34.11,39976
2020-10-07,34.65,35.48,34.65,35.19,50829
2020-10-08,35.5,35.69,35.14,35.61,42693
2020-10-09,36.14,36.14,35.56,35.61,56476
2020-10-12,35.81,35.97,35.51,35.97,43393
2020-10-13,35.78,36.04,34.77,34.81,46851
2020-10-14,35.05,35.56,34.78,34.86,40778
2020-10-15,34.33,35.48,34.11,35.47,35415
2020-10-16,35.92,36.02,35.45,35.51,55258
2020-10-19,35.72,35.93,35.21,35.24,68554
2020-10-20,35.58,35.58,34.77,34.79,62114
2020-10-21,34.87,35.11,34.21,34.23,27370
2020-10-22,34.32,34.45,33.91,34.42,27449
2020-10-23,34.59,35.01,34.52,34.97,39742
2020-10-26,34.28,34.37,33.26,33.41,37114
2020-10-27,33.42,33.49,32.45,32.7,56336
2020-10-28,31.8,32.07,30.84,30.93,60163
2020-10-29,30.84,32.52,30.83,32.48,91296
2020-10-30,32.28,32.77,31.72,32.45,59285
2020-11-02,32.75,33.09,32.48,33.09,43994
2020-11-03,33.5,34.01,33.41,33.86,40729
2020-11-04,33.88,34.06,33.26,33.73,61488
2020-11-05,34.09,35.14,34.09,35.05,36221
2020-11-06,34.89,35.26,34.78,35.17,33689
2020-11-09,36.69,37.43,36.28,36.28,173667
2020-11-10,36.46,36.97,36.17,36.52,200283
2020-11-11,36.69,36.88,35.8,36.53,18587
2020-11-12,36.1,36.24,35.28,35.48,40433
2020-11-13,35.92,37.11,35.92,36.97,21145
2020-11-16,37.38,38.23,37.16,38.19,36498
2020-11-17,37.66,38.05,37.39,37.6,95069
2020-11-18,37.63,37.98,37.05,37.05,112002
2020-11-19,36.66,36.94,36.47,36.87,34045
2020-11-20,36.76,36.81,36.46,36.7,22742
2020-11-23,37.01,37.74,37.01,37.63,27467
2020-11-24,37.78,38.65,37.64,38.6,48187
2020-11-25,38.38,38.61,38.14,38.37,16466
2020-11-27,38.36,38.78,38.33,38.6,12357
2020-11-30,37.79,38.06,37.45,37.46,52014
2020-12-01,37.98,38.35,37.77,38.04,22377
2020-12-02,38.02,38.86,37.89,38.69,46951
2020-12-03,38.47,38.94,38.44,38.74,45412
2020-12-04,38.97,39.83,38.97,39.73,34534
2020-12-07,39.63,40.0,39.36,39.98,62632
2020-12-08,38.98,40.0,38.98,39.46,59010
2020-12-09,39.44,39.67,38.64,38.85,55767
2020-12-10,38.6,39.26,38.47,39.17,28477
2020-12-11,39.04,39.56,38.56,38.83,54005
2020-12-14,39.48,39.8,39.35,39.52,45041
2020-12-15,39.97,40.67,39.61,40.67,43669
2020-12-16,40.86,40.86,39.94,40.29,74362
2020-12-17,43.53,44.41,42.51,43.17,189943
2020-12-18,42.91,42.91,41.53,41.65,120969
2020-12-21,40.66,41.47,40.31,41.31,74002
2020-12-22,41.61,42.07,41.52,41.8,46806
2020-12-23,42.0,42.76,42.0,42.5,26716
2020-12-24,42.57,42.57,41.71,42.08,24086
2020-12-28,42.54,42.86,41.88,42.0,35357
2020-12-29,42.06,42.06,40.9,41.06,51548
2020-12-30,41.25,41.79,41.25,41.52,40536
2020-12-31,41.48,42.13,41.35,41.7,20607
2021-01-04,42.35,42.36,40.83,41.32,50106
2021-01-05,41.43,42.43,41.43,42.21,77432
2021-01-06,42.83,43.67,42.62,43.15,67644
2021-01-07,43.53,44.1,43.38,44.1,58887
2021-01-08,44.13,44.17,43.13,43.61,29121
2021-01-11,42.99,44.1,42.85,43.8,77433
2021-01-12,43.93,44.88,43.93,44.0,50095
2021-01-13,44.22,44.36,43.71,43.77,49507
2021-01-14,44.11,45.29,44.11,44.6,47070
2021-01-15,44.44,44.44,43.52,43.74,42708
2021-01-19,44.02,44.53,43.67,44.3,59654
2021-01-20,44.76,44.92,44.33,44.62,26841
2021-01-21,44.97,45.15,44.37,44.81,45139
2021-01-22,44.1,44.61,44.1,44.35,27670
2021-01-25,44.22,44.22,42.42,43.27,41030
2021-01-26,42.89,42.89,42.12,42.18,21222
2021-01-27,41.41,41.46,40.5,40.74,53606
2021-01-28,41.08,42.05,40.73,41.57,58562
2021-01-29,41.61,41.92,40.14,40.58,50425
2021-02-01,41.11,41.88,40.58,41.8,33325
2021-02-02,42.49,42.8,41.89,42.61,25616
2021-02-03,42.78,43.04,42.35,42.35,21122
2021-02-04,42.66,43.79,42.21,43.59,33264
2021-02-05,43.99,44.25,43.53,43.68,38920
2021-02-08,44.03,44.92,43.83,44.92,28318
2021-02-09,44.54,44.76,43.81,43.98,62536
2021-02-10,44.09,44.24,43.26,43.33,33704
2021-02-11,43.53,44.36,43.28,44.08,23556
2021-02-12,43.82,44.33,43.55,43.92,20446
2021-02-16,44.29,44.66,44.17,44.65,14486
2021-02-17,44.27,44.62,43.36,43.48,19400
2021-02-18,43.08,43.6,42.88,42.95,26026
2021-02-19,43.49,44.08,43.14,43.8,20828
2021-02-22,43.51,43.88,43.32,43.32,43996
2021-02-23,42.66,43.28,41.68,42.89,53084
2021-02-24,43.26,44.42,43.12,44.19,30474
2021-02-25,44.13,44.13,42.04,42.12,63418
2021-02-26,42.4,43.31,41.42,42.48,73368
2021-03-01,43.03,44.51,43.03,44.36,31172
2021-03-02,44.08,44.12,43.19,43.19,17147
2021-03-03,43.18,43.48,42.59,42.63,16509
2021-03-04,42.52,42.57,40.9,41.21,89013
2021-03-05,42.17,42.69,40.81,42.59,47194
2021-03-08,42.59,43.41,42.55,42.88,23102
2021-03-09,43.52,44.35,43.33,43.77,53192
2021-03-10,44.16,44.78,43.8,44.57,52631
2021-03-11,45.36,46.89,45.3,46.87,84162
2021-03-12,46.57,47.73,46.47,47.57,46623
2021-03-15,47.55,48.13,47.19,48.13,92165
2021-03-16,49.73,51.08,49.26,49.57,108385
2021-03-17,49.57,50.38,48.48,50.14,94424
2021-03-18,49.43,50.35,48.83,48.99,60829
2021-03-19,49.27,50.71,48.61,50.16,119101
2021-03-22,50.27,50.62,49.56,49.61,82894
2021-03-23,49.76,49.79,47.29,47.62,64898
2021-03-24,48.26,49.18,47.95,47.99,42729
2021-03-25,47.56,48.85,47.13,48.71,46523
2021-03-26,49.09,50.88,48.89,50.8,61815
2021-03-29,50.44,51.38,50.05,50.19,62677
2021-03-30,50.06,50.65,49.73,50.47,44157
2021-03-31,51.18,51.93,50.59,51.3,45015
2021-04-01,51.78,52.01,51.26,52.01,42801
2021-04-05,52.57,53.27,52.15,52.78,26653
2021-04-06,52.78,52.81,51.96,52.43,50945
2021-04-07,52.64,52.64,52.05,52.25,23527
2021-04-08,52.53,52.89,52.2,52.89,36179
2021-04-09,52.79,52.82,52.25,52.52,34317
2021-04-12,52.28,52.78,52.24,52.78,52021
2021-04-13,53.01,53.74,52.27,52.54,24419
2021-04-14,52.66,53.7,52.66,53.1,31806
2021-04-15,53.74,53.79,52.65,52.71,47076
2021-04-16,53.01,53.7,52.99,53.45,33137
2021-04-20,53.26,53.45,52.36,52.58,37434
2021-04-21,52.3,53.29,52.3,53.16,35992
2021-04-22,53.23,53.49,52.6,52.6,25716
2021-04-23,52.77,53.63,52.77,53.31,21980
2021-04-26,53.6,53.9,53.52,53.52,23721
2021-04-27,53.46,53.55,53.09,53.37,27020
2021-04-28,53.34,53.5,52.93,53.4,27805
2021-04-29,54.05,54.24,52.94,53.07,33115
2021-04-30,52.29,52.7,51.39,51.52,39739
2021-05-03,52.33,52.38,51.55,51.67,52833
2021-05-04,51.31,51.31,50.55,51.03,49706
2021-05-05,51.54,51.75,51.11,51.44,35914
2021-05-06,51.48,51.91,50.81,51.91,37898
2021-05-07,51.96,53.86,51.87,53.86,46047
2021-05-10,53.76,53.84,52.18,52.19,53155
2021-05-11,50.86,52.77,50.86,52.66,69359
2021-05-12,51.92,51.92,49.97,50.06,53821
2021-05-13,50.96,52.18,50.96,51.86,31953
2021-05-14,52.5,53.19,51.84,53.09,23806
2021-05-17,52.65,53.2,52.41,53.16,7002
2021-05-18,53.12,53.55,52.68,52.68,28649
2021-05-19,51.76,53.29,51.65,53.29,14937
2021-05-20,53.73,53.73,52.89,53.43,28555
2021-05-21,53.63,54.32,53.3,53.49,14987
2021-05-24,53.8,55.1,53.8,54.5,37255
2021-05-25,55.03,55.51,54.59,54.59,40432
2021-05-26,54.86,55.21,54.31,54.89,25484
2021-05-27,55.12,56.08,55.11,55.37,27822
2021-05-28,55.44,55.82,55.07,55.56,15753
2021-06-01,55.91,56.04,55.27,55.54,40432
2021-06-02,55.57,56.03,55.18,55.71,24421
2021-06-03,55.09,55.92,54.96,55.72,19419
2021-06-04,56.1,56.93,56.1,56.93,15095
2021-06-07,56.82,57.21,56.66,57.08,18108
2021-06-08,57.11,57.34,56.76,56.79,32782
2021-06-09,56.51,56.75,56.34,56.38,23118
2021-06-10,56.68,56.71,56.12,56.43,15228
2021-06-11,56.93,57.08,56.45,56.97,33168
2021-06-14,57.21,57.56,56.41,56.52,42472
2021-06-15,56.39,56.48,55.62,55.77,61947
2021-06-16,55.79,56.14,55.29,55.68,56544
2021-06-17,57.12,57.94,55.33,56.93,142022
2021-06-18,56.29,56.59,54.45,54.81,119233
2021-06-21,55.29,56.02,54.81,55.84,56573
2021-06-22,55.82,56.24,55.3,56.06,38302
2021-06-23,56.04,56.07,55.66,55.67,22691
2021-06-24,56.04,56.78,55.84,56.64,22059
2021-06-25,56.77,57.11,56.37,56.52,46491
2021-06-28,56.81,57.52,56.76,57.27,26677
2021-06-29,57.14,57.64,57.01,57.41,26516
2021-06-30,57.18,57.41,56.68,57.21,29401
2021-07-01,57.37,57.37,56.75,57.12,20654
2021-07-02,57.24,57.51,57.07,57.41,14907
2021-07-06,57.36,57.36,55.54,56.17,25786
2021-07-07,56.54,56.76,55.54,56.56,21155
