date,open,high,low,close,volume
2020-07-27,166.95,168.05,166.33,167.44,11516
2020-07-28,166.41,166.87,163.21,163.62,19222
2020-07-29,163.72,168.01,163.72,167.37,17193
2020-07-30,166.92,166.92,164.23,165.55,19079
2020-07-31,165.63,166.06,163.48,165.67,32145
2020-08-03,167.38,169.73,165.35,168.82,36849
2020-08-04,169.3,169.44,165.99,166.36,19949
2020-08-05,167.98,168.08,166.41,166.88,40867
2020-08-06,166.8,169.39,166.75,169.23,30856
2020-08-07,168.53,171.84,168.21,170.65,90390
2020-08-10,170.47,171.9,169.18,170.44,43218
2020-08-11,170.46,171.5,167.96,169.56,17315
2020-08-12,170.39,174.31,170.07,174.12,12399
2020-08-13,174.28,179.05,174.28,178.02,37249
2020-08-14,178.64,180.78,178.47,180.18,23222
2020-08-17,181.68,185.03,181.68,184.64,25504
2020-08-18,183.8,186.22,181.78,183.27,24112
2020-08-19,171.06,171.77,158.81,159.73,182620
2020-08-20,157.82,160.45,155.68,156.1,88781
2020-08-21,155.74,155.9,152.09,153.88,29666
2020-08-24,154.21,154.21,151.19,152.66,18839
2020-08-25,152.42,154.65,151.76,154.35,38559
2020-08-26,153.65,156.16,151.34,155.24,22030
2020-08-27,155.86,155.86,152.68,153.85,44899
2020-08-28,153.98,156.08,153.98,155.24,51369
2020-08-31,155.56,155.6,152.77,153.48,35052
2020-09-01,154.1,154.82,151.73,152.27,30157
2020-09-02,153.37,159.32,152.52,158.61,30537
2020-09-03,157.79,157.79,151.38,153.84,88156
2020-09-04,153.83,154.31,149.09,151.41,37723
2020-09-08,147.58,149.46,146.14,147.34,19193
2020-09-09,148.8,150.61,148.42,149.38,17511
2020-09-10,150.18,150.28,144.82,145.22,26790
2020-09-11,144.91,146.22,143.37,144.95,17828
2020-09-14,147.51,148.4,147.12,147.34,17386
2020-09-15,147.6,148.94,147.45,148.52,22072
2020-09-16,150.0,150.57,144.68,144.82,32716
2020-09-17,143.42,150.63,143.42,150.42,26365
2020-09-18,150.16,152.71,150.13,150.61,45054
2020-09-21,148.2,148.59,146.15,148.04,26350
2020-09-22,148.66,151.89,147.9,151.74,12418
2020-09-23,151.35,151.6,148.01,148.38,24847
2020-09-24,147.21,148.31,145.75,146.52,27104
2020-09-25,147.51,149.78,146.27,149.59,36346
2020-09-28,151.2,153.47,150.79,151.28,23915
2020-09-29,152.39,152.98,150.79,150.81,15944
2020-09-30,150.55,152.59,150.26,151.32,21974
2020-10-01,152.32,153.98,151.13,152.08,46472
2020-10-02,150.91,151.59,149.53,150.31,18580
2020-10-05,151.53,151.89,150.01,150.72,32219
2020-10-06,151.21,153.65,150.55,150.73,14902
2020-10-07,151.58,153.42,151.37,152.93,22157
2020-10-08,153.57,154.8,151.7,152.8,29990
2020-10-09,153.44,154.16,152.51,152.8,53140
2020-10-12,153.67,153.92,152.15,153.16,40865
2020-10-13,153.13,154.53,150.31,150.66,33599
2020-10-14,151.57,151.69,149.11,149.64,19810
2020-10-15,146.93,151.09,146.93,151.02,41265
2020-10-16,150.77,152.15,150.74,150.92,20105
2020-10-19,151.43,151.75,146.65,147.03,24058
2020-10-20,147.89,149.95,147.31,148.17,28930
2020-10-21,148.74,149.57,147.86,147.93,23895
2020-10-22,147.9,147.95,146.13,146.79,37960
2020-10-23,147.03,147.81,146.08,147.17,29584
2020-10-26,145.79,145.79,141.78,143.23,24729
2020-10-27,144.65,144.65,140.62,140.76,35125
2020-10-28,138.9,140.67,137.74,139.02,36712
2020-10-29,138.96,140.38,137.77,138.86,30238
2020-10-30,137.62,139.3,136.52,137.88,28159
2020-11-02,139.54,141.83,139.44,141.09,36032
2020-11-03,143.06,146.11,142.96,145.23,35236
2020-11-04,148.66,151.85,147.35,150.9,59618
2020-11-05,153.48,153.55,141.82,142.9,205622
2020-11-06,144.29,148.44,144.27,146.14,59453
2020-11-09,150.52,154.24,147.61,147.65,53755
2020-11-10,146.82,149.41,146.82,149.1,66463
2020-11-11,150.93,151.38,148.83,149.78,32148
2020-11-12,150.14,150.14,147.56,148.62,24382
2020-11-13,149.86,151.06,149.86,150.01,29847
2020-11-16,151.54,151.57,146.76,147.94,32452
2020-11-17,147.21,148.42,146.49,147.63,34573
2020-11-18,148.16,149.14,146.01,147.74,33950
2020-11-19,147.22,151.44,144.97,150.13,34872
2020-11-20,149.56,150.89,148.89,148.89,23050
2020-11-23,148.65,150.11,148.38,148.54,26160
2020-11-24,148.27,149.21,146.03,146.14,82146
2020-11-25,146.77,148.13,145.62,146.83,49523
2020-11-27,146.78,147.85,145.71,146.41,23327
2020-11-30,147.01,150.49,145.89,149.35,72338
2020-12-01,149.61,151.84,149.32,150.48,43367
2020-12-02,150.77,151.58,148.54,149.16,20373
2020-12-03,148.63,149.14,146.25,147.34,30786
2020-12-04,147.8,149.54,147.28,147.71,24065
2020-12-07,147.5,149.01,147.22,147.52,36482
2020-12-08,147.58,149.59,147.58,149.18,32582
2020-12-09,148.5,148.79,146.39,146.39,63331
2020-12-10,146.48,146.96,143.35,143.35,36344
2020-12-11,143.31,145.5,142.97,145.25,47354
2020-12-14,146.21,148.21,146.21,146.85,43927
2020-12-15,146.72,148.13,145.24,147.93,21476
2020-12-16,148.52,149.78,147.95,148.36,23014
2020-12-17,149.01,151.98,148.2,151.65,33482
2020-12-18,152.8,153.98,149.9,150.47,45358
2020-12-21,148.18,148.74,144.16,147.3,32924
2020-12-22,145.61,146.74,143.88,144.34,45487
2020-12-23,146.42,147.25,144.52,145.38,26072
2020-12-24,145.99,147.64,145.13,147.15,14547
2020-12-28,147.52,149.7,147.27,148.92,14756
2020-12-29,149.53,150.18,148.36,148.52,23278
2020-12-30,148.49,148.7,147.48,148.03,14969
2020-12-31,147.93,151.03,147.36,150.98,25576
2021-01-04,151.5,152.11,145.41,147.94,42137
2021-01-05,147.8,148.83,145.21,148.33,33945
2021-01-06,147.18,151.17,146.42,150.58,30419
2021-01-07,151.67,154.75,151.61,153.75,42122
2021-01-08,154.31,156.06,153.64,155.59,34747
2021-01-11,156.61,157.46,153.39,153.79,34928
2021-01-12,152.14,152.14,149.21,149.52,81559
2021-01-13,150.56,150.56,147.25,147.34,18514
2021-01-14,147.67,148.23,143.39,143.54,31832
2021-01-15,143.46,145.28,142.55,144.05,51721
2021-01-19,145.81,145.81,144.02,145.2,36314
2021-01-20,145.57,147.52,144.31,144.44,28961
2021-01-21,144.93,146.31,142.84,142.84,40508
2021-01-22,142.61,143.04,140.68,141.42,50785
2021-01-25,142.09,142.64,138.8,142.16,62025
2021-01-26,142.31,145.16,141.68,144.3,24926
2021-01-27,143.33,146.51,138.93,139.32,38464
2021-01-28,140.58,142.24,138.76,138.76,49083
2021-01-29,138.07,138.63,134.5,135.1,28678
2021-02-01,137.96,138.98,136.94,138.37,27147
2021-02-02,138.42,142.27,138.02,141.08,30080
2021-02-03,140.68,141.45,139.11,139.3,29427
2021-02-04,139.93,142.9,139.77,142.89,21924
2021-02-05,143.2,143.95,141.79,142.53,27588
2021-02-08,143.29,147.77,143.13,147.77,68300
2021-02-09,139.11,140.18,132.27,139.16,121118
2021-02-10,139.5,142.18,138.15,138.69,62175
2021-02-11,140.47,142.37,137.82,138.52,68777
2021-02-12,140.1,140.1,135.29,135.8,27029
2021-02-16,136.02,137.49,134.03,136.32,61086
2021-02-17,135.86,139.57,135.67,138.64,41135
2021-02-18,138.14,142.38,137.69,142.22,41799
2021-02-19,143.0,143.0,140.17,140.81,49081
2021-02-22,140.05,143.29,139.55,142.64,29922
2021-02-23,142.08,143.38,139.16,139.23,42449
2021-02-24,138.4,142.49,137.22,141.5,62022
2021-02-25,141.68,143.39,140.41,141.22,31453
2021-02-26,139.71,141.06,138.28,138.52,52447
2021-03-01,139.53,142.21,139.53,141.75,33569
2021-03-02,142.07,143.7,140.57,141.5,23848
2021-03-03,139.95,143.84,139.81,142.01,31659
2021-03-04,141.37,141.77,136.4,137.3,47935
2021-03-05,139.97,142.64,137.32,141.9,35251
2021-03-08,141.63,144.86,140.62,141.26,29790
2021-03-09,142.2,143.71,139.2,139.2,26994
2021-03-10,138.93,141.25,138.59,139.69,21221
2021-03-11,140.15,141.54,138.87,139.06,19405
2021-03-12,138.86,141.02,138.86,141.02,17575
2021-03-15,141.09,141.89,140.25,141.89,21296
2021-03-16,141.56,142.15,140.45,141.34,13843
2021-03-17,140.83,141.33,139.61,141.1,15879
2021-03-18,139.2,139.96,138.28,138.69,28168
2021-03-19,138.32,140.13,137.2,138.72,29439
2021-03-22,138.6,140.77,138.54,139.51,17461
2021-03-23,139.82,142.89,139.82,141.97,25155
2021-03-24,142.33,145.51,142.2,144.02,39628
2021-03-25,144.55,144.74,141.93,142.91,33290
2021-03-26,142.46,145.23,141.17,145.23,68126
2021-03-29,144.53,148.61,144.53,146.1,25130
2021-03-30,145.68,145.68,143.27,143.42,33010
2021-03-31,143.0,144.47,141.82,142.03,19413
2021-04-01,142.38,144.97,142.08,144.53,16684
2021-04-05,144.78,147.01,144.21,147.01,18974
2021-04-06,146.03,146.73,144.84,145.17,14849
2021-04-07,145.58,146.08,144.0,144.27,18359
2021-04-08,145.78,146.25,144.92,145.54,18001
2021-04-09,145.53,146.09,145.14,145.62,18235
2021-04-12,145.65,145.94,144.83,145.62,14269
2021-04-13,145.78,146.98,145.32,145.69,15464
2021-04-14,145.0,145.0,142.65,143.83,29763
2021-04-15,144.96,147.16,144.81,146.35,23117
2021-04-16,146.41,149.64,146.41,148.61,41973
2021-04-19,149.23,151.02,148.42,150.91,48230
2021-04-20,152.63,154.49,152.5,153.31,67814
2021-04-21,153.72,155.76,153.54,155.35,27551
2021-04-22,155.18,157.56,154.44,156.44,32233
2021-04-23,157.14,159.32,156.68,158.62,25245
2021-04-26,158.33,158.38,156.99,157.46,32345
2021-04-27,158.41,158.41,152.67,153.09,33514
2021-04-28,153.86,154.2,152.94,152.94,22268
2021-04-29,154.62,154.62,153.08,153.55,46217
2021-04-30,153.5,153.5,151.06,152.22,26242
2021-05-03,152.76,154.2,152.31,153.22,40370
