date,open,high,low,close,volume
2020-07-27,83.95,84.15,82.97,83.52,126459
2020-07-28,83.21,84.36,83.21,83.94,242005
2020-07-29,83.67,85.92,83.65,85.92,283613
2020-07-30,84.02,84.21,82.81,83.55,375595
2020-07-31,83.11,83.54,82.1,83.18,188507
2020-08-03,83.65,84.07,82.66,82.82,151348
2020-08-04,82.64,82.69,81.93,82.37,238928
2020-08-05,82.66,84.84,82.66,83.88,193465
2020-08-06,83.96,84.53,83.22,83.8,142143
2020-08-07,83.5,85.75,83.22,85.7,437737
2020-08-10,86.32,87.94,86.23,86.72,213557
2020-08-11,89.46,91.49,89.22,89.4,637857
2020-08-12,91.45,91.51,87.67,88.71,344229
2020-08-13,87.76,89.04,87.63,88.25,382547
2020-08-14,87.45,89.04,87.45,88.25,321727
2020-08-17,87.87,87.89,85.81,85.9,259967
2020-08-18,85.91,86.02,84.57,84.71,198286
2020-08-19,85.26,86.67,84.79,84.92,246221
2020-08-20,83.85,84.48,83.48,83.97,254451
2020-08-21,83.7,84.93,83.6,83.94,235965
2020-08-24,84.83,86.34,83.99,86.21,281246
2020-08-25,87.31,87.87,86.04,86.64,272356
2020-08-26,86.17,86.4,85.41,85.41,132542
2020-08-27,85.4,88.46,85.39,88.23,463351
2020-08-28,88.84,88.97,87.77,88.64,142386
2020-08-31,88.03,88.03,86.24,86.34,220620
2020-09-01,85.84,86.92,85.41,86.35,212686
2020-09-02,86.04,87.86,85.84,87.62,154800
2020-09-03,89.1,90.46,86.77,87.33,250201
2020-09-04,89.86,90.59,87.4,89.29,807365
2020-09-08,88.74,89.18,85.75,86.11,245670
2020-09-09,86.78,87.65,85.82,86.99,177142
2020-09-10,87.25,88.26,85.9,86.16,220851
2020-09-11,86.12,87.35,85.87,87.12,151048
2020-09-14,87.56,89.1,87.39,88.42,184741
2020-09-15,88.58,88.62,85.47,85.62,441165
2020-09-16,85.74,87.15,85.15,85.97,329334
2020-09-17,84.78,85.5,84.22,84.96,288757
2020-09-18,84.71,85.73,84.05,84.76,308903
2020-09-21,82.09,82.69,80.88,82.16,264524
2020-09-22,81.88,82.44,80.74,81.26,288811
