date,open,high,low,close,volume
2020-07-27,25.95,26.09,25.8,26.06,95508
2020-07-28,26.0,26.47,26.0,26.44,290591
2020-07-29,26.57,26.83,26.49,26.6,251041
2020-07-30,26.24,26.56,24.96,25.69,413587
2020-07-31,25.54,26.05,25.31,25.75,189640
2020-08-03,25.79,26.22,25.63,26.03,169831
2020-08-04,25.98,26.28,25.73,26.23,133907
2020-08-05,26.31,26.31,25.92,26.04,184310
2020-08-06,26.05,26.43,25.94,26.42,68606
2020-08-07,26.31,26.52,26.18,26.47,122726
2020-08-10,26.42,26.42,25.83,26.03,135807
2020-08-11,26.26,26.26,25.81,25.91,72292
2020-08-12,26.04,26.55,26.01,26.45,69674
2020-08-13,26.44,26.66,26.39,26.6,85432
2020-08-14,26.41,26.67,26.3,26.63,65031
2020-08-17,26.63,27.19,26.61,26.87,63126
2020-08-18,26.89,26.89,26.38,26.68,97201
2020-08-19,26.7,26.81,26.47,26.54,65465
2020-08-20,26.34,26.4,25.98,26.08,82708
2020-08-21,26.0,26.1,25.68,25.87,119773
2020-08-24,25.92,26.25,25.72,26.25,137301
2020-08-25,26.41,26.49,26.13,26.46,92501
2020-08-26,26.28,26.43,26.09,26.4,42964
2020-08-27,26.49,26.65,26.26,26.3,57494
2020-08-28,26.33,26.41,25.94,26.4,248667
2020-08-31,26.38,26.58,26.32,26.53,68565
2020-09-01,26.23,26.23,25.68,25.82,165870
2020-09-02,25.94,26.42,25.82,26.27,105734
2020-09-03,26.12,26.49,25.18,25.39,148495
2020-09-04,25.53,25.6,25.05,25.32,92434
2020-09-08,25.03,25.04,23.95,24.02,178096
2020-09-09,24.14,24.2,23.65,23.92,173022
2020-09-10,24.02,24.38,23.71,23.86,108639
2020-09-11,23.86,24.33,23.64,23.98,82437
2020-09-14,24.12,24.33,23.78,24.13,91385
2020-09-15,24.61,24.89,24.13,24.2,336856
2020-09-16,24.37,24.39,23.58,23.7,256068
2020-09-17,23.4,23.43,22.79,23.16,212630
2020-09-18,23.15,23.16,22.31,22.5,327306
2020-09-21,22.12,22.47,22.03,22.46,91338
2020-09-22,22.43,22.59,22.04,22.09,294895
2020-09-23,22.21,22.21,21.72,21.77,108214
2020-09-24,21.81,22.06,21.63,21.81,64228
2020-09-25,21.82,22.1,21.62,22.03,100167
2020-09-28,22.44,22.69,22.29,22.56,64284
2020-09-29,22.46,22.61,22.23,22.4,44175
2020-09-30,22.52,22.85,22.47,22.68,144697
2020-10-01,22.7,22.99,22.45,22.98,316871
2020-10-02,22.69,23.12,22.67,23.07,341165
2020-10-05,23.18,23.51,23.17,23.45,192275
2020-10-06,23.49,23.66,23.15,23.21,247181
2020-10-07,23.31,23.43,23.08,23.35,112413
2020-10-08,23.4,23.71,23.4,23.63,157771
2020-10-09,23.69,23.81,23.47,23.56,193461
2020-10-12,23.77,24.27,23.77,23.95,257647
2020-10-13,23.92,24.56,23.92,24.52,280105
2020-10-14,24.53,24.86,24.11,24.33,212699
2020-10-15,24.05,24.45,23.89,24.44,141725
2020-10-16,24.5,24.67,24.29,24.35,197722
