date,open,high,low,close,volume
2020-07-27,32.71,33.34,32.58,33.33,48034
2020-07-28,33.24,33.38,32.96,33.1,83207
2020-07-29,33.45,34.03,33.36,33.99,58332
2020-07-30,33.56,33.78,33.34,33.49,79756
2020-07-31,33.69,33.69,32.97,33.45,117757
2020-08-03,33.59,33.9,33.0,33.9,79665
2020-08-04,34.59,34.83,33.54,34.25,155273
2020-08-05,34.83,34.84,34.06,34.36,146797
2020-08-06,34.52,34.76,34.28,34.7,82864
2020-08-07,34.71,34.92,34.53,34.92,48124
2020-08-10,34.84,35.15,34.66,35.02,67033
2020-08-11,34.31,34.31,33.07,33.1,326027
2020-08-12,34.51,34.88,34.24,34.4,172519
2020-08-13,34.31,34.67,34.26,34.41,85326
2020-08-14,34.37,34.87,34.25,34.77,88292
2020-08-17,34.7,34.77,34.08,34.26,81462
2020-08-18,34.38,34.46,33.95,33.95,53320
2020-08-19,34.05,34.18,33.82,34.01,85552
2020-08-20,33.11,33.35,32.51,32.64,159701
2020-08-21,32.74,33.13,32.67,33.07,55642
2020-08-24,32.92,33.24,32.86,33.04,52246
2020-08-25,33.26,33.26,32.76,33.0,94583
2020-08-26,33.17,33.25,32.9,33.22,79828
2020-08-27,33.24,33.41,33.0,33.1,169154
2020-08-28,33.23,33.32,33.14,33.17,263851
2020-08-31,33.32,34.18,33.3,34.09,118082
2020-09-01,33.97,34.8,33.92,34.46,109124
2020-09-02,34.54,35.05,34.11,34.98,48726
2020-09-03,34.97,34.97,33.61,33.89,42647
2020-09-04,34.23,34.32,32.95,33.9,181176
2020-09-08,33.17,33.17,32.41,32.54,69065
2020-09-09,33.0,33.41,32.91,33.2,41240
2020-09-10,33.56,33.96,32.84,32.96,28502
2020-09-11,33.03,33.34,32.69,32.9,45738
2020-09-14,33.01,33.61,32.98,33.45,42352
2020-09-15,33.62,34.32,33.37,34.22,70754
2020-09-16,34.2,34.91,33.99,34.3,68414
2020-09-17,33.79,33.79,33.18,33.61,198773
2020-09-18,33.69,34.2,33.25,33.33,151023
2020-09-21,32.59,32.83,31.97,32.83,78446
2020-09-22,33.12,33.12,32.33,32.94,103570
2020-09-23,33.18,33.6,32.39,32.39,175980
2020-09-24,32.07,32.1,31.24,31.38,88190
2020-09-25,31.25,32.23,31.1,32.23,148629
2020-09-28,32.6,33.31,32.6,33.19,68523
2020-09-29,32.99,33.21,32.41,32.51,119784
2020-09-30,32.78,33.1,32.35,32.64,126306
2020-10-01,32.97,33.24,32.66,32.95,169874
2020-10-02,32.41,33.7,32.41,33.35,102109
2020-10-05,33.77,34.39,33.56,34.25,107077
2020-10-06,34.32,34.4,33.23,33.23,131956
2020-10-07,33.6,33.93,33.44,33.48,76825
2020-10-08,33.81,34.29,33.72,34.22,79203
2020-10-09,34.55,34.55,33.93,34.04,77065
2020-10-12,34.38,34.56,34.16,34.45,47334
2020-10-13,34.47,34.92,34.23,34.48,95439
2020-10-14,34.49,35.05,34.4,34.56,104885
2020-10-15,34.12,35.23,33.83,35.23,127887
2020-10-16,35.35,35.46,35.07,35.08,91074
2020-10-19,35.35,35.61,34.93,34.96,184987
2020-10-20,35.32,35.99,35.27,35.58,92347
2020-10-21,35.63,36.06,35.18,35.28,127483
2020-10-22,35.37,35.7,34.89,35.4,84214
2020-10-23,35.56,35.79,35.12,35.52,168266
2020-10-26,35.4,35.4,34.15,34.67,132695
2020-10-27,34.69,34.81,34.02,34.02,83052
2020-10-28,33.22,33.3,32.75,33.0,73959
2020-10-29,32.96,33.26,32.43,33.04,144010
2020-10-30,33.14,33.22,32.02,32.44,142385
2020-11-02,32.98,33.8,32.81,33.28,84479
2020-11-03,32.53,33.24,32.16,33.14,286359
2020-11-04,33.58,35.81,33.58,35.3,400495
2020-11-05,35.55,37.36,35.55,36.3,269848
2020-11-06,36.18,36.55,35.6,36.27,85744
2020-11-09,37.63,37.8,36.08,36.12,201664
2020-11-10,36.21,36.53,35.83,36.44,223980
