date,open,high,low,close,volume
2020-07-27,117.66,118.49,116.92,117.96,61583
2020-07-28,118.16,120.57,118.16,120.55,97656
2020-07-29,120.48,122.13,119.99,121.61,67336
2020-07-30,121.0,121.44,120.17,121.44,43362
2020-07-31,120.55,121.74,120.32,121.67,40452
2020-08-03,121.13,121.91,120.9,121.28,38943
2020-08-04,121.37,124.96,121.28,124.96,66066
2020-08-05,124.8,125.11,124.08,124.59,60357
2020-08-06,124.65,125.43,124.15,125.13,48663
2020-08-07,125.67,126.52,125.13,125.63,107893
2020-08-10,126.34,127.04,125.82,126.39,58552
2020-08-11,126.37,126.37,124.23,124.58,62166
2020-08-12,125.06,127.95,125.06,127.05,41721
2020-08-13,126.69,127.25,126.28,126.67,44226
2020-08-14,126.61,126.85,126.15,126.5,62436
2020-08-17,126.42,127.02,126.03,126.22,27104
2020-08-18,125.52,126.72,125.21,125.97,80730
2020-08-19,126.53,126.53,125.58,125.83,24345
2020-08-20,125.53,126.26,125.08,125.87,22747
2020-08-21,125.73,126.03,124.91,125.83,38571
2020-08-24,125.92,126.43,125.45,125.91,22796
2020-08-25,124.93,125.71,124.59,124.71,26554
2020-08-26,124.47,125.28,124.34,124.75,45282
2020-08-27,125.39,125.96,124.89,124.91,43054
2020-08-28,124.52,125.2,123.71,125.19,32210
2020-08-31,125.27,126.26,125.25,126.13,18000
2020-09-01,125.42,125.52,123.13,123.29,66103
2020-09-02,123.43,125.79,123.43,125.26,42241
2020-09-03,125.52,125.91,121.61,122.62,146033
2020-09-04,123.06,124.02,120.93,122.53,80014
2020-09-08,122.34,122.34,119.45,119.94,39027
2020-09-09,121.37,123.25,121.37,121.96,38091
2020-09-10,121.95,121.95,119.29,119.29,62450
2020-09-11,119.77,119.93,118.76,119.57,84846
2020-09-14,120.17,120.29,119.33,119.63,42989
2020-09-15,119.83,120.36,117.88,117.88,56944
2020-09-16,118.14,119.87,118.14,118.92,48445
2020-09-17,118.17,118.88,117.14,118.03,50797
2020-09-18,117.66,117.93,116.62,117.58,32559
2020-09-21,117.38,118.1,116.31,117.47,34147
2020-09-22,117.27,119.01,117.27,118.31,29768
2020-09-23,118.52,118.52,116.48,116.63,45310
2020-09-24,116.75,118.47,116.38,117.96,46998
2020-09-25,117.74,118.2,117.19,117.92,40835
2020-09-28,118.36,119.51,117.83,118.72,81719
2020-09-29,119.03,119.12,117.6,117.8,33541
2020-09-30,118.53,119.41,118.12,118.92,56997
2020-10-01,119.15,119.69,117.97,118.9,57471
2020-10-02,118.37,119.58,117.42,118.7,108642
2020-10-05,119.29,120.45,118.85,120.42,51554
2020-10-06,120.39,121.94,120.25,120.76,74263
2020-10-07,121.25,122.13,120.43,121.57,64260
2020-10-08,121.42,121.59,120.6,121.06,83469
2020-10-09,121.43,123.0,121.22,122.85,57541
2020-10-12,123.29,124.24,122.83,123.47,44962
