date,open,high,low,close,volume
2023-05-04,22.71,23.87,22.35,23.74,3389183
2023-05-05,23.49,23.93,23.22,23.28,589902
2023-05-08,23.18,23.71,22.94,23.47,332976
2023-05-09,23.46,23.72,23.1,23.25,194506
2023-05-10,23.44,23.7,23.02,23.24,811781
2023-05-11,23.09,23.3,23.02,23.02,605120
2023-05-12,23.07,23.56,22.93,23.48,497244
2023-05-15,23.56,24.6,23.56,24.35,367186
2023-05-16,24.38,24.57,23.9,23.94,276882
2023-05-17,24.33,24.51,23.59,24.09,238617
2023-05-18,24.14,24.15,23.64,23.91,97468
2023-05-19,23.86,24.12,23.63,24.1,90967
2023-05-22,24.22,24.24,22.98,23.08,354377
2023-05-23,23.03,23.24,22.86,23.02,142042
2023-05-24,22.94,23.48,22.93,23.41,155340
2023-05-25,23.48,23.55,22.94,23.31,111243
2023-05-26,23.25,23.33,23.22,23.26,36198
2023-05-30,23.41,23.41,22.25,22.78,376453
2023-05-31,22.66,22.66,22.12,22.23,427876
2023-06-01,22.3,22.7,21.91,22.36,257017
2023-06-02,22.45,22.72,22.12,22.62,139969
2023-06-05,22.69,22.81,21.99,22.27,206659
2023-06-06,22.16,22.46,22.15,22.29,139784
2023-06-07,22.11,22.35,22.11,22.21,129840
2023-06-08,22.19,22.26,21.97,22.24,110451
2023-06-09,22.21,22.26,22.0,22.24,77989
2023-06-12,22.2,22.24,21.91,22.15,171839
2023-06-13,22.19,22.32,22.1,22.27,124274
2023-06-14,22.26,22.56,22.25,22.44,131670
2023-06-15,22.33,22.97,22.33,22.81,67913
2023-06-16,22.91,23.24,22.91,23.24,155461
2023-06-20,23.13,23.35,23.06,23.08,139929
2023-06-21,23.17,23.63,22.82,23.2,149933
2023-06-22,23.25,23.55,23.25,23.48,73446
2023-06-23,23.59,23.66,23.27,23.44,149673
2023-06-26,23.48,23.54,23.05,23.16,48081
2023-06-27,22.93,22.94,22.32,22.92,160337
2023-06-28,22.9,23.03,22.72,22.86,89082
2023-06-29,22.79,23.21,22.77,23.01,48513
2023-06-30,23.24,23.6,23.17,23.39,147798
2023-07-03,23.32,23.55,22.84,23.07,154551
2023-07-05,23.0,23.23,22.68,22.75,75847
2023-07-06,22.75,22.84,22.47,22.7,85842
2023-07-07,22.59,22.7,22.32,22.32,70104
2023-07-10,22.37,22.56,22.24,22.35,49232
2023-07-11,22.55,22.6,22.13,22.21,181798
2023-07-12,22.4,22.43,22.09,22.36,92847
2023-07-13,22.46,22.53,22.05,22.48,63648
2023-07-14,22.61,22.65,21.9,22.08,121928
2023-07-17,22.08,22.17,21.91,22.03,68655
2023-07-18,22.0,22.15,21.96,21.97,90102
2023-07-19,22.01,22.17,21.69,22.12,102235
2023-07-20,21.19,21.78,19.91,21.7,2806094
2023-07-21,21.8,21.99,21.05,21.25,698797
2023-07-24,20.47,21.59,20.47,21.38,1443343
2023-07-25,21.5,22.2,21.4,22.13,433307
2023-07-26,22.16,22.26,21.5,21.83,363201
2023-07-27,21.97,21.99,21.22,21.41,496527
2023-07-28,21.4,21.62,21.32,21.58,420053
2023-07-31,21.24,21.31,20.8,20.95,630841
2023-08-01,20.8,21.0,20.74,20.95,675096
2023-08-02,20.88,21.16,20.7,21.16,644284
2023-08-03,21.35,21.62,21.03,21.21,647825
2023-08-04,21.09,21.1,20.62,20.81,1291904
2023-08-07,20.89,20.89,20.64,20.83,952994
2023-08-08,20.82,20.83,20.55,20.7,1131597
2023-08-09,20.64,20.74,20.41,20.67,1663442
2023-08-10,20.95,21.15,20.46,20.67,3792974
2023-08-11,20.66,21.06,20.63,21.0,3127513
2023-08-14,20.95,20.95,20.23,20.32,6401265
2023-08-15,20.27,21.04,20.04,20.59,6688798
2023-08-16,20.71,20.85,20.19,20.31,6301495
2023-08-17,20.47,20.62,19.96,20.2,5962816
2023-08-18,20.25,20.31,19.79,20.24,6620578
2023-08-21,20.5,20.97,20.2,20.28,8193203
2023-08-22,20.55,21.09,20.47,21.01,8099535
2023-08-23,21.08,21.29,20.94,20.94,5484775
2023-08-24,21.23,21.33,20.49,20.96,9364390
2023-08-25,20.73,20.78,20.37,20.51,6016434
2023-08-28,20.48,20.71,20.19,20.51,1754038
2023-08-29,20.33,20.64,20.15,20.41,3091999
2023-08-30,20.37,20.66,20.22,20.59,1564909
2023-08-31,20.6,20.82,20.54,20.58,1365723
2023-09-01,20.69,20.83,20.42,20.48,1376790
2023-09-05,20.46,20.48,20.17,20.17,2115778
2023-09-06,20.19,20.27,19.91,19.98,1260159
2023-09-07,20.06,20.13,18.71,18.74,5863706
2023-09-08,18.6,19.13,18.19,19.01,3308232
2023-09-11,19.77,19.8,19.28,19.69,1821924
2023-09-12,19.73,19.73,18.76,18.81,2735324
2023-09-13,18.87,19.56,18.85,19.28,1502077
2023-09-14,19.43,19.46,19.19,19.41,781805
2023-09-15,19.37,19.52,18.93,18.94,724373
2023-09-18,19.02,19.03,18.6,18.81,874307
2023-09-19,18.68,18.84,18.47,18.81,1143186
2023-09-20,18.97,19.1,18.64,18.64,624455
2023-09-21,18.63,18.98,18.5,18.6,964836
2023-09-22,18.71,18.76,18.3,18.34,602559
2023-09-25,18.3,18.61,18.27,18.61,495238
2023-09-26,18.39,18.61,18.29,18.43,839164
2023-09-27,18.48,18.52,17.9,18.06,949260
2023-09-28,18.01,18.1,17.81,17.95,854419
2023-09-29,18.04,18.14,17.88,17.93,1629573
2023-10-02,18.03,18.28,17.98,18.14,790030
2023-10-03,18.28,18.38,17.77,17.85,762144
2023-10-04,17.79,17.79,17.46,17.61,772317
2023-10-05,17.69,17.76,17.48,17.64,796432
2023-10-06,17.47,18.08,17.32,17.91,782720
2023-10-09,17.77,17.95,17.56,17.74,626286
2023-10-10,17.77,17.91,17.53,17.58,436812
2023-10-11,17.7,17.7,17.29,17.47,579376
2023-10-12,17.53,17.58,17.17,17.26,756041
