date,open,high,low,close,volume
2020-07-27,251.37,254.0,251.37,254.0,16289
2020-07-28,253.96,255.58,251.9,253.2,21386
2020-07-29,257.44,258.55,256.35,256.44,9961
2020-07-30,252.58,254.93,251.96,253.01,27114
2020-07-31,250.74,250.74,246.57,249.88,12166
2020-08-03,250.59,253.65,250.58,252.56,17576
2020-08-04,251.59,255.8,250.66,255.08,16926
2020-08-05,255.78,256.58,252.48,255.23,8507
2020-08-06,254.99,254.99,252.82,252.85,6819
2020-08-07,252.77,253.62,247.8,249.1,27846
2020-08-10,248.88,251.97,247.87,251.81,20754
2020-08-11,255.54,260.26,255.26,255.34,12664
2020-08-12,256.91,262.31,256.91,259.13,10107
2020-08-13,258.2,262.08,257.18,259.26,12408
2020-08-14,258.28,260.92,257.07,259.4,6691
2020-08-17,258.83,260.32,256.37,258.3,14201
2020-08-18,259.81,261.23,258.52,260.11,11737
2020-08-19,262.27,263.45,260.98,261.31,7146
2020-08-20,259.43,260.38,257.34,257.69,3604
2020-08-21,257.59,259.62,256.54,259.16,5445
2020-08-24,260.07,263.78,260.07,263.78,5946
2020-08-25,265.28,265.28,262.58,265.15,6192
2020-08-26,264.04,268.82,264.04,267.54,12659
2020-08-27,269.12,269.12,263.63,264.6,22223
2020-08-28,265.2,267.28,264.93,265.78,22129
2020-08-31,265.7,270.86,262.05,262.05,11701
2020-09-01,261.03,268.96,261.03,267.76,15412
2020-09-02,267.08,270.06,266.46,268.87,8948
2020-09-03,267.77,267.77,259.22,260.3,11157
2020-09-04,263.38,263.55,254.8,259.47,13682
2020-09-08,253.35,256.15,251.2,251.63,10502
2020-09-09,254.9,257.05,254.9,255.72,8637
2020-09-10,255.43,255.43,251.88,252.96,6534
2020-09-11,254.41,257.43,254.04,256.39,18125
2020-09-14,258.12,258.99,255.86,258.51,13621
2020-09-15,259.31,261.81,255.21,255.22,15480
2020-09-16,255.63,258.34,255.63,256.02,7367
2020-09-17,254.32,256.68,252.84,256.04,5692
2020-09-18,257.49,257.49,249.31,250.03,15214
2020-09-21,244.64,249.74,244.02,249.74,11792
2020-09-22,251.38,253.33,249.25,253.33,7041
2020-09-23,251.87,251.87,243.45,243.56,15491
2020-09-24,242.54,248.45,242.54,246.52,7934
2020-09-25,248.21,248.21,244.7,246.81,5510
2020-09-28,249.31,254.55,249.31,253.62,6629
2020-09-29,254.76,257.38,254.08,254.84,15079
2020-09-30,256.24,258.68,254.27,255.59,6409
2020-10-01,257.54,257.61,254.61,256.67,13885
2020-10-02,252.23,259.57,252.23,258.05,28314
2020-10-05,262.8,266.26,262.09,264.15,13666
2020-10-06,265.17,266.73,260.09,260.87,16310
2020-10-07,263.42,263.42,258.32,260.13,24002
2020-10-08,261.1,262.34,256.58,259.39,27047
2020-10-09,263.47,268.75,262.82,265.69,30131
2020-10-12,266.99,271.65,266.95,271.15,34702
2020-10-13,269.62,273.03,267.38,267.53,28639
2020-10-14,270.62,271.84,268.17,269.74,11485
2020-10-15,268.68,271.16,267.62,270.12,18818
2020-10-16,272.45,272.91,269.12,270.44,33683
2020-10-19,273.37,277.78,258.0,260.76,63312
2020-10-20,265.98,271.37,263.25,265.91,59651
2020-10-21,265.9,269.92,265.14,266.55,26546
2020-10-22,267.29,270.6,265.68,270.51,20149
2020-10-23,271.79,274.18,269.54,270.11,21467
2020-10-26,267.03,267.99,263.15,264.15,20723
2020-10-27,264.96,270.52,262.7,265.89,30717
2020-10-28,263.25,264.21,255.43,255.82,47413
2020-10-29,255.74,261.34,255.74,259.14,26023
2020-10-30,259.63,261.63,252.43,254.58,25616
2020-11-02,259.18,265.73,259.18,265.29,36470
2020-11-03,268.96,273.73,267.82,272.88,42017
2020-11-04,271.06,279.16,268.75,275.09,60899
2020-11-05,280.51,287.09,280.51,284.87,26636
2020-11-06,282.97,288.29,282.97,287.38,20143
2020-11-09,296.03,296.03,274.24,274.88,32926
2020-11-10,274.27,279.76,274.27,275.51,34486
2020-11-11,277.83,277.83,271.14,274.21,18596
2020-11-12,275.1,275.35,270.01,272.73,14744
2020-11-13,278.39,281.44,278.39,279.84,16646
2020-11-16,279.55,282.98,278.37,282.42,8679
2020-11-17,280.43,281.44,278.69,280.15,7761
2020-11-18,280.13,280.6,277.11,277.47,12015
2020-11-19,276.81,279.98,275.71,279.37,14946
2020-11-20,275.78,277.66,273.51,275.79,10328
2020-11-23,279.57,279.57,275.11,276.2,12325
2020-11-24,280.13,283.87,279.15,281.93,16789
2020-11-25,275.46,275.53,269.89,270.45,15881
2020-11-27,271.84,271.99,269.11,271.23,5205
2020-11-30,267.34,269.81,264.54,269.47,34139
2020-12-01,272.19,272.5,268.52,270.13,12296
2020-12-02,264.6,265.16,259.16,263.26,15795
2020-12-03,263.72,266.69,262.43,262.43,8360
2020-12-04,263.76,263.76,258.38,258.45,17482
2020-12-07,260.83,261.59,256.68,259.01,16671
2020-12-08,259.62,265.26,259.61,265.12,12475
2020-12-09,264.78,269.48,264.78,268.47,20519
2020-12-10,266.84,267.01,255.91,260.31,31193
2020-12-11,259.13,263.32,257.6,263.14,16956
2020-12-14,263.37,263.37,255.36,255.76,18307
2020-12-15,257.0,260.29,255.05,259.58,45830
2020-12-16,258.88,261.29,254.66,258.93,44542
2020-12-17,263.59,263.63,257.15,262.83,20981
2020-12-18,263.49,266.73,257.68,260.17,18920
2020-12-21,257.29,260.51,257.29,259.61,45638
2020-12-22,259.75,261.37,255.4,255.62,12501
2020-12-23,257.3,257.99,254.15,256.16,11171
2020-12-24,256.09,256.9,255.2,256.1,4287
2020-12-28,256.17,257.87,254.1,254.73,10022
2020-12-29,253.62,254.5,251.27,253.09,12638
2020-12-30,254.83,257.98,254.83,255.63,14007
2020-12-31,253.83,257.88,253.42,257.51,20832
2021-01-04,258.81,259.39,250.83,251.53,16731
2021-01-05,253.14,254.57,251.61,252.16,17232
2021-01-06,253.6,259.86,253.6,257.13,19021
2021-01-07,257.01,261.4,257.01,261.32,15947
2021-01-08,262.03,262.03,255.14,257.14,17293
2021-01-11,256.56,260.87,256.56,257.4,11375
2021-01-12,256.8,265.98,255.46,265.65,21881
2021-01-13,264.97,268.19,264.13,264.19,19475
2021-01-14,265.0,269.71,264.31,267.24,19040
2021-01-15,266.2,266.63,261.73,264.23,19741
2021-01-19,265.97,270.58,264.58,264.76,17454
2021-01-20,265.69,272.35,264.01,272.05,20276
2021-01-21,270.9,276.35,270.9,276.0,16781
