date,open,high,low,close,volume
2020-07-27,149.15,151.39,149.0,150.27,69714
2020-07-28,151.36,154.85,151.31,152.2,103383
2020-07-29,151.46,152.57,150.94,151.45,122701
2020-07-30,147.94,148.39,140.91,143.25,288656
2020-07-31,143.55,143.55,139.4,140.69,139093
2020-08-03,142.97,144.04,141.79,143.11,109060
2020-08-04,143.45,146.05,143.4,144.9,89427
2020-08-05,147.12,147.12,143.57,144.58,148613
2020-08-06,145.37,145.45,141.43,143.1,92782
2020-08-07,143.37,143.73,141.99,143.24,90242
2020-08-10,142.81,143.69,141.94,143.26,28911
2020-08-11,143.14,143.17,140.7,141.0,52726
2020-08-12,141.89,143.42,141.13,142.94,93715
2020-08-13,142.03,142.6,141.01,141.48,58924
2020-08-14,141.22,142.72,140.35,141.22,39748
2020-08-17,141.8,143.58,141.58,142.58,55500
2020-08-18,143.32,144.08,142.26,144.07,38607
2020-08-19,144.94,145.12,143.15,143.37,42157
2020-08-20,143.46,143.73,141.95,142.43,58574
2020-08-21,142.22,142.22,139.23,140.45,54087
2020-08-24,141.42,141.42,139.51,140.62,64441
2020-08-25,140.91,142.34,140.53,140.95,57532
2020-08-26,140.38,140.59,138.8,140.47,88703
2020-08-27,141.54,142.02,140.17,140.17,80251
2020-08-28,140.1,140.17,138.32,138.67,44104
2020-08-31,138.58,139.99,138.37,139.86,126581
2020-09-01,140.08,140.32,138.0,138.61,113642
2020-09-02,138.64,141.0,138.0,140.75,63302
2020-09-03,143.22,144.29,138.91,140.31,125822
2020-09-04,140.08,143.55,139.24,142.02,107071
2020-09-08,141.81,142.37,139.83,140.42,125304
2020-09-09,141.94,144.99,141.62,143.05,72552
2020-09-10,141.5,141.62,137.11,137.51,148722
2020-09-11,138.71,140.35,138.22,139.32,136705
2020-09-14,140.28,141.6,138.8,140.23,133939
2020-09-15,141.32,142.84,140.73,141.21,160618
2020-09-16,142.36,143.55,141.88,142.1,93860
2020-09-17,141.07,143.61,140.81,143.53,92509
2020-09-18,143.85,145.37,143.42,145.04,120665
2020-09-21,143.67,143.69,140.26,142.28,98327
2020-09-22,141.99,142.15,140.36,141.04,71256
2020-09-23,141.19,142.54,139.94,141.01,57851
2020-09-24,140.69,140.69,138.72,140.17,85495
2020-09-25,139.61,141.51,139.17,141.38,97137
2020-09-28,142.02,142.5,139.23,139.23,109273
2020-09-29,139.26,139.58,137.31,137.64,169174
2020-09-30,137.53,139.67,136.52,139.28,135427
2020-10-01,139.53,139.84,135.57,135.79,297251
2020-10-02,135.43,138.25,134.87,136.65,243789
2020-10-05,136.5,138.65,135.66,137.96,139550
2020-10-06,138.25,139.04,135.48,135.53,156300
2020-10-07,139.63,141.0,138.18,140.15,217957
2020-10-08,142.94,144.84,141.71,144.43,183286
2020-10-09,144.99,147.82,144.98,147.55,216324
2020-10-12,147.87,147.87,145.32,145.37,164035
2020-10-13,143.97,145.11,139.86,141.29,296762
2020-10-14,141.39,141.63,139.02,139.67,148343
2020-10-15,138.02,138.13,136.79,138.08,191243
2020-10-16,138.36,139.61,137.39,137.4,194475
2020-10-19,138.32,138.62,133.86,134.22,138949
2020-10-20,134.7,135.6,133.73,135.11,115835
2020-10-21,134.2,134.86,132.88,132.89,121665
2020-10-22,133.15,133.85,132.52,133.28,145313
2020-10-23,133.47,136.13,133.35,133.79,148433
2020-10-26,133.53,133.81,131.79,133.43,140305
2020-10-27,125.16,128.01,124.1,124.1,881656
2020-10-28,122.75,126.11,122.7,123.54,458693
2020-10-29,123.97,125.26,122.7,124.78,248541
2020-10-30,124.02,125.18,121.59,122.57,198505
2020-11-02,125.53,125.61,122.31,123.74,230687
2020-11-03,125.61,126.1,123.01,123.26,200667
2020-11-04,127.68,142.99,127.28,139.81,823047
2020-11-05,139.11,140.02,136.17,137.08,313227
2020-11-06,136.96,138.68,131.51,134.41,365890
2020-11-09,134.64,135.97,132.38,133.97,312260
2020-11-10,138.88,140.38,135.31,138.0,394361
2020-11-11,138.79,138.79,134.93,136.29,227856
2020-11-12,134.69,135.63,132.29,133.21,184316
2020-11-13,134.74,135.4,133.68,134.67,140964
2020-11-16,135.27,136.45,132.45,132.94,285323
2020-11-17,131.81,134.16,131.26,133.54,197104
2020-11-18,134.41,134.62,132.6,132.6,115118
2020-11-19,132.48,136.06,131.53,135.7,193947
2020-11-20,135.43,139.07,135.28,137.69,247635
2020-11-23,137.52,137.52,133.56,135.67,206679
2020-11-24,135.77,137.62,135.59,137.05,160677
2020-11-25,137.31,137.31,134.9,136.88,219636
2020-11-27,137.74,139.82,137.52,139.52,129948
2020-11-30,138.96,140.06,137.16,137.88,160274
2020-12-01,138.79,139.96,137.39,137.61,386801
2020-12-02,137.49,139.11,136.57,137.26,361907
2020-12-03,137.36,138.45,135.39,136.22,178318
2020-12-04,136.76,140.65,136.76,140.45,164558
2020-12-07,139.55,140.21,138.56,139.42,146948
2020-12-08,139.51,141.99,139.34,141.2,148305
2020-12-09,146.04,150.31,145.45,149.43,479031
2020-12-10,150.76,153.13,149.68,152.27,401173
2020-12-11,151.09,152.44,150.58,151.4,250085
2020-12-14,151.84,153.42,149.33,149.33,170246
2020-12-15,150.41,159.08,149.73,158.47,277648
2020-12-16,160.28,163.58,157.71,162.75,374986
2020-12-17,162.3,164.35,161.9,163.32,208233
2020-12-18,163.29,163.41,159.9,161.96,210311
