date,open,high,low,close,volume
2020-07-27,43.77,43.85,43.26,43.66,22847
2020-07-28,43.8,44.51,43.8,44.29,34458
2020-07-29,44.54,44.56,44.21,44.53,48523
2020-07-30,44.22,44.83,44.22,44.66,88148
2020-07-31,44.42,44.77,44.1,44.71,31545
2020-08-03,44.69,44.74,44.16,44.55,14663
2020-08-04,44.4,44.94,44.4,44.74,30437
2020-08-05,44.86,45.0,43.89,43.98,34822
2020-08-06,43.81,44.4,43.56,44.37,50858
2020-08-07,44.22,45.81,43.65,45.42,64083
2020-08-10,45.52,46.2,45.43,46.0,33285
2020-08-11,46.11,46.14,44.49,44.62,64309
2020-08-12,44.73,45.25,44.73,44.85,26327
2020-08-13,44.78,44.93,44.48,44.87,68700
2020-08-14,44.77,45.23,44.61,44.69,41265
2020-08-17,44.84,45.27,44.64,44.77,80706
2020-08-18,44.76,44.87,44.39,44.61,18038
2020-08-19,44.61,44.91,44.45,44.73,39869
2020-08-20,44.54,44.99,44.5,44.59,25154
2020-08-21,44.7,45.05,44.26,44.96,17826
2020-08-24,44.89,45.41,44.56,45.38,23453
2020-08-25,45.55,45.55,45.06,45.13,12604
2020-08-26,44.43,45.08,44.43,44.93,17615
2020-08-27,45.16,45.32,44.74,44.88,12391
2020-08-28,44.8,45.18,44.56,45.13,18768
2020-08-31,45.18,45.37,44.93,45.06,37068
2020-09-01,44.67,44.87,44.29,44.44,35126
2020-09-02,44.37,45.58,44.29,45.45,75743
2020-09-03,45.78,45.83,44.55,44.88,54051
2020-09-04,45.16,45.21,43.85,44.32,34163
2020-09-08,44.18,44.2,43.5,43.77,147026
2020-09-09,44.21,45.25,44.15,44.67,76651
2020-09-10,44.13,44.23,43.29,43.29,58136
2020-09-11,43.45,43.45,42.86,43.13,68391
2020-09-14,43.31,43.69,43.12,43.52,83870
2020-09-15,43.82,44.5,43.73,43.87,41390
2020-09-16,44.07,44.61,43.94,44.08,41749
2020-09-17,43.57,43.74,43.06,43.35,25997
2020-09-18,43.08,43.29,42.33,42.4,35131
2020-09-21,42.07,42.2,40.64,41.43,41732
2020-09-22,41.58,41.94,41.29,41.55,65272
2020-09-23,41.7,41.9,41.42,41.42,62812
2020-09-24,41.48,41.8,41.13,41.48,31442
2020-09-25,41.07,42.8,41.07,42.69,92460
2020-09-28,42.78,43.2,42.61,42.79,70665
2020-09-29,42.94,42.99,42.42,42.48,34504
2020-09-30,42.94,43.11,42.61,42.97,90536
2020-10-01,42.95,43.67,42.95,43.48,77129
2020-10-02,43.39,44.43,43.29,44.14,90328
2020-10-05,44.15,44.49,43.69,44.32,67339
2020-10-06,44.39,45.6,44.23,45.31,144435
2020-10-07,45.44,45.44,44.68,44.97,46737
2020-10-08,45.03,45.88,44.98,45.88,97482
2020-10-09,45.95,46.1,45.3,45.52,59636
2020-10-12,45.65,45.88,45.41,45.5,103260
2020-10-13,45.17,45.25,44.65,44.95,51712
2020-10-14,45.01,45.28,44.69,44.96,44143
2020-10-15,44.62,45.62,44.59,45.35,41839
2020-10-16,45.22,45.9,45.13,45.66,41018
2020-10-19,45.82,45.91,45.38,45.51,43461
2020-10-20,45.72,46.02,45.41,45.88,50724
2020-10-21,45.85,46.61,45.76,46.27,132403
2020-10-22,46.11,47.1,46.11,46.95,73430
2020-10-23,47.21,47.25,46.69,47.13,40099
2020-10-26,47.05,47.39,46.66,47.25,53267
2020-10-27,47.39,47.8,47.14,47.5,74607
2020-10-28,46.87,47.42,46.09,46.15,72085
2020-10-29,45.78,47.08,45.38,46.51,58071
2020-10-30,46.45,46.65,45.81,46.3,89904
2020-11-02,46.86,47.64,46.67,47.42,106199
2020-11-03,47.99,48.05,46.66,47.32,135625
2020-11-04,47.16,48.09,46.16,46.33,81659
2020-11-05,46.67,46.99,45.77,45.99,90446
2020-11-06,46.06,46.35,45.25,45.67,49350
2020-11-09,47.82,48.63,47.32,47.38,83534
2020-11-10,47.22,47.96,47.22,47.64,53616
2020-11-11,47.76,48.34,47.76,48.06,33018
2020-11-12,47.83,47.99,46.79,46.99,86568
2020-11-13,47.44,47.49,46.76,47.04,43986
2020-11-16,47.63,47.63,46.7,47.22,55032
2020-11-17,47.12,47.18,45.76,45.8,61161
2020-11-18,45.91,46.07,44.39,44.4,103231
2020-11-19,44.92,44.92,43.74,43.92,66591
2020-11-20,43.85,44.45,43.68,44.26,48594
2020-11-23,44.41,44.69,44.04,44.16,46940
2020-11-24,44.28,44.78,44.02,44.67,76384
2020-11-25,44.76,45.07,44.17,44.79,45072
2020-11-27,44.95,44.96,44.04,44.18,24630
2020-11-30,44.01,44.32,43.63,44.01,45465
2020-12-01,44.35,44.95,44.34,44.71,82053
2020-12-02,44.57,45.06,44.11,45.06,77313
2020-12-03,44.7,44.87,44.3,44.65,96999
2020-12-04,44.52,44.99,44.08,44.26,105775
2020-12-07,44.27,44.67,44.23,44.66,81900
2020-12-08,44.54,44.55,44.04,44.21,67872
2020-12-09,44.2,44.2,43.49,43.81,50425
2020-12-10,43.68,43.68,43.11,43.44,57757
2020-12-11,43.16,43.38,43.05,43.28,46277
2020-12-14,43.7,43.88,42.98,43.02,34437
2020-12-15,43.08,44.0,42.9,43.82,45570
2020-12-16,43.93,44.23,43.21,43.21,70923
2020-12-17,43.39,43.77,43.25,43.28,54618
2020-12-18,43.29,43.31,42.42,42.77,53305
2020-12-21,42.53,42.53,41.32,42.16,95012
2020-12-22,41.93,42.13,41.8,41.96,35951
2020-12-23,42.11,42.42,41.49,41.49,39748
2020-12-24,41.25,41.89,40.16,41.89,22858
2020-12-28,42.12,42.54,41.99,42.11,34458
2020-12-29,42.44,42.57,42.11,42.26,33977
2020-12-30,42.29,42.69,42.25,42.47,24626
2020-12-31,42.29,43.16,42.29,43.12,34673
2021-01-04,43.09,43.13,42.1,42.26,24685
2021-01-05,42.32,42.43,41.9,42.07,36528
2021-01-06,42.39,42.93,42.07,42.7,55737
2021-01-07,42.56,42.56,41.12,41.12,62767
2021-01-08,41.26,41.37,40.74,41.3,44183
2021-01-11,41.3,41.37,40.4,40.64,32866
2021-01-12,40.43,40.55,39.53,40.23,27663
2021-01-13,40.16,40.98,40.16,40.83,47995
2021-01-14,40.76,40.76,39.84,40.27,55643
2021-01-15,40.13,41.46,39.98,41.39,59378
2021-01-19,41.59,41.93,41.07,41.56,72677
2021-01-20,41.33,41.97,41.23,41.79,85226
2021-01-21,41.55,41.95,41.5,41.67,36869
2021-01-22,41.66,41.66,40.78,41.43,77503
2021-01-25,41.09,42.39,41.09,42.31,86955
2021-01-26,42.21,42.21,41.49,41.73,56494
2021-01-27,41.49,41.91,40.61,41.03,81705
2021-01-28,41.3,42.09,41.13,41.32,46890
2021-01-29,41.02,41.47,40.59,40.94,50154
2021-02-01,41.13,41.69,40.72,41.34,32032
2021-02-02,41.37,42.1,41.22,41.39,76622
2021-02-03,41.64,42.12,41.41,41.47,62626
2021-02-04,41.24,41.97,41.15,41.75,39275
2021-02-05,41.79,42.09,41.79,41.92,37022
2021-02-08,41.78,41.96,41.32,41.38,38001
2021-02-09,41.58,41.66,40.72,41.21,32420
2021-02-10,41.64,41.8,41.24,41.43,40812
2021-02-11,41.43,41.61,40.94,41.1,51818
2021-02-12,41.02,41.23,40.62,40.77,32462
2021-02-16,40.98,41.06,40.3,40.37,62867
2021-02-17,40.56,40.8,40.39,40.67,46695
2021-02-18,40.52,41.08,40.52,41.0,45361
2021-02-19,41.48,41.86,40.16,40.23,99605
2021-02-22,40.05,40.05,39.24,39.77,55466
2021-02-23,40.2,41.06,40.01,40.72,74054
2021-02-24,40.77,40.77,39.91,40.17,59159
2021-02-25,40.12,40.31,39.76,39.99,69671
2021-02-26,39.95,40.52,38.94,38.96,88420
2021-03-01,39.33,40.2,39.33,39.76,44491
2021-03-02,39.76,39.92,39.19,39.77,52487
2021-03-03,39.51,39.78,38.91,39.58,45395
2021-03-04,39.69,40.59,39.53,39.85,51029
2021-03-05,40.23,41.05,39.9,40.84,97668
2021-03-08,40.79,42.05,40.71,41.97,70970
2021-03-09,41.85,42.25,41.82,42.12,72549
2021-03-10,42.15,42.79,41.98,42.53,62480
2021-03-11,42.34,42.79,42.18,42.2,38026
2021-03-12,42.41,43.64,42.28,43.1,115326
2021-03-15,43.48,45.06,43.48,44.48,202720
2021-03-16,44.19,44.87,44.19,44.48,76994
2021-03-17,44.45,44.67,43.54,43.71,112130
2021-03-18,43.69,43.99,43.04,43.68,111561
2021-03-19,43.71,44.13,43.15,43.7,86700
2021-03-22,43.54,43.83,43.2,43.48,66016
