date,open,high,low,close,volume
2020-07-27,29.28,29.54,28.96,29.22,64029
2020-07-28,29.22,30.26,29.22,29.92,90230
2020-07-29,30.14,30.18,29.18,29.46,160714
2020-07-30,29.01,29.31,28.51,28.69,370328
2020-07-31,28.52,28.63,28.02,28.63,173139
2020-08-03,28.45,29.74,28.07,29.26,157653
2020-08-04,29.35,29.87,29.07,29.09,193255
2020-08-05,29.52,30.73,29.46,30.29,190946
2020-08-06,30.77,30.88,29.98,30.58,232430
2020-08-07,30.47,30.84,30.28,30.83,209761
2020-08-10,31.21,32.55,31.11,32.43,156491
2020-08-11,33.99,34.67,32.5,32.66,297511
2020-08-12,33.38,33.39,31.84,32.67,145824
2020-08-13,32.13,33.06,32.11,32.15,134284
2020-08-14,31.71,32.52,31.71,32.33,66116
2020-08-17,32.44,32.44,31.33,31.34,144049
2020-08-18,31.37,31.71,31.08,31.64,138006
2020-08-19,32.33,33.13,31.64,31.72,109641
2020-08-20,31.15,32.03,31.05,31.95,126069
2020-08-21,31.8,32.58,31.8,32.15,204325
2020-08-24,32.6,34.19,32.4,34.19,225955
2020-08-25,34.7,34.73,33.67,34.33,205523
2020-08-26,34.14,34.34,33.66,33.7,121767
2020-08-27,34.87,36.02,34.68,34.91,213310
2020-08-28,35.18,36.18,34.85,35.95,315446
2020-08-31,35.86,35.93,34.82,34.86,158190
2020-09-01,33.92,35.81,33.91,35.13,184930
2020-09-02,35.69,36.42,34.93,36.34,208146
2020-09-03,36.47,37.58,35.08,35.89,364187
2020-09-04,36.26,37.07,35.35,36.5,316941
2020-09-08,36.35,37.79,36.35,37.55,313470
2020-09-09,37.17,37.44,35.97,36.34,242733
2020-09-10,36.6,37.0,36.01,36.06,154308
2020-09-11,36.07,36.49,35.85,36.08,81051
2020-09-14,36.46,37.28,36.2,37.17,142915
2020-09-15,37.24,37.94,37.22,37.62,107133
2020-09-16,37.55,39.72,37.31,39.04,242252
2020-09-17,38.43,38.89,37.14,37.44,230005
2020-09-18,36.84,37.5,36.42,36.9,209614
2020-09-21,35.18,35.64,34.05,34.74,322796
2020-09-22,34.58,35.36,34.41,35.31,172849
2020-09-23,35.52,36.36,34.77,34.8,113265
2020-09-24,34.29,34.62,33.24,34.18,240722
2020-09-25,33.75,34.52,33.71,34.36,339178
2020-09-28,35.28,36.22,34.82,35.41,152147
2020-09-29,35.13,35.19,34.46,34.85,126309
2020-09-30,35.49,36.18,34.66,34.74,190343
2020-10-01,35.05,35.42,34.66,35.14,297347
2020-10-02,33.54,36.42,33.43,35.9,341751
2020-10-05,36.28,36.33,35.37,35.64,220604
2020-10-06,36.06,36.44,34.78,34.81,238956
2020-10-07,35.31,35.88,34.94,35.74,270976
2020-10-08,36.15,36.51,35.23,36.11,266382
2020-10-09,36.12,36.85,35.76,36.83,329661
2020-10-12,36.61,36.91,36.21,36.31,220734
2020-10-13,35.81,36.53,35.77,36.24,340406
2020-10-14,36.35,37.04,36.31,36.35,289665
2020-10-15,35.74,36.03,35.35,35.95,167086
2020-10-16,36.18,36.95,36.18,36.8,255042
2020-10-19,37.06,37.75,36.67,36.92,344421
2020-10-20,37.44,37.89,37.13,37.21,400464
2020-10-21,37.1,37.2,36.62,36.91,373345
2020-10-22,37.18,39.4,37.18,38.83,483853
2020-10-23,38.95,40.2,38.47,39.64,586758
2020-10-26,38.98,39.34,37.43,38.1,389759
2020-10-27,37.58,38.0,36.85,36.98,254744
2020-10-28,35.98,36.48,34.74,35.31,497436
2020-10-29,35.2,36.92,35.2,36.66,340150
2020-10-30,36.58,37.22,36.13,36.62,499452
2020-11-02,36.78,36.78,35.16,35.57,525772
2020-11-03,36.34,36.45,35.83,35.99,279723
2020-11-04,35.99,36.73,35.27,36.04,373350
2020-11-05,36.54,38.2,36.49,38.02,273741
2020-11-06,37.7,37.92,36.85,37.04,156499
2020-11-09,43.58,45.81,40.58,40.67,1022099
2020-11-10,40.55,41.8,40.16,41.53,500472
2020-11-11,41.59,41.59,39.54,40.04,314094
2020-11-12,38.69,40.09,38.36,38.85,393942
2020-11-13,39.07,40.89,39.07,40.67,262605
2020-11-16,42.71,42.8,41.26,42.22,536965
2020-11-17,41.65,42.84,41.22,42.28,306806
2020-11-18,43.36,43.79,42.26,42.27,433301
2020-11-19,42.16,43.03,42.09,42.69,260380
2020-11-20,42.63,42.63,41.74,42.22,185935
2020-11-23,42.72,43.48,41.95,43.39,358958
2020-11-24,45.11,45.59,44.23,44.7,428888
2020-11-25,44.78,44.87,44.0,44.71,265588
2020-11-27,44.71,45.12,44.17,44.23,96787
2020-11-30,44.14,44.17,42.68,42.93,260842
2020-12-01,43.17,44.52,43.17,43.81,201732
2020-12-02,43.48,44.24,43.08,43.95,220833
2020-12-03,44.47,45.87,44.16,44.3,340972
2020-12-04,44.79,45.2,43.64,44.07,215638
2020-12-07,44.71,44.83,44.01,44.38,158579
2020-12-08,43.79,44.39,43.62,43.81,246187
2020-12-09,43.91,43.98,41.93,42.41,783730
2020-12-10,41.78,43.53,41.76,43.36,485388
2020-12-11,42.62,43.14,41.87,42.5,181068
2020-12-14,43.16,43.16,41.96,41.96,246053
