date,open,high,low,close,volume
2020-07-27,41.42,41.7,40.33,41.07,222421
2020-07-28,40.88,42.29,40.88,41.77,822256
2020-07-29,41.68,42.5,41.04,41.83,87234
2020-07-30,41.92,43.2,41.92,42.95,320767
2020-07-31,42.18,42.49,40.75,41.24,100931
2020-08-03,40.84,42.03,40.23,41.57,138368
2020-08-04,41.53,41.74,40.92,41.31,215506
2020-08-05,41.78,42.34,40.59,40.92,135165
2020-08-06,40.65,43.07,40.4,42.68,262624
2020-08-07,42.28,42.28,41.09,41.71,194378
2020-08-10,43.97,45.57,43.76,44.87,385974
2020-08-11,46.79,48.54,46.65,48.15,934423
2020-08-12,48.41,48.41,45.89,46.34,162676
2020-08-13,45.76,46.33,45.33,45.92,100035
2020-08-14,45.49,46.01,45.19,45.67,60548
2020-08-17,45.65,45.65,44.9,45.05,97362
2020-08-18,44.94,45.41,44.63,45.03,115497
2020-08-19,45.29,45.77,44.71,44.83,83857
2020-08-20,44.07,45.13,44.07,44.81,103842
2020-08-21,45.27,46.62,45.26,45.83,170826
2020-08-24,46.09,47.12,45.13,47.03,141566
2020-08-25,47.43,47.95,46.9,47.18,132844
2020-08-26,47.24,47.4,46.43,47.07,81422
2020-08-27,47.07,48.43,47.07,47.73,150606
2020-08-28,47.91,49.97,47.85,49.27,249309
2020-08-31,49.06,49.06,47.94,47.94,118803
2020-09-01,47.6,48.43,46.83,46.88,140428
2020-09-02,47.11,48.76,46.88,48.53,179512
2020-09-03,48.97,49.34,47.26,47.84,165955
2020-09-04,48.43,49.51,48.14,49.12,272793
2020-09-08,48.13,49.52,47.81,48.8,497715
2020-09-09,48.86,48.86,47.72,48.01,195878
2020-09-10,48.4,50.14,48.08,49.43,215595
2020-09-11,50.04,50.13,48.42,48.98,101844
2020-09-14,49.27,50.22,49.27,50.17,133967
2020-09-15,50.04,50.5,48.94,48.98,191934
2020-09-16,48.81,48.81,44.65,46.88,642435
2020-09-17,46.03,46.57,45.89,46.4,292649
2020-09-18,46.39,46.98,46.02,46.25,191323
2020-09-21,44.13,44.55,42.68,43.88,204584
2020-09-22,43.98,44.72,43.33,43.67,214472
2020-09-23,44.46,44.6,42.46,42.55,127103
2020-09-24,42.33,43.41,41.8,43.36,226546
2020-09-25,43.28,44.57,43.04,44.34,153590
2020-09-28,44.89,45.44,44.61,44.92,103706
2020-09-29,44.6,45.02,43.77,44.13,66911
2020-09-30,44.46,44.95,43.76,44.1,118863
2020-10-01,43.97,44.3,43.38,43.67,346669
2020-10-02,42.71,43.98,42.31,43.58,245869
2020-10-05,43.59,43.71,42.45,43.64,309037
2020-10-06,44.05,45.38,43.73,43.86,322786
2020-10-07,44.31,44.47,43.55,43.61,168036
2020-10-08,43.78,44.04,43.38,43.53,223524
2020-10-09,43.68,43.71,42.59,43.17,306378
2020-10-12,43.1,43.9,43.08,43.59,187514
2020-10-13,42.88,43.31,41.64,42.3,346893
2020-10-14,42.42,43.06,42.35,42.47,171257
2020-10-15,42.04,43.23,41.93,43.19,403780
2020-10-16,43.33,43.62,42.51,42.83,129597
2020-10-19,42.81,43.7,42.36,42.47,335031
2020-10-20,42.53,43.89,42.36,43.64,254496
