date,open,high,low,close,volume
2020-07-27,60.79,63.81,60.79,63.39,38756
2020-07-28,61.12,61.55,55.91,56.13,115988
2020-07-29,56.1,56.24,53.59,53.76,184086
2020-07-30,52.74,54.31,52.74,53.32,52460
2020-07-31,53.28,53.91,52.88,53.9,33152
2020-08-03,53.97,54.73,53.32,54.02,60768
2020-08-04,54.17,55.8,54.17,55.5,46147
2020-08-05,55.74,56.61,55.31,56.45,38566
2020-08-06,56.23,57.45,55.99,57.3,45879
2020-08-07,57.02,57.1,56.47,56.68,20645
2020-08-10,56.93,58.55,56.93,58.22,20359
2020-08-11,58.91,58.91,57.67,57.92,31193
2020-08-12,58.07,58.15,57.33,58.15,27083
2020-08-13,58.26,59.15,58.22,58.38,15403
2020-08-14,57.39,58.47,57.39,58.29,13580
2020-08-17,58.14,58.69,57.13,57.27,54027
2020-08-18,57.08,57.31,55.99,57.01,29313
2020-08-19,57.09,58.35,57.02,57.83,20890
2020-08-20,56.83,57.29,56.12,56.16,37633
2020-08-21,56.23,56.23,55.36,55.46,61019
2020-08-24,55.65,57.39,55.65,57.37,72588
2020-08-25,56.79,57.08,56.11,56.79,28422
2020-08-26,56.51,56.58,55.04,55.42,89605
2020-08-27,56.02,57.31,55.87,56.34,60056
2020-08-28,56.44,58.0,56.13,57.92,50540
2020-08-31,57.75,58.11,56.69,56.69,30702
2020-09-01,56.38,56.59,55.19,55.33,33892
2020-09-02,55.48,56.97,55.48,56.63,56837
2020-09-03,57.02,58.64,56.62,57.1,29225
2020-09-04,57.31,57.52,55.86,56.33,25967
2020-09-08,56.03,56.22,55.06,55.16,25103
2020-09-09,55.97,56.33,55.11,55.38,38729
2020-09-10,55.68,56.6,55.51,55.92,63562
2020-09-11,55.76,57.38,55.76,57.15,30243
2020-09-14,57.32,59.39,57.32,59.25,36608
2020-09-15,59.45,60.74,59.13,60.7,49494
2020-09-16,60.5,62.13,59.98,61.46,85089
2020-09-17,60.29,63.34,60.29,63.22,50650
2020-09-18,63.0,63.49,61.57,61.64,53568
2020-09-21,60.57,60.57,58.33,58.59,39936
2020-09-22,59.49,59.55,57.11,57.34,100040
2020-09-23,58.09,58.61,56.97,57.29,29323
2020-09-24,57.47,58.19,56.08,56.55,31588
2020-09-25,56.35,58.83,56.23,58.54,32867
2020-09-28,59.53,61.08,59.41,60.22,25253
2020-09-29,60.32,60.32,58.75,58.92,30979
2020-09-30,59.75,60.5,59.47,59.75,38284
2020-10-01,60.1,60.71,59.55,60.19,64691
2020-10-02,59.41,61.54,59.41,61.3,57975
2020-10-05,61.74,63.08,61.61,62.74,73775
2020-10-06,63.29,64.64,62.65,63.43,108476
2020-10-07,65.32,66.78,64.27,65.15,174034
2020-10-08,65.7,67.3,65.63,67.02,70362
2020-10-09,67.29,67.29,65.56,66.04,55410
2020-10-12,65.88,66.17,65.5,65.5,38479
2020-10-13,64.63,65.09,64.53,64.88,68924
2020-10-14,65.15,65.79,64.78,65.04,41921
2020-10-15,64.08,66.28,64.05,66.12,45565
2020-10-16,66.16,66.16,65.21,65.58,37179
2020-10-19,65.68,65.87,64.49,64.61,71294
2020-10-20,64.96,65.81,64.49,64.88,49866
2020-10-21,64.97,65.22,64.3,64.36,55546
2020-10-22,64.39,65.76,64.16,65.72,58549
2020-10-23,65.69,65.92,64.54,65.06,26735
2020-10-26,64.24,64.24,60.66,61.11,51772
2020-10-27,61.44,61.44,59.73,59.73,51445
2020-10-28,58.18,58.65,57.08,57.09,69394
2020-10-29,57.29,58.48,56.72,57.83,152847
2020-10-30,57.56,58.12,56.51,57.19,96324
2020-11-02,58.06,59.5,58.05,59.23,157264
2020-11-03,60.32,61.74,60.08,60.69,79763
