date,open,high,low,close,volume
2020-07-27,46.45,47.32,46.01,47.2,43054
2020-07-28,47.06,47.17,45.66,45.73,86403
2020-07-29,46.03,46.2,45.58,46.01,46377
2020-07-30,44.9,45.09,43.87,44.19,142835
2020-07-31,43.57,43.75,41.63,42.28,117808
2020-08-03,42.79,43.12,42.05,42.09,65349
2020-08-04,42.3,44.07,41.69,43.85,103963
2020-08-05,44.46,45.54,44.38,44.6,76105
2020-08-06,44.33,44.69,43.74,44.26,119573
2020-08-07,43.89,45.13,43.78,45.11,85168
2020-08-10,45.58,47.58,45.58,47.47,103732
2020-08-11,48.53,49.7,47.92,48.09,105652
2020-08-12,48.92,48.92,46.92,47.33,37376
2020-08-13,46.95,47.31,46.67,46.7,46717
2020-08-14,46.42,47.14,46.34,46.68,32273
2020-08-17,47.21,47.65,45.88,46.37,75064
2020-08-18,46.33,46.93,46.22,46.29,51224
2020-08-19,46.14,46.57,45.53,45.71,52704
2020-08-20,45.11,45.33,44.56,44.62,54903
2020-08-21,44.82,44.82,44.23,44.42,34979
2020-08-24,45.01,47.11,44.82,47.11,97782
2020-08-25,47.49,47.96,46.16,46.58,66940
2020-08-26,46.56,47.14,46.05,46.93,61753
2020-08-27,47.0,47.04,45.47,46.62,71495
2020-08-28,46.86,46.97,45.84,46.86,84822
2020-08-31,46.88,46.88,44.98,45.03,41287
2020-09-01,44.45,47.15,44.37,47.02,71308
2020-09-02,47.28,49.17,47.03,49.12,118526
2020-09-03,48.85,49.78,47.42,48.4,58596
2020-09-04,49.08,49.98,48.56,49.53,63569
2020-09-08,49.14,49.24,47.78,48.17,60836
2020-09-09,48.61,50.16,48.61,49.95,40536
2020-09-10,49.85,50.1,48.75,48.8,105944
2020-09-11,50.13,51.42,49.58,51.05,48747
2020-09-14,51.72,52.86,51.04,52.59,98341
2020-09-15,52.73,53.14,51.86,52.59,43100
2020-09-16,51.69,53.81,51.06,52.86,91298
2020-09-17,52.18,55.45,52.06,54.95,201947
2020-09-18,54.74,54.96,53.98,54.29,83537
2020-09-21,52.36,52.81,49.56,50.51,105372
2020-09-22,50.94,51.15,50.17,50.51,64749
2020-09-23,49.95,50.51,48.07,48.07,116154
2020-09-24,48.0,48.57,46.84,48.2,104123
2020-09-25,47.51,48.48,47.21,47.85,53176
2020-09-28,49.12,49.93,48.82,48.91,51756
2020-09-29,48.82,49.1,48.12,48.25,62658
2020-09-30,48.79,49.7,48.31,48.44,104394
2020-10-01,48.59,48.86,46.59,46.83,145401
2020-10-02,46.04,50.18,45.87,49.62,136584
2020-10-05,50.24,52.22,50.12,51.85,161641
2020-10-06,52.35,53.58,51.86,52.21,225781
2020-10-07,53.17,54.65,53.17,54.6,195575
2020-10-08,54.86,55.13,53.43,54.45,108524
2020-10-09,55.18,55.79,54.32,54.78,103974
2020-10-12,54.74,54.74,52.81,53.2,102167
2020-10-13,52.94,53.2,51.84,52.69,278797
2020-10-14,52.79,54.19,52.79,53.57,121990
2020-10-15,52.49,53.44,51.96,52.9,122360
2020-10-16,53.46,53.76,52.46,52.94,109548
2020-10-19,53.2,54.54,52.76,52.92,83441
2020-10-20,53.59,54.16,53.3,53.54,65909
2020-10-21,53.21,53.58,52.37,52.63,82627
2020-10-22,52.95,53.19,51.39,53.0,86984
2020-10-23,53.72,53.92,52.76,52.82,73913
2020-10-26,51.87,52.23,51.29,51.81,138863
2020-10-27,51.49,51.53,50.35,50.46,111072
2020-10-28,49.05,49.67,47.57,47.58,153462
2020-10-29,47.58,49.82,47.25,49.62,153856
2020-10-30,48.16,48.94,45.86,47.01,301543
2020-11-02,47.46,49.73,46.8,49.38,284077
2020-11-03,50.09,50.38,49.1,50.13,100377
2020-11-04,49.81,49.81,47.73,47.87,93128
2020-11-05,48.61,51.62,48.6,51.03,93628
2020-11-06,51.03,51.86,49.52,49.94,156878
2020-11-09,54.84,57.75,53.07,54.52,237197
2020-11-10,55.09,56.67,54.91,55.84,254781
2020-11-11,56.13,56.42,52.99,53.01,148253
2020-11-12,52.45,52.68,50.51,51.03,150273
2020-11-13,50.33,52.91,50.2,52.67,175634
2020-11-16,54.08,54.88,53.08,54.69,148349
2020-11-17,54.03,55.68,53.36,55.66,122202
2020-11-18,55.79,57.4,55.68,56.47,287698
2020-11-19,55.8,56.52,55.14,56.51,193286
2020-11-20,56.1,56.31,55.57,56.1,275275
2020-11-23,56.69,58.83,56.69,58.54,148317
2020-11-24,59.81,62.63,59.81,62.44,195494
2020-11-25,61.87,61.87,60.47,61.41,147662
2020-11-27,61.15,61.67,60.44,61.0,51141
2020-11-30,60.26,60.31,58.96,59.09,134642
2020-12-01,60.11,60.31,59.09,59.63,102076
2020-12-02,59.37,59.91,58.91,59.72,107868
2020-12-03,59.58,60.06,59.31,59.54,138420
2020-12-04,60.91,62.26,60.91,62.05,107167
2020-12-07,61.78,61.79,60.46,60.55,105435
2020-12-08,60.09,61.73,60.09,61.09,65457
2020-12-09,61.48,62.49,60.84,61.53,61780
2020-12-10,61.0,61.78,61.0,61.33,99968
2020-12-11,60.49,61.77,60.37,61.53,85303
2020-12-14,62.05,62.42,60.55,60.55,85113
2020-12-15,61.27,61.98,60.55,61.88,50581
2020-12-16,61.71,62.21,61.01,61.93,95647
2020-12-17,62.42,62.9,62.15,62.64,61786
2020-12-18,62.92,63.64,62.64,63.17,126468
2020-12-21,61.35,62.95,61.12,62.88,112214
2020-12-22,62.78,62.96,62.12,62.45,75605
2020-12-23,63.54,64.11,63.05,63.05,25572
2020-12-24,63.1,63.1,62.4,63.0,8486
2020-12-28,64.09,64.34,62.84,63.0,39898
