date,open,high,low,close,volume
2020-07-27,297.48,300.0,296.26,298.92,51067
2020-07-28,298.78,300.08,296.2,296.54,68524
2020-07-29,294.84,301.63,294.71,299.22,159720
2020-07-30,294.76,302.54,293.36,298.53,298215
2020-07-31,299.86,300.06,295.98,299.17,385821
2020-08-03,300.68,303.35,299.57,302.68,220212
2020-08-04,302.48,305.49,301.09,304.23,169018
2020-08-05,306.6,319.07,306.42,317.45,254682
2020-08-06,318.04,320.52,315.67,319.88,511814
2020-08-07,316.14,317.7,313.78,317.43,403728
2020-08-10,316.74,318.94,311.65,312.76,118106
2020-08-11,315.72,323.64,313.37,317.95,132291
2020-08-12,317.89,320.46,315.9,316.7,122044
2020-08-13,316.48,319.12,315.52,315.75,71078
2020-08-14,315.08,317.05,314.51,316.26,24145
2020-08-17,316.24,320.51,316.24,319.79,208768
2020-08-18,319.87,320.51,315.86,319.31,162418
2020-08-19,319.6,323.59,319.48,321.8,85198
2020-08-20,320.08,327.06,319.76,326.45,180282
2020-08-21,326.68,327.74,325.22,326.22,149856
2020-08-24,328.62,332.66,328.06,332.63,134437
2020-08-25,333.66,337.17,332.49,336.63,85693
2020-08-26,337.0,340.87,334.6,340.0,90116
2020-08-27,340.06,346.44,339.3,344.56,132417
2020-08-28,346.0,355.32,344.94,354.35,121933
2020-08-31,354.62,354.62,346.22,346.58,99614
2020-09-01,346.1,347.76,342.37,345.3,294790
2020-09-02,346.35,349.94,345.53,349.38,391333
2020-09-03,346.88,346.88,330.31,332.76,224296
2020-09-04,331.29,335.57,316.85,323.99,204467
2020-09-08,318.11,324.8,316.48,318.96,188791
2020-09-09,326.76,331.73,321.75,328.71,124274
2020-09-10,331.58,333.81,320.75,322.12,70373
2020-09-11,323.7,323.71,316.91,319.56,111167
2020-09-14,324.51,329.04,324.51,327.58,78140
2020-09-15,331.92,332.67,327.7,328.22,93732
2020-09-16,330.59,334.86,328.85,330.46,107979
2020-09-17,325.94,332.5,325.88,328.4,127855
2020-09-18,329.3,329.89,323.63,324.28,61466
2020-09-21,318.65,320.65,310.67,317.35,93163
2020-09-22,318.84,325.0,314.69,325.0,158825
