date,open,high,low,close,volume
2020-07-27,88.37,89.73,88.37,89.46,20898
2020-07-28,89.61,91.87,89.55,91.49,11619
2020-07-29,92.17,92.5,90.83,92.24,23094
2020-07-30,92.0,96.16,91.24,95.22,44860
2020-07-31,94.06,96.46,92.98,96.46,15440
2020-08-03,93.9,95.05,93.63,94.66,15204
2020-08-04,94.29,95.33,93.5,94.77,16893
2020-08-05,94.42,94.5,93.64,94.19,9904
2020-08-06,94.37,94.68,93.46,94.31,26419
2020-08-07,94.49,94.62,93.78,94.21,27384
2020-08-10,94.39,95.87,94.26,94.8,33786
2020-08-11,96.1,96.25,94.12,94.54,11784
2020-08-12,95.12,95.12,93.98,94.88,5791
2020-08-13,94.76,95.26,93.5,93.65,22557
2020-08-14,92.98,94.07,92.66,92.93,24261
2020-08-17,92.77,94.06,92.77,94.03,8592
2020-08-18,93.89,94.35,92.75,94.03,13422
2020-08-19,93.11,93.11,91.56,91.78,31022
2020-08-20,92.76,93.3,92.63,93.03,12617
2020-08-21,92.88,93.07,91.63,93.02,9368
2020-08-24,92.32,93.77,91.5,93.48,21337
2020-08-25,93.96,94.03,93.05,94.03,13102
2020-08-26,93.14,94.2,91.73,91.99,9917
2020-08-27,92.63,94.35,92.63,94.32,7820
2020-08-28,93.56,94.87,93.56,94.87,9991
2020-08-31,93.95,95.01,93.93,94.88,11185
2020-09-01,93.1,94.38,93.05,94.37,22200
2020-09-02,94.75,96.21,94.59,96.12,25407
2020-09-03,96.7,97.65,94.84,95.47,16508
2020-09-04,96.2,96.6,94.09,95.75,15273
2020-09-08,95.22,95.22,93.14,93.67,18688
2020-09-09,94.66,95.77,93.54,94.28,10962
2020-09-10,94.02,95.01,92.95,94.29,25683
2020-09-11,93.81,94.29,93.2,93.9,29052
2020-09-14,94.58,97.18,94.58,96.84,6394
2020-09-15,97.17,97.43,95.69,96.06,3306
2020-09-16,96.59,97.55,95.54,95.63,16866
2020-09-17,95.01,95.65,94.24,94.77,11541
2020-09-18,94.35,94.35,93.05,93.07,17604
2020-09-21,91.85,92.52,90.18,91.54,29546
