date,open,high,low,close,volume
2020-07-27,149.06,151.68,147.63,151.49,42671
2020-07-28,150.94,151.26,148.15,148.35,50239
2020-07-29,148.56,151.25,147.29,149.99,71179
2020-07-30,147.84,148.35,145.66,148.03,63929
2020-07-31,147.74,147.74,141.52,144.41,61742
2020-08-03,149.8,154.56,149.21,154.25,66879
2020-08-04,152.96,153.16,150.47,151.19,59804
2020-08-05,152.54,152.54,147.27,148.18,75616
2020-08-06,147.4,147.86,145.65,146.23,55582
2020-08-07,145.61,146.6,145.39,146.45,27045
2020-08-10,146.41,148.19,145.81,146.83,26475
2020-08-11,148.44,148.44,145.29,145.89,28559
2020-08-12,146.67,149.01,145.75,147.47,40039
2020-08-13,145.91,146.78,143.78,146.76,38282
2020-08-14,145.97,154.15,145.97,153.04,69669
2020-08-17,153.93,154.08,149.98,150.25,34366
2020-08-18,150.67,151.47,149.79,150.04,30653
2020-08-19,149.58,150.48,147.58,147.79,30545
2020-08-20,147.54,147.54,146.13,146.45,17432
2020-08-21,145.86,146.33,144.36,145.46,39832
2020-08-24,145.89,145.89,142.74,144.16,32492
2020-08-25,143.86,146.61,143.86,146.5,18999
2020-08-26,145.51,147.01,144.58,146.68,23582
2020-08-27,147.03,149.65,146.18,148.75,32929
2020-08-28,148.98,149.0,147.1,148.27,13278
2020-08-31,148.14,149.79,147.44,148.46,24704
2020-09-01,148.55,148.86,143.59,145.17,39916
2020-09-02,145.25,151.54,145.25,151.27,59180
2020-09-03,152.67,153.55,147.96,149.14,55182
2020-09-04,149.54,149.6,145.09,147.24,24302
2020-09-08,146.3,148.49,144.74,144.74,24426
2020-09-09,145.38,148.64,144.99,147.53,26374
2020-09-10,148.01,149.62,145.76,145.76,21284
2020-09-11,146.27,146.9,144.7,145.35,29831
2020-09-14,146.22,147.6,144.7,145.91,33704
2020-09-15,147.15,148.18,145.82,145.84,65215
2020-09-16,146.55,149.45,146.55,147.67,44966
2020-09-17,145.86,147.85,144.58,146.46,26213
2020-09-18,146.87,148.74,146.04,147.1,47594
2020-09-21,142.18,143.55,141.68,143.26,33395
2020-09-22,144.98,145.7,144.16,144.77,56867
2020-09-23,144.87,146.07,141.96,141.96,29657
2020-09-24,142.06,144.25,140.3,141.64,30926
2020-09-25,142.66,144.1,141.35,143.48,40466
2020-09-28,145.31,146.45,144.06,144.89,97458
2020-09-29,144.99,144.99,141.65,141.65,62500
2020-09-30,141.95,145.4,141.21,144.02,27021
