date,open,high,low,close,volume
2020-07-27,275.05,280.1,274.42,275.19,50047
2020-07-28,274.99,274.99,268.4,268.7,57478
2020-07-29,269.82,277.67,269.82,276.76,42434
2020-07-30,273.12,274.07,266.66,269.88,39179
2020-07-31,270.44,270.44,263.23,267.47,38468
2020-08-03,271.41,271.63,266.34,266.85,39027
2020-08-04,265.96,265.96,258.31,262.26,37649
2020-08-05,262.8,264.73,260.98,263.95,83279
2020-08-06,263.44,265.54,261.03,265.54,22245
2020-08-07,263.04,264.18,259.39,262.02,25897
2020-08-10,259.82,261.29,257.47,257.88,10667
2020-08-11,256.45,262.89,255.15,260.94,51340
2020-08-12,264.83,268.25,264.38,265.34,21413
2020-08-13,264.79,268.5,264.79,267.72,18148
2020-08-14,268.42,269.5,266.13,267.31,16337
2020-08-17,267.87,270.76,267.7,269.9,25424
2020-08-18,272.13,272.75,269.31,271.57,42911
2020-08-19,273.8,273.8,268.32,268.35,32221
2020-08-20,266.06,271.32,266.0,270.28,25312
2020-08-21,270.12,271.76,268.0,270.88,15500
2020-08-24,272.99,273.03,270.56,270.77,26503
2020-08-25,272.08,272.24,270.43,271.76,61742
2020-08-26,271.75,279.66,271.36,278.27,20860
2020-08-27,279.0,281.2,276.59,278.64,15173
2020-08-28,279.06,281.04,278.0,280.62,13899
2020-08-31,279.93,282.95,278.87,280.85,11767
2020-09-01,280.33,282.9,279.34,282.02,22303
2020-09-02,284.11,291.44,283.63,289.92,15823
2020-09-03,287.58,287.58,275.16,277.44,71682
2020-09-04,277.95,278.57,264.37,269.14,22754
2020-09-08,263.92,268.49,261.29,265.42,24204
2020-09-09,271.15,276.29,269.66,275.41,22578
2020-09-10,275.56,277.16,268.57,270.41,26754
2020-09-11,273.56,273.59,268.9,271.44,25231
2020-09-14,274.89,278.24,273.44,275.41,21642
2020-09-15,278.81,278.81,273.26,273.3,46224
2020-09-16,274.09,276.27,272.24,273.31,36716
2020-09-17,268.58,271.97,266.89,269.15,11112
2020-09-18,270.03,270.03,265.91,267.89,17822
2020-09-21,263.77,267.07,261.88,266.81,35768
2020-09-22,267.57,268.09,261.73,266.2,18156
2020-09-23,267.0,267.54,260.66,260.81,12125
2020-09-24,260.11,265.61,260.1,262.25,34121
2020-09-25,262.87,268.01,260.7,267.2,25192
2020-09-28,271.31,272.87,270.19,271.59,32684
2020-09-29,272.03,274.53,272.03,272.24,33571
2020-09-30,273.79,278.81,273.57,276.45,47598
2020-10-01,281.44,284.1,276.86,279.71,45860
2020-10-02,274.59,282.2,274.59,279.91,30028
2020-10-05,282.73,282.75,278.74,281.26,19811
2020-10-06,281.92,282.75,273.31,274.45,74093
2020-10-07,275.82,277.12,273.77,274.77,49553
2020-10-08,275.92,280.04,275.7,278.29,21805
2020-10-09,279.05,280.94,279.05,280.81,22372
2020-10-12,282.27,282.27,279.02,279.51,38879
2020-10-13,277.97,281.22,277.37,280.08,10050
2020-10-14,280.71,282.18,276.29,276.3,18634
2020-10-15,274.89,276.95,271.19,276.72,88533
2020-10-16,277.82,281.94,275.42,275.42,23404
2020-10-19,275.99,279.15,270.18,271.01,18428
2020-10-20,271.39,275.02,269.47,271.74,33345
2020-10-21,272.44,273.33,264.11,264.19,19584
2020-10-22,264.87,264.87,258.41,259.75,62760
2020-10-23,259.77,260.83,257.43,258.98,43428
2020-10-26,256.5,258.09,253.96,256.17,40663
2020-10-27,257.3,257.96,252.94,253.42,23074
2020-10-28,248.77,251.14,245.89,249.24,36072
2020-10-29,248.88,253.42,242.21,250.54,119854
2020-10-30,250.89,254.46,247.32,250.49,48632
2020-11-02,254.29,260.35,251.32,253.19,64559
2020-11-03,257.01,260.5,256.12,256.68,42874
2020-11-04,260.06,274.45,260.06,272.13,58137
2020-11-05,277.31,279.79,274.09,277.46,58637
2020-11-06,276.68,278.57,272.45,276.68,33833
2020-11-09,290.25,290.25,261.8,261.92,110992
2020-11-10,261.9,261.9,255.6,257.58,101924
2020-11-11,261.79,268.88,261.47,267.0,40468
2020-11-12,268.21,268.21,262.12,263.2,42166
2020-11-13,264.39,265.06,260.36,262.66,40028
2020-11-16,262.43,264.89,260.35,262.45,33923
2020-11-17,261.08,263.56,260.62,261.77,37876
2020-11-18,263.11,263.45,259.9,259.9,33485
2020-11-19,260.94,262.04,258.27,261.16,46385
2020-11-20,261.59,263.04,259.32,260.86,51034
2020-11-23,262.55,264.23,258.27,258.61,37619
