date,open,high,low,close,volume
2018-12-21,34.11,34.11,34.11,34.11,700
2020-07-27,47.29,48.09,47.21,48.05,168184
2020-07-28,48.1,48.38,47.98,48.21,142525
2020-07-29,49.57,49.87,48.4,49.08,389980
2020-07-30,48.65,48.7,48.16,48.16,269058
2020-07-31,47.76,48.12,47.23,47.96,87413
2020-08-03,47.93,48.38,47.88,47.96,75729
2020-08-04,47.84,48.28,47.57,48.01,135047
2020-08-05,47.93,48.13,47.66,47.68,121193
2020-08-06,47.1,48.01,47.1,47.97,105384
2020-08-07,47.81,48.16,47.81,48.03,134888
2020-08-10,47.9,48.16,47.76,47.98,112609
2020-08-11,48.09,48.26,47.61,47.71,112199
2020-08-12,47.78,48.76,47.59,48.51,78977
2020-08-13,48.56,48.72,48.32,48.41,77425
2020-08-14,48.35,48.79,48.32,48.52,95077
2020-08-17,48.3,49.01,48.3,48.89,89122
2020-08-18,48.96,49.57,48.8,49.5,268429
2020-08-19,49.46,49.56,49.0,49.08,200874
2020-08-20,48.74,49.52,48.74,49.49,101488
2020-08-21,49.39,49.91,49.37,49.72,297386
2020-08-24,49.68,50.13,49.63,50.13,103425
2020-08-25,50.19,50.32,49.84,50.05,130219
2020-08-26,49.88,50.5,49.8,50.47,132930
2020-08-27,50.78,50.86,50.22,50.27,121719
2020-08-28,50.07,50.46,49.74,50.42,87502
2020-08-31,50.37,50.76,50.19,50.55,119312
2020-09-01,50.34,50.45,49.81,50.33,143517
2020-09-02,50.39,51.19,50.33,51.06,174467
2020-09-03,51.22,51.63,49.66,50.07,147458
2020-09-04,50.32,50.34,49.37,50.08,457474
2020-09-08,49.72,50.05,48.53,48.75,224280
2020-09-09,49.31,50.15,49.24,49.7,108225
2020-09-10,49.5,50.12,49.19,49.42,303308
2020-09-11,49.37,49.92,49.24,49.81,104633
2020-09-14,49.93,50.43,49.87,50.19,95406
2020-09-15,50.29,50.42,50.08,50.26,487020
2020-09-16,50.44,50.73,50.07,50.1,438912
2020-09-17,49.39,49.85,49.0,49.44,573809
2020-09-18,49.41,49.67,48.54,48.86,110061
2020-09-21,48.35,48.54,47.77,48.31,133180
2020-09-22,48.29,48.67,48.03,48.25,282103
2020-09-23,48.32,48.54,47.33,47.41,118518
2020-09-24,47.36,48.36,47.12,48.06,124773
2020-09-25,47.71,48.62,47.71,48.57,116741
2020-09-28,49.25,49.6,48.9,49.33,110848
2020-09-29,49.58,49.63,48.95,49.11,88791
2020-09-30,49.3,50.19,49.2,50.03,216137
2020-10-01,50.09,50.39,49.71,50.37,367230
2020-10-02,49.97,50.21,49.19,49.44,360241
2020-10-05,49.53,49.68,49.31,49.61,190544
2020-10-06,49.56,49.72,48.62,48.79,206210
2020-10-07,48.84,49.04,48.42,48.85,226010
2020-10-08,49.05,49.34,48.91,49.11,162716
2020-10-09,49.55,49.97,49.3,49.84,257358
2020-10-12,50.17,51.35,50.11,51.02,495897
2020-10-13,51.22,51.32,50.89,51.2,378804
2020-10-14,51.01,51.39,50.53,50.95,333419
2020-10-15,50.29,50.85,50.11,50.74,311785
2020-10-16,50.82,51.03,50.31,50.38,414978
2020-10-19,50.51,50.7,49.59,49.7,174986
2020-10-20,49.98,50.04,49.4,49.56,216269
2020-10-21,49.36,49.77,49.26,49.4,254471
2020-10-22,49.41,49.47,48.91,49.4,353455
2020-10-23,49.61,49.81,49.11,49.18,295924
2020-10-26,48.76,48.8,47.65,48.03,362818
2020-10-27,48.11,48.48,47.78,47.83,251632
2020-10-28,47.27,47.46,46.15,46.2,267371
2020-10-29,46.07,46.74,45.66,46.25,270100
2020-10-30,46.08,46.52,45.7,46.26,408353
2020-11-02,46.9,47.47,46.61,47.2,300028
2020-11-03,47.11,48.23,46.97,47.34,498249
2020-11-04,48.39,48.51,47.55,47.75,508500
2020-11-05,48.19,48.78,48.15,48.41,304379
2020-11-06,48.42,49.02,48.36,48.53,202396
2020-11-09,50.14,50.63,48.6,48.65,368112
2020-11-10,48.17,49.85,48.14,49.61,261998
2020-11-11,49.82,50.51,49.61,50.2,184709
2020-11-12,50.05,50.21,49.56,49.99,123954
2020-11-13,50.08,50.54,49.87,50.52,145485
2020-11-16,50.69,50.99,50.42,50.97,214461
2020-11-17,50.62,51.25,50.62,50.91,202797
2020-11-18,51.03,51.32,50.23,50.24,197629
2020-11-19,49.86,50.11,49.53,50.11,174543
2020-11-20,49.92,50.23,49.56,49.65,164284
2020-11-23,49.65,50.0,49.46,49.85,187289
2020-11-24,50.07,50.45,49.87,50.28,345871
2020-11-25,50.34,50.51,49.98,49.99,129506
2020-11-27,50.21,50.27,49.83,49.99,52418
2020-11-30,49.76,49.98,49.47,49.98,142867
2020-12-01,50.22,51.02,49.99,50.86,247673
2020-12-02,50.76,51.07,50.29,50.55,158796
2020-12-03,50.71,51.1,50.64,50.92,284780
2020-12-04,51.09,51.38,50.99,51.33,135523
2020-12-07,51.16,51.28,50.54,50.8,192096
2020-12-08,50.67,50.94,50.47,50.68,173956
2020-12-09,50.47,50.57,49.96,50.21,198724
2020-12-10,50.46,50.48,49.64,49.69,147858
2020-12-11,49.46,50.1,49.35,49.89,150365
2020-12-14,49.86,50.38,49.79,49.81,140029
2020-12-15,49.99,50.07,49.71,49.94,165870
2020-12-16,49.87,50.25,49.65,49.75,156067
2020-12-17,49.81,50.51,49.67,50.34,300607
2020-12-18,50.51,50.78,50.29,50.73,144974
2020-12-21,50.16,50.26,49.61,50.18,171326
2020-12-22,50.07,50.08,49.56,49.71,112359
2020-12-23,50.11,50.17,49.87,49.92,131220
2020-12-24,49.97,50.31,49.84,50.26,55109
2020-12-28,50.61,50.93,50.39,50.67,117380
2020-12-29,50.95,51.27,50.71,50.83,165064
2020-12-30,50.83,51.03,50.69,50.71,108450
2020-12-31,50.81,51.16,50.36,51.13,192689
2021-01-04,51.14,51.26,50.13,50.63,292641
2021-01-05,50.63,50.81,50.11,50.69,193108
2021-01-06,50.62,50.97,50.42,50.61,203546
2021-01-07,50.46,51.0,50.15,50.49,269002
2021-01-08,50.21,50.91,50.17,50.91,210327
2021-01-11,50.74,50.86,49.88,49.9,177387
2021-01-12,50.15,50.27,49.64,50.16,298044
