date,open,high,low,close,volume
2020-07-27,85.95,86.99,85.95,86.99,15726
2020-07-28,84.98,86.6,84.98,85.65,20070
2020-07-29,85.96,86.76,85.94,86.27,19476
2020-07-30,85.69,86.08,85.17,86.03,23762
2020-07-31,86.06,86.27,84.77,86.27,37012
2020-08-03,86.45,87.44,86.45,87.06,19362
2020-08-04,87.41,88.11,87.36,87.95,19234
2020-08-05,87.61,87.87,86.89,87.53,26196
2020-08-06,87.23,88.47,87.14,88.4,18986
2020-08-07,88.26,89.55,88.25,89.44,52546
2020-08-10,89.4,89.89,88.81,89.53,38996
2020-08-11,89.12,89.2,87.56,87.76,29294
2020-08-12,88.46,90.0,88.46,89.55,17220
2020-08-13,89.18,90.04,88.25,89.66,20248
2020-08-14,89.67,90.22,89.14,89.52,14130
2020-08-17,88.89,90.27,88.89,89.76,20910
2020-08-18,89.68,90.46,89.26,89.89,17542
2020-08-19,90.09,90.14,89.34,89.92,32854
2020-08-20,89.4,90.59,89.18,90.04,14836
2020-08-21,90.02,90.43,89.95,90.16,16710
2020-08-24,90.17,90.49,89.59,89.99,22718
2020-08-25,90.0,90.43,89.64,90.05,15994
2020-08-26,89.48,91.56,89.18,91.2,19892
2020-08-27,91.59,91.83,91.13,91.13,21194
2020-08-28,90.63,90.83,90.09,90.81,12596
2020-08-31,91.09,91.74,91.0,91.56,12578
2020-09-01,91.15,91.39,90.33,91.39,24346
2020-09-02,91.59,93.36,91.59,93.09,22384
2020-09-03,93.1,93.1,89.98,90.57,11146
2020-09-04,90.71,90.95,88.22,89.61,21032
2020-09-08,88.8,88.89,87.58,87.6,10020
2020-09-09,88.55,91.22,88.55,89.95,38876
2020-09-10,89.57,89.7,87.37,87.99,25188
2020-09-11,87.85,88.47,87.41,88.12,40708
2020-09-14,88.53,89.82,88.3,88.9,66114
2020-09-15,89.26,90.07,88.75,88.83,51286
2020-09-16,89.41,89.89,88.15,88.17,19014
2020-09-17,87.05,87.05,84.83,85.53,69340
2020-09-18,85.59,86.21,83.65,84.29,28102
2020-09-21,83.86,84.73,83.42,84.46,29614
2020-09-22,84.31,85.62,84.2,85.39,36088
2020-09-23,85.77,85.77,82.15,82.29,66220
2020-09-24,82.7,85.31,82.65,83.76,45136
2020-09-25,83.79,85.15,83.73,85.03,26548
2020-09-28,86.43,87.23,86.08,86.64,105676
2020-09-29,85.5,85.5,81.53,84.39,105652
2020-09-30,85.38,87.02,85.14,86.23,68908
2020-10-01,86.54,86.54,84.93,85.77,76432
2020-10-02,85.08,86.33,84.65,85.93,65854
2020-10-05,86.15,86.9,85.89,86.86,43992
2020-10-06,86.92,86.92,85.21,85.4,59124
2020-10-07,86.01,86.79,85.59,86.53,58130
2020-10-08,86.43,86.87,86.32,86.47,24020
2020-10-09,87.04,87.7,86.98,87.34,27784
2020-10-12,87.38,89.56,87.38,89.44,65312
2020-10-13,89.15,90.5,88.44,89.14,73424
2020-10-14,88.88,89.72,88.07,88.11,40942
2020-10-15,87.89,89.09,87.39,88.67,78728
2020-10-16,89.45,89.89,88.79,88.89,48622
2020-10-19,88.97,89.61,87.78,87.99,53318
2020-10-20,88.3,88.35,87.15,87.31,31440
2020-10-21,87.63,87.67,86.87,87.02,21588
2020-10-22,86.99,86.99,86.28,86.6,38648
2020-10-23,87.04,87.63,86.72,87.47,56346
2020-10-26,86.9,87.11,85.8,86.26,47694
2020-10-27,86.59,86.84,85.5,85.53,104336
2020-10-28,83.97,85.01,82.58,82.58,97054
2020-10-29,82.68,83.11,81.87,81.91,48678
2020-10-30,81.74,81.82,79.49,80.23,92426
2020-11-02,81.72,82.97,81.56,82.33,66626
2020-11-03,83.57,84.32,82.88,83.56,48936
2020-11-04,83.86,85.52,83.86,84.16,57054
2020-11-05,85.17,85.34,83.55,84.02,54158
2020-11-06,84.73,85.16,83.26,83.93,45994
2020-11-09,85.31,86.32,79.23,79.31,230186
2020-11-10,79.72,81.85,79.38,81.03,104396
2020-11-11,81.88,83.23,81.83,83.2,100896
2020-11-12,83.25,83.25,81.52,82.35,31142
2020-11-13,82.68,82.68,81.24,82.23,31758
2020-11-16,82.29,82.29,80.82,81.97,75984
2020-11-17,81.4,82.13,81.01,81.31,87376
2020-11-18,81.65,82.24,80.92,81.15,50378
2020-11-19,80.93,81.71,80.31,81.59,73704
2020-11-20,82.01,82.47,81.44,81.79,47746
2020-11-23,81.68,82.36,80.97,81.4,56366
2020-11-24,82.14,83.58,82.14,83.03,65410
2020-11-25,83.32,84.05,82.48,82.55,29514
2020-11-27,83.18,83.72,82.19,82.89,10878
2020-11-30,83.02,83.31,81.21,83.27,63966
2020-12-01,84.25,84.25,82.39,83.36,25477
2020-12-02,83.48,83.92,81.28,81.36,23539
2020-12-03,81.55,82.7,81.55,82.43,23230
2020-12-04,82.4,83.6,81.94,83.6,28850
2020-12-07,83.56,83.83,82.11,82.58,20330
2020-12-08,82.03,83.54,82.03,83.2,24932
2020-12-09,83.17,83.17,81.76,83.0,34747
2020-12-10,83.03,83.3,82.38,82.86,18041
2020-12-11,82.74,83.39,82.74,83.19,15267
2020-12-14,83.71,84.55,83.06,83.06,27521
2020-12-15,83.07,83.51,81.57,81.69,73154
2020-12-16,81.8,82.84,81.8,82.59,45887
2020-12-17,82.74,84.89,82.74,84.15,51597
2020-12-18,84.36,84.49,82.18,83.12,35774
2020-12-21,82.37,83.75,81.85,83.49,41196
2020-12-22,83.16,83.47,82.36,82.81,31246
2020-12-23,83.12,83.29,82.48,82.9,30324
2020-12-24,82.58,83.33,82.42,83.28,15191
2020-12-28,83.61,83.68,82.74,83.15,18889
2020-12-29,83.17,85.14,83.17,84.44,55272
2020-12-30,85.04,85.23,84.21,84.57,58920
2020-12-31,84.2,85.57,84.04,85.57,74426
2021-01-04,85.66,85.71,83.27,84.0,36805
2021-01-05,83.82,84.41,82.51,84.23,32528
2021-01-06,83.78,85.04,83.44,83.96,52339
2021-01-07,84.09,84.76,82.87,84.73,35842
2021-01-08,85.03,85.24,84.12,85.1,32344
2021-01-11,85.55,85.55,83.22,83.64,31447
2021-01-12,83.82,83.93,82.23,82.67,42819
2021-01-13,83.1,83.78,82.54,83.44,38131
2021-01-14,82.93,83.04,81.26,81.9,102193
2021-01-15,82.29,83.93,81.79,83.53,90561
2021-01-19,84.16,84.16,82.21,83.11,46368
2021-01-20,83.15,83.15,81.56,81.98,81629
2021-01-21,82.02,82.07,81.0,81.72,69023
2021-01-22,81.57,82.47,80.9,82.18,37580
2021-01-25,82.36,84.74,82.33,84.45,72180
2021-01-26,84.78,86.13,83.88,85.89,128100
2021-01-27,85.69,88.29,83.98,84.18,106977
2021-01-28,81.35,84.87,80.29,81.26,150832
2021-01-29,80.99,81.47,79.05,79.91,82768
2021-02-01,80.07,80.43,78.14,79.7,56868
2021-02-02,79.85,81.46,79.19,79.96,47750
2021-02-03,79.8,80.21,78.37,79.26,102017
2021-02-04,79.28,80.05,79.14,79.4,39483
2021-02-05,79.25,81.3,79.25,80.62,86872
2021-02-08,80.83,81.47,80.2,81.2,39122
2021-02-09,81.2,81.62,80.65,81.13,37170
2021-02-10,81.48,81.69,80.57,81.03,37017
2021-02-11,81.16,81.18,79.94,80.31,24796
2021-02-12,80.32,80.49,79.25,80.07,38968
2021-02-16,80.19,80.38,77.65,77.71,78877
2021-02-17,77.23,77.56,76.53,76.77,106059
2021-02-18,76.6,78.26,76.08,77.31,83242
2021-02-19,77.33,77.39,75.06,75.15,49082
2021-02-22,74.93,75.15,74.0,75.04,63756
2021-02-23,75.18,76.49,75.07,75.45,74898
2021-02-24,74.79,76.2,74.74,75.84,48174
2021-02-25,76.29,76.62,75.02,75.37,45384
2021-02-26,75.51,75.75,74.88,75.24,55155
2021-03-01,75.76,76.19,75.23,75.62,59160
2021-03-02,75.73,76.38,75.27,75.85,37139
2021-03-03,75.34,75.69,74.3,74.3,90713
2021-03-04,74.44,75.62,73.8,74.01,100818
2021-03-05,74.23,75.85,73.38,75.5,45944
2021-03-08,75.43,75.72,74.76,75.19,127337
2021-03-09,75.48,77.14,75.48,75.97,63688
2021-03-10,75.67,77.06,75.18,76.76,37257
2021-03-11,76.41,77.46,76.41,76.72,35930
2021-03-12,77.06,77.63,76.49,77.6,33058
2021-03-15,77.83,78.5,77.69,78.01,70844
2021-03-16,78.07,78.5,77.56,78.01,37492
2021-03-17,77.66,77.99,77.03,77.45,45869
2021-03-18,77.12,77.59,76.39,77.15,38909
2021-03-19,77.54,78.5,77.27,77.47,61457
2021-03-22,77.53,78.57,77.31,78.57,33288
2021-03-23,78.73,78.73,77.76,78.24,42913
2021-03-24,77.64,78.59,77.28,78.24,55280
2021-03-25,78.51,79.72,78.19,79.28,48778
2021-03-26,79.08,80.84,79.08,80.61,86568
2021-03-29,80.42,81.29,79.93,80.64,63352
2021-03-30,84.8,85.65,80.06,80.38,196889
2021-03-31,79.99,80.28,79.4,79.71,106382
2021-04-01,79.75,80.52,78.33,79.7,98555
2021-04-05,80.21,80.63,79.18,79.58,40731
2021-04-06,79.48,80.35,79.32,80.21,62327
2021-04-07,80.29,80.37,79.26,79.68,54918
2021-04-08,79.75,80.31,79.75,80.1,60357
2021-04-09,80.32,80.52,78.71,78.99,62871
