date,open,high,low,close,volume
2020-07-27,214.82,219.38,213.54,218.96,93274
2020-07-28,211.59,211.59,203.38,204.49,76317
2020-07-29,205.2,207.5,202.23,205.81,28017
2020-07-30,203.99,204.52,200.0,201.31,30420
2020-07-31,199.93,199.93,194.23,199.12,30973
2020-08-03,200.36,201.34,196.58,200.08,38976
2020-08-04,201.91,204.57,200.59,204.13,24932
2020-08-05,205.95,211.57,205.21,208.55,26156
2020-08-06,206.96,209.0,204.9,205.09,24513
2020-08-07,205.67,212.09,204.89,211.55,12726
2020-08-10,212.77,215.9,212.07,215.0,25955
2020-08-11,216.48,220.61,216.31,216.92,24778
2020-08-12,217.1,217.1,211.71,212.62,29709
2020-08-13,209.96,213.75,209.96,211.26,21132
2020-08-14,210.27,212.93,209.53,210.99,20986
2020-08-17,212.64,212.68,208.01,208.32,46658
2020-08-18,208.03,209.42,205.69,206.83,19793
2020-08-19,206.41,207.84,203.58,204.11,17218
2020-08-20,202.0,202.82,200.51,201.06,17130
2020-08-21,200.64,202.52,200.32,201.77,18242
2020-08-24,203.64,205.67,202.43,203.18,19618
2020-08-25,204.76,205.05,200.4,203.29,13308
2020-08-26,200.76,201.38,198.17,200.33,16397
2020-08-27,201.36,204.34,200.94,201.11,17623
2020-08-28,200.54,200.54,196.79,199.33,27441
2020-08-31,199.05,199.05,195.53,195.67,18688
2020-09-01,194.45,200.38,194.36,200.24,13131
2020-09-02,199.47,206.61,198.13,205.11,20864
2020-09-03,206.12,207.76,201.2,203.48,35930
2020-09-04,206.1,209.05,204.57,207.61,97024
2020-09-08,204.38,204.38,197.99,199.9,57348
2020-09-09,198.11,198.87,194.47,196.42,31629
2020-09-10,196.88,201.78,195.39,200.06,31465
2020-09-11,200.74,208.16,199.49,202.47,15985
2020-09-14,202.97,209.73,202.97,208.83,27842
2020-09-15,210.1,214.8,210.1,210.24,20636
2020-09-16,210.61,219.8,209.64,217.11,43781
2020-09-17,214.15,219.91,212.73,218.99,21735
2020-09-18,219.24,221.52,216.24,217.11,27926
2020-09-21,211.82,211.82,208.14,210.55,26902
2020-09-22,211.89,213.99,209.88,213.32,19464
2020-09-23,214.12,217.08,211.21,212.2,57783
2020-09-24,210.41,215.43,209.08,213.2,33053
2020-09-25,211.89,218.52,211.89,218.33,16332
2020-09-28,221.98,225.92,220.87,223.69,37006
2020-09-29,221.73,223.73,219.32,223.38,19284
2020-09-30,225.28,230.14,225.28,227.21,32877
2020-10-01,228.99,232.11,224.95,226.47,52324
2020-10-02,222.68,235.65,222.68,231.92,60855
2020-10-05,234.92,243.78,234.79,240.38,95626
2020-10-06,241.35,251.72,240.11,241.09,45060
2020-10-07,244.08,258.42,244.08,255.5,65186
2020-10-08,260.27,266.42,260.27,266.25,57125
2020-10-09,265.09,265.09,257.98,263.3,64216
2020-10-12,262.1,265.06,259.81,260.52,50542
2020-10-13,249.99,253.7,248.59,251.92,38682
2020-10-14,254.3,255.23,249.8,250.48,21934
2020-10-15,246.61,249.83,245.6,247.87,52220
2020-10-16,250.48,253.01,249.67,249.93,36402
2020-10-19,249.81,249.81,245.18,247.67,11894
2020-10-20,249.93,251.39,245.91,247.93,15248
2020-10-21,247.74,251.49,245.93,247.35,11822
2020-10-22,246.44,252.37,245.21,250.0,21502
2020-10-23,252.21,253.42,249.38,253.02,14293
2020-10-26,249.12,249.46,243.25,244.36,18553
2020-10-27,245.71,249.12,244.83,246.94,15452
2020-10-28,239.37,243.25,236.17,238.5,36991
2020-10-29,242.3,259.39,242.3,255.55,89689
2020-10-30,252.06,259.75,250.12,257.04,39840
2020-11-02,263.1,265.63,259.1,261.35,35661
2020-11-03,265.93,268.03,262.16,266.43,19024
2020-11-04,242.51,256.81,231.63,244.89,152705
2020-11-05,248.16,256.65,247.95,250.85,49691
2020-11-06,247.5,255.29,244.96,247.24,33053
2020-11-09,265.63,265.63,248.36,252.02,56818
2020-11-10,257.43,267.26,255.13,256.48,49016
2020-11-11,257.2,257.2,249.39,256.21,21394
2020-11-12,254.08,254.13,249.68,251.42,36050
2020-11-13,257.3,259.41,251.82,254.81,46202
2020-11-16,260.98,264.16,257.29,261.67,19179
2020-11-17,258.27,261.09,257.07,259.82,19349
2020-11-18,259.62,264.59,259.62,260.03,15740
2020-11-19,257.37,263.64,257.37,260.0,25167
2020-11-20,256.63,256.69,250.15,256.1,19097
2020-11-23,260.33,261.0,256.58,257.47,20448
2020-11-24,259.81,267.66,258.53,265.46,42322
2020-11-25,260.17,264.07,256.77,262.63,12104
2020-11-27,261.87,262.45,258.82,261.3,9819
2020-11-30,260.3,260.3,253.34,256.33,13912
2020-12-01,260.46,269.4,260.46,266.21,44196
2020-12-02,264.42,265.99,261.14,263.93,19988
2020-12-03,265.07,273.19,259.52,271.76,44230
2020-12-04,273.44,277.4,273.44,275.59,28540
2020-12-07,273.0,276.54,271.96,275.43,19714
2020-12-08,271.06,277.49,271.06,273.42,32056
2020-12-09,272.22,272.22,265.58,267.52,75125
2020-12-10,262.95,263.24,255.76,257.86,77213
2020-12-11,258.22,259.41,255.37,258.09,33857
2020-12-14,260.52,261.18,249.81,251.1,73253
2020-12-15,253.37,257.86,250.71,257.37,30951
2020-12-16,257.8,258.0,253.09,253.56,24896
2020-12-17,254.31,257.14,253.91,257.0,29738
2020-12-18,259.22,268.1,258.41,266.98,82231
2020-12-21,260.62,268.74,260.62,266.62,31329
2020-12-22,266.9,269.32,263.96,264.16,30690
2020-12-23,264.04,266.0,261.93,265.26,17119
2020-12-24,263.99,266.03,262.63,266.03,3769
2020-12-28,266.7,272.57,266.58,269.66,20594
2020-12-29,269.59,271.8,264.17,264.76,20704
2020-12-30,268.27,272.99,268.27,271.68,16483
2020-12-31,271.07,274.98,269.49,274.48,15833
2021-01-04,275.41,279.0,268.33,268.54,28416
2021-01-05,267.8,273.83,267.72,271.35,44415
2021-01-06,287.94,296.92,287.13,292.56,163041
2021-01-07,297.05,298.76,292.62,297.96,44632
2021-01-08,297.81,300.99,294.72,300.16,49452
2021-01-11,296.18,300.48,293.85,299.51,16905
2021-01-12,301.47,308.33,299.38,304.67,36715
2021-01-13,301.61,301.65,292.9,294.78,33580
2021-01-14,296.04,298.07,291.14,292.32,40900
2021-01-15,290.71,294.27,286.65,293.15,35082
2021-01-19,294.37,298.62,292.67,296.19,27874
2021-01-20,297.46,299.96,296.53,299.68,32095
2021-01-21,298.84,304.19,296.94,299.66,24777
2021-01-22,297.23,300.76,295.52,299.63,25488
2021-01-25,297.29,299.63,293.37,297.74,60229
2021-01-26,298.85,299.23,283.24,283.32,32286
2021-01-27,278.14,282.61,271.03,274.97,53300
2021-01-28,278.1,281.48,277.13,279.26,29324
2021-01-29,276.91,282.15,275.31,277.83,40577
2021-02-01,280.59,286.8,278.06,286.36,54159
2021-02-02,288.09,288.61,284.85,284.85,18482
2021-02-03,286.22,287.11,283.36,285.06,24630
2021-02-04,285.42,288.12,283.65,285.36,26618
2021-02-05,288.7,288.7,285.1,287.39,22134
2021-02-08,289.2,292.9,287.78,290.82,31495
2021-02-09,292.56,301.03,290.91,295.77,50559
2021-02-10,297.74,306.32,296.66,305.2,44127
2021-02-11,308.97,310.48,305.17,308.01,41074
2021-02-12,310.97,321.0,310.91,319.86,46848
2021-02-16,321.97,321.97,311.32,314.8,37022
2021-02-17,312.42,314.84,305.41,314.58,30873
2021-02-18,311.34,315.07,308.93,314.47,27537
2021-02-19,316.63,327.4,316.63,324.92,30205
2021-02-22,323.91,324.06,316.51,316.91,29792
2021-02-23,320.18,326.14,310.52,324.42,45089
2021-02-24,326.39,336.53,324.07,336.44,35645
2021-02-25,334.18,334.24,323.15,325.17,28639
2021-02-26,324.04,328.78,319.18,326.7,54469
2021-03-01,332.81,342.18,332.81,336.58,46072
2021-03-02,335.06,338.39,324.1,325.56,37955
2021-03-03,327.21,330.7,325.92,326.75,28136
2021-03-04,326.2,328.07,312.83,319.02,25180
2021-03-05,323.57,323.57,307.71,319.26,69930
2021-03-08,319.54,329.83,318.29,323.75,29826
2021-03-09,325.64,325.9,320.89,322.5,14179
2021-03-10,322.87,331.56,320.03,330.29,23857
2021-03-11,334.41,338.33,328.27,330.01,34015
2021-03-12,329.31,333.31,328.5,333.21,23368
2021-03-15,332.5,333.11,327.6,332.13,26160
2021-03-16,333.22,334.01,326.74,327.27,28666
2021-03-17,325.41,329.5,323.39,329.29,15242
2021-03-18,328.01,333.59,327.26,328.84,31898
2021-03-19,325.08,327.01,321.04,321.58,39220
2021-03-22,318.82,318.83,308.88,311.77,68058
2021-03-23,308.2,312.14,302.52,306.35,40095
2021-03-24,312.15,317.2,309.9,312.44,20939
2021-03-25,308.59,324.39,308.3,322.75,26322
2021-03-26,331.15,333.88,325.45,330.11,49552
2021-03-29,333.23,336.02,327.86,329.97,40219
2021-03-30,331.25,337.03,328.75,331.94,43483
2021-03-31,336.51,340.28,321.61,326.1,61893
2021-04-01,323.26,326.98,319.58,322.97,48008
2021-04-05,328.97,334.5,328.44,333.31,29540
2021-04-06,333.16,333.45,330.15,332.87,20078
2021-04-07,333.97,333.97,324.97,326.39,30994
2021-04-08,325.59,331.37,321.57,330.87,29534
2021-04-09,330.84,335.75,330.61,335.19,27218
2021-04-12,336.29,338.28,333.54,337.71,25685
2021-04-13,334.29,335.27,330.78,332.58,12934
2021-04-14,330.66,338.96,330.66,336.29,37430
2021-04-15,335.84,337.25,333.48,336.68,19304
2021-04-16,340.11,341.78,339.62,340.45,40825
2021-04-20,339.04,340.17,331.59,333.7,29231
2021-04-21,331.9,341.57,331.9,340.69,15287
2021-04-22,341.51,341.53,334.58,337.5,19847
2021-04-23,337.38,341.3,337.14,339.72,8344
2021-04-26,342.35,346.64,342.29,346.18,22138
2021-04-27,345.91,349.86,345.91,346.38,11743
2021-04-28,349.03,349.03,343.5,343.91,10014
2021-04-29,345.04,347.67,344.33,347.44,13264
2021-04-30,344.17,344.58,339.99,342.18,14060
2021-05-03,344.71,345.67,340.14,343.13,40223
2021-05-04,347.85,362.05,345.89,362.05,78845
2021-05-05,364.35,364.35,358.54,362.18,18427
2021-05-06,362.81,362.81,357.51,360.72,41210
2021-05-07,359.46,366.63,358.41,366.54,16778
2021-05-10,367.98,371.15,362.95,363.68,22945
2021-05-11,358.89,365.15,356.23,365.15,23100
2021-05-12,365.5,365.5,355.25,356.18,16681
2021-05-13,356.87,363.47,356.87,363.04,12439
2021-05-14,365.04,368.64,363.78,366.0,18005
2021-05-17,365.01,366.6,360.82,364.16,45801
2021-05-18,364.38,367.38,360.68,360.86,23252
2021-05-19,350.91,353.42,347.08,352.14,12329
2021-05-20,351.93,352.4,346.78,350.61,14028
2021-05-21,356.82,357.62,350.7,350.7,10274
2021-05-24,354.52,357.06,351.12,354.77,14865
2021-05-25,357.37,359.12,350.65,350.95,10909
2021-05-26,351.99,357.9,351.18,356.37,40813
2021-05-27,360.47,364.11,358.45,358.94,24015
2021-05-28,361.09,361.09,352.61,353.0,18606
2021-06-01,357.5,357.5,351.89,352.17,18285
