date,open,high,low,close,volume
2020-07-27,103.74,106.05,103.54,106.05,109347
2020-07-28,101.06,102.19,99.92,100.96,247109
2020-07-29,101.44,102.24,100.59,101.33,124758
2020-07-30,100.1,100.21,98.32,98.79,75978
2020-07-31,98.41,98.41,96.61,97.67,42903
2020-08-03,97.98,98.15,97.07,97.66,46195
2020-08-04,97.91,98.09,97.15,98.08,37604
2020-08-05,98.83,100.86,98.83,100.81,47806
2020-08-06,101.41,101.43,100.4,101.27,73562
2020-08-07,101.27,102.8,100.69,102.75,74783
2020-08-10,103.21,104.88,103.2,104.82,50266
2020-08-11,106.47,108.11,105.86,106.14,82706
2020-08-12,107.08,107.65,106.08,106.68,79436
2020-08-13,107.09,108.72,107.05,107.63,59655
2020-08-14,107.32,107.91,106.89,107.76,42104
2020-08-17,107.21,107.97,106.41,106.93,44438
2020-08-18,106.73,107.37,106.35,106.71,29400
2020-08-19,106.85,107.52,106.34,106.45,23929
2020-08-20,105.74,106.22,105.46,105.86,43645
2020-08-21,105.53,106.45,105.53,105.94,49827
2020-08-24,106.0,107.27,105.57,107.05,59465
2020-08-25,107.78,108.1,106.4,106.82,61735
2020-08-26,106.56,107.88,105.91,107.36,35935
2020-08-27,107.91,108.23,106.94,107.47,46956
2020-08-28,107.64,108.8,107.38,108.49,207656
2020-08-31,108.39,108.39,106.21,106.92,37778
2020-09-01,106.43,108.39,106.06,107.95,89797
2020-09-02,108.19,111.35,108.19,111.1,208231
2020-09-03,111.24,111.55,108.09,108.96,96374
2020-09-04,109.91,110.71,107.38,108.53,87455
2020-09-08,108.2,108.3,106.1,106.8,67355
2020-09-09,107.42,109.53,107.42,108.57,84270
2020-09-10,108.76,109.12,106.64,106.78,49684
2020-09-11,106.92,109.14,106.92,108.85,58856
2020-09-14,109.69,110.91,109.2,110.43,55943
2020-09-15,111.31,111.31,108.87,109.1,48202
2020-09-16,109.94,112.05,109.76,110.98,69084
2020-09-17,109.61,113.41,109.61,112.97,67416
2020-09-18,113.07,113.07,111.03,111.04,33434
2020-09-21,108.78,108.98,104.59,105.64,111725
2020-09-22,105.85,107.2,105.12,106.29,73422
2020-09-23,106.33,107.54,104.32,104.48,24897
2020-09-24,104.41,106.01,103.56,105.03,25969
2020-09-25,104.42,105.42,104.17,105.02,37910
2020-09-28,106.46,107.3,105.67,105.88,44698
2020-09-29,105.83,105.96,104.03,104.66,48122
2020-09-30,105.23,106.77,103.94,105.03,76162
2020-10-01,105.35,105.99,103.34,104.03,160037
2020-10-02,102.51,106.05,102.35,105.08,73324
2020-10-05,106.11,107.07,105.98,106.65,60188
2020-10-06,107.13,108.52,106.04,106.28,61489
2020-10-07,107.93,109.85,107.88,109.1,89177
2020-10-08,109.52,110.13,108.81,109.89,97343
2020-10-09,110.61,111.59,110.07,110.96,145292
2020-10-12,111.12,111.72,110.15,110.47,90608
2020-10-13,110.04,110.95,108.76,109.12,88255
2020-10-14,109.38,111.01,109.25,110.34,64311
2020-10-15,108.73,111.14,108.63,110.73,89120
2020-10-16,111.22,112.66,110.91,112.01,75250
2020-10-19,112.27,112.84,110.7,111.06,76560
2020-10-20,111.5,113.42,111.38,112.11,70967
2020-10-21,111.68,112.68,110.8,110.8,73951
2020-10-22,110.87,111.97,110.3,111.87,86717
2020-10-23,112.51,112.74,110.71,111.23,99692
2020-10-26,109.77,109.98,107.72,108.86,197997
2020-10-27,107.67,107.91,105.31,105.5,283338
2020-10-28,104.35,106.56,103.58,103.77,156315
2020-10-29,103.56,104.89,102.38,103.92,146858
2020-10-30,103.59,104.74,102.83,104.72,89250
