date,open,high,low,close,volume
2020-07-27,26.83,27.04,26.75,26.99,79151
2020-07-28,27.47,27.59,27.01,27.22,287555
2020-07-29,27.29,27.29,26.5,26.64,156573
2020-07-30,26.5,26.78,26.37,26.59,79714
2020-07-31,26.45,26.59,26.03,26.32,83527
2020-08-03,26.32,26.42,26.05,26.24,240829
2020-08-04,26.27,26.62,26.24,26.61,501463
2020-08-05,26.71,26.87,26.55,26.67,245113
2020-08-06,26.57,26.77,26.48,26.57,69349
2020-08-07,26.5,27.02,26.3,26.97,120622
2020-08-10,27.09,27.67,27.07,27.66,239638
2020-08-11,28.02,28.24,27.82,27.91,162366
2020-08-12,28.03,28.13,27.46,27.5,106628
2020-08-13,27.32,27.55,27.18,27.22,133018
2020-08-14,27.08,27.33,26.93,27.26,86222
2020-08-17,27.28,27.72,27.24,27.54,131619
2020-08-18,27.79,27.86,27.55,27.66,126199
2020-08-19,27.69,28.24,27.64,27.92,103329
2020-08-20,27.76,28.03,27.63,27.85,135872
2020-08-21,27.9,27.91,27.61,27.8,70720
2020-08-24,27.9,28.44,27.8,28.23,102528
2020-08-25,28.29,28.29,27.84,27.86,843227
2020-08-26,27.64,27.92,27.48,27.63,335742
2020-08-27,27.79,28.37,27.79,28.0,130168
2020-08-28,28.01,28.11,27.82,28.11,72769
2020-08-31,28.09,28.14,27.89,28.02,205972
2020-09-01,27.89,27.91,27.54,27.58,209030
2020-09-02,27.54,28.05,27.46,28.01,121156
2020-09-03,28.13,28.65,27.52,27.67,1049248
2020-09-04,27.79,28.11,27.38,27.81,328390
2020-09-08,27.99,28.17,27.36,27.55,159563
2020-09-09,27.74,28.25,27.72,28.02,154408
2020-09-10,27.88,28.04,27.69,27.76,143129
2020-09-11,27.74,27.97,27.63,27.89,157914
2020-09-14,28.01,28.3,27.84,28.07,290429
2020-09-15,28.15,28.31,27.89,27.91,140209
2020-09-16,28.0,28.0,27.25,27.25,253910
2020-09-17,27.07,27.38,26.66,26.67,202869
2020-09-18,26.66,26.79,25.92,26.03,368390
2020-09-21,25.82,25.95,25.11,25.35,132341
2020-09-22,25.5,25.71,25.13,25.15,179656
2020-09-23,25.28,25.48,24.75,24.76,272445
2020-09-24,24.79,25.2,24.56,25.02,230012
2020-09-25,24.89,25.07,24.67,24.99,127899
2020-09-28,25.16,25.58,25.16,25.41,180983
2020-09-29,25.41,25.41,25.02,25.05,128478
2020-09-30,25.17,25.37,25.03,25.24,168945
2020-10-01,25.27,25.42,25.05,25.42,340846
2020-10-02,25.08,25.6,25.08,25.44,176353
2020-10-05,25.56,25.85,25.41,25.78,142741
2020-10-06,25.89,26.25,25.78,25.85,245525
2020-10-07,26.02,26.65,26.02,26.49,371491
2020-10-08,26.42,26.73,26.29,26.36,126987
2020-10-09,26.64,26.92,26.5,26.56,548341
2020-10-12,26.53,26.92,26.36,26.38,188175
2020-10-13,26.34,26.34,25.7,25.72,308775
2020-10-14,25.65,25.99,25.54,25.8,129805
2020-10-15,25.57,25.93,25.5,25.91,136606
2020-10-16,26.1,26.27,25.81,25.81,353419
2020-10-19,25.82,26.07,25.54,25.56,164948
2020-10-20,25.75,25.78,25.22,25.27,297674
2020-10-21,25.17,25.29,25.1,25.13,157862
2020-10-22,25.16,25.49,25.09,25.45,127675
2020-10-23,25.65,25.69,25.34,25.51,119034
2020-10-26,25.38,25.4,24.96,25.16,158180
2020-10-27,25.1,25.14,24.25,24.26,404836
2020-10-28,23.92,24.24,23.69,23.95,368464
2020-10-29,23.93,24.28,23.65,24.1,763660
2020-10-30,23.75,23.92,23.39,23.58,511854
2020-11-02,23.81,23.99,23.59,23.8,317839
2020-11-03,23.99,24.52,23.99,24.41,242339
2020-11-04,24.61,25.32,24.58,24.87,788200
2020-11-05,25.08,25.1,24.35,24.35,313810
2020-11-06,24.44,24.7,24.2,24.32,244288
2020-11-09,25.31,25.72,24.88,24.92,429227
2020-11-10,25.25,25.92,25.12,25.84,338957
2020-11-11,26.01,26.01,25.55,25.95,383781
2020-11-12,25.83,25.86,25.4,25.78,259191
2020-11-13,25.93,26.37,25.72,26.35,137337
2020-11-16,26.64,27.1,26.48,27.07,202256
2020-11-17,26.83,27.07,26.7,26.88,174186
2020-11-18,26.9,27.01,26.23,26.25,438955
2020-11-19,26.17,26.37,25.69,26.15,255798
2020-11-20,26.04,26.2,25.94,26.08,213243
2020-11-23,26.09,26.38,26.0,26.25,267280
2020-11-24,26.58,27.11,26.55,26.76,415791
2020-11-25,26.68,26.74,26.34,26.37,138436
2020-11-27,26.36,26.43,26.09,26.34,115065
2020-11-30,26.24,26.29,25.85,25.99,188476
2020-12-01,26.15,26.67,26.13,26.43,383257
2020-12-02,26.43,26.65,26.05,26.12,211665
2020-12-03,26.26,26.44,26.07,26.37,453372
2020-12-04,26.52,27.0,26.52,27.0,197552
2020-12-07,27.08,27.26,26.79,27.21,288879
2020-12-08,26.96,27.62,26.72,27.56,291056
2020-12-09,27.66,28.18,27.61,28.07,275195
2020-12-10,28.13,28.15,27.73,28.04,206639
2020-12-11,27.88,28.16,27.87,28.07,302577
2020-12-14,28.28,28.28,28.01,28.01,275228
2020-12-15,27.96,28.02,27.44,27.54,469724
2020-12-16,27.55,28.17,27.55,28.11,213698
2020-12-17,28.05,28.12,27.88,28.07,133392
2020-12-18,28.04,28.63,28.04,28.57,204886
2020-12-21,28.14,28.18,27.81,28.02,175074
2020-12-22,28.03,28.15,27.62,27.78,205366
2020-12-23,27.91,28.1,27.83,27.98,135481
2020-12-24,27.91,27.91,27.42,27.81,89238
2020-12-28,27.9,28.17,27.47,27.62,191085
2020-12-29,27.72,27.84,27.13,27.15,203454
2020-12-30,27.12,27.28,26.88,27.12,137925
2020-12-31,27.07,27.38,26.76,27.33,232179
2021-01-04,27.37,27.38,26.64,27.21,204056
2021-01-05,27.2,27.46,27.12,27.13,151759
2021-01-06,27.24,27.7,27.13,27.59,208928
2021-01-07,27.73,27.96,27.58,27.84,209075
2021-01-08,27.85,27.87,27.5,27.71,150643
2021-01-11,27.75,27.99,27.51,27.54,217051
2021-01-12,27.52,27.61,27.08,27.29,123496
2021-01-13,27.22,27.47,27.21,27.38,122717
2021-01-14,27.36,27.82,27.23,27.4,136562
2021-01-15,27.32,27.53,27.23,27.47,141604
2021-01-19,27.56,27.86,27.32,27.47,166543
2021-01-20,27.56,28.1,27.56,28.07,141990
2021-01-21,28.04,28.17,27.79,27.95,141484
2021-01-22,27.81,28.03,27.65,27.85,128705
2021-01-25,27.82,28.13,27.55,27.94,274774
2021-01-26,28.0,28.23,27.89,28.13,159030
2021-01-27,28.0,28.29,27.79,27.86,175398
2021-01-28,27.86,28.66,27.84,28.41,362585
2021-01-29,28.23,28.24,27.34,27.36,289718
2021-02-01,27.44,27.54,26.97,27.14,323490
2021-02-02,27.38,27.82,27.03,27.68,363125
2021-02-03,27.49,28.06,27.47,27.96,242936
2021-02-04,28.04,28.34,27.96,28.33,297056
2021-02-05,28.46,28.6,28.27,28.28,192986
2021-02-08,28.41,28.85,28.36,28.62,206631
2021-02-09,28.72,29.0,28.5,28.88,212249
2021-02-10,29.05,29.25,28.84,29.01,193303
2021-02-11,29.01,29.2,28.74,28.85,165199
2021-02-12,28.83,28.99,28.65,28.91,230439
2021-02-16,28.86,29.05,28.74,28.91,236831
2021-02-17,28.91,29.25,28.81,29.05,156258
2021-02-18,29.08,29.35,29.02,29.05,199007
2021-02-19,29.14,29.26,29.01,29.17,218915
2021-02-22,29.16,29.63,29.15,29.59,224276
2021-02-23,29.88,29.96,29.33,29.5,502698
2021-02-24,29.57,30.09,29.5,29.99,259790
2021-02-25,29.99,30.19,29.62,29.72,242833
2021-02-26,29.71,29.73,29.03,29.04,364637
2021-03-01,29.37,30.08,29.37,29.66,238808
2021-03-02,29.72,30.06,29.69,29.75,217163
2021-03-03,29.78,30.39,29.71,30.0,524050
2021-03-04,29.97,30.33,29.36,29.45,398026
2021-03-05,29.8,30.17,29.61,30.08,396001
2021-03-08,30.28,31.34,30.02,31.24,439752
2021-03-09,31.27,31.97,31.05,31.77,513568
2021-03-10,31.88,32.26,31.84,32.11,310043
2021-03-11,32.01,32.27,31.83,31.84,219876
2021-03-12,32.01,32.5,31.99,32.41,296059
2021-03-15,32.66,33.27,32.65,33.21,518270
2021-03-16,32.74,33.24,32.72,32.93,275399
2021-03-17,32.95,33.21,32.59,33.14,384338
2021-03-18,33.19,33.86,33.18,33.68,334409
2021-03-19,33.78,34.08,33.4,33.69,408878
2021-03-22,33.63,34.44,33.42,34.4,305106
2021-03-23,34.36,34.41,33.53,33.64,373406
2021-03-24,33.34,33.82,33.31,33.56,270670
2021-03-25,33.44,34.14,33.32,34.02,280228
2021-03-26,34.48,35.62,34.48,35.59,543959
2021-03-29,35.26,35.63,35.03,35.47,297714
2021-03-30,35.47,35.63,34.66,34.71,377745
2021-03-31,34.67,34.81,34.54,34.68,272340
2021-04-01,34.65,34.66,34.09,34.56,193760
2021-04-05,34.81,35.14,34.74,34.78,252339
2021-04-06,34.68,35.09,34.67,34.82,391024
2021-04-07,34.88,34.92,34.47,34.64,163359
2021-04-08,34.7,34.98,34.54,34.88,418412
2021-04-09,34.88,35.04,34.8,34.89,182856
2021-04-12,35.04,35.18,34.83,35.06,264760
2021-04-13,34.75,34.81,34.57,34.69,102515
2021-04-14,34.65,34.98,34.61,34.8,274476
2021-04-15,34.99,35.21,34.89,34.97,328585
2021-04-16,35.19,35.49,35.06,35.45,349596
2021-04-20,31.13,32.24,30.6,31.98,1110999
2021-04-21,32.17,32.7,32.11,32.22,380406
2021-04-22,32.27,32.34,31.34,31.51,830018
2021-04-23,31.5,32.19,31.48,32.11,368104
2021-04-26,32.11,32.18,31.86,32.0,194938
2021-04-27,31.96,32.13,31.82,31.96,128145
2021-04-28,32.22,32.4,31.8,31.98,289312
2021-04-29,31.2,31.89,30.98,31.58,384470
2021-04-30,31.98,32.38,31.75,32.36,364482
2021-05-03,32.65,32.94,32.37,32.77,201664
2021-05-04,32.69,32.95,32.27,32.42,285755
2021-05-05,32.42,32.77,32.25,32.76,203230
2021-05-06,32.89,33.56,32.89,33.54,235500
2021-05-07,33.45,33.94,33.37,33.86,225162
2021-05-10,34.04,34.65,34.0,34.35,333304
2021-05-11,34.37,34.44,33.81,34.18,261390
2021-05-12,34.25,34.25,33.38,33.43,200366
2021-05-13,33.37,34.17,33.37,33.98,323428
2021-05-14,34.21,34.4,34.05,34.07,244320
2021-05-17,34.05,34.25,33.9,34.02,191531
2021-05-18,33.96,33.99,33.81,33.85,146482
2021-05-19,33.64,33.64,33.18,33.51,242359
2021-05-20,33.45,34.03,33.43,33.91,172945
2021-05-21,33.98,34.16,33.76,33.9,159529
2021-05-24,33.98,34.29,33.85,34.1,164731
2021-05-25,34.04,34.05,33.53,33.61,175065
2021-05-26,33.62,33.68,33.39,33.48,182169
2021-05-27,33.52,33.78,33.23,33.28,164574
2021-05-28,33.42,33.68,33.32,33.32,183161
2021-06-01,33.64,33.78,33.38,33.45,138429
2021-06-02,33.57,33.7,33.39,33.52,134675
2021-06-03,33.5,33.81,33.41,33.74,132779
2021-06-04,33.87,33.93,33.6,33.73,140075
2021-06-07,33.89,34.23,33.88,34.21,181175
2021-06-08,34.25,34.25,33.71,33.8,189810
2021-06-09,33.87,34.12,33.74,33.81,134068
2021-06-10,34.02,34.23,33.95,33.98,108493
2021-06-11,34.05,34.07,33.43,33.72,391913
2021-06-14,33.67,33.67,32.7,33.15,414543
2021-06-15,33.24,33.4,32.93,33.04,233677
2021-06-16,33.04,33.1,32.54,32.66,244213
2021-06-17,32.57,32.76,32.25,32.31,280786
2021-06-18,32.07,32.07,31.68,31.93,491118
2021-06-21,32.27,32.74,32.24,32.6,261321
2021-06-22,32.63,32.77,32.53,32.57,192447
2021-06-23,32.58,32.7,32.38,32.41,225495
2021-06-24,32.41,32.77,32.4,32.71,194010
2021-06-25,32.68,32.85,32.62,32.84,223487
2021-06-28,32.85,32.86,32.49,32.54,130950
2021-06-29,32.55,32.59,32.17,32.24,147199
2021-06-30,32.31,32.95,32.31,32.87,238649
2021-07-01,32.93,33.23,32.9,32.97,196017
2021-07-02,32.98,32.99,32.69,32.75,217541
2021-07-06,32.71,32.71,31.95,32.17,192989
2021-07-07,32.14,32.5,32.13,32.25,211025
2021-07-08,31.95,32.28,31.81,32.0,261508
2021-07-09,32.5,33.03,32.46,32.67,362996
2021-07-12,32.55,32.88,32.24,32.75,210947
2021-07-13,32.73,32.77,32.25,32.29,151627
2021-07-14,32.39,32.85,32.26,32.81,130865
2021-07-15,32.62,32.83,32.6,32.74,160157
2021-07-16,32.89,33.09,32.53,32.62,208680
2021-07-19,32.26,32.42,31.88,32.27,195568
2021-07-20,32.29,32.68,32.04,32.55,141150
2021-07-21,32.74,32.91,32.56,32.64,170864
2021-07-22,32.6,32.62,32.3,32.38,114079
2021-07-23,32.55,32.78,32.47,32.75,95803
2021-07-26,32.75,32.93,32.65,32.83,115275
2021-07-27,32.73,33.09,32.65,32.95,132885
2021-07-28,32.89,33.04,32.74,32.85,164254
2021-07-29,32.97,33.78,32.86,33.5,213320
2021-07-30,33.37,33.55,32.88,33.12,116981
2021-08-02,33.26,33.57,32.89,32.91,79684
2021-08-03,33.06,33.15,32.82,32.94,95303
2021-08-04,32.71,32.73,32.29,32.43,143531
2021-08-05,32.65,32.74,32.55,32.66,63184
2021-08-06,32.74,32.76,32.55,32.65,89239
2021-08-09,32.67,32.77,32.5,32.74,48627
2021-08-10,32.61,33.27,32.57,33.17,139921
2021-08-11,33.28,33.31,33.09,33.22,98449
2021-08-12,33.27,33.28,33.1,33.19,40861
2021-08-13,33.31,33.59,33.2,33.52,122130
2021-08-16,33.53,33.54,33.22,33.37,165949
2021-08-17,33.31,33.66,33.24,33.48,116366
2021-08-18,33.39,33.62,33.21,33.26,110913
2021-08-19,32.98,33.31,32.94,33.27,57464
2021-08-20,33.17,33.57,33.15,33.42,64593
2021-08-23,33.57,33.83,33.38,33.42,73032
2021-08-24,33.44,33.44,33.11,33.24,54578
2021-08-25,33.28,33.73,33.22,33.53,62370
2021-08-26,33.52,33.88,33.48,33.62,57020
2021-08-27,33.83,34.26,33.83,34.15,114180
2021-08-30,34.17,34.41,34.11,34.29,95777
2021-08-31,34.33,34.7,34.24,34.63,129724
2021-09-01,34.68,34.69,34.35,34.53,168820
2021-09-02,34.66,35.21,34.66,35.21,127391
2021-09-03,35.11,35.16,34.88,35.15,55082
2021-09-07,35.01,35.21,34.83,35.03,111414
2021-09-08,34.93,35.15,34.75,35.08,127999
2021-09-09,35.0,35.16,34.7,34.87,173279
2021-09-10,35.05,35.14,34.79,34.89,99990
2021-09-13,35.06,35.09,34.44,34.53,186249
2021-09-14,34.5,34.6,33.94,33.97,117518
2021-09-15,33.97,34.59,33.96,34.56,64625
2021-09-16,34.54,34.73,34.16,34.26,74475
2021-09-17,34.18,34.37,34.06,34.13,110949
2021-09-20,33.79,34.05,33.48,33.8,141351
2021-09-21,33.98,34.21,33.69,33.73,120707
2021-09-22,33.98,34.22,33.83,33.88,104995
2021-09-23,34.14,34.51,34.03,34.28,84060
2021-09-24,34.2,34.43,34.02,34.02,121146
2021-09-27,33.99,34.4,33.93,34.22,118985
2021-09-28,34.29,34.36,33.86,33.89,157030
2021-09-29,33.83,34.32,33.83,34.21,137545
2021-09-30,34.0,34.03,31.86,31.96,357721
2021-10-01,31.95,32.36,31.53,32.17,272986
2021-10-04,32.26,32.69,32.19,32.63,256266
2021-10-05,32.71,32.73,32.41,32.42,168497
2021-10-06,32.16,32.7,32.11,32.65,83126
2021-10-07,32.86,33.12,32.58,32.64,67785
2021-10-08,32.69,32.97,32.69,32.82,147583
2021-10-11,32.79,33.12,32.66,32.8,82461
2021-10-12,33.33,33.85,32.93,33.11,268338
2021-10-13,33.22,33.86,32.88,33.65,151315
2021-10-14,33.77,34.21,33.72,34.17,102614
2021-10-15,34.34,34.38,34.11,34.2,98016
2021-10-18,33.99,34.01,33.77,33.79,76087
2021-10-19,33.75,33.94,33.54,33.63,83959
2021-10-20,33.67,34.05,33.61,34.03,109857
2021-10-21,33.88,34.02,33.75,33.87,58833
2021-10-22,34.06,34.12,33.85,33.86,101667
2021-10-26,33.67,33.91,33.66,33.78,76471
2021-10-27,33.92,33.92,33.21,33.36,113930
2021-10-28,32.52,32.55,31.12,31.3,485093
2021-10-29,31.1,31.34,30.97,30.97,393146
