date,open,high,low,close,volume
2020-07-27,12.0,12.37,11.99,12.33,63119
2020-07-28,12.19,12.23,11.86,11.9,19462
2020-07-29,11.94,12.35,11.94,12.29,114347
2020-07-30,11.99,11.99,11.72,11.88,32744
2020-07-31,11.79,11.86,11.7,11.84,55069
2020-08-03,11.67,12.28,11.67,12.04,84640
2020-08-04,13.14,13.95,13.14,13.66,376442
2020-08-05,13.96,14.66,13.96,14.34,209947
2020-08-06,14.33,14.39,13.95,14.2,139865
2020-08-07,14.12,15.14,14.09,15.11,171726
2020-08-10,15.45,16.31,15.43,16.19,189926
2020-08-11,16.59,16.62,15.49,15.5,155947
2020-08-12,15.87,15.95,15.28,15.35,250831
2020-08-13,15.11,15.56,15.02,15.35,407646
2020-08-14,15.3,15.89,15.14,15.69,136989
2020-08-17,15.95,16.12,15.62,15.71,86275
2020-08-18,15.74,16.22,15.69,16.07,137500
2020-08-19,15.87,16.18,15.74,15.77,86350
2020-08-20,15.37,15.72,15.31,15.67,52168
2020-08-21,15.41,15.56,15.31,15.38,105233
2020-08-24,15.61,16.42,15.61,16.26,114684
2020-08-25,16.43,16.43,15.88,16.13,96500
2020-08-26,16.05,16.38,16.03,16.23,100698
2020-08-27,16.29,16.33,16.07,16.21,67997
2020-08-28,16.19,16.73,16.08,16.63,101388
2020-08-31,16.61,16.61,16.05,16.06,54970
2020-09-01,15.97,16.41,15.83,16.41,86157
2020-09-02,16.24,16.67,16.16,16.67,195182
2020-09-03,16.67,16.77,16.1,16.31,49479
2020-09-04,16.49,16.56,16.02,16.33,80256
2020-09-08,15.78,15.79,15.2,15.42,112166
2020-09-09,15.55,15.95,15.42,15.85,77817
2020-09-10,15.95,16.05,15.59,15.66,67429
2020-09-11,15.71,16.25,15.62,16.14,124702
2020-09-14,16.25,16.25,15.77,15.99,129810
2020-09-15,15.95,16.12,15.71,15.9,295654
2020-09-16,15.92,16.24,15.67,15.96,73565
2020-09-17,15.77,17.12,15.76,16.99,227795
2020-09-18,17.0,17.66,16.83,16.98,190295
2020-09-21,16.53,16.53,15.21,15.7,168286
2020-09-22,15.66,15.98,15.49,15.92,131339
2020-09-23,16.19,17.0,16.01,16.13,228414
2020-09-24,16.05,16.9,15.64,16.59,163574
2020-09-25,16.44,16.47,15.94,16.4,164668
2020-09-28,16.8,16.99,16.28,16.28,109174
2020-09-29,16.17,16.4,15.8,15.87,60156
2020-09-30,16.0,16.43,15.95,16.13,146566
2020-10-01,16.16,16.27,15.62,15.7,116915
2020-10-02,15.32,16.38,15.29,16.14,118038
2020-10-05,16.38,17.15,16.29,17.0,114787
2020-10-06,17.12,17.38,16.56,16.63,107448
2020-10-07,16.94,17.52,16.94,17.41,153340
2020-10-08,17.52,17.82,17.02,17.37,194336
2020-10-09,17.5,17.68,17.11,17.38,90320
2020-10-12,17.37,17.4,16.97,17.06,61098
2020-10-13,17.03,17.14,16.7,17.01,176828
2020-10-14,17.19,17.43,16.97,17.04,139820
2020-10-15,16.74,17.27,16.55,17.17,127530
2020-10-16,17.3,17.33,16.88,16.88,50303
2020-10-19,16.93,17.15,16.74,16.81,147175
2020-10-20,16.99,17.09,16.51,16.65,132276
2020-10-21,16.4,16.93,16.36,16.67,144836
2020-10-22,16.48,16.54,16.12,16.5,146769
2020-10-23,16.67,16.9,16.46,16.48,315740
2020-10-26,16.23,16.41,15.86,16.0,130254
2020-10-27,15.92,16.44,15.92,16.18,104190
2020-10-28,15.77,16.14,15.68,15.92,112611
2020-10-29,15.84,16.36,15.78,16.15,273717
2020-10-30,16.03,16.34,15.79,16.31,329675
2020-11-02,16.47,17.28,16.31,17.23,226329
2020-11-03,15.84,15.91,14.59,15.17,468737
2020-11-04,15.31,15.32,14.14,14.79,240079
2020-11-05,14.91,15.27,14.78,15.13,210189
2020-11-06,15.27,15.51,14.71,14.88,195864
2020-11-09,15.67,16.28,14.99,15.0,405574
2020-11-10,15.15,15.65,14.89,15.54,164573
2020-11-11,15.6,15.73,15.42,15.57,264983
2020-11-12,15.42,15.63,15.08,15.32,242604
2020-11-13,15.54,15.94,15.52,15.89,81372
2020-11-16,16.37,16.59,16.04,16.55,115540
2020-11-17,16.3,16.76,16.11,16.73,161447
2020-11-18,16.76,17.44,16.61,16.94,173639
2020-11-19,16.72,17.29,16.52,17.27,96713
2020-11-20,17.22,17.34,17.13,17.29,90045
2020-11-23,17.51,18.31,17.51,18.11,149291
2020-11-24,18.42,20.44,18.39,20.4,579364
2020-11-25,19.58,20.14,19.12,19.91,207866
2020-11-27,20.07,20.43,19.89,20.02,94357
2020-11-30,19.91,19.97,19.21,19.38,182660
2020-12-01,19.75,19.82,19.02,19.21,196507
2020-12-02,19.11,19.24,18.58,18.81,223650
2020-12-03,18.85,19.22,18.65,18.75,175008
2020-12-04,19.13,20.19,19.09,20.13,257051
2020-12-07,20.01,20.01,19.32,19.5,157929
2020-12-08,19.49,20.1,19.49,19.76,133346
2020-12-09,20.07,20.21,19.36,19.82,97793
2020-12-10,19.52,19.89,19.47,19.67,86614
2020-12-11,19.52,19.76,19.35,19.66,100345
2020-12-14,20.13,20.93,20.03,20.05,304356
2020-12-15,20.37,20.54,20.07,20.43,157505
2020-12-16,20.57,20.64,19.7,20.03,123475
2020-12-17,20.24,20.55,20.02,20.42,94790
2020-12-18,20.45,20.74,20.07,20.69,176693
2020-12-21,20.07,20.6,19.97,20.46,141631
2020-12-22,20.54,20.54,19.32,19.32,171537
2020-12-23,19.48,19.67,19.3,19.53,102418
2020-12-24,19.58,19.6,19.29,19.41,46391
2020-12-28,19.5,19.72,19.02,19.11,55435
2020-12-29,19.5,19.53,18.93,19.15,69833
2020-12-30,19.15,19.77,19.15,19.57,83458
2020-12-31,19.75,20.68,19.5,20.35,174526
2021-01-04,20.64,21.23,20.53,20.92,142615
2021-01-05,21.05,21.74,20.99,21.7,269779
2021-01-06,22.19,23.07,22.06,23.05,376807
2021-01-07,24.18,24.66,23.65,23.79,367261
2021-01-08,23.96,24.04,23.13,23.7,192051
2021-01-11,23.25,24.01,23.14,23.67,209988
2021-01-12,23.82,25.32,23.47,25.17,189267
2021-01-13,25.62,25.88,24.68,24.85,144495
2021-01-14,25.14,25.92,25.13,25.51,157019
2021-01-15,25.32,25.5,24.85,25.33,251834
2021-01-19,25.51,25.65,24.85,25.37,116374
2021-01-20,25.53,25.94,24.98,25.19,75884
2021-01-21,25.37,25.37,24.93,25.12,120060
2021-01-22,24.53,25.12,24.22,25.05,80125
2021-01-25,25.38,25.38,24.4,25.33,132140
2021-01-26,25.56,25.84,24.24,24.26,118480
2021-01-27,23.57,23.8,22.66,23.59,206570
2021-01-28,24.06,24.23,23.33,24.07,125009
2021-01-29,24.08,24.12,22.87,22.95,110821
2021-02-01,23.25,24.07,23.07,23.74,379935
