date,open,high,low,close,volume
2020-07-27,32.46,32.86,31.88,32.53,83613
2020-07-28,32.33,32.64,31.98,32.21,196728
2020-07-29,32.36,33.73,32.32,33.7,137941
2020-07-30,32.92,33.07,31.78,32.15,160248
2020-07-31,31.84,32.37,31.49,32.26,191144
2020-08-03,32.42,33.81,31.61,32.56,750438
2020-08-04,32.07,32.56,30.85,31.78,383206
2020-08-05,32.07,32.16,30.63,30.78,298493
2020-08-06,30.54,31.11,29.98,30.18,131586
2020-08-07,30.08,31.02,29.78,30.95,153478
2020-08-10,31.13,31.36,30.45,31.35,146562
2020-08-11,32.06,32.64,31.02,31.23,105920
2020-08-12,32.1,32.43,31.56,32.21,101898
2020-08-13,31.72,32.14,31.36,31.45,108182
2020-08-14,31.53,32.4,31.4,32.38,87830
2020-08-17,32.44,32.93,32.21,32.66,74333
2020-08-18,32.59,32.75,31.93,31.94,158545
2020-08-19,31.72,32.43,31.49,31.88,145641
2020-08-20,31.4,31.4,30.54,30.55,166824
2020-08-21,30.33,30.6,30.03,30.33,97907
2020-08-24,30.69,31.71,30.42,31.54,130734
2020-08-25,31.64,31.71,30.87,31.24,161139
2020-08-26,31.05,31.35,30.26,30.29,151861
2020-08-27,30.36,30.4,29.49,30.02,403897
2020-08-28,30.13,31.94,30.13,31.79,135243
2020-08-31,31.58,31.58,30.4,30.4,62632
2020-09-01,30.02,30.72,29.69,30.0,146568
2020-09-02,30.08,30.36,29.68,30.02,125185
2020-09-03,30.08,30.7,29.12,29.37,173473
2020-09-04,29.58,29.81,28.51,28.83,146801
2020-09-08,28.2,28.61,27.64,27.72,107017
2020-09-09,27.72,27.95,27.21,27.23,144451
2020-09-10,27.26,27.4,25.94,25.94,196201
2020-09-11,25.98,27.08,25.85,26.79,204830
2020-09-14,27.03,27.85,27.03,27.47,90935
2020-09-15,27.42,27.77,26.54,26.67,132859
2020-09-16,26.87,28.33,26.4,27.74,220345
2020-09-17,27.09,27.72,27.02,27.54,184788
2020-09-18,27.36,27.95,27.13,27.69,190855
2020-09-21,26.54,26.85,25.94,26.81,153842
2020-09-22,26.72,27.11,26.48,26.6,239013
2020-09-23,26.54,26.62,24.6,24.61,128159
2020-09-24,24.39,24.99,23.64,24.55,281035
2020-09-25,24.1,24.76,23.69,24.55,178404
2020-09-28,25.23,25.96,25.11,25.68,98824
2020-09-29,25.51,25.93,24.96,25.23,120053
2020-09-30,25.25,25.81,24.98,25.2,118155
2020-10-01,24.69,24.84,23.48,23.77,362349
2020-10-02,23.0,24.54,22.77,24.24,401888
2020-10-05,24.6,25.25,24.57,25.05,495814
2020-10-06,25.44,25.98,24.67,24.71,162335
2020-10-07,24.86,25.08,24.5,25.06,213835
2020-10-08,25.18,26.67,25.12,26.67,257845
2020-10-09,26.87,26.88,25.78,25.79,325627
2020-10-12,25.67,26.16,25.39,26.12,152803
2020-10-13,25.89,25.89,24.94,25.17,277455
2020-10-14,25.34,26.22,25.34,25.62,184929
2020-10-15,24.96,26.17,24.52,26.17,239657
2020-10-16,26.07,26.15,25.14,25.16,234423
2020-10-19,25.2,25.28,24.17,24.17,379791
2020-10-20,24.51,25.28,24.45,25.08,225317
2020-10-21,24.62,25.27,24.27,24.72,208620
2020-10-22,24.61,25.42,24.1,25.31,261633
2020-10-23,25.59,26.21,24.91,25.61,325488
2020-10-26,25.03,25.11,24.14,24.51,405448
2020-10-27,24.41,24.86,24.06,24.17,200281
2020-10-28,23.43,23.94,22.97,23.58,366048
2020-10-29,23.15,24.73,22.98,24.73,287471
2020-10-30,24.5,25.28,24.15,25.27,474964
2020-11-02,24.86,27.27,24.78,26.79,511210
2020-11-03,27.34,27.72,26.97,27.36,363189
2020-11-04,27.36,28.05,26.73,27.18,563628
2020-11-05,27.17,27.83,27.03,27.29,213373
2020-11-06,27.15,27.81,26.82,27.09,334585
2020-11-09,30.6,32.77,30.6,31.22,916147
2020-11-10,31.98,32.29,31.15,32.29,789359
2020-11-11,32.43,32.71,31.52,31.89,215215
2020-11-12,31.2,31.41,29.52,29.78,347970
2020-11-13,30.02,32.26,30.02,32.2,304054
2020-11-16,33.69,35.02,33.19,34.96,602482
2020-11-17,34.0,35.35,33.19,35.34,355993
2020-11-18,35.56,35.72,33.51,33.51,337479
2020-11-19,32.67,34.12,32.47,33.99,303794
2020-11-20,34.03,34.06,33.23,33.26,210569
2020-11-23,33.81,35.93,33.81,35.88,375436
2020-11-24,37.05,37.12,36.03,36.97,516503
2020-11-25,36.34,36.71,35.96,36.07,404153
2020-11-27,35.93,36.26,35.72,36.09,181796
2020-11-30,35.57,35.82,33.61,33.73,326290
2020-12-01,34.77,35.88,34.2,34.32,228651
2020-12-02,33.73,35.83,33.73,35.29,350491
2020-12-03,35.43,36.45,35.07,35.63,202741
2020-12-04,36.44,37.88,36.44,37.33,223627
2020-12-07,36.73,37.15,35.59,36.71,199191
2020-12-08,36.13,37.66,36.09,36.97,130993
2020-12-09,37.61,38.14,36.51,37.12,157018
2020-12-10,37.12,38.86,37.04,38.13,178013
2020-12-11,37.61,37.73,36.77,37.34,141432
2020-12-14,37.68,37.78,35.25,35.46,187995
2020-12-15,35.86,36.76,35.54,36.75,163785
2020-12-16,36.65,36.72,36.0,36.26,168014
2020-12-17,36.44,36.44,35.15,35.27,188436
2020-12-18,34.99,35.27,34.55,35.07,224226
2020-12-21,33.66,35.01,33.39,34.53,158784
2020-12-22,34.46,35.02,34.4,34.51,106050
2020-12-23,34.82,36.2,34.79,35.91,105006
2020-12-24,35.66,35.83,35.13,35.81,54228
2020-12-28,35.88,36.83,35.41,35.5,126621
2020-12-29,35.58,35.9,35.24,35.42,79179
2020-12-30,35.68,36.41,35.68,36.15,72182
2020-12-31,36.08,36.5,35.79,35.98,84712
2021-01-04,36.26,36.66,35.08,35.41,122563
2021-01-05,35.66,37.66,35.65,36.55,251286
2021-01-06,37.49,37.87,36.49,37.38,189103
2021-01-07,37.52,38.92,37.33,38.41,160966
2021-01-08,38.84,38.84,37.5,37.59,193962
2021-01-11,36.73,38.12,36.68,37.91,184653
2021-01-12,37.92,39.81,37.92,39.65,413500
2021-01-13,39.45,39.45,37.95,38.59,377880
2021-01-14,38.57,40.06,38.31,39.57,160671
2021-01-15,38.88,38.94,37.69,38.29,240214
2021-01-19,38.55,40.56,38.31,40.09,278458
2021-01-20,40.4,40.81,39.35,40.19,122860
2021-01-21,40.23,40.39,39.16,39.46,176450
2021-01-22,38.39,39.86,38.19,39.81,240884
2021-01-25,39.1,40.38,38.67,40.19,239194
2021-01-26,40.61,41.04,39.16,39.26,182576
2021-01-27,38.28,39.58,37.58,38.19,385799
2021-01-28,38.6,39.28,37.82,38.93,148164
2021-01-29,38.47,39.46,37.51,37.51,249227
2021-02-01,38.12,38.28,36.82,37.76,198705
2021-02-02,38.58,40.37,38.58,39.28,343185
2021-02-03,39.54,41.26,39.51,41.13,404456
2021-02-04,41.53,41.97,40.52,41.16,188281
2021-02-05,41.69,41.91,41.07,41.46,149226
2021-02-08,42.08,43.35,42.04,43.0,238423
2021-02-09,42.64,42.69,41.89,42.49,217992
2021-02-10,42.6,43.6,42.07,43.33,178178
2021-02-11,43.26,43.42,42.34,43.28,130493
2021-02-12,42.86,43.99,42.86,43.91,149358
2021-02-16,44.67,45.8,44.67,45.26,238896
2021-02-17,45.51,45.84,44.41,45.65,162536
2021-02-18,45.4,45.68,44.72,45.06,162884
2021-02-19,45.38,46.89,45.35,46.65,262316
2021-02-22,47.19,49.0,47.05,48.25,324978
2021-02-23,48.37,49.38,47.4,49.06,497240
2021-02-24,49.28,50.13,49.13,49.85,258945
2021-02-25,50.06,50.06,47.89,48.44,254942
2021-02-26,47.95,48.54,45.93,48.15,242576
2021-03-01,49.19,49.92,48.43,49.41,221881
2021-03-02,49.56,50.19,48.98,49.29,238346
2021-03-03,49.63,50.74,49.07,49.33,290143
2021-03-04,49.54,50.51,48.35,49.69,201817
2021-03-05,51.2,51.28,48.51,50.41,365498
2021-03-08,51.03,51.69,49.84,50.25,318709
2021-03-09,49.87,51.18,49.1,49.1,276851
2021-03-10,49.66,51.4,49.64,51.19,341396
2021-03-11,51.54,52.7,50.92,51.03,275986
2021-03-12,51.37,51.54,50.45,50.8,161360
2021-03-15,50.82,51.16,49.77,50.9,267525
2021-03-16,50.14,50.18,48.87,49.42,263486
2021-03-17,49.28,49.78,48.15,49.46,249452
2021-03-18,48.96,48.96,46.46,46.46,495258
2021-03-19,46.72,47.97,46.13,47.27,302934
2021-03-22,47.15,47.45,46.62,46.93,221358
2021-03-23,46.06,47.0,45.58,46.13,221226
2021-03-24,47.41,48.06,46.69,46.8,254977
2021-03-25,45.95,47.66,44.97,47.43,185204
2021-03-26,48.28,48.62,47.51,48.4,174335
2021-03-29,47.71,48.06,46.81,47.03,196169
2021-03-30,46.61,47.67,46.44,47.09,205520
2021-03-31,47.16,47.34,46.73,47.06,129432
