date,open,high,low,close,volume
2019-01-03,107.33,107.33,107.33,107.33,100
2020-07-27,238.37,244.49,238.37,244.04,30507
2020-07-28,240.47,241.74,237.1,237.86,26241
2020-07-29,242.19,253.42,242.19,253.05,69558
2020-07-30,252.68,260.41,252.68,259.09,16605
2020-07-31,258.53,258.53,249.99,254.41,23135
2020-08-03,256.42,261.52,256.42,257.95,27458
2020-08-04,257.68,264.64,257.48,264.23,14665
2020-08-05,265.85,266.71,260.01,266.63,17450
2020-08-06,266.86,271.04,265.95,271.03,20105
2020-08-07,270.39,271.48,263.01,267.08,17430
2020-08-10,265.57,267.84,260.19,261.04,27596
2020-08-11,258.56,264.2,256.72,259.04,21747
2020-08-12,263.26,268.74,260.48,268.48,21572
2020-08-13,266.76,270.8,266.76,268.28,7396
2020-08-14,269.86,269.86,264.0,264.63,3875
2020-08-17,268.82,270.91,267.23,270.19,16324
2020-08-18,269.61,270.21,264.21,264.21,7067
2020-08-19,265.93,267.28,262.45,263.47,15080
2020-08-20,261.34,262.41,258.78,259.63,5992
2020-08-21,258.93,262.29,258.52,261.81,7018
2020-08-24,264.36,264.66,255.44,256.91,15682
2020-08-25,258.75,260.72,258.65,260.1,11973
2020-08-26,259.19,260.69,256.18,258.47,15464
2020-08-27,258.88,258.88,252.33,252.73,16541
2020-08-28,255.22,258.84,253.87,258.38,12383
2020-08-31,257.52,262.08,255.42,256.05,17342
2020-09-01,254.97,261.26,253.14,261.06,22241
2020-09-02,264.87,272.81,263.04,271.97,23582
2020-09-03,265.3,265.61,251.03,251.94,20082
2020-09-04,252.28,254.22,238.72,246.12,25587
2020-09-08,236.36,242.45,232.39,232.47,15270
2020-09-09,237.45,238.63,234.12,236.58,19726
2020-09-10,238.55,239.25,232.26,233.69,29182
2020-09-11,234.47,234.84,226.54,227.41,32163
2020-09-14,235.05,238.11,233.93,237.65,12451
2020-09-15,246.03,257.52,245.96,247.97,53199
2020-09-16,249.95,249.95,239.55,239.76,24567
2020-09-17,237.19,242.85,237.19,241.72,11092
2020-09-18,243.4,244.08,235.92,243.13,26338
2020-09-21,239.23,246.67,238.17,245.68,10572
2020-09-22,246.57,248.97,241.47,248.33,12434
2020-09-23,247.41,247.48,241.19,241.38,5841
2020-09-24,241.78,250.65,241.78,249.11,15518
2020-09-25,245.18,254.92,245.18,254.1,12088
2020-09-28,261.27,263.95,258.35,263.31,18019
2020-09-29,265.49,267.94,265.3,266.06,10973
2020-09-30,264.79,271.24,264.79,269.59,9136
2020-10-01,272.85,273.47,267.39,269.28,38134
2020-10-02,264.38,266.34,261.48,261.51,20933
2020-10-05,264.41,271.38,263.05,271.38,40651
2020-10-06,271.85,280.48,271.85,275.39,22723
2020-10-07,279.95,287.15,279.95,286.84,23922
2020-10-08,285.77,291.36,285.77,291.28,16561
2020-10-09,297.97,304.95,296.57,303.14,20153
2020-10-12,307.68,307.68,302.41,303.91,32421
2020-10-13,303.01,307.62,302.99,303.35,23163
2020-10-14,305.06,305.06,301.08,302.78,39491
2020-10-15,295.83,310.29,295.83,309.37,21055
2020-10-16,309.2,310.19,301.91,303.32,20018
2020-10-19,307.66,309.48,298.92,300.69,29272
2020-10-20,302.1,305.69,301.02,303.76,13451
2020-10-21,304.32,306.34,298.76,298.76,16160
2020-10-22,303.42,305.65,297.74,302.69,14813
2020-10-23,304.67,309.07,303.27,308.67,14821
2020-10-26,308.77,310.83,299.67,304.36,12154
2020-10-27,306.81,309.15,304.73,307.56,21854
2020-10-28,300.91,300.91,292.34,292.63,18104
2020-10-29,295.39,310.71,295.39,308.5,30357
2020-10-30,296.45,307.71,293.3,306.48,41472
2020-11-02,312.52,313.48,301.15,303.02,26186
2020-11-03,308.74,308.74,301.15,302.19,23928
2020-11-04,307.66,325.6,306.37,322.13,31638
2020-11-05,328.17,343.19,326.01,343.19,19562
2020-11-06,339.18,344.74,336.34,343.9,18192
2020-11-09,344.27,344.27,304.54,304.84,58847
2020-11-10,301.57,306.83,291.04,297.87,55530
2020-11-11,302.76,309.31,302.76,305.4,60653
2020-11-12,306.21,306.21,297.59,299.04,23503
2020-11-13,304.25,304.25,291.46,294.46,37113
2020-11-16,292.83,295.07,285.56,293.14,37252
2020-11-17,291.84,292.66,288.59,290.99,20167
2020-11-18,290.44,294.75,288.19,288.93,11452
2020-11-19,289.32,301.66,289.32,299.68,40189
2020-11-20,298.32,307.64,298.32,304.85,20424
2020-11-23,305.0,308.16,298.21,306.41,15907
2020-11-24,306.28,306.61,290.49,292.84,87579
2020-11-25,297.83,297.86,289.19,294.12,42260
2020-11-27,299.56,315.59,299.56,314.2,36446
2020-11-30,315.39,316.99,297.19,307.51,100153
2020-12-01,311.66,313.95,306.64,307.08,18743
2020-12-02,303.42,314.05,302.65,308.13,18196
2020-12-03,308.25,314.14,307.8,311.3,18132
2020-12-04,311.68,320.35,308.3,308.72,43302
2020-12-07,308.99,311.87,307.13,309.7,29154
