date,open,high,low,close,volume
2020-07-27,63.99,66.02,63.74,65.85,285820
2020-07-28,66.08,66.91,65.96,66.44,177234
2020-07-29,66.38,66.51,65.7,66.16,83348
2020-07-30,65.65,66.14,64.79,65.87,186845
2020-07-31,66.97,68.0,66.04,67.01,293464
2020-08-03,68.54,69.9,68.35,68.88,232314
2020-08-04,68.72,68.72,67.64,68.07,142021
2020-08-05,68.43,68.72,67.71,68.09,186111
2020-08-06,68.07,68.63,67.24,67.66,224772
2020-08-07,67.48,67.56,66.77,67.55,208177
2020-08-10,67.49,67.74,66.99,67.45,114657
2020-08-11,68.19,68.27,67.31,67.49,88428
2020-08-12,67.9,69.16,67.89,69.02,165684
2020-08-13,68.61,69.76,68.52,69.72,186526
2020-08-14,69.59,70.43,69.39,69.68,170614
2020-08-17,70.31,71.06,70.09,70.7,219437
2020-08-18,70.83,70.92,69.91,70.54,143143
2020-08-19,70.74,71.49,70.68,70.93,126766
2020-08-20,70.69,71.14,70.4,70.94,185017
2020-08-21,70.98,71.06,70.18,70.86,82309
2020-08-24,71.09,71.27,70.51,71.21,190297
2020-08-25,71.65,71.98,71.08,71.46,114664
2020-08-26,71.08,71.47,70.64,71.35,104403
2020-08-27,71.28,71.86,71.11,71.61,136328
2020-08-28,71.64,71.64,70.84,71.46,48233
2020-08-31,71.36,71.67,71.04,71.19,128176
2020-09-01,71.23,71.53,70.02,70.41,134418
2020-09-02,70.43,72.74,70.35,72.55,148290
2020-09-03,72.95,73.14,70.88,71.3,605507
2020-09-04,71.48,72.43,70.3,71.13,182162
2020-09-08,71.47,71.49,69.25,69.51,167007
2020-09-09,69.98,71.58,69.81,70.83,151968
2020-09-10,70.61,70.8,69.51,69.71,113542
2020-09-11,69.91,70.79,69.91,70.48,149278
2020-09-14,70.66,71.49,70.39,70.76,117971
2020-09-15,71.36,71.56,70.3,70.75,449438
2020-09-16,71.02,72.34,71.02,71.96,741362
2020-09-17,71.5,72.07,70.97,72.0,178912
2020-09-18,71.88,72.51,71.38,72.12,152449
2020-09-21,71.53,71.64,68.99,69.85,121421
2020-09-22,69.8,70.19,69.11,69.68,163697
2020-09-23,69.91,70.41,69.41,69.45,123257
