date,open,high,low,close,volume
2020-07-27,80.605,80.9,76.19,79.85,474574
2020-07-28,81.105,83.68,79.56,81.45,160951
2020-07-29,82.22,82.76,76.63,79.5,283916
2020-07-30,77.81,79.12,76.87,77.635,90875
2020-07-31,78.14,78.35,73.64,74.035,126370
2020-08-03,74.8,77.98,73.06,77.94,127762
2020-08-04,78.17,78.61,75.555,78.3,109515
2020-08-05,77.27,77.27,73.725,75.77,316847
2020-08-06,75.72,76.125,73.14,73.67,148042
2020-08-07,74.14,75.29,73.24,74.03,92526
2020-08-10,74.48,74.83,71.465,72.035,92558
2020-08-11,69.735,71.37,67.17,68.99,144947
2020-08-12,75.745,75.745,68.4,69.565,904575
2020-08-13,69.03,69.08,67.095,67.83,179721
2020-08-14,68.545,70.34,67.93,69.23,119347
2020-08-17,69.08,70.705,68.425,69.74,81878
2020-08-18,68.23,69.56,65.395,67.16,99846
2020-08-19,67.51,69.09,66.98,68.0,103756
2020-08-20,67.66,67.88,66.64,67.88,87983
2020-08-21,67.45,67.91,65.66,66.505,63257
2020-08-24,67.34,67.76,62.9,64.9,252438
2020-08-25,64.365,66.66,63.58,66.25,53451
2020-08-26,67.41,71.55,66.16,70.47,337545
2020-08-27,69.995,70.32,67.065,68.035,148692
2020-08-28,68.43,68.85,67.16,67.49,63709
2020-08-31,67.06,67.06,62.555,64.95,199063
2020-09-01,63.56,64.39,62.56,63.28,107786
2020-09-02,62.915,64.86,61.5,64.74,72392
2020-09-03,65.755,69.32,64.32,64.89,106117
2020-09-04,64.0,64.695,59.07,62.69,106876
2020-09-08,57.12,58.445,54.295,54.34,339484
2020-09-09,55.76,57.155,54.515,56.905,192835
2020-09-10,57.15,60.305,57.15,57.65,63716
2020-09-11,58.37,59.49,57.53,59.38,66567
2020-09-14,60.245,63.85,60.245,63.72,170896
2020-09-15,65.17,68.285,64.28,66.99,159051
2020-09-16,67.64,69.98,67.1,68.82,94821
2020-09-17,68.27,70.78,64.73,67.87,118779
2020-09-18,68.32,69.98,66.22,69.83,55536
2020-09-21,68.57,69.465,65.49,69.28,65608
2020-09-22,67.6,69.18,66.685,68.64,104231
2020-09-23,67.865,68.565,65.77,67.21,170541
2020-09-24,65.66,66.715,63.69,65.135,60929
2020-09-25,65.76,69.7,65.76,69.45,100210
2020-09-28,69.75,71.38,69.15,70.61,173751
2020-09-29,70.46,71.27,69.71,70.49,157135
2020-09-30,72.51,75.25,70.19,70.72,372156
2020-10-01,69.51,70.2,68.19,70.02,249156
2020-10-02,67.98,72.7,67.3,68.89,194916
2020-10-05,69.5,72.0,69.06,72.0,177480
2020-10-06,71.965,73.9,70.32,71.08,190959
2020-10-07,71.19,73.24,70.97,72.44,113130
2020-10-08,73.18,73.73,72.04,72.91,97661
2020-10-09,73.305,73.64,72.445,73.0,178511
2020-10-12,73.53,75.83,72.97,75.37,480708
2020-10-13,75.8,81.36,75.62,78.27,511769
2020-10-14,79.855,79.855,76.36,76.55,273647
2020-10-15,75.4,76.48,73.76,75.6,292337
2020-10-16,76.075,76.92,73.71,73.96,282476
2020-10-19,74.025,74.025,70.58,70.93,218893
2020-10-20,72.1,73.1,70.72,71.335,183357
2020-10-21,71.16,71.47,68.065,68.37,166949
2020-10-22,68.61,72.48,68.45,70.81,218385
2020-10-23,72.26,72.26,68.82,70.5,191387
2020-10-26,70.36,71.31,68.78,70.11,118738
2020-10-27,70.365,71.34,68.84,70.68,122812
2020-10-28,68.95,69.45,65.5,65.82,210320
2020-10-29,68.4,74.49,66.3,71.29,502409
2020-10-30,70.75,71.49,66.89,67.485,256650
2020-11-02,68.08,68.275,66.58,67.07,174872
2020-11-03,66.87,69.23,66.66,69.03,256447
2020-11-04,69.06,71.55,69.06,69.765,236466
2020-11-05,71.095,71.58,70.17,71.47,193730
2020-11-06,71.43,74.14,70.9,72.42,176539
2020-11-09,77.81,80.185,75.53,77.84,521565
2020-11-10,80.18,80.24,73.54,76.06,300186
2020-11-11,77.01,83.96,76.21,82.33,623537
2020-11-12,84.93,87.92,83.905,87.81,580354
2020-11-13,86.96,90.5,85.27,89.4,350232
2020-11-16,100.35,100.45,93.34,98.0,1630581
2020-11-17,97.23,97.74,91.65,93.11,553949
2020-11-18,93.85,93.85,88.65,88.92,510465
2020-11-19,89.89,94.605,89.55,92.79,292993
2020-11-20,94.83,98.41,94.82,97.57,280078
2020-11-23,100.98,101.71,98.65,101.03,514342
2020-11-24,98.23,99.81,93.62,98.46,297807
2020-11-25,99.03,109.29,98.83,109.185,395867
2020-11-27,115.08,129.98,114.925,126.96,691516
2020-11-30,143.88,153.85,141.07,152.95,1305942
2020-12-01,177.69,178.46,130.37,141.01,2433030
2020-12-02,138.63,149.66,128.19,142.7,576665
2020-12-03,143.55,159.04,143.165,157.43,585620
2020-12-04,157.655,157.655,148.52,152.61,374500
2020-12-07,154.97,163.96,153.01,159.495,396095
2020-12-08,165.61,170.43,164.31,169.84,401970
2020-12-09,170.2,170.79,147.215,156.77,538166
2020-12-10,150.53,159.235,148.095,156.005,247317
2020-12-11,159.745,163.71,156.01,156.78,304553
2020-12-14,163.41,163.65,153.03,155.02,310219
2020-12-15,156.895,156.895,142.585,147.25,428120
2020-12-16,137.52,141.33,134.63,136.96,550741
2020-12-17,138.1,146.9,137.5,143.845,459994
2020-12-18,141.62,144.88,135.09,140.38,603587
2020-12-21,140.4,147.2,137.83,138.24,902693
2020-12-22,138.765,141.345,123.03,125.84,471845
2020-12-23,120.05,131.9,115.01,130.405,600605
2020-12-24,125.9,129.65,123.03,123.275,166418
2020-12-28,120.4,122.6,111.07,111.36,542930
2020-12-29,107.77,116.23,106.99,114.47,426501
2020-12-30,118.4,118.92,108.875,111.03,340984
2020-12-31,110.57,113.55,102.7,104.44,339774
