date,open,high,low,close,volume
2020-07-27,363.48,371.23,363.48,370.07,10362
2020-07-28,372.77,372.77,350.68,353.68,29339
2020-07-29,355.71,363.45,355.36,359.77,24777
2020-07-30,357.84,357.84,348.82,351.68,30050
2020-07-31,352.44,353.25,346.84,353.16,29085
2020-08-03,358.82,358.89,348.97,349.25,18062
2020-08-04,347.92,347.92,337.38,341.9,18040
2020-08-05,341.53,342.62,338.87,342.33,11587
2020-08-06,343.65,351.6,341.57,349.91,38623
2020-08-07,349.35,351.64,336.71,339.95,19592
2020-08-10,338.74,338.74,331.74,332.93,18119
2020-08-11,328.51,335.7,324.88,328.92,58953
2020-08-12,333.47,340.13,332.99,333.46,28891
2020-08-13,336.16,341.56,336.16,339.53,11134
2020-08-14,340.37,340.37,334.03,334.81,15775
2020-08-17,339.67,343.5,339.67,340.34,15513
2020-08-18,342.34,346.28,340.63,345.29,10781
2020-08-19,349.66,350.51,346.35,349.45,14283
2020-08-20,345.93,351.1,344.42,347.64,18048
2020-08-21,345.7,345.7,340.24,342.47,19800
2020-08-24,345.69,345.69,339.94,342.3,7500
2020-08-25,341.12,345.0,341.11,343.99,24902
2020-08-26,342.36,351.63,342.22,349.25,11589
2020-08-27,348.79,351.82,347.55,348.48,13251
2020-08-28,350.31,351.52,348.59,351.49,8250
2020-08-31,354.23,354.87,349.75,351.55,13747
2020-09-01,352.32,356.11,350.83,354.45,17067
2020-09-02,356.78,358.89,354.41,356.33,90089
2020-09-03,351.19,351.19,331.8,339.51,39455
2020-09-04,337.88,340.62,319.76,328.1,23717
2020-09-08,318.0,325.42,317.74,319.49,17106
2020-09-09,326.35,331.34,322.93,328.11,49078
2020-09-10,329.41,331.69,322.4,323.48,13856
2020-09-11,324.16,327.35,317.5,319.14,27254
2020-09-14,323.19,326.16,319.45,322.38,57136
2020-09-15,324.91,327.91,324.35,325.77,20472
2020-09-16,328.32,328.77,324.12,324.12,20183
2020-09-17,320.4,324.87,318.43,320.24,17347
2020-09-18,324.29,327.58,321.4,324.57,14053
2020-09-21,322.27,331.16,321.13,331.16,20694
2020-09-22,330.24,330.88,323.95,330.5,22539
2020-09-23,328.51,331.98,325.08,325.08,13407
2020-09-24,324.67,329.38,323.88,325.74,24177
2020-09-25,324.67,333.8,321.97,332.27,20564
2020-09-28,335.55,335.72,329.24,333.66,20406
2020-09-29,336.98,338.16,334.14,335.53,24916
2020-09-30,335.14,341.03,333.11,335.85,36557
2020-10-01,340.71,346.28,336.62,338.2,29013
2020-10-02,335.94,337.19,327.21,327.32,21181
2020-10-05,330.15,332.08,327.7,330.29,44625
2020-10-06,333.45,333.45,325.13,327.73,25674
2020-10-07,330.28,330.71,322.41,322.56,37663
2020-10-08,323.28,328.44,322.41,326.11,32218
2020-10-09,326.75,333.84,326.75,330.79,19181
2020-10-12,333.89,334.46,329.58,331.64,30574
2020-10-13,332.18,339.88,332.18,338.59,35605
2020-10-14,339.78,342.85,336.38,338.36,26311
2020-10-15,334.11,341.63,333.42,339.99,23082
2020-10-16,342.96,347.37,342.96,343.92,19536
2020-10-19,345.73,348.49,340.86,340.95,25879
2020-10-20,340.56,341.63,337.01,337.11,51582
2020-10-21,339.3,341.94,329.26,329.26,35052
2020-10-22,330.79,332.33,326.16,327.21,47343
2020-10-23,326.75,330.73,326.75,329.8,47200
2020-10-26,327.05,329.67,325.22,329.58,42918
2020-10-27,333.13,339.48,328.23,335.91,65662
2020-10-28,327.95,328.83,318.92,321.23,52448
2020-10-29,322.62,327.89,316.33,325.13,36346
2020-10-30,324.3,330.77,324.3,329.07,44323
2020-11-02,336.21,344.22,331.03,334.99,38801
2020-11-03,338.73,350.06,337.98,347.29,56290
2020-11-04,355.96,375.79,352.88,374.57,86255
2020-11-05,378.09,393.9,377.11,393.27,95029
2020-11-06,393.12,401.43,383.24,396.56,60374
2020-11-09,408.66,411.25,368.2,368.45,114462
2020-11-10,366.33,368.48,351.62,357.41,96696
2020-11-11,359.9,378.66,359.2,373.54,39828
2020-11-12,373.02,373.82,365.67,367.07,27624
2020-11-13,368.58,369.77,364.39,366.46,34212
2020-11-16,367.55,375.49,362.52,374.72,40541
2020-11-17,371.79,381.46,371.38,380.54,27380
2020-11-18,380.18,383.91,376.92,377.55,25406
2020-11-19,375.06,378.23,373.72,378.02,28677
2020-11-20,380.35,385.85,377.23,377.23,17103
2020-11-23,379.59,385.0,375.98,378.7,18638
2020-11-24,378.85,379.58,373.08,376.86,29651
