date,open,high,low,close,volume
2020-07-27,191.48,193.85,190.99,193.75,323083
2020-07-28,193.36,194.54,191.92,192.14,227550
2020-07-29,192.59,194.51,192.09,194.05,316202
2020-07-30,191.14,194.22,189.83,193.77,287683
2020-07-31,194.5,194.85,189.2,194.85,823759
2020-08-03,201.18,206.85,200.07,205.89,733868
2020-08-04,203.63,204.13,199.96,202.77,429550
2020-08-05,204.27,204.3,201.11,202.45,422023
2020-08-06,201.96,205.65,201.2,205.61,523750
2020-08-07,204.2,205.01,200.54,201.97,254662
2020-08-10,200.92,200.92,196.17,197.87,698144
2020-08-11,196.9,197.35,193.13,193.49,500769
2020-08-12,195.1,199.82,194.91,198.9,319191
2020-08-13,199.28,200.87,197.92,198.31,353779
2020-08-14,198.45,199.03,197.31,198.53,138405
2020-08-17,199.15,200.73,198.61,199.79,210518
2020-08-18,200.17,201.81,198.93,201.07,267477
2020-08-19,201.64,202.09,199.53,199.92,356939
2020-08-20,199.65,204.85,199.1,204.42,552706
2020-08-21,203.42,206.01,202.84,203.11,356777
2020-08-24,204.67,205.28,202.46,203.62,554781
2020-08-25,203.12,206.29,203.09,206.26,331139
2020-08-26,207.59,211.6,207.1,210.71,532468
2020-08-27,212.36,220.19,209.04,216.06,1068554
2020-08-28,217.31,219.68,216.02,218.24,278620
2020-08-31,216.06,217.8,213.86,214.38,443658
2020-09-01,214.9,216.66,213.94,216.66,451581
2020-09-02,217.15,221.86,216.68,220.55,823689
2020-09-03,218.25,218.28,204.86,207.17,852756
2020-09-04,205.1,208.0,195.65,204.32,633450
2020-09-08,196.81,200.07,192.82,193.18,905292
2020-09-09,198.1,204.68,197.04,201.21,691481
2020-09-10,203.35,204.42,194.59,195.37,379050
2020-09-11,197.46,198.57,191.8,194.5,286185
2020-09-14,194.68,199.26,194.46,195.6,364344
2020-09-15,198.42,199.76,197.28,198.98,206707
2020-09-16,200.64,200.64,195.17,195.28,294078
2020-09-17,190.65,194.62,190.56,193.41,436711
2020-09-18,193.28,193.92,187.33,190.73,517515
2020-09-21,187.68,193.04,187.14,192.95,450117
2020-09-22,195.41,198.23,192.54,197.47,480574
2020-09-23,197.99,198.26,190.61,191.27,282824
2020-09-24,190.52,195.8,189.82,193.5,284596
2020-09-25,193.89,199.12,193.01,197.96,495555
2020-09-28,201.06,202.52,198.31,199.61,486482
2020-09-29,199.6,200.13,197.08,197.61,709189
2020-09-30,197.92,201.96,196.81,200.33,224502
2020-10-01,203.34,203.88,201.4,202.61,871305
2020-10-02,198.23,201.03,195.87,196.44,807629
2020-10-05,197.45,200.47,197.27,200.31,578416
2020-10-06,199.04,200.26,195.15,196.39,805252
2020-10-07,197.55,200.08,196.98,199.81,766598
2020-10-08,200.64,201.2,198.59,200.7,743279
2020-10-09,201.47,205.65,201.35,205.61,998891
2020-10-12,208.36,213.28,206.62,210.91,1504570
2020-10-13,211.97,214.45,210.11,212.49,914627
2020-10-14,212.59,213.63,208.8,210.3,741654
2020-10-15,206.65,209.95,205.87,209.27,654940
2020-10-16,209.77,211.8,208.98,209.34,756806
2020-10-19,210.03,211.77,203.63,204.17,785227
2020-10-20,205.7,207.07,203.04,204.61,800309
2020-10-21,203.29,206.68,203.25,204.65,614572
2020-10-22,203.94,205.67,201.72,204.6,645619
2020-10-23,204.93,206.04,203.13,205.95,709191
2020-10-26,203.71,206.07,198.31,200.2,1345405
2020-10-27,201.75,204.53,200.41,203.22,1110496
2020-10-28,197.87,198.92,192.58,192.81,2091240
2020-10-29,194.47,197.55,193.79,195.05,985545
2020-10-30,193.95,194.64,190.22,193.31,1302638
2020-11-02,194.8,195.57,190.69,192.79,1063942
2020-11-03,194.26,198.28,193.55,196.74,996028
2020-11-04,203.88,207.99,202.42,206.22,1292637
2020-11-05,211.42,213.52,210.75,212.93,1131311
2020-11-06,211.71,213.69,207.77,212.77,787651
2020-11-09,213.77,217.31,207.71,208.06,1298990
2020-11-10,204.31,206.19,199.82,201.03,1966396
2020-11-11,202.6,207.73,202.18,206.42,1040599
2020-11-12,206.92,208.76,204.43,205.38,662996
2020-11-13,206.43,207.12,204.11,206.28,601841
2020-11-16,204.73,207.38,204.45,207.17,769675
2020-11-17,206.13,207.36,203.99,204.36,573815
2020-11-18,204.07,205.52,201.66,201.68,797868
2020-11-19,201.91,203.47,200.54,203.14,588818
2020-11-20,202.68,203.73,200.91,200.97,578232
2020-11-23,201.51,202.79,198.87,200.94,805891
2020-11-24,200.63,204.63,199.55,204.31,732904
2020-11-25,205.6,205.61,202.99,204.24,456906
2020-11-27,205.24,206.57,204.51,205.52,339534
2020-11-30,204.51,205.12,201.41,204.87,892342
2020-12-01,204.93,207.58,203.85,206.58,1032897
2020-12-02,205.27,205.76,203.29,205.76,974538
2020-12-03,205.14,206.7,204.12,204.74,687616
2020-12-04,204.57,205.74,203.66,204.81,773286
2020-12-07,204.81,205.85,203.5,204.69,574576
2020-12-08,204.43,207.25,203.39,206.51,557836
2020-12-09,205.6,205.6,201.78,202.07,835780
2020-12-10,202.01,203.5,200.96,201.1,592572
2020-12-11,200.53,203.76,199.78,203.71,603814
2020-12-14,203.57,206.51,203.42,204.51,800874
2020-12-15,205.49,205.69,202.77,204.55,1190507
2020-12-16,205.26,210.27,205.2,209.24,657187
2020-12-17,209.99,210.98,208.19,209.67,696685
2020-12-18,209.02,209.82,206.43,209.07,1148404
2020-12-21,207.8,213.98,207.61,212.65,913285
2020-12-22,212.61,215.47,212.33,213.87,661949
2020-12-23,213.19,213.5,211.17,211.17,398125
