date,open,high,low,close,volume
2020-07-27,131.93,133.5,131.72,132.08,39059
2020-07-28,130.82,131.1,126.37,127.29,83930
2020-07-29,129.1,130.76,128.94,130.46,24989
2020-07-30,127.75,129.68,126.66,129.57,25043
2020-07-31,128.7,130.13,127.63,130.08,28620
2020-08-03,130.27,131.09,127.93,128.08,39739
2020-08-04,129.07,129.37,127.33,128.03,59952
2020-08-05,129.04,129.86,127.94,128.69,152618
2020-08-06,128.72,134.04,128.72,134.04,86287
2020-08-07,137.63,141.01,132.14,134.3,133106
2020-08-10,133.82,134.26,131.26,132.36,55148
2020-08-11,132.24,133.55,130.55,133.0,50947
2020-08-12,132.92,135.97,132.81,134.89,71956
2020-08-13,133.86,136.28,132.87,135.79,32860
2020-08-14,134.83,135.48,133.96,135.33,28987
2020-08-17,136.03,137.14,135.93,137.14,37781
2020-08-18,137.45,139.47,137.31,139.42,92823
2020-08-19,139.59,140.94,139.45,140.03,40065
2020-08-20,138.26,141.15,138.26,141.14,30699
2020-08-21,140.51,141.49,139.93,141.36,27452
2020-08-24,141.32,143.3,140.99,143.21,31576
2020-08-25,143.65,144.37,143.47,144.06,11710
2020-08-26,144.23,144.23,142.1,142.61,19106
2020-08-27,143.46,143.64,140.88,141.28,40560
2020-08-28,141.81,143.27,141.8,142.99,28849
2020-08-31,142.09,144.49,141.94,144.2,27246
2020-09-01,143.36,143.49,142.2,143.19,54522
2020-09-02,143.08,146.99,142.98,146.3,37934
2020-09-03,145.27,145.83,141.65,142.93,24924
2020-09-04,143.61,144.5,140.84,142.51,49873
2020-09-08,140.54,143.29,140.01,141.92,82236
2020-09-09,143.1,144.53,142.3,142.94,34301
2020-09-10,143.3,144.23,139.65,140.02,48189
2020-09-11,141.41,143.58,141.25,143.08,29474
2020-09-14,144.05,146.63,144.05,145.87,51968
2020-09-15,146.92,147.21,146.16,146.56,37829
2020-09-16,147.28,148.38,146.79,146.79,26733
2020-09-17,145.66,148.03,145.66,147.82,40819
2020-09-18,147.15,147.89,145.63,147.08,26472
2020-09-21,143.92,144.4,141.52,142.61,38125
2020-09-22,143.03,147.08,142.5,146.85,40810
2020-09-23,147.09,147.38,142.15,142.15,43210
2020-09-24,141.51,142.81,140.13,141.72,42546
2020-09-25,141.0,144.38,141.0,144.06,12404
2020-09-28,145.32,147.88,145.32,146.44,42618
2020-09-29,147.1,148.56,147.1,147.29,19474
2020-09-30,146.76,147.68,146.09,146.67,29024
2020-10-01,147.37,148.29,145.31,146.54,60684
2020-10-02,143.79,147.27,143.79,146.6,49828
2020-10-05,147.75,148.27,146.39,147.24,53034
2020-10-06,147.45,148.77,146.54,146.9,41763
2020-10-07,147.79,149.94,147.57,149.8,36378
2020-10-08,151.16,152.81,151.16,152.1,46641
2020-10-09,154.08,156.2,154.08,155.95,63518
2020-10-12,156.35,157.72,155.17,157.38,41956
2020-10-13,157.27,158.4,154.88,155.53,51462
2020-10-14,156.58,157.59,155.42,155.92,26535
2020-10-15,155.56,163.49,155.56,160.46,155352
2020-10-16,160.2,161.46,159.04,159.92,132936
2020-10-19,160.26,161.99,158.66,158.96,45711
2020-10-20,158.74,159.99,157.82,157.82,76183
2020-10-21,158.86,160.55,158.41,159.59,39701
2020-10-22,159.58,160.17,157.85,158.0,45859
2020-10-23,161.44,165.25,161.13,163.43,84624
2020-10-26,160.92,161.52,158.38,161.03,48900
2020-10-27,160.86,163.74,160.72,161.31,76402
2020-10-28,158.07,159.26,153.72,153.75,102933
2020-10-29,153.7,154.22,150.45,152.23,86276
2020-10-30,149.78,150.81,146.15,147.29,99170
2020-11-02,150.61,153.99,149.58,152.75,53985
2020-11-03,155.04,158.1,154.71,155.12,38081
2020-11-04,155.19,155.36,149.7,149.8,63560
2020-11-05,151.8,154.66,150.02,150.45,90996
2020-11-06,151.35,154.92,150.76,153.66,50109
2020-11-09,159.98,164.2,158.82,159.28,68193
2020-11-10,158.69,158.88,155.22,155.89,74725
2020-11-11,157.61,158.83,156.5,158.67,28147
2020-11-12,157.2,158.31,155.62,156.41,30445
2020-11-13,158.78,160.76,157.66,159.45,31867
2020-11-16,161.42,162.4,160.13,162.36,29465
2020-11-17,161.61,161.61,158.4,158.4,63041
2020-11-18,158.51,159.04,156.33,156.57,39249
2020-11-19,155.14,158.07,154.96,158.07,20100
2020-11-20,158.18,159.42,156.08,156.31,41092
2020-11-23,156.72,158.69,155.3,158.28,36812
2020-11-24,159.57,161.23,159.37,160.56,44121
2020-11-25,160.87,163.8,160.3,160.83,58479
