date,open,high,low,close,volume
2020-07-27,85.44,85.74,84.24,84.98,20029
2020-07-28,84.72,85.44,84.47,84.82,36705
2020-07-29,84.78,88.64,83.81,88.29,88449
2020-07-30,85.45,87.67,83.56,87.3,135058
2020-07-31,86.29,87.59,85.23,87.45,123305
2020-08-03,86.26,87.66,85.17,86.64,52949
2020-08-04,86.53,86.53,85.36,85.86,25657
2020-08-05,86.83,87.14,85.65,86.33,61032
2020-08-06,85.95,87.19,84.84,85.43,44928
2020-08-07,84.88,88.8,84.87,88.8,74075
2020-08-10,89.19,90.76,88.73,90.03,33168
2020-08-11,93.84,94.15,91.4,91.95,40473
2020-08-12,93.49,93.49,89.68,91.15,35741
2020-08-13,89.18,90.33,88.58,89.0,36020
2020-08-14,88.3,90.98,87.99,90.16,30618
2020-08-17,89.05,89.29,87.77,87.95,20242
2020-08-18,87.74,87.81,86.03,86.19,27292
2020-08-19,86.36,87.42,85.89,86.17,37606
2020-08-20,84.8,84.82,83.17,83.91,39700
2020-08-21,84.26,84.76,83.61,84.54,29861
2020-08-24,84.7,87.34,84.56,87.28,38044
2020-08-25,88.24,88.64,85.89,87.46,49632
2020-08-26,86.16,86.68,85.56,85.61,38459
2020-08-27,86.2,87.88,86.2,87.41,24688
2020-08-28,87.93,88.11,87.02,87.8,31398
2020-08-31,87.08,87.75,86.04,86.18,25246
2020-09-01,85.16,87.44,84.82,86.27,24482
2020-09-02,85.59,87.45,85.17,86.87,41312
2020-09-03,87.86,90.31,85.87,86.53,45242
2020-09-04,87.85,89.5,86.1,88.33,43355
2020-09-08,87.52,87.7,84.73,85.22,47594
2020-09-09,85.08,85.39,83.77,84.4,15898
2020-09-10,84.89,85.44,82.39,82.59,38642
2020-09-11,82.9,84.9,82.82,84.8,80429
2020-09-14,85.44,88.24,85.44,86.95,36843
2020-09-15,86.42,86.82,84.87,86.61,27350
2020-09-16,85.76,88.71,85.62,85.99,90466
2020-09-17,84.82,85.99,84.82,85.41,33363
2020-09-18,85.13,86.17,84.51,84.85,70663
2020-09-21,82.58,83.63,79.55,80.51,29337
2020-09-22,80.32,81.19,77.02,77.72,66202
2020-09-23,78.66,79.9,75.71,75.74,42969
2020-09-24,75.53,76.85,74.29,75.04,31781
