date,open,high,low,close,volume
2020-07-27,88.23,90.52,88.23,88.62,137647
2020-07-28,88.57,98.3,88.52,95.06,721243
2020-07-29,96.31,99.87,95.78,99.16,363313
2020-07-30,98.17,100.67,98.17,98.81,229062
2020-07-31,99.96,100.03,98.03,99.01,104625
2020-08-03,100.19,106.99,100.17,106.55,236072
2020-08-04,105.83,106.44,102.32,103.78,152057
2020-08-05,112.77,118.41,111.38,116.52,348134
2020-08-06,113.44,113.82,109.94,110.04,223792
2020-08-07,109.92,112.18,109.22,111.75,221416
2020-08-10,112.63,115.18,109.04,111.72,250432
2020-08-11,111.47,114.21,111.01,111.56,176270
2020-08-12,111.67,113.88,111.63,111.89,106515
2020-08-13,113.37,113.94,112.65,113.39,113699
2020-08-14,113.63,117.22,113.56,114.77,78291
2020-08-17,114.28,114.46,109.68,110.15,341572
2020-08-18,111.06,112.38,110.2,111.26,298943
2020-08-19,111.47,114.35,110.04,110.18,230203
2020-08-20,109.81,110.95,108.37,109.04,47725
2020-08-21,109.55,110.69,108.5,108.67,81886
2020-08-24,109.56,110.96,107.19,108.04,114112
2020-08-25,106.73,108.58,106.01,108.48,107621
2020-08-26,108.55,110.05,107.25,108.64,67327
2020-08-27,108.75,109.34,107.55,107.68,94917
2020-08-28,108.14,109.62,106.12,107.66,89259
2020-08-31,108.09,108.33,106.65,107.9,194002
2020-09-01,108.18,111.1,108.18,109.42,259167
2020-09-02,110.34,113.51,109.25,113.34,199515
2020-09-03,110.28,110.28,105.22,106.75,193875
2020-09-04,104.66,107.1,98.54,102.27,106341
2020-09-08,97.67,101.88,97.19,98.5,111186
2020-09-09,100.81,102.89,98.91,101.91,136553
2020-09-10,102.83,104.56,100.79,101.9,77960
2020-09-11,102.28,102.9,98.21,100.18,109872
2020-09-14,102.36,105.39,102.18,104.64,295923
2020-09-15,106.0,107.76,105.15,107.18,394186
2020-09-16,106.73,107.53,104.09,104.61,535941
2020-09-17,103.72,104.56,102.08,103.79,91074
2020-09-18,103.72,105.73,102.09,104.7,105416
2020-09-21,102.95,103.5,100.63,103.14,118651
2020-09-22,104.15,104.76,101.98,102.87,178486
2020-09-23,103.17,103.37,98.91,99.42,133268
2020-09-24,97.5,101.44,97.13,99.79,111961
2020-09-25,99.85,103.75,99.44,102.11,122916
2020-09-28,103.79,105.96,103.08,104.82,194137
2020-09-29,103.78,105.58,103.19,105.41,140298
2020-09-30,105.37,107.91,105.36,106.91,153757
2020-10-01,108.67,112.48,108.67,112.12,295487
2020-10-02,109.62,111.87,107.84,108.19,132027
2020-10-05,109.19,111.1,107.8,110.18,89590
2020-10-06,110.29,111.8,108.97,110.42,108030
2020-10-07,110.93,111.48,108.3,110.52,147347
2020-10-08,111.74,113.16,109.22,109.42,123100
2020-10-09,109.77,110.38,107.79,108.39,115294
2020-10-12,108.78,109.48,105.14,106.35,121737
2020-10-13,108.11,109.4,106.56,107.31,159959
2020-10-14,107.64,108.56,105.52,106.01,75008
2020-10-15,104.37,108.15,103.57,107.32,110490
2020-10-16,108.26,109.07,106.6,108.37,72177
2020-10-19,108.37,111.51,107.96,109.09,133168
2020-10-20,109.39,112.47,109.39,110.85,88669
2020-10-21,111.92,114.99,111.92,113.92,209446
2020-10-22,113.43,113.89,110.7,112.5,84299
2020-10-23,113.39,116.16,112.6,116.14,109273
2020-10-26,115.76,117.59,113.73,115.22,198159
2020-10-27,115.89,122.92,115.54,121.42,357190
2020-10-28,118.94,119.11,114.06,114.38,149698
2020-10-29,115.35,119.35,114.96,118.01,111627
2020-10-30,116.72,118.99,112.3,112.71,154453
2020-11-02,113.78,117.13,112.72,114.72,198431
2020-11-03,114.4,118.86,113.63,117.62,301246
2020-11-04,120.5,124.8,118.14,124.31,394538
2020-11-05,127.41,133.54,125.11,130.34,421510
2020-11-06,130.9,130.9,125.68,127.72,223291
2020-11-09,132.51,136.75,129.97,132.4,389195
2020-11-10,131.82,133.88,126.72,127.45,180241
2020-11-11,128.5,132.55,128.5,128.79,140139
2020-11-12,129.0,130.66,125.93,126.57,76494
2020-11-13,128.14,128.14,124.9,127.11,95496
2020-11-16,129.26,132.41,127.62,130.02,132961
2020-11-17,130.47,130.47,126.2,126.83,95475
2020-11-18,129.21,129.28,125.24,126.71,67211
2020-11-19,126.08,130.35,126.04,127.85,97017
2020-11-20,127.42,130.1,125.92,126.03,75717
2020-11-23,127.4,134.24,127.4,133.49,150789
2020-11-24,132.19,134.06,130.81,133.82,82029
2020-11-25,134.65,136.48,132.12,134.23,69242
2020-11-27,135.03,137.95,133.15,134.67,76061
2020-11-30,134.17,134.93,130.87,134.45,92271
2020-12-01,136.39,138.77,136.07,138.33,102735
2020-12-02,137.07,137.07,133.16,134.01,87878
2020-12-03,133.5,137.69,133.35,135.34,92522
2020-12-04,135.52,141.02,135.52,140.21,124496
2020-12-07,139.53,141.54,137.98,141.06,89639
2020-12-08,141.25,142.26,139.3,140.32,84566
2020-12-09,141.41,143.47,137.79,138.6,122188
2020-12-10,138.49,142.95,136.82,142.26,334589
2020-12-11,141.66,143.33,139.84,142.98,319554
2020-12-14,144.39,145.14,139.63,139.63,343993
2020-12-15,141.41,145.87,140.73,145.48,346849
2020-12-16,146.91,149.49,146.7,148.82,139873
2020-12-17,150.23,153.96,143.3,143.39,277788
2020-12-18,145.64,150.69,145.27,149.79,361319
2020-12-21,147.88,149.88,143.55,148.66,161406
2020-12-22,149.03,152.83,148.06,150.49,98396
2020-12-23,151.52,151.58,147.87,148.13,63040
2020-12-24,148.32,148.32,146.15,146.7,181125
2020-12-28,148.78,148.78,141.73,144.81,383110
2020-12-29,145.75,145.87,143.22,145.08,148143
2020-12-30,146.49,147.35,145.14,146.75,72044
2020-12-31,145.91,146.43,144.16,145.96,85751
2021-01-04,147.68,148.57,142.31,144.69,149935
2021-01-05,143.62,146.4,143.62,145.01,48808
2021-01-06,143.17,145.15,142.13,143.76,100191
2021-01-07,144.69,147.71,144.69,147.44,84285
2021-01-08,148.86,148.86,143.67,146.56,79216
2021-01-11,145.47,147.98,143.51,146.59,64154
2021-01-12,146.58,148.69,145.53,148.47,85486
2021-01-13,148.77,154.07,148.25,149.64,98812
2021-01-14,151.46,152.51,143.07,143.52,107800
2021-01-15,143.96,146.8,140.07,145.71,229659
2021-01-19,146.55,146.81,139.08,141.04,202345
2021-01-20,142.28,143.43,141.26,142.61,213695
2021-01-21,143.68,144.12,138.45,139.34,115869
2021-01-22,139.17,139.17,134.7,136.06,170424
2021-01-25,136.97,137.32,128.98,134.26,333764
2021-01-26,135.29,137.35,132.92,133.51,118899
2021-01-27,130.44,132.78,125.58,127.0,259759
2021-01-28,128.15,141.55,128.15,136.54,213404
