date,open,high,low,close,volume
2020-07-27,875.565,892.22,875.565,892.22,4532
2020-07-28,903.475,903.475,880.03,884.155,8043
2020-07-29,887.635,906.435,887.635,898.7,7911
2020-07-30,891.59,900.6,882.135,900.485,16402
2020-07-31,916.485,953.38,916.485,934.375,11717
2020-08-03,931.03,932.13,916.21,926.6,9253
2020-08-04,920.365,934.43,920.365,927.78,7342
2020-08-05,943.575,954.21,937.91,944.87,4859
2020-08-06,936.46,939.05,926.06,937.565,3169
2020-08-07,932.96,946.02,932.96,944.0,4300
2020-08-10,944.105,950.535,942.75,944.565,2878
2020-08-11,944.655,954.08,944.655,950.205,3484
2020-08-12,951.0,973.965,951.0,973.495,4643
2020-08-13,969.45,974.03,969.45,974.03,3325
2020-08-14,971.095,971.095,957.34,961.67,1939
2020-08-17,967.155,968.59,958.55,960.195,4288
2020-08-18,955.52,967.31,955.52,963.425,5725
2020-08-19,960.995,980.51,960.57,974.845,2705
2020-08-20,964.325,965.32,956.475,959.26,5043
2020-08-21,958.155,958.155,947.25,955.25,4964
2020-08-24,962.35,962.35,945.52,948.35,5421
2020-08-25,956.94,968.57,956.6,966.11,2695
2020-08-26,968.42,977.685,968.42,969.6,2292
2020-08-27,963.16,974.78,959.955,972.045,3894
2020-08-28,971.435,971.435,957.62,966.865,3819
2020-08-31,969.63,978.165,969.63,970.35,3070
2020-09-01,968.61,980.03,968.61,973.965,4367
2020-09-02,979.135,1007.275,976.21,1007.275,5351
2020-09-03,980.215,981.195,958.28,962.9,5269
2020-09-04,967.42,967.42,934.08,949.815,3316
2020-09-08,929.6,953.535,927.795,948.34,6175
2020-09-09,976.16,989.815,976.16,977.49,4178
2020-09-10,982.16,988.435,964.97,964.97,2360
2020-09-11,970.755,977.18,970.415,972.93,2148
2020-09-14,983.26,989.92,978.41,979.3,3033
2020-09-15,988.825,994.905,981.19,982.42,5008
2020-09-16,990.16,1003.035,987.73,989.365,6034
2020-09-17,978.67,998.06,978.67,981.57,3502
2020-09-18,987.855,994.305,970.815,977.09,5492
2020-09-21,951.04,975.11,945.935,975.11,5002
2020-09-22,967.99,987.25,967.99,984.37,8614
2020-09-23,979.91,980.63,954.26,957.29,5311
2020-09-24,947.035,967.965,947.035,959.86,4327
2020-09-25,959.595,981.695,956.585,974.29,12417
2020-09-28,965.83,975.82,962.89,967.935,2746
2020-09-29,981.4,981.4,961.02,969.13,2914
2020-09-30,978.34,985.42,960.095,966.64,9812
2020-10-01,981.73,981.73,966.33,966.33,3333
2020-10-02,972.99,977.16,963.73,967.025,4298
2020-10-05,984.83,991.35,983.62,990.98,5198
2020-10-06,998.06,1007.025,992.3,995.045,3501
2020-10-07,991.46,1011.58,991.46,1011.22,4016
2020-10-08,1019.45,1019.45,1011.87,1013.68,5139
2020-10-09,1018.63,1028.39,1015.35,1024.975,5832
2020-10-12,1029.86,1029.86,1024.91,1027.08,1949
2020-10-13,1025.79,1032.5,1025.79,1032.5,3608
2020-10-14,1039.15,1043.705,1022.17,1025.15,8984
2020-10-15,1021.87,1022.865,1018.33,1018.33,2033
2020-10-16,1027.95,1032.46,1027.95,1031.38,2039
2020-10-19,1033.47,1034.5,1014.225,1015.72,2622
2020-10-20,1026.0,1041.595,1026.0,1031.0,3461
2020-10-21,1033.46,1039.54,1030.55,1033.52,1936
2020-10-22,1047.84,1067.155,1047.08,1064.1,6359
2020-10-23,1076.41,1076.41,1052.575,1052.915,4357
2020-10-26,1049.97,1054.045,1037.62,1041.74,3727
2020-10-27,1050.18,1063.28,1045.29,1053.83,9090
2020-10-28,1041.61,1041.61,1011.34,1015.91,4240
2020-10-29,1008.19,1016.07,1003.1,1005.01,3722
2020-10-30,1005.46,1005.46,987.24,993.33,5283
2020-11-02,1041.57,1046.115,1034.69,1041.59,9450
2020-11-03,1060.675,1075.88,1059.95,1066.2,8605
2020-11-04,1080.715,1096.78,1076.82,1079.0,6508
2020-11-05,1097.325,1107.045,1092.7,1106.0,6361
2020-11-06,1177.85,1194.715,1156.61,1179.245,24553
2020-11-09,1179.41,1212.095,1179.41,1182.21,12362
2020-11-10,1171.11,1171.59,1125.3,1127.165,23485
2020-11-11,1134.405,1149.02,1130.71,1130.71,14190
2020-11-12,1137.535,1162.82,1137.535,1153.805,7995
2020-11-13,1161.24,1183.98,1151.95,1181.33,6660
2020-11-16,1182.29,1187.985,1169.87,1183.71,7289
2020-11-17,1185.19,1193.505,1173.65,1191.87,8864
2020-11-18,1179.6,1182.08,1139.76,1142.85,15940
2020-11-19,1149.355,1153.52,1143.73,1148.79,6361
2020-11-20,1151.33,1156.61,1143.17,1148.5,8529
2020-11-23,1149.0,1149.0,1132.995,1138.465,3122
2020-11-24,1140.375,1140.455,1125.38,1126.93,6638
2020-11-25,1130.33,1131.26,1112.98,1126.74,8398
2020-11-27,1129.0,1129.0,1123.43,1126.995,2857
2020-11-30,1124.055,1150.39,1124.055,1150.39,4419
2020-12-01,1154.065,1174.08,1152.92,1162.85,9123
2020-12-02,1155.125,1155.125,1135.43,1144.69,4623
2020-12-03,1145.03,1155.07,1130.625,1132.1,8179
2020-12-04,1130.175,1140.6,1130.05,1132.52,9156
2020-12-07,1131.695,1139.72,1119.61,1124.42,12342
2020-12-08,1125.735,1164.07,1124.285,1163.6,10012
2020-12-09,1160.355,1160.355,1144.37,1150.63,6413
2020-12-10,1152.08,1156.04,1143.555,1151.95,4220
2020-12-11,1141.84,1144.49,1129.99,1142.55,4275
2020-12-14,1151.25,1161.705,1138.01,1138.785,6075
2020-12-15,1148.87,1151.005,1143.3,1148.135,7772
2020-12-16,1149.54,1149.54,1108.975,1110.49,9777
2020-12-17,1114.84,1137.45,1113.915,1127.42,8299
2020-12-18,1122.59,1137.59,1119.06,1136.99,6174
2020-12-21,1122.47,1137.64,1100.14,1133.835,8751
2020-12-22,1131.26,1135.12,1120.83,1124.03,9776
2020-12-23,1128.16,1132.695,1114.49,1126.68,4250
2020-12-24,1133.125,1145.84,1133.125,1141.63,2839
2020-12-28,1141.28,1141.28,1125.83,1135.09,3746
2020-12-29,1143.995,1148.895,1134.86,1137.93,5494
2020-12-30,1143.72,1143.98,1133.29,1135.7,5454
2020-12-31,1134.33,1140.58,1127.72,1138.76,6547
2021-01-04,1156.23,1182.8,1149.23,1161.47,11725
2021-01-05,1171.45,1188.62,1170.59,1179.15,8317
2021-01-06,1176.13,1211.04,1176.13,1195.83,11042
2021-01-07,1209.43,1223.61,1204.615,1223.005,8001
2021-01-08,1235.88,1245.62,1222.88,1238.0,5694
2021-01-11,1244.9,1248.78,1231.86,1243.11,8735
2021-01-12,1241.22,1247.6,1220.04,1220.6,11965
2021-01-13,1224.74,1225.86,1208.3,1219.68,6555
2021-01-14,1213.8,1220.33,1203.355,1204.88,17616
2021-01-15,1219.48,1221.1,1205.43,1217.43,6185
2021-01-19,1231.14,1231.75,1216.165,1230.665,4050
2021-01-20,1253.84,1269.93,1253.83,1269.745,10317
2021-01-21,1266.46,1266.46,1243.47,1243.47,5638
2021-01-22,1243.84,1243.84,1231.11,1236.05,4183
2021-01-25,1235.825,1235.825,1227.62,1232.7,2460
2021-01-26,1228.3,1228.3,1204.73,1211.12,5152
2021-01-27,1184.07,1185.25,1148.125,1153.42,8752
2021-01-28,1158.25,1183.48,1158.24,1170.465,10837
2021-01-29,1171.74,1185.94,1157.51,1168.51,3425
2021-02-01,1179.78,1189.495,1174.87,1182.82,6950
2021-02-02,1222.33,1224.9,1209.89,1217.58,9991
2021-02-03,1218.245,1218.245,1184.4,1188.47,7170
2021-02-04,1188.19,1223.42,1188.19,1220.32,10762
2021-02-05,1213.345,1213.345,1177.35,1195.82,17813
2021-02-08,1199.33,1213.3,1190.02,1207.61,9955
2021-02-09,1206.48,1218.43,1206.48,1209.71,5353
2021-02-10,1217.36,1217.36,1203.37,1206.94,9939
2021-02-11,1209.78,1212.525,1197.555,1201.4,6794
2021-02-12,1200.35,1222.33,1200.35,1220.79,10516
2021-02-16,1213.585,1213.585,1188.31,1190.99,8160
2021-02-17,1175.01,1179.84,1162.0,1165.24,6002
2021-02-18,1164.0,1165.39,1144.805,1155.0,12479
2021-02-19,1160.21,1177.86,1160.21,1166.31,9037
2021-02-22,1150.28,1150.28,1126.355,1128.19,16941
2021-02-23,1114.99,1116.92,1097.18,1110.3,15449
2021-02-24,1115.455,1137.16,1108.09,1126.275,23012
2021-02-25,1120.76,1125.07,1101.17,1114.09,7006
2021-02-26,1113.7,1128.01,1111.6,1119.15,6170
2021-03-01,1137.13,1145.21,1132.19,1132.56,9741
2021-03-02,1135.67,1135.67,1114.11,1123.74,7641
2021-03-03,1115.91,1115.91,1094.105,1094.15,7848
2021-03-04,1088.46,1088.46,1049.86,1059.9,24472
2021-03-05,1060.38,1063.16,1040.16,1059.54,20966
2021-03-08,1050.35,1069.54,1034.36,1038.58,11456
2021-03-09,1074.4,1075.555,1049.4,1050.1,13081
2021-03-10,1055.46,1070.9,1054.45,1054.45,10647
2021-03-11,1063.35,1082.745,1063.35,1080.865,12400
2021-03-12,1057.66,1067.88,1057.66,1064.28,4847
2021-03-15,1073.93,1098.69,1072.44,1096.93,5378
2021-03-16,1101.07,1101.07,1076.34,1083.79,9800
2021-03-17,1077.88,1097.03,1074.69,1093.4,8422
2021-03-18,1094.53,1103.625,1090.31,1102.06,10179
2021-03-19,1102.18,1130.96,1098.76,1125.9,13248
2021-03-22,1124.77,1130.87,1118.45,1130.87,9268
2021-03-23,1120.48,1124.915,1113.31,1115.06,4465
2021-03-24,1118.335,1123.22,1110.145,1111.99,7251
2021-03-25,1103.41,1117.91,1099.6,1117.91,6413
2021-03-26,1118.38,1164.99,1118.38,1164.99,7498
2021-03-29,1151.07,1174.89,1149.82,1173.61,9194
2021-03-30,1164.92,1169.63,1147.255,1147.255,6866
2021-03-31,1156.23,1168.945,1152.245,1157.27,10053
2021-04-01,1158.56,1178.37,1156.74,1170.94,5990
2021-04-05,1183.49,1197.3,1182.98,1196.67,5685
2021-04-06,1195.52,1219.17,1195.52,1209.94,11990
2021-04-07,1209.07,1209.07,1194.01,1197.84,3985
2021-04-08,1205.28,1210.765,1203.0,1206.48,4647
2021-04-09,1209.0,1220.41,1205.04,1218.84,7716
2021-04-12,1224.96,1228.92,1214.38,1220.03,4392
2021-04-13,1234.965,1234.965,1229.11,1230.27,2149
2021-04-14,1232.155,1232.155,1220.575,1225.39,4964
2021-04-15,1241.725,1264.135,1241.725,1261.95,5845
2021-04-16,1273.3,1281.62,1269.89,1281.58,5766
2021-04-20,1280.45,1280.54,1270.63,1276.615,2935
2021-04-21,1294.19,1312.24,1293.57,1311.41,5838
2021-04-22,1315.1,1315.645,1293.885,1301.74,4944
2021-04-23,1308.8,1338.03,1304.33,1334.49,3446
2021-04-26,1324.145,1330.435,1313.71,1313.83,5664
2021-04-27,1307.52,1326.29,1307.52,1323.88,3479
2021-04-28,1314.825,1327.265,1314.825,1321.7,3883
2021-04-29,1332.53,1332.53,1321.22,1327.36,4155
2021-04-30,1325.475,1325.475,1305.85,1313.32,4665
2021-05-03,1319.81,1319.81,1304.43,1314.81,5158
2021-05-04,1299.14,1299.14,1276.8,1281.65,5736
2021-05-05,1285.98,1300.41,1284.37,1292.6,5578
2021-05-06,1292.28,1299.45,1275.76,1295.34,7665
2021-05-07,1309.9,1326.98,1278.9,1279.79,12816
2021-05-10,1276.72,1276.72,1241.235,1242.28,6913
2021-05-11,1232.26,1240.96,1228.8,1239.665,4612
2021-05-12,1230.19,1257.56,1230.19,1241.59,5808
2021-05-13,1242.83,1261.3,1242.83,1254.065,4863
2021-05-14,1252.695,1276.38,1252.695,1274.51,5945
2021-05-17,1270.29,1270.52,1258.98,1259.77,2633
