date,open,high,low,close,volume
2020-07-27,14.19,14.195,13.315,13.365,129583
2020-07-28,13.34,14.51,13.34,14.215,315593
2020-07-29,14.18,14.475,13.82,14.345,213495
2020-07-30,13.91,14.305,13.785,14.15,119692
2020-07-31,13.985,14.07,13.47,13.64,113802
2020-08-03,13.29,13.35,12.57,13.04,290420
2020-08-04,13.08,13.895,13.01,13.575,162313
2020-08-05,13.975,14.18,13.465,13.745,217820
2020-08-06,13.315,14.405,13.275,14.245,226184
2020-08-07,14.02,14.175,13.54,13.97,272070
2020-08-10,14.025,15.34,14.025,15.135,181499
2020-08-11,16.42,16.565,15.555,15.635,386143
2020-08-12,16.13,16.13,14.74,15.245,184603
2020-08-13,15.03,15.875,14.97,15.33,99535
2020-08-14,15.01,15.875,14.91,15.75,77326
2020-08-17,15.815,15.815,15.055,15.39,106693
2020-08-18,15.29,15.53,15.05,15.195,113745
2020-08-19,15.1,16.35,15.09,15.665,160123
2020-08-20,15.34,15.68,15.095,15.58,90433
2020-08-21,15.45,15.845,15.45,15.555,130033
2020-08-24,15.87,17.17,15.43,16.74,258938
2020-08-25,16.88,17.09,16.2,16.765,136935
2020-08-26,16.56,16.61,15.56,15.725,160607
2020-08-27,16.195,17.29,16.15,16.665,533009
2020-08-28,17.165,17.77,16.91,17.675,259236
2020-08-31,17.62,17.82,17.09,17.11,158978
2020-09-01,16.67,17.26,16.45,16.955,163856
2020-09-02,16.92,17.08,16.39,16.985,160333
2020-09-03,17.67,19.19,17.325,17.63,279015
2020-09-04,18.265,18.6,17.51,18.425,311119
2020-09-08,18.03,18.825,18.0,18.535,587712
2020-09-09,18.31,18.475,17.48,17.925,309994
2020-09-10,18.07,19.16,17.935,17.945,205995
2020-09-11,18.065,18.1,17.195,17.515,119050
2020-09-14,17.82,17.96,17.43,17.795,109712
2020-09-15,17.71,17.82,16.785,16.97,255105
2020-09-16,17.05,17.85,16.74,17.505,112520
2020-09-17,16.92,17.55,16.74,17.26,127399
2020-09-18,17.05,17.26,15.95,16.255,728123
